# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
🏸;بیډمنټن;برډي|بيډمنټن|بیډمنټن|ريکيټ|شټل کاک|لوبه
🥊;د سوک وهلو دستکشه;د سوک وهلو دستکشه|دستکشه|سوک وهنه
🥋;رزمي یونیفورم;تکوانډو|جوډو|رزمي يونيفارم|رزمي یونیفورم|کراټې|يونيفارم
🥅;د ګول وهلو جال;د ګول وهلو جال
⛳;په سوري کې بیرغ;په سوري کې بيرغ|په سوري کې بیرغ|سوري|ګولف
⛸️;آیس سکیټ;آیس|سکیټ
🎣;د کب نیوني خاده;خاده|د کب نیوني خاده|کب
🤿;د غوټې وهلو څېره;د غوټې وهلو څېره|ډوبېدل|غوټې وهل|لامبو وهل
🎽;د منډې وهلو کمیس;اتليتيکس|د منډې وهلو کمیس|ساش|کميس|منډه وهل
🎿;سکي;سکي|سکيز|واوره
🛷;ښويېدونی;سلي|سليج|ښويېدونی
🥌;د کورلینګ ډبره;تيګه|د کورلینګ ډبره|لوبه
🎯;مستقیم ویشتنه;په نښه کول|د غويي سترګه|ډارټ|لوبه|مستقيم ويشتنه|مستقیم ویشتنه|ويشتنه
🪀;يو يو;پر يوه حال نه پاته کېدل، لوبتکه|يو يو
🪁;پتنګ;الوتل|پتنګ|په پورته تلل
🔫;طمانچه;اله|ټوپک|ريوالور|طمانچه|لاسي ټوپک|وسله
🎱;د پول ۸ توپ;۸|اته|بليارډ|توپ|د پول ۸ توپ|لوبه
🔮;کرسټال بال;اله|بال|تخيل|د ښاپيرو کيسه|کرسټال بال|کرسټل|نصيب
🪄;د جادو لښته;جادو|جادوګر|د جادو لښته|ساحره
🎮;ویډیو لوبې;قابو کوونکی|لوبه|ويډيو لوبې|ویډیو لوبې
🕹️;جوی سټیک;جوی سټيک|جوی سټیک|لوبه|ويډيو ګيم
🎰;سلاټ ماشين;سلاټ|سلاټ ماشين|لوبه
🎲;د کمسايي لوبه;د کمسايي لوبه|ډايي|کمسايي|لوبه
🧩;د معما ټکړه;اشاره|ټکړه|د معما ټکړه|ګرده اره|معما|يوځای کول
🧸;ايږ;ايږ|د لوبو څيز|ډک شوي|لوبتکه|نانځکه
🪅;پناتا;پارټي|پناتا|لمانځنه
🪩;ښیښې بال;پارټي|چمک|ډیسکو|ښیښې بال|نڅا
🪆;ځاله کوونکې نانځکه;ځاله کول|ځاله کوونکې نانځکه|روسي|نانځکه
♠️;د قرې پته;تاش|د قرې پته|لوبه
♥️;د تپان پته;تاش|د تپان پته|لوبه
♦️;د الماس پته;تاش|د الماس پته|لوبه
♣️;د کلب پته;تاش|د کلب پته|لوبه
♟️;د سترنج ګوټک;تېرايستل|د سترنج ګوټک|سترنج|غځېدونکی
🃏;جوکر;تاش|جوکر|لوبه|ويل کارډ
🀄;د ماهجونګ سور خامار;د ماهجونګ سور خامار|سور|لوبه|ماهجونګ
🎴;د ګل تاش;تاش|جاپاني|د ګل تاش|ګل|لوبه|لوبول
🎭;عملي فنون;تهيټر|عملي|عملي فنون|فن|ماسکه
🖼️;چوکاټ شوی انځور;انځور|چوکاټ|چوکاټ شوی انځور|رنګول|فن|موزيم
🎨;فنکار تخته;تخته|رنګول|فن|فنکار تخته|موزيم
🧵;تار;تار|رسۍ|ستن|ګنډل|ګوټ
🪡;د ګنډلو ستن;بخۍ|د ګنډلو ستن|ستن|ګل کاري|ګنده|ګنډل
🧶;مزی;بال|بڼل|خامک ګنډل|مزی
🪢;غوټه;پړی|تاو|تړل|جاخ|غبرګ|غوټه

[objects]
👓;عینکې;سترګو عینکې|سترګې|عینکې|کالی
🕶️;لمر عینکې;تیاره|سترګه|عینکې|لمر عینکې
🥽;عينکې;د سترګو حفاظت|عينکې|کوشيرول|لامبو وهل
🥼;د لابراتور کرتۍ;څېړنه|د لابراتور کرتۍ|ډاکټر|سائينس دان
🦺;حفاظتي ملابند;بيړنه|حفاظت|حفاظتي ملابند|سينه بند
👔;نیکټائي;لباس|نیکټائي
👕;ټی شرټ;ټی شرټ|ټیشرټ|شرټ|لباس
👖;کاوبای پتلون;پتلون|کاوبای پتلون|لباس
🧣;غاړې دسمال;غاړه|غاړې دسمال
🧤;دستکشی;دستکشی|لاس
🧥;جامپر;جاکټ|جامپر
🧦;جرابي;اوږدي جرابي|جرابي
👗;کمیس;کمیس|لباس
👘;کیمینو;کیمینو|لباس
🥻;ساړې;جامې|ساړې|کالي
🩱;يو ستوی د لامبو سوټ;د لامبلو سوټ|يو ستوی د لامبو سوټ
🩲;لنډ جانګی;جانګی|د لامبلو سوټ|لنډ جانګی|يو ستوے د لامبو سوټ
🩳;جانګی;پتلون|جانګی|د لامبلو سوټ
👙;بکینی;بکینی|لامبل|لباس
👚;ښځینه لباس;ښځه|ښځینه لباس|لباس
🪭;د لاس تړلی پکه;د لاس تړلی پکه|شرمنده|فین|ګرم|نڅا|وهل|یخ کول
👛;پرس;پرس|کاین|لباس
👜;دسکول;بکس|پرس|دسکول|لباس
👝;کڅوړي بکسه;بټوه|بکس|کڅوړي بکسه|لباس
🛍️;خریدارۍ بکسه;بکس|خریداری|خریدارۍ بکسه|هوټل
🎒;د مکتب بکسه;بکس|د مکتب بکسه|مکتب
🩴;واهه چپلې;beach sandals|د ګورت چپلې|زوري|سينډل|ګورت|واهه چپلې
👞;نارینه بوټان;بوټان|لباس|نارینه
👟;د منډي بوټان;بوټان|د منډي بوټان|لباس|نخی بوټان|ورزشي
🥾;په غره د ختلو بوټ;بوټ|په شا سامان تړل|په غره ختل|په غره د ختلو بوټ|کامپنګ
🥿;هوار پېزار;بيلټ هوار|چپل|سلپ آن|هوار پېزار
👠;کوری-بلند بوټان;بوټان|ښځه|کوری-بلند بوټان|کورۍ|لباس
👡;ښځینه سینډل;بوټان|سینډل|ښځه|ښځینه سینډل|لباس
🩰;د نڅا پېزار;د نڅا پېزار|نڅا|يو ډول نڅا
👢;ښځینه موزي;بوټان|ښځه|ښځینه موزي|لباس|موزي
🪮;ویښتان غوره کول;افرو|ږومنځه|غوره کول|ویښتان|ویښتان غوره کول
👑;تاج;پاچا|تاج|لباس|ملکه
👒;ښځینه خولۍ;خولۍ|ښځه|ښځینه خولۍ|لباس
🎩;تندی خولۍ;تندی خولۍ|تندۍ|خولۍ|لباس
🎓;فراغت خولۍ;خولۍ|فراغت|لباس|لمانځل
🧢;پيکداره خولۍ;بیسبال خولۍ|پيکداره خولۍ
🪖;پوځي خولۍ;پوځي خولۍ|جنګېدونکی|خولۍ|عسکر|فوځ|فوځي
⛑️;د ژغورنې کارمندانو هیلمټ;خولۍ|د ژغورنې کارمندانو هیلمټ|غلط نښه|مخ|مرسته|هیلمټ
📿;تسبیح;تسبیح|دین|غاړه کۍ|لباس|لمونز
💄;لب شیرین;کاسمټیکس|لب شیرین|میک اپ
💍;ګوتې;الماس|ګوتې
💎;قیمتي ډبره;الماس|ډبره|قیمتي ډبره|ګاڼه
🔇;ګونګ شوی سپیکر;چپ|سپيکر|غلی|ګونګ|ګونګ شوی سپیکر
🔈;د سپیکر ټیټ غږ;د سپیکر ټیټ غږ|نرم
🔉;د سپیکر منځنی غږ;د سپیکر منځنی غږ|منځنی
🔊;د سپیکر لوړ غږ;د سپیکر لوړ غږ|لوړ
📢;لاوډسپیکر;اولسي خطاب|لاوډ|لاوډ سپيکر|لاوډسپیکر
📣;میګافون;چغې وهل|ميګافون|میګافون
📯;پستي هارن;پستي هارن|پوست|پوسته|هارن
🔔;زنګ;زنګ
🔕;سلش لرونکی زنګ;خاموش|زنګ|سلش لرونکی زنګ|غلې|ممنوع
🎼;د موسیقۍ نمرې;د موسیقۍ نمرې|موسيقي|نمرې
🎵;د موسیقۍ یادښت;د موسیقۍ یادښت|موسيقي|يادښت
🎶;د موسیقۍ ساز;د موسیقۍ ساز|ساز|سازونه|موسيقي
🎙️;د سټوډیو مایکروفون;د سټوډیو مایکروفون|سټوډيو|مايک|مايکروفون|موسيقي
🎚️;لیول سلایډر;سلايډر|ليول|لیول سلایډر|موسيقي
🎛️;د کنټرول غوټې;د کنټرول غوټې|غوټې|کنټرول|موسيقي
🎤;میکروفون;کاروک|مايک|مايکروفون|میکروفون
🎧;غوږۍ ګوشکه;غوږۍ|ګوشکه
📻;راډیو;راډیو
🎷;ساکسفون;اله|ساکس|ساکسفون|موسيقي
🪗;اکورديون;اکورديون|د دباوهلو بوکسه|کسرټينا
🎸;ګیتار;اله|ګيتار|ګیتار|موسيقي
🎹;د موسیقي کیبورډ;اله|پيانو|د موسیقي کیبورډ|کيبورډ|موسيقي
🎺;سورنی;اله|سورنی|موسيقي
🎻;ويلون;اله|موسيقي|ويلون
🪕;بينجو;بينجو|مزي شوې|موزيک
🥁;ډول;د ډول لختې|ډول|موسيقي
🪘;اوږود ډول;اوږود ډول|ډول|کونګا|موسيقي|وهل
🪇;ماراکاس;تکبیر|خندا|ماراکاس|موسيقي|وسیله|ولړزول
🪈;بانسري;بانسري|پایپ|ریکارډر|فیف|لرګي باد|موسيقي
📱;ګرځنده ټېلیفون;ټيليفون|سل|فون|ګرځنده ټېلیفون|موبايل
📲;غشی لرونکی ګرځنده ټېلیفون;ترلاسه کول|غشی|غشی لرونکی ګرځنده ټېلیفون|فون|موبايل
☎️;ټیلیفون;ټليفون|ټیلیفون|فون
📞;د ټیلیفون رسیور;ټيليفون|د ټیلیفون رسیور|رسيور|فون
📟;پیجر;پیجر
📠;د فکس ماشین;د فکس ماشين|د فکس ماشین|فکس
🔋;بیټري;بیټري
🪫;ټیټه بیټرۍ;بریښنایی ټیټ انرژي|ټیټه بیټرۍ
🔌;برېښنايي پلګ;برېښنا|برېښنايي|پلګ
💻;لپټاپ کمپیوټر;پي سي|شخصي|کمپيوټر|لپټاپ کمپيوټر|لپټاپ کمپیوټر
🖥️;ډیسکټاپ کمپیوټر;ډیسکټاپ|کمپیوټر
🖨️;پرنټر;پرنټر
⌨️;کیبورډ;کمپیوټر|کیبورډ
🖱️;د کمپیوټر موږک;د کمپیوټر موږک|کمپیوټر
🖲️;ټریکبال;ټریکبال|کمپیوټر
💽;د کمپیوټر ډیسک;آپتيکي|د کمپیوټر ډیسک|ډسک|کمپيوټر|مني ډسک
💾;فلاپي ډیسک;ډسک|فلاپي|فلاپي ډیسک|کمپيوټر
💿;آپتيکي ډسک;آپتيکي|ډسک|سي ډې|کمپيوټر
📀;ډي وي ډي;آپتيکي|بليو ری|ډسک|ډي وي ډي|کمپيوټر
🧮;ابيکس;ابيکس|حساب کتاب
🎥;د فلم کامره;د فلم کامره|سنيما|فلم|کامره
🎞️;د فلم چوکاټ;چوکاټونه|د فلم چوکاټ|سنيما|فلم|مووي
📽️;د فلم پروجیکټر;پروجيکټر|د فلم پروجیکټر|سنيما|فلم|مووي|ويډيو
🎬;د کلیپر تخته;د کلیپر تخته|فلم|کليپر
📺;تلویزیون;تلويزيون|تلویزیون|ټي وي|ويډيو
📷;کامره;کامره|ويډيو
📸;فلش لرونکې کامره;فلش|فلش لرونکې کامره|کامره|ويډيو
📹;ویډیو کامره;ویډیو کامره
📼;ویډیو کیسټ;ټيپ|وي ايچ ايس|ويډيو|ويډيو کيسټ|ویډیو کیسټ
🔍;لويوونکې ښيښه چپ اړخ ته کږه;اله|ښيښه|لټون|لويوونکې|لويوونکې ښيښه چپ اړخ ته کږه
🔎;ښي لور ته ذره بین لرونکې ښیښه;اله|ښي لور ته ذره بین لرونکې ښیښه|ښيښه|لټون|لويوونکې|لويوونکې ښيښه ښۍ اړخ ته کږه
🕯️;شمع;رڼا|شمع
💡;د رڼا بلب;برېښنايي|بلب|د رڼا بلب|د رڼا ګروپ|رڼا|لکۍ دار|نظر
🔦;لاسي څراغ;اله|برېښنايي|بيټري|رڼا|لاسي څراغ
🏮;د سور کاغذ لاټين;بار|د سور کاغذ لاټين|رڼا|سور|لاټين
🪔;ډيوه څراغ;تيل|څراغ|ډيوه
📔;د ښايسته جلد کاپي;جلد|د ښايسته جلد کاپي|ښايسته|کاپي|کتاب
📕;بند کتاب;بند|کتاب
📖;خلاص کتاب;خلاص|کتاب
📗;شنه کتاب;شنه کتاب
📘;آسماني رنګ کتاب;آسماني رنګ|آسماني رنګ کتاب|کتاب
📙;نارنجي کتاب;کتاب|نارنجي
📚;کتابونه;کتاب|کتابونه
📓;کاپي;کاپي
📒;ليجر;کاپي|ليجر
📃;پاڼه د تاو سره;پاڼه|پاڼه د تاو سره|تاو|سند
📜;اڼه اړول;اڼه اړول
📄;پاڼه سره مخ کړي;پاڼه|پاڼه سره مخ کړي|سند
📰;ورځپاڼې;خبرونه|کاغذ|ورځپاڼه|ورځپاڼې
🗞️;تړل شوی ورځپاڼې;تړل شوی ورځپاڼې|تړل شوې|خبرونه|کاغذ|ورځپاڼه
📑;د کتاب نښې ټيبز;ټيبز|د کتاب نښه|د کتاب نښې ټيبز|مارکر|نښه
🔖;د کتاب نښه;د کتاب نښه|نښه
🏷️;لیبل;لیبل
💰;د پيسو کڅوړه;پيسې|د پيسو کڅوړه|ډالر|کڅوړه
🪙;سکه;پېسې|خزانه|سره زر|سکه|سلور|فلز
💴;ين بانک نوټ;بل|پيسې|د بانک نوټ|نوټ|ين|ين بانک نوټ
💵;ډالر بانک نوټ;بل|پيسې|د بانک نوټ|ډالر|ډالر بانک نوټ|نوټ
💶;يورو بانک نوټ;بل|پيسې|د بانک نوټ|نوټ|يورو|يورو بانک نوټ
💷;پونډه بانک نوټ;بل|پونډ|پونډه بانک نوټ|پيسې|د بانک نوټ|نوټ
💸;پیسې د وزرونو;بل|پيسې|پيسې د وزرونو|پیسې د وزرونو|د بانک نوټ|وزرې
💳;کریډیټ کارت;پېسې|کارت|کریډیټ
🧾;رسيد;ثبوت|حساب کتاب|دليل|رسيد|کتاب ساتنه
💹;چارټ د یین سره زیاتیږي;پېسې|چارټ|چارټ د یین سره زیاتیږي|ګراف|وده|يين
✉️;لفافه;برېښناليک|لفافه|ليک
📧;برېښناليک;برېښناليک|برېښنليک|ليک|ميل
📨;راتلونکی لفافه;برېښناليک|ترلاسه کول|راتلونکی|راتلونکی لفافه|ليک
📩;لفافه د غشي سره;برېښناليک|بهر تلونکی|غشی|لفافه|لفافه د غشي سره
📤;آوټ باکس ټری;آوټ باکس|آوټ باکس ټری|باکس|ټری|ليږلې|ليک
📥;ان باکس ټری;ان باکس ټری|باکس|ترلاسه کول|ټری|ليک
📦;بنډل;بنډل|بوکسه|لېږدونه
📫;تړل شوی میل باکس د هسک بېرغ سره;بند|پوست بکسه|تړل شوی میل باکس د هسک بېرغ سره|ليک بکسه
📪;بند ميل باکس د د ښکته بېرغ سره;بند|بند ميل باکس د د ښکته بېرغ سره|پوست بکسه|تړل شوی میل باکس د ښکته بېرغ سره|ښکته|ليک بکسه
📬;خلاص ميل باکس د هسک بېرغ سره;پوست بکسه|خلاص|خلاص ميل باکس د هسک بېرغ سره|ليک|ليک بوکسه
📭;خلاص میل باکس د ښکته بېرغ سره;پوسته بکسه|خلاص میل باکس د ښکته بېرغ سره|ښکته|ليک|ميل بکس
📮;پوسته بکسه;پوست بکسه|پوسته بکسه|ليک|ليک بکسه
🗳️;د ووټونو بوکسه د ووټ سره;بوکسه|د ووټونو بوکسه د ووټ سره|ووټ
✏️;پنسل;پنسل
✒️;تور نب;تور نب|قلم|نب
🖋️;د فونټين قلم;د فونټين قلم|فونټين|قلم
🖊️;قلم;بال پين|قلم
🖌️;د رنګونې برش;د رنګونې برش|رنګول
🖍️;کريان;کريان
📝;د يادښت کتابچه;پينسل|د يادښت کتابچه
💼;بسته;بسته
📁;دوتنې پوښۍ;پوښۍ|دوتنې
📂;دوتنه پوښۍ خلاص;پوښۍ|خلاص|دوتنه
🗂️;کارت جدول وېشونکي;جدول|کارت|وېشونکي
📅;جنتري;جنتري|نېټه
📆;د شلولو جنتري;جنتري|د شلولو جنتري
🗒️;حلزوني يادښت پېډ;پېډ|حلزوني|حلزوني يادښت پېډ|ياددښت
🗓️;حلزوني جنتري;پېډ|جنتري|حلزوني
📇;کارت جدول;جدول|رولوډاکس|کارت
📈;چارټ زیاتوالی;پورته|چارټ|چارټ زیاتوالی|ګراف|وده
📉;چارټ کمېدونکی;ټرينډ|چارټ|چارټ کمېدونکی|ښکته|ګراف
📊;بار چارټ;بار|چارټ|ګراف
📋;کلیپ بورډ;کلیپ بورډ
📌;ګل مېخ;پن|ګل مېخ
📍;ګول ګل مېخ;پن|ګل مېخ|ګول ګل مېخ
📎;کاغذ نيوونى;کاغذ نيوونى
🖇️;تړل شوي کاغذ نيووني;تړل شوي کاغذ نيووني|تړل شوي کاغز نيووني|ربط|کاغذ نيوونى
📏;سيدها خطکش;خط کش|سيدها خطکش|سيدها ګوټونه
📐;درې کنجه خطکش;خطکش|درې کنجه خطکش|درې ګوټى|سيټ
✂️;بياتي;اله|بياتي|پريکول
🗃️;کارت دوتنې بکس;بکس|دوتنې|کارت
🗄️;د دوتنې کابينټ;د دوتنې کابينټ|دوتنه|دوتنه کول|کابينټ
🗑️;د ضایع ټوکر;د ضایع ټوکر
🔒;کلپ شوی;تړل شوی|کلپ شوی
🔓;خلاص شوی;خلاص شوی|خلاصول|قفل|کلپ
🔏;د قلم سره تړل شوی;د قلم سره تړل شوی|سياهي|قلم|کلپ|محرمتيا|نب
🔐;د کیلي سره تړل شوی;بند شوی|خوندي|د کیلي سره تړل شوی|کلپ|کيلي|کيلي سره تړل شوی
🔑;کیلي;پاسورډ|کلپ|کيلي|کیلي
🗝️;زاړه کیلي;اشاره|زاړه کیلي|زوړ|کلپ|کيلي
🔨;څټک;اله|څټک
🪓;تبر;تبر|تبرګى|جلا کول|څيرل|لرګی
⛏️;دوه سري کلنګ;اله|دوه سري کلنګ|کان کنستل|کلنګ
⚒️;څټک او کلنګ;اله|څټک|څټک او کلنګ|کلنګ
🛠️;څټک او رنچ;اله|څټک|څټک او رنچ|رنچ
🗡️;خنجر;چاقو|خنجر|وسله
⚔️;اوړېدلې تورې;اوړېدلې|تورې|وسله
💣;بم;بم|مسخره
🪃;کږه لکړه;آستراليا|راتمبېدل|عکس العمل|کږه لکړه
🏹;غشی او لينده;غشی|غشی او لينده|غشی ويشتونکی|لينده|مرغومې
🛡️;ډال;ډال|وسله
🪚;د نجارۍ اره;اره|اله|د نجارۍ اره|لرګی|نجار
🔧;رنچ;اله|تاوهونکی|رنچ
🪛;پيچ کش;اله|پيچ کش|سکورو
🔩;نټ او بولټ;اله|بولټ|نټ|نټ او بولټ
⚙️;ګيرارۍ;اله|د کيرارو پايه|غاښ|کيرارۍ|ګيرارۍ
🗜️;رکاب;اله|رکاب|شکنجه|شکنجه کول
⚖️;متوازن تله;انصاف|ترازو|تله|توازن|متوازن تله|مرغومی
🦯;د معلولينو همسا;د معلولينو همسا|ړوند|لاسرسی
🔗;ربط;ربط
⛓️‍💥;مات شوی زنځیر;مات شوی زنځیر|مات، ماتول، زنځیر، هتکړئ، ازادي
⛓️;زنځيرونه;زنځير|زنځيرونه
🪝;کنډه;تاؤ|د خرڅلاو ځای|رانيول|کږه|کنډه|نيول
🧰;د اوزارو بوکسه;اله|بوکسه|د اوزارو بوکسه|ميخانيک
🧲;مقناطيس;د آس نال|راکش کول|مقناطيس|مقناطيسي
🪜;زينه;پړاو|ختل|زينه|قدم
⚗️;اليمبک;اله|اليمبک|کيميا
🧪;ټسټ تيوب;ټسټ تيوب|سائينس|کيميا|کيميا ګر|لابراتور
🧫;پيټري ډش;بکتيريا|بيالوژي|پيټري ډش|د بيالوژي پوهاند|کلتور|لابراتور
🧬;ډي اين ای;ارتقاء|جينيايي|د بيالوژي پوهاند|ډي اين ای|ژوند
🔬;مایکروسکوپ;اله|سائينس|مايکروسکوپ|مایکروسکوپ
🔭;ټیلي سکوپ;اله|ټيلي سکوپ|ټیلي سکوپ|سائينس
📡;د سپوږمکۍ انټينا;انټينا|د سپوږمکۍ انټينا|ډش|سپوږمکۍ
💉;سرنج;درمل|ستن|سرنج|سيرنج|ناروغ|وهل
🩸;د وينې څاڅکی;حيض|د وينې څاڅکی|درمل|وينه ورکول
💊;ګولۍ;درمل|ډاکټر|ګولۍ|ناروغ
🩹;نښلېدونکې پټۍ;پټۍ|نښلېدونکې پټۍ
🩼;چاره;ټپي کول|چاره|چپنه|د خوځښت مرسته|ګنی|معلولیت
🩺;ستېتوسکوپ;درمل|ډاکټر|زړه|ستېتوسکوپ
🩻;اکسرې;اکسرې|ډاکټر|طبي|هډوکي|هډوکی
🚪;دروازه;دروازه
🛗;لوړګر;لاسرسی|لوړګر|هسک ګر|هسکول
🪞;هنداره;آينه|انعکاس|منکس کوونکی|هنداره
🪟;کړکۍ;برسيره کول|تازه هوا|چوکاټ|شفاف|کړکۍ|نظاره
🛏️;بستره;بستره|هوتل|ويده کېدل
🛋️;سوفه او څراغ;څراغ|سوفه|سوفه او څراغ|سوفې او څراغ|هوتل
🪑;چوکۍ;چوکۍ|سيټ|کښيناستل
🚽;تشناب;تشناب
🪠;پلنجر;پلنجر|تشناب|راکښل|غاب|ګلکار
🚿;شاور;اوبه|شاور
🛁;د لامبلو ټب;د لامبلو ټب|لامبل
🪤;لټ;تېرايستل|جال|شومه|لټ
🪒;چاړه (د ږيرې);تېره|چاړه (د ږيرې)|خريينه
🧴;د مرهم بوتل;د لمر څخه حفاظت|د مرهم بوتل|شامبو|لوشن|نرموونکی
🧷;حفاظتي پن;بکسوه|حفاظتي پن|ډايپر
🧹;جارو;پاکول|جارو|جارو کول|کوډ ګره
🧺;ټوکرۍ;ټوکرۍ|سيل|کالي مينځل|کرونده
🧻;د کاغذ بنډل;د تشناب کاغذ|د کاغذ بنډل|د کاغذ تولياګانې
🪣;ستل;بالټی|چاټۍ|ستل|کاسک
🧼;صابن;پاکول|پوستکې|چکۍ|صابن|صابن دانه|لامبل
🫧;پوکڼۍ;ارږی|پاک|پوکڼۍ|د اوبو لاندې|د اوبو لاندېburp|صابون
🪥;د غاښو برش;برش|پاک|د غاښو|د غاښو برش|غاښ|غسل خانه|نظافت
🧽;اسفنج;اسفنج|پاکول|راکښل|سوري دار
🧯;اور وژونکی;اور|اور وژونکی|مړ کول|وژل
🛒;د سودا لاس ګاړۍ;د سودا لاس ګاړۍ|سودا کول|کراچۍ|ګاړۍ
🚬;سګريټ;سګريټ|سګريټ نوشي
⚰️;تابوت;تابوت|مړېنه
🪦;شناخته;اديره|د سر ګټه|د قبر تکتۍ|سيمټري|شناخته|قبر
⚱️;د جنازې ګلدان;ايره|جنازه|د جنازې ګلدان|ګلدان|مرګ
🧿;د نظر تعويذ;بد نظر|تسبيح|جادو|د نظر تعويذ|نظر
🪬;حمصه;تعویض|حمصه|فاطمه|لاس|محافظت|مریم|میریم
🗿;موي;مجسمه|مخ|موي|موياي
🪧;پلی کارت;احتجاج|پلی کارت|پيکټ|لاريون|نخښه
🪪;د پیژندنې کارت;ID|امنیت|د پیژندنې کارت|سندونه|منښتليک

[symbols]
🏧;د ای ټي ايم نښه;اټوماټ|ای ټي ايم|بانک|ټيلر|د ای ټي ايم نښه
🚮;ورخړ په فاضلدانۍ کې نښه;د ورخړ فاضلدانۍ|ورخړ|ورخړ په فاضلدانۍ کې نښه
🚰;د څښاک اوبه;اوبه|څښاک|څکل|د څښاک اوبه
♿;د ویلچیر نښه;د ويلچير نښه|د ویلچیر نښه|لاسرسی
🚹;د نارینه خونه;تشناب|د آرام خونه|د نارينه خونه|د نارینه خونه|ډبليو سي|سړی
🚺;د ښځو خونه;تشناب|د آرام خونه|د ښځو خونه|ډبليو سي|ښځه
🚻;د آرام خونه;تشناب|د آرام خونه|ډبليو سي
🚼;د ماشوم نښه;بدلول|د ماشوم نښه|ماشوم
🚾;د تشناب د اوبو لوښی;اوبه|تشناب|د آرام خونه|د اوبو لوښی|د تشناب د اوبو لوښی|ډبليو سي
🛂;د پاسپورت کنټرول;پاسپورټ|د پاسپورت کنټرول|کنټرول
🛃;ګمرک;ګمرک
🛄;د سامانونو ادعا;ادعا|د سامانونو ادعا|سامان
🛅;پاتې سامانونو;پاتې سامان|پاتې سامانونو|توخه|سامان|کلپ خانه
⚠️;خبرداری;خبرداری
🚸;ماشومان تېرېږي;پېدل تلونکي|تېرېدل|ټرافيک|ماشوم|ماشومان تيريږي|ماشومان تېرېږي
⛔;داخلېدل منع دي;ټرافيک|داخلېدل|داخلېدل منع دي|ممنوع|منع|نه
🚫;منع شوی;داخلېدل|ممنوع|منع|منع شوی|نه
🚳;بایسکلانو ته اجازه نشته;بايسکلانو ته اجازه نشته|بايسيکل|بايک|بایسکلانو ته اجازه نشته|ممنوع|منع|نه
🚭;سګرټ څکول منع دي;سګرټ څکول منع دي|سګريټ څکل|ممنوع|منع|نه
🚯;ورخړ خپرول منع دي;ممنوع|منع|نه|ورخړ|ورخړ خپرول منع دي
🚱;د څښاک اوبه نه دي;اوبه|د څښاک اوبه نه دي|د څښاک نه|د څکلو وړ نه
🚷;پیاده منع دي;پياده|پياده منع دي|پیاده منع دي|ممنوع|منع|نه
📵;ګرځنده تیلیفونونه منع دي;سل|فون|ګرځنده تیلیفونونه منع دي|منع|موبايل|نه
🔞;له اتلس کالو څخه کم عمر کسان منع دي;18|د عمر قيد|له اتلس کالو څخه کم عمر کسان منع دي|منع|نابالغ
☢️;راډيو اکټيو;راډيو اکټيو|نښه
☣️;بایو خطر;بايو خطر|بایو خطر|نښه
⬆️;پورته غشی;اړخ|اساسي|پورته غشی|شمال|غشی
↗️;پورته ښي غشی;اړخ|انتر کارډينل|پورته ښي غشی|شمال ختيځ|غشی
➡️;ښي غشی;اړخ|اساسي|ختيځ|ښي غشی|غشی
↘️;ښکته ښي غشی;اړخ|انټر کارډينل|سويلي ختيځ|ښکته ښي غشی|ښۍ ښکته غشی|غشی
⬇️;ښکته غشی;اړخ|اساسي|سويل|ښکته|غشی
↙️;ښکته چپ اړخ ته غشی;اړخ|انټر کارډينل|چپ ښکته غشی|سويلي ختيځ|ښکته چپ اړخ ته غشی|غشی
⬅️;چپ غشی;اړخ|اساسي|چپ غشی|غشی|لوېديځ
↖️;پورته چپ غشی;اړخ|انټر کارډينل|پورته چپ غشی|سويلي ختيځ|غشی
↕️;پورته ښکته غشی;پورته ښکته غشی|غشی
↔️;ښۍ چپ غشی;ښۍ چپ غشی|غشی
↩️;ښۍ غشی چپ اړخ ته کوږ;ښۍ غشی چپ اړخ ته کوږ|غشی
↪️;چپ غشی ښۍ اړخ ته کوږ;چپ غشی ښۍ اړخ ته کوږ|غشی
⤴️;ښۍ غشی پورته کوږ;ښۍ غشی پورته ته کوږ|ښۍ غشی پورته کوږ|غشی
⤵️;ښۍ غشی ښکته کوږ;ښکته|ښۍ غشی ښکته کوږ|غشی
🔃;کلاک وايز عمودي غشي;بيا لوډ|غشي|کلاک وايز|کلاک وايز عمودي غشي
🔄;خلاف کلاک وايز غشي بټن;خلاف کلاک وايز|خلاف کلاک وايز غشي بټن|غشي|ويدر شاين
🔙;شاته غشی;شاته|غشی
🔚;د پای غشی;پای|د پای غشی|غشی
🔛;چالو! غشی;چالو|چالو! غشی|غشی|نښه
🔜;ژر غشی;ژر|غشی
🔝;په سر غشی;په سر غشی|پورته|سر|غشی
🛐;د عبادت ځای;د عبادت ځای|عبادت|مذهب
⚛️;د ايټم سمبول;ايټم|د ايټم سمبول|کافر
🕉️;اوم;اوم|مذهب|هندو
✡️;د ډیویډ ستوری;د ډیویډ ستوری|ډيويډ|ستوری|مذهب|يهودي
☸️;د دهرما پايه;بده مت|پايه|د دهرما پايه|دهرما|مذهب
☯️;ین یانگ;ټاو|ټاوسټ|مذهب|ين|ينګ|ین یانگ
