# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;nevető arc;arc|nevetés|nevető arc
🌕;telihold;ég|hold|holdfázisok|telihold
🌖;fogyó domború hold;domború|ég|fogyó domború hold|hold|holdfázisok
🌗;utolsó negyedben lévő hold;ég|hold|holdfázisok|utolsó negyed|utolsó negyedben lévő hold
🌘;fogyó, sarló alakú hold;ég|fogyó|fogyó, sarló alakú hold|hold|holdfázisok|kifli alakú hold|sarló|sarló alakú hold
🌙;növekvő hold;ég|hold|holdfázisok|növekvő hold|sarló
🌚;újhold arccal;arc|ég|hold|holdfázisok|újhold|újhold arccal
🌛;első negyedben lévő hold arccal;arc|ég|első negyed|első negyedben lévő hold arccal|hold|holdfázisok
🌜;utolsó negyedben lévő hold arccal;arc|ég|hold|holdfázisok|utolsó negyed|utolsó negyedben lévő hold arccal
🌡️;hőmérő;hőmérő|időjárás
☀️;nap;fényes sugarak|időjárás|nap|napos|napsugarak
🌝;telihold arccal;arc|ég|holdfázisok|telihold|telihold arccal
🌞;nap arccal;arc|égitest|időjárás|nap|nap arccal
🪐;gyűrűs bolygó;gyűrűs bolygó|Szaturnusz
⭐;csillag;csillag
🌟;fénylő csillag;csillag|csillogás|fény|fénylő csillag
🌠;hullócsillag;csillag|csillaghullás|ég|hullócsillag
🌌;tejút;csillagrendszer|tejút|űr|világűr
☁️;felhő;felhő|időjárás
⛅;nap egy felhő mögött;felhő|időjárás|nap|nap egy felhő mögött
⛈️;felhő villámmal és esővel;eső|felhő|felhő villámmal és esővel|időjárás|mennydörgés
🌤️;nap egy kis felhő mögött;felhő|időjárás|nap|nap egy kis felhő mögött
🌥️;nap egy nagy felhő mögött;felhő|időjárás|nap|nap egy nagy felhő mögött
🌦️;nap a felhő mögött esővel;eső|felhő|időjárás|nap|nap a felhő mögött esővel
🌧️;felhő esővel;eső|felhő|felhő esővel|időjárás
🌨️;felhő hóval;felhő|felhő hóval|hideg|hó|időjárás
🌩️;felhő villámmal;felhő|felhő villámmal|időjárás|villám
🌪️;tornádó;felhő|időjárás|tornádó
🌫️;köd;felhő|időjárás|köd
🌬️;szélarc;arc|időjárás|szél|szélarc|szeles
🌀;ciklon;ciklon|hurrikán|időjárás|tájfun
🌈;szivárvány;eső|időjárás|szivárvány
🌂;becsukott esernyő;becsukott esernyő|ernyő|eső|időjárás|kiegészítő
☂️;esernyő;esernyő|eső|időjárás|kiegészítő
☔;esernyő esőcseppekkel;csepp|ernyő|esernyő esőcseppekkel|eső|időjárás|kiegészítő
⛱️;ernyő a földön;ernyő|ernyő a földön|eső|időjárás|nap
⚡;magasfeszültség;magasfeszültség|nagyfeszültség|veszély|villám
❄️;hópehely;hideg|hó|hópehely|időjárás
☃️;hóember;hideg|hó|hóember|időjárás
⛄;hóember hó nélkül;hideg|hó|hóember|hóember hó nélkül|időjárás
☄️;üstökös;űr|üstökös
🔥;tűz;láng|tűz
💧;csepp;csepp|hideg|időjárás|izzadság|vicces
🌊;vízhullám;hullám|időjárás|óceán|tenger|víz|vízhullám

[activities]
🎃;töklámpás;halloween|töklámpa|töklámpás|ünnep|ünnepi hangulat|ünneplés
🎄;karácsonyfa;fa|fenyőfa|karácsony|karácsonyfa|ünnep
🎆;tűzijáték;tűzijáték|ünnep|ünnepi hangulat|ünneplés
🎇;csillagszóró;csillagszóró|tűzijáték|ünnep|ünnepi hangulat|ünneplés
🧨;petárda;dinamit|petárda|robbanószer|tüzijáték
✨;szikrák;csillag|szikra|szikrák
🎈;léggömb;léggömb|ünnep|ünnepi hangulat|ünneplés
🎉;partikellékek;buli|partikellékek|ünnep|ünnepi hangulat|ünneplés
🎊;konfetti;konfetti|ünnep|ünnepi hangulat|ünneplés
🎋;tanabata ünnepi fa;fa|japán|tanabata ünnepi fa|ünnep|ünnepi hangulat|ünneplés
🎍;fenyődekoráció;bambusz|fenyő|fenyődekoráció|japán|ünnep
🎎;japán babák;baba|japán|japán babák|ünnep|ünnepi hangulat|ünneplés
🎏;rizspapír pontyok;ponty|rizspapír|rizspapír pontyok|ünnep|ünnepi hangulat|ünneplés
🎐;szélharang;harang|szélharang|ünnep|ünnepi hangulat|ünneplés
🎑;holdünnep;hold|holdünnep|ünnep|ünnepi hangulat|ünneplés
🧧;piros boríték;ajándék|hóngbāo|lai see|pénz|piros boríték|szerencsehozó
🎀;szalag;masni|szalag|ünnep|ünnepi hangulat|ünneplés
🎁;becsomagolt ajándék;ajándék|becsomagolt|doboz|ünnep|ünnepi hangulat|ünneplés
🎗️;emlékező szalag;emlékezés|emlékező szalag|megemlékezés|szalag
🎟️;belépőjegyek;belépő|belépőjegyek|jegy
🎫;jegy;belépő|jegy
🎖️;katonai kitüntetés;katonai|kitüntetés|medál|megemlékezés
🏆;kupa;díj|kupa
🏅;sportérem;érem|medál|sportérem
🥇;aranyérem;arany|aranyérem|első|érem
🥈;ezüstérem;érem|ezüst|ezüstérem|második
🥉;bronzérem;bronz|bronzérem|érem|harmadik
⚽;foci;foci|futball|labda
⚾;baseball;baseball|labda
🥎;softball;kar alatti dobás|kesztyű|labda|softball
🏀;kosárlabda;kosár|kosárlabda|labda
🏐;röplabda;játék|labda|röplabda|sport
🏈;amerikai foci;amerikai foci|amerikai futball|labda
🏉;rögbi;labda|rögbi
🎾;tenisz;labda|tenisz
🥏;frizbi;frizbi|ultimate
🎳;bowling;bowling|golyó|játék
🏏;krikett;játék|krikett|labda|ütő
🏑;gyeplabda;gyeplabda|hoki|labda|sport|ütő
🏒;hokiütő és korong;hoki|hokiütő és korong|jéghoki|korong|labda|sport|ütő
🥍;lacrosse;bot|kapu|labda|lacrosse
🏓;pingpong;asztalitenisz|labda|pingpong|sport|ütő
🏸;tollaslabda;játék|labda|tollas|tollaslabda|ütő
🥊;bokszkesztyű;boksz|bokszkesztyű|kesztyű|sport
🥋;karateruha;dzsúdó|harcművészet|judo|karate|karateruha|ruha|sport
🥅;kapu;háló|kapu|sport
⛳;zászló a lyuknál;golf|lyuk|zászló a lyuknál
⛸️;jégkorcsolya;jég|jégkorcsolya|korcsolya
🎣;horgászbot;bot|hal|horgászbot|pecabot
🤿;búvármaszk;búvárkodás|búvármaszk|merülés|szabadtüdős merülés
🎽;futómez;futás|futómez|mez|trikó
🎿;sílécek;hó|síelés|sílécek|téli sportok
🛷;szán;szán|szánkó
🥌;curlingkő;curlingkő|játék|kő
🎯;telitalálat;bullseye|játék|találat|telitalálat
🪀;jojó;játék|jojó|jojózik
🪁;papírsárkány;papírsárkány|repül|szárnyal
🔫;vízipisztoly;fegyver|pisztoly|revolver|vízipisztoly
🎱;biliárd;8-as|biliárd|biliárdgolyó|golyó
🔮;kristálygömb;jövendő|jövendőmondás|kristálygömb|mese
🪄;varázspálca;boszorkány|varázslat|varázsló|varázspálca
🎮;videojáték;játék|kontroller|videojáték
🕹️;joystick;játék|joystick|videojáték
🎰;nyerőgép;játékgép|nyerőgép|pénzbedobós
🎲;dobókocka;dobókocka|játék|kocka
🧩;kirakó;darab|kirakó|nyom|összekapcsolódó|puzzle
🧸;plüssmaci;játék|játszótárs|plüss|plüssmaci|tömött
🪅;pinyáta;buli|pinyáta|ünnepség
🪩;tükörgömb;buli|csillám|diszkó|tánc|tükörgömb
🪆;matrjoska;baba|egymásba rakható|matrjoska|orosz
♠️;pikk szín;francia kártya|játék|pikk|szín
♥️;kőr szín;francia kártya|játék|kőr|szín
♦️;káró szín;francia kártya|játék|káró|szín
♣️;treff szín;francia kártya|játék|szín|treff
♟️;gyalog;feláldozható|gyalog|paraszt|sakk
🃏;dzsóker;dzsóker|francia kártya|játék
🀄;madzsong vörös sárkány;játék|madzsong|madzsong vörös sárkány|vörös
🎴;virágos kártyajáték;japán|játék|kártya|virág|virágos kártyajáték
🎭;előadóművészetek;előadás|előadóművészetek|maszkok|színház
🖼️;kép kerettel;bekeretezett kép|galéria|kép kerettel|művészet|múzeum
🎨;festőpaletta;festőpaletta|galéria|művészet|múzeum|paletta
🧵;cérna;cérna|madzag|orsó|tű|varrás
🪡;varrótű;hímzés|öltés|szabászat|tű|varrás|varrat|varrótű
🧶;fonál;fonál|gombolyag|horgolás|kötés
🪢;csomó;csomó|hurok|kötél|madzag

[objects]
👓;szemüveg;szem|szemüveg|viselet
🕶️;napszemüveg;kiegészítő|napszemüveg|sötét|szem|szemüveg
🥽;védőszemüveg;hegesztés|szemvédelem|úszás|védőszemüveg
🥼;laborköpeny;kísérlet|laborköpeny|orvos|tudós
🦺;mentőmellény;biztonság|mellény|mentő|mentőmellény|vészhelyzet
👔;nyakkendő;elegancia|nyakkendő|ruházat
👕;póló;póló|ruha|ruházat
👖;farmer;farmer|farmernadrág|nadrág|ruha|ruházat
🧣;sál;nyak|sál
🧤;kesztyű;kesztyű|kéz
🧥;kabát;dzseki|kabát
🧦;zokni;harisnya|zokni
👗;ruha;ruha|ruházat
👘;kimonó;kimonó|ruha|ruházat
🥻;szári;ruha|ruházat|szári
🩱;egyrészes fürdőruha;egyrészes fürdőruha|fürdőruha
🩲;fürdőnadrág;alsó|egyrészes|fürdőnadrág
🩳;rövidnadrág;alsó|fürdőnadrág|rövidnadrág
👙;bikini;bikini|fürdő|ruha|ruházat|úszás
👚;női ruha;női ruha|nők|ruha|ruházat
🪭;összecsukható kézi legyező;félénk|forróság|hűtés|legyez|legyező|összecsukható kézi legyező|tánc
👛;pénztárca;kiegészítő|pénz|pénztárca
👜;női táska;kiegészítő|női táska|táska
👝;táska;kiegészítő|táska
🛍️;bevásárlótáskák;bevásárlótáska|bevásárlótáskák|táska|vásárlás
🎒;iskolatáska;hátizsák|iskola|iskolatáska|táska
🩴;tangapapucs;papucs|strandpapucs|szandál|tangapapucs
👞;férfi cipő;cipő|férfi|ruha|ruházat
👟;futócipő;atlétika|cipő|edzőcipő|futás|futócipő|tornacipő
🥾;túrabakancs;bakancs|hátizsákos túra|kemping|túrabakancs|túrázás
🥿;lapos sarkú cipő;balenira|lapos sarkú cipő|mokaszin|papucs
👠;magas sarkú cipő;magas sarkú cipő|magassarkú|nők|ruha|ruházat
👡;női szandál;női szandál|nők|ruha|ruházat|szandál
🩰;balettcipő;balett|balettcipő|tánc
👢;női csizma;csizma|lábbeli|női csizma|nők|ruha|ruházat
🪮;hosszú fogú fésű;afro|fésű|fogú|haj|hosszú
👑;korona;kiegészítő|király|királynő|korona
👒;női kalap;kalap|női kalap|nők|ruha|ruházat
🎩;cilinder;cilinder|kalap|ruha|ruházat
🎓;diplomaosztón használt kalap;diplomaosztó|diplomaosztón használt kalap|kalap|ruha|ruházat|ünneplés
🧢;sildes sapka;baseball sapka|sildes sapka
🪖;katonai sisak;hadsereg|harcos|katona|katonai sisak|katonaság|sisak
⛑️;sisak vörös kereszttel;elsősegély|sisak|sisak vörös kereszttel
📿;imafüzér;gyöngyök|ima|imafüzér|nyaklánc|vallás
💄;ajakrúzs;ajakrúzs|kozmetikum|smink|szépségápolás
💍;gyűrű;ékszer|gyémánt|gyűrű|romantika
💎;ékkő;ékkő|ékszer|gyémánt|romantika
🔇;elnémított hangszóró;csendes|elnémított hangszóró|hangerő|hangszóró|néma|némított
🔈;hangszóró;hangerő|hangszóró
🔉;bekapcsolt hangszóró;alacsony hangerő|bekapcsolt hangszóró|hangszóró
🔊;hangos hangszóró;hangos|hangszóró|nagy hangerő
📢;hangosbeszélő;hangos|hangosbeszélő|közlemények
📣;megafon;megafon|szurkolás
📯;postakürt;kürt|posta|postai|postakürt
🔔;harang;harang
🔕;áthúzott harang;áthúzott harang|harang|néma|némítás|némított|tilos|tiltott
🎼;zenei kotta;kotta|zene|zenei kotta
🎵;hangjegy;hangjegy|zene
🎶;hangjegyek;hangjegy|hangjegyek|zene
🎙️;stúdiómikrofon;mikrofon|stúdió|stúdiómikrofon|zene
🎚️;csúszka;csúszka|hangerő|zene
🎛️;vezérlőgombok;gombok|irányítás|vezérlőgombok|zene
🎤;mikrofon;hangjegyek|karaoke|mikrofon|zene
🎧;fülhallgató;fülhallgató|zenehallgatás
📻;rádió;rádió|rádiókészülék
🎷;szaxofon;hangszer|szaxi|szaxofon|zene
🪗;harmonika;harmonika|tangóharmonika
🎸;gitár;gitár|hangszer|zene
🎹;zenei billentyűzet;billentyűzet|hangszer|zene|zenei billentyűzet|zongora
🎺;trombita;hangszer|trombita|zene
🎻;hegedű;hangszer|hegedű|zene
🪕;bendzsó;bendzsó|húros|zene
🥁;dob;dob|dobverő|zene
🪘;hosszú dob;dob|hosszú dob|konga|ritmus|ütem
🪇;rumbatök;csörgő|hangszer|ráz|rumbatök|ütőhangszer|zene
🪈;fuvola;blockflöte|fafúvós|fife|furulya|fuvola|zene
📱;mobiltelefon;mobil|mobiltelefon|rádiótelefon|telefon
📲;mobiltelefon nyíllal;hívás|mobil|mobiltelefon|mobiltelefon nyíllal|nyíl|rádiótelefon|telefon
☎️;telefon;telefon
📞;telefonkagyló;kagyló|telefon|telefonkagyló
📟;személyhívó;személyhívó
📠;faxkészülék;fax|faxkészülék
🔋;elem;akkumulátor|elem
🪫;alacsony töltöttség;alacsony energiaszint|alacsony töltöttség|elektronikus
🔌;elektromos dugó;dugó|elektromos dugó|elektronika|villamosság
💻;laptop;laptop|notebook|számítógép
🖥️;asztali számítógép;asztali|pc|számítógép
🖨️;nyomtató;nyomtató|számítógép
⌨️;billentyűzet;billentyűzet|számítógép
🖱️;számítógépes egér;3 gombos|egér|három|számítógép|számítógépes egér
🖲️;trackball;számítógép|trackball
💽;minidisk;lemez|minidisk|optikai|számítógép
💾;floppylemez;floppy|floppylemez|hajlékonylemez|lemez|számítógép
💿;optikai lemez;blu-ray|dvd|lemez|optikai|számítógép
📀;dvd;blu-ray|cd|dvd|lemez|optikai|számítógép
🧮;abakusz;abakusz|számolás
🎥;kamera;felvevő|film|kamera|mozi
🎞️;filmkockák;film|filmkockák|filmtekercs|kocka|kockák|mozi
📽️;filmvetítő;film|filmvetítő|mozi|vetítő|videó
🎬;csapó;csapó|film
📺;televízió;televízió|tévé|tévékészülék
📷;fényképezőgép;fényképezőgép|kamera
📸;fényképező vakuval;fényképező vakuval|fényképezőgép|vaku|videó
📹;videokamera;kamera|videók|videokamera
📼;videokazetta;kazetta|szalag|videó|videokazetta
🔍;balra mutató nagyító;balra mutató nagyító|keresés|lencse|nagyító
🔎;jobbra mutató nagyító;jobbra mutató nagyító|keresés|lencse|nagyító
🕯️;gyertya;gyertya|világítás
💡;villanykörte;fény|képregény|ötlet|világítás|villanykörte
🔦;zseblámpa;elektronikus|elemlámpa|fény|világítás|zseblámpa
🏮;piros papírlámpa;bár|japán|lámpa|piros|piros papírlámpa
🪔;olajlámpa;diya|lámpa|olaj|olajlámpa
📔;jegyzetfüzet díszkötésben;borító|díszes|díszkötés|füzet|jegyzetfüzet|jegyzetfüzet díszkötésben
📕;becsukott könyv;becsukott könyv|csukott|könyv
📖;nyitott könyv;könyv|nyitott
📗;zöld könyv;könyv|zöld
📘;kék könyv;kék|könyv
📙;narancssárga könyv;könyv|narancssárga
📚;könyvek;könyv|könyvek
📓;jegyzetfüzet;füzet|jegyzetek|jegyzetfüzet
📒;főkönyv;főkönyv|könyv
📃;kunkorodó lap;dokumentum|kunkorodik|kunkorodó lap|lap
📜;tekercs;papír|papírtekercs|tekercs
📄;felfelé néző oldal;dokumentum|felfelé néző oldal|lap
📰;újság;újság|újságos
🗞️;feltekert újság;feltekert|papír|újság
📑;könyvjelzők;fülek|jelzés|könyvjelző|könyvjelzők
🔖;könyvjelző;könyvjelző
🏷️;címke;címke
💰;pénzeszsák;dollár|pénz|pénzeszsák|zsák
🪙;érme;arany|érme|ezüst|fém|kincs|pénz
💴;jen bankjegy;bank|bankjegy|bankó|jen|papírpénz|pénz|pénznem
💵;dollár bankjegy;bank|bankjegy|bankó|dollár|papírpénz|pénz|pénznem
💶;euró bankjegy;bank|bankjegy|bankó|euró|papírpénz|pénz|pénznem
💷;font bankjegy;bank|bankjegy|bankó|font|papírpénz|pénz|pénznem
💸;pénz szárnyakkal;bankjegy|dollár|pénz|pénz szárnyakkal|szárnyak
💳;hitelkártya;bank|bankkártya|hitelkártya|kártya
🧾;nyugta;bizonyíták|könyvelés|nyugta|pénzügyek|számla
💹;növekvő jendiagram;diagram|emelkedés|jen|növekvő jendiagram|pénz|trend
✉️;boríték;boríték|e-mail|levél
📧;e-mail;e-mail|levél
📨;beérkező boríték;beérkező|boríték|e-mail|fogadás|levél|posta
📩;boríték nyíllal;boríték|boríték nyíllal|e-mail|elküldött|kimenő|levél|nyíl|posta
📤;kimenő tálca;elküldött|kimenő|levél|posta|tálca
📥;beérkező tálca;beérkező|fogadás|levél|posta|tálca
📦;csomag;csomag|doboz
📫;csukott levelesláda felemelt zászlóval;csukott|csukott levelesláda felemelt zászlóval|levél|levelesláda|postaláda
📪;csukott levelesláda leengedett zászlóval;csukott|csukott levelesláda leengedett zászlóval|leengedett|levél|levelesláda|postaláda
📬;nyitott levelesláda felemelt zászlóval;felemelt|levél|levelesláda|nyitott|nyitott levelesláda felemelt zászlóval|postaláda
📭;nyitott levelesláda leengedett zászlóval;leengedett|levél|levelesláda|nyitott|nyitott levelesláda leengedett zászlóval|postaláda
📮;postaláda;doboz|levelesláda|postaláda
🗳️;urna szavazólappal;doboz|szavazás|urna|urna szavazólappal
✏️;ceruza;ceruza|írószer
✒️;fekete tollhegy;fekete tollhegy|írószer|toll|tollhegy
🖋️;töltőtoll;írószer|toll|töltőtoll
🖊️;toll;golyóstoll|írószer|toll
🖌️;ecset;ecset|festés|írószer
🖍️;zsírkréta;rajz|zsírkréta
📝;feljegyzés;ceruza|feljegyzés|lap
💼;aktatáska;aktatáska
📁;fájlmappa;fájl|fájlmappa|mappa
📂;nyitott fájlmappa;fájl|mappa|nyitott|nyitott fájlmappa
🗂️;kartotékelválasztók;elválasztók|kartoték|kartotékelválasztók|katalógus
📅;naptár;dátum|naptár
📆;fali naptár;fali naptár|naptár
🗒️;spirálfüzet;jegyzettömb|spirál|spirálfüzet|tömb
🗓️;spirálos naptár;naptár|spirál|spirálos naptár|tömb
📇;forgó névjegykártyatartó;forgó|forgó névjegykártyatartó|kártya|rolodex|tartó
📈;növekvő diagram;diagram|felfelé|növekedés|növekvő diagram|trend
📉;csökkenő diagram;csökkenés|csökkenő diagram|diagram|lefelé|trend
📊;oszlopdiagram;diagram|oszlop|oszlopdiagram|sáv
📋;írótábla;írótábla
📌;rajzszög;rajzszög
📍;kerek rajzszög;kerek rajzszög|rajzszög
📎;gemkapocs;gemkapocs|papírkapocs
🖇️;összekapcsolt gemkapcsok;gemkapcsok|kapcsolódás|összekapcsolt gemkapcsok
📏;egyenes vonalzó;egyenes|vonalzó
📐;háromszögvonalzó;derékszögű|háromszög|háromszögvonalzó|vonalzó
✂️;olló;eszköz|olló
🗃️;kartotékdoboz;akták|doboz|kartoték|kartotékdoboz
🗄️;iratszekrény;akták|iratok|iratszekrény|szekrény
🗑️;papírkosár;papírkosár
🔒;lakat;lakat|zárt|zárva
🔓;nyitott lakat;kinyitás|lakat|nyitott lakat|nyitva
🔏;lakat tollal;adatvédelem|lakat tollal|tinta|toll|zár
🔐;zárt lakat kulccsal;biztonságos|kulcs|zárt|zárt lakat kulccsal|zárva
🔑;kulcs;jelszó|kulcs
🗝️;régi kulcs;öreg kulcs|régi kulcs
🔨;kalapács;kalapács|szerszám
🪓;balta;balta|fa|fejsze|szekerce|vágás
⛏️;csákány;bányászat|csákány|szerszám
⚒️;kalapács és csákány;csákány|kalapács|kalapács és csákány|szerszám
🛠️;kalapács és csavarkulcs;csavarkulcs|kalapács|kalapács és csavarkulcs|szerszám|villáskulcs
🗡️;tőr;fegyver|szúrás|tőr
⚔️;keresztezett kardok;fegyver|kardok|keresztbe tett|keresztezett
💣;bomba;bomba|képregény
🪃;bumeráng;ausztrália|bumeráng|visszajön|visszarepül
🏹;íj és nyíl;fegyver|íj|íj és nyíl|nyíl|nyilas
🛡️;pajzs;fegyver|pajzs
🪚;rókafarkú fűrész;ács|asztalos|fa|fűrész|rókafarkú|szerszám
🔧;csavarkulcs;csavarkulcs|szerszám|villáskulcs
🪛;csavarhúzó;csavarhúzó|szerszám
🔩;csavar és anya;anya|csavar|csavar és anya|szerszám
⚙️;fogaskerék;fogaskerék|szerszám
🗜️;satu;satu|szerszám
⚖️;kétkarú mérleg;eszköz|felszerelés|kétkarú mérleg|mérleg|tömeg
🦯;fehér bot;akadálymentesség|fehér bot|vak
🔗;kapocs;kapocs|láncszem
⛓️‍💥;elszakadt lánc;bilincs|elszakadt lánc|elszakít|lánc|szabadság|szakítás
⛓️;lánc;lánc|láncszemek
🪝;kampó;csapda|fogás|horog|kampó
🧰;szerszámosláda;barkácsolás|láda|szerszám|szerszámosláda
🧲;mágnes;mágnes|mágneses|patkó|vonzódás
🪜;létra;fok|létra|létrafok|mászás
⚗️;lombik;eszköz|felszerelés|kémia|lombik
🧪;kémcső;kémcső|kémia|kísérlet|labor|tudomány|vegyészet
🧫;Petri-csésze;baktérium|biológia|biológus|labor|Petri-csésze|tenyészet
🧬;DNS;biológia|DNS|élet|fejlődés|gének|genetika
🔬;mikroszkóp;eszköz|felszerelés|mikroszkóp
🔭;távcső;eszköz|felszerelés|távcső
📡;parabolaantenna;antenna|műhold|parabolaantenna|tányér
💉;fecskendő;eszköz|fecskendő|injekciós tű|orvos|vérvétel
🩸;vércsepp;gyógyszer|menstruáció|véradás|vércsepp
💊;tabletta;betegség|doktor|gyógyszer|orvos|pirula|tabletta
🩹;ragtapasz;kötszer|ragtapasz
🩼;mankó;bot|fogyatékosság|mankó|mozgássegítő|sérülés|sétapálca
🩺;sztetoszkóp;gyógyszer|orvos|szív|sztetoszkóp
🩻;röntgen;csontok|csontváz|orvos|orvosi|röntgen
🚪;ajtó;ajtó
🛗;lift;akadálymentesítés|felvonó|lift
🪞;tükör;tükör|tükröződés|visszaverődés
🪟;ablak;ablak|átlátszó|friss levegő|keret|kilátás|nyílás
🛏️;ágy;ágy|alvás|szálloda
🛋️;kanapé és lámpa;kanapé|kanapé és lámpa|lámpa|szálloda
🪑;szék;szék|ül|ülés
🚽;vécé;mosdó|toalett|vécé
🪠;vécépumpa;dugulás|vécé|vécépumpa|vízvezeték-szerelő|wc
🚿;zuhanyzó;víz|vízsugár|zuhanyzó
🛁;fürdőkád;fürdés|fürdőkád
🪤;egércsapda;csalétek|csali|csapda|egércsapda
🪒;borotva;borotva|borotvál|éles
🧴;krémes flakon;hidratáló|krém|krémes flakon|napvédő krém|sampon
🧷;biztosítótű;biztosítótű|pelenka|punk rock
🧹;seprű;boszorkány|seprés|seprű|tisztítás
🧺;kosár;gazdálkodás|kosár|piknik|szennyes
🧻;papírtekercs;papírtekercs|papírtörölköző|WC-papír
🪣;vödör;felmosó|vödör
🧼;szappan;darab|fürdés|szappan|szappanhab|szappantartó|tisztálkodás
🫧;buborékok;böfi|buborékok|szappan|tiszta|víz alatti
🪥;fogkefe;fogak|fogászat|fogkefe|fogmosás|fürdőszoba|higiénia|kefe|tisztítás
🧽;szivacs;nedvszívó|porózus|szivacs|tisztítás
🧯;tűzoltó készülék;elfojt|elolt|tűz|tűzoltó készülék
🛒;bevásárlókocsi;bevásárló|bevásárlókocsi|kocsi|shopping|vásárlás
🚬;dohányzás;cigaretta|dohányzás
⚰️;koporsó;halál|koporsó
🪦;sírkő;fejfa|sír|sírkő|temető
⚱️;halotti urna;halál|halotti urna|temetés|urna
🧿;nazar amulett;bűbáj|gonoszűző|nazar|nazar amulett|szem|talizmán
🪬;hamsza;amulett|Fatima|hamsza|kéz|Mária|Mirjam|védelem
🗿;moai;arc|japán|moai|szobor
🪧;transzparens;demonstráció|sztrájk|tábla|transzparens|tüntetés
🪪;személyi igazolvány;azonosító|biztonság|engedély|hitelesítő adatok|személyi igazolvány

[symbols]
🏧;ATM-jel;atm|ATM-jel|bankautomata
🚮;szemét a kukában szimbólum;környezettudatosság|szemét|szemét a kukában szimbólum|szemetes
🚰;ivóvíz;fogyasztható víz|iható|ivóvíz
♿;kerekesszék;akadálymentesség|kerekesszék
🚹;férfimosdó;férfiak|férfimosdó|mosdó|vécé|WC
🚺;női mosdó;mosdó|női mosdó|nők|vécé|WC
🚻;mosdó;mosdó|toalett|vécé
🚼;baba szimbólum;baba szimbólum|kisbaba|pelenkázó
🚾;toalett;mellékhelyiség|mosdó|toalett|vécé|WC
🛂;útlevél-ellenőrzés;ellenőrzés|útlevél|útlevél-ellenőrzés
🛃;vám;ellenőrzés|vám
🛄;poggyászfelvétel;felvétel|poggyász|poggyászfelvétel
🛅;csomagmegőrző;csomag|csomagmegőrző|megőrzés|poggyász
⚠️;figyelmeztetés;figyelem|figyelmeztetés
🚸;átkelő gyermekek;átkelő gyermekek|gyalogosok|gyermekek
⛔;behajtani tilos;behajtani tilos|behajtás|közlekedési tábla|nincs behajtás|tilos|tiltott
🚫;tilos;behajtás|nincs behajtás|tilos|tiltott
🚳;kerékpározni tilos;bicikli|kerékpár|kerékpározni tilos|tilos|tiltott
🚭;dohányozni tilos;cigaretta|dohányozni tilos|dohányzás|tilos|tiltott
🚯;szemetelni tilos;szemét|szemetelés|szemetelni tilos|tilos|tiltott
🚱;nem ivóvíz;ivás|ivóvíz|nem|tilos|tiltott
🚷;nem gyalogos zóna;gyalog|gyalogos|nem gyalogos zóna|tilos|tiltott
📵;mobiltelefon használata tilos;mobil|mobiltelefon|mobiltelefon használata tilos|telefon|tilos|tiltott
🔞;18 év alatt tilos;18 év alatt tilos|18-as karika|korhatár|tilos|tiltás|tiltott|tizennyolc
☢️;radioaktív;jel|nukleáris veszély|radioaktív
☣️;biológiai veszély;biológiai veszély|jel
⬆️;felfelé mutató nyíl;észak|felfelé|felfelé mutató nyíl|irány|nyíl
↗️;jobbra felfelé mutató nyíl;északkelet|felfelé|irány|jobbra felfelé mutató nyíl|nyíl
➡️;jobbra mutató nyíl;irány|jobbra|jobbra mutató nyíl|kelet|nyíl
↘️;jobbra lefelé mutató nyíl;délkelet|irány|jobbra lefelé mutató nyíl|nyíl
⬇️;lefelé mutató nyíl;dél|irány|lefelé|lefelé mutató nyíl|nyíl
↙️;balra lefelé mutató nyíl;balra lefelé mutató nyíl|délnyugat|irány|nyíl
⬅️;balra mutató nyíl;balra|balra mutató nyíl|irány|nyíl|nyugat
↖️;balra felfelé mutató nyíl;balra felfelé mutató nyíl|északnyugat|irány|nyíl
↕️;fel-le mutató nyíl;fel-le mutató nyíl|nyíl
↔️;balra-jobbra mutató nyíl;balra-jobbra mutató nyíl|nyíl
↩️;balra görbülő jobb nyíl;balra görbülő jobb nyíl|nyíl
↪️;jobbra görbülő bal nyíl;jobbra görbülő bal nyíl|nyíl
⤴️;felfelé görbülő jobb nyíl;felfelé görbülő jobb nyíl|nyíl
⤵️;lefelé görbülő jobb nyíl;lefelé|lefelé görbülő jobb nyíl|nyíl
🔃;óramutató járásával megegyező irányú függőleges nyilak;nyíl|óramutató járásával megegyező|óramutató járásával megegyező irányú függőleges nyilak|újratöltés
🔄;óramutató járásával ellentétes irányú nyilak gombja;nyíl|óramutató járásával ellentétes|óramutató járásával ellentétes irányú nyilak gombja
🔙;vissza nyíl;nyíl|vissza nyíl|visszafelé
🔚;vége nyíl;nyíl|vége
🔛;bekapcsolva nyíl;bekapcsolva|jelzés|nyíl
🔜;hamarosan nyíl;hamarosan|jön|nyíl
🔝;csúcsra nyíl;csúcsra nyíl|felfelé|nyíl|top
🛐;imahely;ima|imahely|vallás
⚛️;atom szimbólum;ateista|atom|atom szimbólum
🕉️;om;hindu|om|vallás
✡️;Dávid-csillag;csillag|Dávid|Dávid-csillag|vallás|zsidó
