# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;کھل کے ہنستا چہرہ;چہرہ|کھل کے ہنستا چہرہ|کھلا|منہ|ہنسی
🗺️;دنیا کا نقشہ;دنیا|دنیا کا نقشہ|نقشہ
🗾;جاپان کا نقشہ;جاپان|جاپان کا نقشہ|نقشہ
🧭;قُطب نُما;قُطب نُما|مقناطیسی|نقشے کی مدد سے راستہ تلاش کرنا|نیویگیشن
🏔️;برف سے ڈھکا پہاڑ;برف|برف سے ڈھکا پہاڑ|پہاڑ|ٹھنڈ
⛰️;پہاڑ;پہاڑ|چٹان
🌋;آتش فشاں;آتش فشاں|آگ|پھٹنا|پہاڑ|موسم
🗻;ماؤنٹ فیوجی;پہاڑ|فیوجی|ماؤنٹ فیوجی
🏕️;پڑاؤ;پڑاؤ|ڈیرا|سفر|کیمپنگ
🏖️;ساحل اور چھتری;چھتری|ساحل|ساحل اور چھتری
🏜️;صحرا;بیابان|ریگستان|صحرا
🏝️;صحرائی جزیرہ;جزیرہ|صحرا|صحرائی جزیرہ
🏞️;نیشنل پارک;پارک|نیشنل پارک
🏟️;اسٹیڈیم;اسٹیڈیم|گراؤنڈ|میدان
🏛️;کلاسیکی عمارت;عمارت|کلاسیکی
🏗️;عمارت کی تعمیر;تعمیر|عمارت|عمارت کی تعمیر
🧱;اینٹ;اینٹ|اینٹیں|تعمیراتی مادہ|دیوار|گارا
🪨;چٹان;بھاری|پتھر|ٹھوس|چٹان|گول پتھر
🪵;لکڑی;درخت کی لکڑی|کٹی لکڑی|لکڑی
🛖;جھونپڑی;جھونپڑی|گنبد نما جھونپڑی|گھر|گول گھر
🏘️;مکانات;مکانات
🏚️;ویران گھر کی عمارت;گھر|ویران|ویران گھر کی عمارت
🏠;مکان;گھر|مکان
🏡;باغ والا گھر;باغ|باغ والا گھر|عمارت|گھر
🏢;آفس کی عمارت;آفس کی عمارت|عمارت
🏣;جاپانی پوسٹ آفس;پوسٹ|جاپانی|جاپانی پوسٹ آفس|عمارت
🏤;پوسٹ آفس;پوسٹ|پوسٹ آفس|عمارت
🏥;اسپتال;اسپتال|دوائی|ڈاکٹر|عمارت
🏦;بینک;بینک|عمارت
🏨;ہوٹل;عمارت|ہوٹل
🏩;محبت کا ہوٹل;محبت|محبت کا ہوٹل|ہوٹل
🏪;سہولت بخش اسٹور;اسٹور|سہولت|سہولت بخش اسٹور
🏫;اسکول;اسکول|عمارت
🏬;ڈپارٹمنٹ اسٹور;اسٹور|ڈپارٹمنٹ|عمارت
🏭;فیکٹری;عمارت|فیکٹری
🏯;جاپانی قلعہ;جاپانی|عمارت|قلعہ
🏰;قلعہ;قلعہ|یورپی
💒;شادی;شادی|عمارت|گرجہ
🗼;ٹوکیو ٹاور;ٹاور|ٹوکیو
🗽;مجسمہ آزادی;آزادی|مجسمہ
⛪;گرجا گھر;عمارت|عیسائیت|کراس|گرجا گھر
🕌;مسجد;عبادت|عمارت|مسجد|مسلمان
🛕;ہندو مندر;مندر|ہندو
🕍;یہودیوں کی عبادت گاہ;عبادت گاہ|یہودی|یہودیوں کی عبادت گاہ
⛩️;شنٹو مزار;شنٹو مزار|مذہب|مزار
🕋;کعبہ;عبادت|عمارت|کعبہ|مسلمان|مکہ
⛲;چشمہ;پانی کا چشمہ|چشمہ|فاؤنٹين|فواره
⛺;خیمہ;خیمہ|ڈیرا|شامیانہ|کیمپنگ
🌁;کُہر آلود;دھند|کُہر آلود|موسم
🌃;ستاروں بھری رات;رات|ستاروں بھری رات|ستارے|موسم
🏙️;اونچی عمارتیں;اونچی عمارتیں|شہر|عمارت
🌄;پہاڑوں پر طلوع آفتاب;پہاڑ|پہاڑوں پر طلوع آفتاب|سورج|طلوع|موسم
🌅;طلوع آفتاب;سورج|صبح|طلوع آفتاب|موسم
🌆;شام کے وقت اونچی عمارتیں;سورج|شام|شام کے وقت اونچی عمارتیں|عمارت|موسم
🌇;غروبِ آفتاب;سورج|عمارت|غروب|غروبِ آفتاب|موسم
🌉;رات کے وقت پُل;پل|رات|رات کے وقت پُل|موسم
♨️;گرم ندی;بھاپ|گرم|ندی
🎠;گھومتے جھولے کا گھوڑا;جھولا|گھوڑا|گھومتے جھولے کا گھوڑا|گھومنا
🛝;کھیل کے میدان کی سلائیڈ;تفریحی پارک|کھیل|کھیل کے میدان کی سلائیڈ
🎡;آسمانی جھولا;آسمانی جھولا|پارک|پہیہ|جھولا
🎢;رولر کوسٹر;پارک|رولر|کوسٹر
💈;حجام کا پول;پول|حجام|حجام کا پول
🎪;سرکس کا ٹینٹ;ٹینٹ|سرکس|سرکس کا ٹینٹ
🚂;ریل کا انجن;انجن|بھاپ|ریل|ریل کا انجن
🚃;ریل گاڑی;بجلی|پٹری|ریل گاڑی|گاڑی
🚄;تیز رفتار ٹرین;پٹری|تیز رفتار ٹرین|رفتار|ریل
🚅;بلٹ کے ناک والی تیز رفتار ٹرین;بلٹ|بلٹ کے ناک والی تیز رفتار ٹرین|ٹرین|رفتار
🚆;ٹرین;ٹرین|سواری
🚇;میٹرو;ریلوے|زیر زمین|میٹرو
🚈;لائٹ ریل;ریلوے|سواری|لائٹ ریل
🚉;اسٹیشن;اسٹیشن|ٹرین|ریلوے
🚊;ٹرام;ٹرام|سواری
🚝;مونو ریل;ریل|سواری|مونو ریل
🚞;ماؤنٹین ریلوے;پہاڑ|ریلوے|گاڑی|ماؤنٹین ریلوے
🚋;ٹرام کار;ٹرالی بس|ٹرام|ٹرام کار|گاڑی
🚌;بس;بس|سواری
🚍;آتی ہوئی بس;آتی ہوئی|آتی ہوئی بس|بس
🚎;ٹرالی بس;بس|ٹرالی|ٹرام
🚐;منی بس;بس|سواری|منی بس
🚑;ایمبولنس;ایمبولنس|سواری
🚒;فائر انجن;انجن|ٹرک|فائر
🚓;پولیس کار;پولیس|پولیس کار|گاڑی
🚔;آتی ہوئی پولیس کار;آتی ہوئی|آتی ہوئی پولیس کار|پولیس|کار
🚕;ٹیکسی;ٹیکسی|سواری
🚖;آتی ہوئی ٹیکسی;آتی ہوئی|آتی ہوئی ٹیکسی|ٹیکسی
🚗;کار;سواری|کار
🚘;آتی ہوئی کار;آتی ہوئی|آتی ہوئی کار|کار
🚙;تفریحی گاڑی;تفریحی|گاڑی
🛻;پک اپ ٹرک;پک اپ|پک اپ ٹرک|ٹرک
🚚;ڈلیوری ٹرک;ٹرک|ڈلیوری
🚛;جوڑ والی گاڑی;ٹرک|جوڑ والی گاڑی|سواری|لاری
🚜;ٹریکٹر;ٹریکٹر|سواری
🏎️;ریس کی کار;ریس|ریس کی کار|کار|کھیل
🏍️;موٹر سائیکل;ریس|سائیکل|موٹر
🛵;موٹر والا سکوٹر;سکوٹر|موٹر|موٹر والا سکوٹر
🦽;دستی وہیل چئیر;دسترس|دستی وہیل چئیر
🦼;موٹر والی وہیل چئیر;دسترس|موٹر والی وہیل چئیر
🛺;آٹو رکشا;آٹو رکشا|ٹُک ٹُک
🚲;سائیکل;سائیکل|سواری
🛴;کک سکوٹر;سکوٹر|کک
🛹;اسکیٹنگ تختہ;اسکیٹنگ تختہ|تختہ
🛼;رولر سکیٹ;رولر|سکیٹ
🚏;بس اسٹاپ;بس|بس اسٹاپ
🛣️;موٹر وے;سڑک|موٹر وے
🛤️;ریلوے ٹریک;ٹرین|ریلوے|ریلوے ٹریک
🛢️;تیل کا ڈرم;تیل|تیل کا ڈرم|ڈرم
⛽;فیول پمپ;فیول|فیول پمپ|گیس
🛞;پہیہ;پہیہ|ٹائر|دائرہ|گھومنا
🚨;پولیس کار کی لائٹ;پولیس|پولیس کار کی لائٹ|کار|لائٹ
🚥;افقی ٹریفک لائٹ;اشارہ|افقی ٹریفک لائٹ|ٹریفک|لائٹ
🚦;عمودی ٹریفک لائٹ;اشارہ|ٹریفک|عمودی ٹریفک لائٹ|لائٹ
🛑;رکنے کا نشان;آٹھ زاویے|رکنا|رکنے کا نشان|نشان
🚧;تعمیر;تعمیر|رکاوٹ
⚓;اینکر;آلہ|اینکر|بحری جہاز
🛟;تیرنے والی گول ٹیوب;تیرنا|تیرنے والی گول ٹیوب|حفاظت|زندگی بچانے والا|زندگی محفوظ کرنے والا|سلامتی
⛵;بادبانی کشتی;بادبانی کشتی|سمندر|کشتی
🛶;چھوٹی کشتی;چھوٹی|ڈونگی|کشتی
🚤;انجن والی کشتی;انجن والی کشتی|سواری|کشتی
🛳️;مسافر بحری جہاز;سواری|کشتی|مسافر|مسافر بحری جہاز
⛴️;فیری;سواری|فیری|کشتی
🛥️;موٹر بوٹ;سواری|موٹر بوٹ
🚢;بحری جہاز;بحری جہاز|سواری
✈️;ہوائی جہاز;سوری|ہوائی جہاز
🛩️;چھوٹا ہوائی جہاز;چھوٹا|چھوٹا ہوائی جہاز|سواری|ہوائی جہاز
🛫;ہوائی جہاز کی روانگی;روانگی|ہوائی جہاز|ہوائی جہاز کی روانگی
🛬;ہوائی جہاز کی آمد;آمد|ہوائی جہاز|ہوائی جہاز کی آمد
🪂;پیراشوٹ;پیرا سیل|پیراشوٹ|سکائی ڈائیو|ہینگ گلائیڈ
💺;سیٹ;سیٹ|فرنیچر|کرسی
🚁;ہیلی کاپٹر;سواری|ہیلی کاپٹر
🚟;معلق ریلوے;ریلوے|معلق
🚠;پہاڑی کیبل وے;پہاڑ|پہاڑی کیبل وے|کیبل
🚡;ہوائی ٹرام وے;ٹرام وے|کیبل|گاڑی|ہوائی|ہوائی ٹرام وے
🛰️;سیٹلائٹ;آسمان|خلا|خلائی جہاز|سیارہ|سیٹلائٹ
🚀;راکٹ;آسمان|خلا|خلائی جہاز|راکٹ
🛸;اڑن تشتری;اڑن تشتری|نامعلوم اڑن تشتری
🛎️;بیل ہاپ بیل;بیل|بیل ہاپ|بیل ہاپ بیل|ہوٹل
🧳;سامان;پیکنگ|سامان|سفر
⌛;ریت گھڑی;ریت|گھڑی
⏳;ریت گھڑی میں گرتی ہوئی ریت;ریت|ریت گھڑی میں گرتی ہوئی ریت|گرتی ہوئی ریت کے ساتھ ریت گھڑی|گھڑی
⌚;گھڑی;ٹائم|کلاک|گھڑی|وقت
⏰;الارم کلاک;الارم|کلاک
⏱️;اسٹاپ واچ;اسٹاپ واچ|گھڑی
⏲️;ٹائمر کلاک;ٹائمر|ٹائمر کلاک|گھڑی
🕰️;مینٹل پیس کلاک;گھڑی|مینٹل پیس کلاک
🕛;بارہ کا وقت;12:00|بارہ|بارہ کا وقت|گھڑی
🕧;بارہ بج کر تیس منٹ;12:30|بارہ|بارہ بج کر تیس منٹ|تیس|گھڑی
🕐;ایک بجے کا وقت;1:00|ایک|ایک بجے کا وقت|گھڑی
🕜;ایک بج کر تیس منٹ;1:30|ایک|ایک بج کر تیس منٹ|تیس|گھڑی
🕑;دو بجے کا وقت;2:00|دو|دو بجے کا وقت|گھڑی
🕝;دو بج کر تیس منٹ;2:30|تیس|دو|دو بج کر تیس منٹ|گھڑی
🕒;تین بجے کا وقت;3:00|تین|تین بجے کا وقت|گھڑی
🕞;تین بج کر تیس منٹ;3:30|تیس|تین|تین بج کر تیس منٹ|گھڑی
🕓;چار بجے کا وقت;4:00|چار|چار بجے کا وقت|گھڑی
🕟;چار بج کر تیس منٹ;4:30|تیس|چار|چار بج کر تیس منٹ|گھڑی
🕔;پانچ بجے کا وقت;5:00|پانچ|پانچ بجے کا وقت|گھڑی
🕠;پانچ بج کر تیس منٹ;5:30|پانچ|پانچ بج کر تیس منٹ|تیس|گھڑی
🕕;چھ بجے کا وقت;6:00|چھ|چھ بجے کا وقت|گھڑی
🕡;چھ بج کر تیس منٹ;6:30|تیس|چھ|چھ بج کر تیس منٹ|وقت
🕖;سات بجے کا وقت;7:00|سات|سات بجے کا وقت|گھڑی
🕢;سات بج کر تیس منٹ;07:30|تیس|سات|سات بج کر تیس منٹ|گھڑی
🕗;آٹھ بجے کا وقت;08:00|آٹھ|آٹھ بجے کا وقت|گھڑی
🕣;آٹھ بج کر تیس منٹ;08:30|آٹھ|آٹھ بج کر تیس منٹ|تیس|گھڑی
🕘;نو بجے کا وقت;09:00|گھڑی|نو|نو بجے کا وقت
🕤;نو بج کر تیس منٹ;09:30|تیس|گھڑی|نو|نو بج کر تیس منٹ
🕙;دس بجے کا وقت;10:00|دس|دس بجے کا وقت|گھڑی
🕥;دس بج کر تیس منٹ;10:30|تیس|دس|دس بج کر تیس منٹ|گھڑی
🕚;گیارہ بجے کا وقت;11:00|گھڑی|گیارہ|گیارہ بجے کا وقت
🕦;گیارہ بج کر تیس منٹ;11:30|تیس|گھڑی|گیارہ|گیارہ بج کر تیس منٹ
🌑;نیا چاند;چاند|سیاہ|موسم|نیا چاند
🌒;بڑھتا ہوا ہلال چاند;بڑھتا ہوا ہلال چاند|چاند|موسم|ہلال
🌓;پہلے کوارٹر کا چاند;پہلے کوارٹر کا چاند|چاند|کوارٹر|موسم
🌔;آدھے سے زیادہ بڑھتا ہوا چاند;آدھے سے زیادہ بڑھتا ہوا چاند|بڑھتا ہوا|چاند|موسم
🌕;مکمل چاند;چاند|مکمل|موسم
🌖;گھٹتا ہوا آدھے سے زیادہ چاند;چاند|گھٹتا ہوا|گھٹتا ہوا آدھے سے زیادہ چاند|موسم
🌗;آخری کوارٹر کا چاند;آخری کوارٹر کا چاند|چاند|کوارٹر|موسم
🌘;گھٹتا ہوا ہلال چاند;چاند|گھٹتا ہوا ہلال چاند|موسم|ہلال
🌙;ہلال چاند;چاند|موسم|ہلال
🌚;نئے چاند کا چہرہ;چاند|چہرہ|موسم|نئے چاند کا چہرہ
🌛;پہلے کوارٹر کا چاند مع چہرہ;پہلے کوارٹر کا چاند مع چہرہ|چاند|چہرہ|موسم
🌜;آخری کوارٹر کا چاند مع چہرہ;آخری کوارٹر کا چاند مع چہرہ|چاند|چہرہ|موسم
🌡️;تھرمامیٹر;تھرمامیٹر|موسم
☀️;سورج;سورج|صاف|کرنیں|موسم
🌝;چہرے والا پورا چاند;چہرہ|چہرے والا پورا چاند|خلا|صاف|مکمل|موسم
🌞;چہرے والا سورج;چہرہ|چہرے والا سورج|خلا|سورج|صاف|موسم
🪐;حلقہ دار سیارہ;حلقہ دار سیارہ|زحل|سیارہ زحل کے زیر اثر
⭐;ستارہ;ستارہ|سفید میڈیم ستارہ
🌟;چمکتا ستارہ;چمکتا|ستارہ
🌠;شہابِ ثاقب;ستارہ|شہابِ ثاقب|گرتا
🌌;کہکشاں;خلا|کہکشاں
☁️;بادل;بادل|موسم
⛅;بادلوں کے پیچھے چھپا سورج;بادل|بادلوں کے پیچھے چھپا سورج|سورج|موسم
⛈️;گرج چمک اور بارش والے بادل;بادل|بارش|گرج چمک اور بارش والے بادل|موسم
🌤️;چھوٹے بادل کے پیچھے چھپا سورج;بادل|چھوٹے بادل کے پیچھے چھپا سورج|سورج|موسم
🌥️;بڑے بادل کے پیچھے چھپا سورج;بادل|بڑے بادل کے پیچھے چھپا سورج|سورج|موسم
🌦️;بارش کے بادل پیچھے چھپا سورج;بادل|بارش|بارش کے بادل پیچھے چھپا سورج|سورج|موسم
🌧️;بادل اور بارش;بادل|بادل اور بارش|بارش|موسم
🌨️;بادل اور برفباری;بادل|بادل اور برفباری|برف|موسم
🌩️;بادل اور گرج چمک;بادل|بادل اور گرج چمک|بجلی کی چمک|موسم
🌪️;جھکڑ;بادل|تیز ہوا|جھکڑ|موسم
🌫️;کُہر;بادل|کُہر|موسم
🌬️;منہ سے ہوا نکالتا چہرہ;بادل|چہرہ|منہ سے ہوا نکالتا چہرہ|موسم|ہوا
🌀;گرداب;گرداب|موسم
🌈;قوس قزاح;بارش|قوس قزاح|موسم
🌂;بند چھتری;بارش|بند چھتری|چھتڑی|موسم
☂️;چھتری;بارش|چھتری|لباس|موسم
☔;بارش کے قطروں والی چھتری;بارش|بارش کے قطروں والی چھتری|چھتڑی|لباس|موسم
⛱️;زمین میں گڑی چھتری;بارش|چھتڑی|زمین میں گڑی چھتری|سورج|موسم
⚡;ہائی وولٹیج;بجلی|خطرہ|ہائی وولٹیج|وولٹیج
❄️;برف کے گالے;برف|برف کے گالے|ٹھنڈ|موسم
☃️;برف کا آدمی;برف|برف کا آدمی|ٹھنڈ|موسم
⛄;برف کے بغیر برف کا آدمی;برف|برف کے بغیر برف کا آدمی|ٹھنڈ|موسم
☄️;قطبی ستارہ;خلا|قطبی ستارہ
🔥;آگ;آگ|اوزار
💧;قطرہ;ٹھنڈ|قطرہ|موسم
🌊;پانی کی لہر;پانی|پانی کی لہر|لہر|موسم

[activities]
🎃;کدو کی لالٹین;جیک|خوشی منانا|کدو کی لالٹین|لالٹین|ہالووین
🎄;کرسمس کا درخت;جشن|درخت|کرسمس|کرسمس کا درخت
🎆;آتشبازی;آتشبازی|تفریح|جشن|خوشی|مزہ
🎇;پھلجری;آتش بازی|پھلجری|جشن
🧨;پٹاخہ;آتش بازی|پٹاخہ|دھماکا خیز|ڈائنامیٹ
✨;چمکتے ستارے;چمک|چمکتے ستارے|ستارہ
🎈;غبارہ;بلون|جشن|خوشی|غبارہ|مزہ
🎉;پارٹی کے پٹاخے;پارٹی|پارٹی کے پٹاخے|پٹاخے|جشن
🎊;رنگین کاغذ کے بالز;بالز|رنگین کاغذ|رنگین کاغذ کے بالز
🎋;تنابتا درخت;تنابتا درخت|جاپانی|جشن|درخت
🎍;پائن سے سجاوٹ;پائن|پائن سے سجاوٹ|پودا|جاپانی|جشن
🎎;جاپانی گڑیاں;تہوار|جاپان|جاپانی گڑیاں|جشن|گڑیا
🎏;ہوائی جرابیں;جاپان|جشن|ہوا|ہوائی جرابیں
🎐;ہوائی جھنکار;جھنکار|گھنٹی|ہوا|ہوائی جھنکار
🎑;چاند کی رسم;جشن|چاند|چاند کی رسم|رسم
🧧;سرخ لفافہ;تحفہ|خوش قسمتی|رقم|سرخ لفافہ|لائی سی|ہونگ باؤ
🎀;ربن;تحفہ|جشن|ربن
🎁;کاغذ میں لپٹا تحفہ;تحفہ|جشن|کاغذ میں لپٹا تحفہ|کاغذ میں لیٹا تحفہ|لپٹا ہوا
🎗️;یاددہانی کا ربن;جشن|ربن|یاددہانی|یاددہانی کا ربن
🎟️;داخلہ ٹکٹ;ٹکٹ|داخلہ
🎫;ٹکٹ;تقریب|ٹکٹ|داخلہ
🎖️;فوجی میڈل;انعام|فوج|فوجی میڈل|میڈل
🏆;ٹرافی;انعام|ٹرافی
🏅;اسپورٹس میڈل;اسپورٹس|انعام|میڈل
🥇;گولڈ میڈل;اول|گولڈ|میڈل|نمبر
🥈;سلور میڈل;دوسرا|سلور|میڈل|نمبر
🥉;برونز میڈل;برونز|تیسرا|میڈل|نمبر
⚽;فٹبال;فٹبال|کھیل|گیند|میدان
⚾;بیس بال;امریکہ|بال|بیس بال|کھیل
🥎;نرم گیند;بازو کے نیچے|دستانہ|گیند|نرم گیند
🏀;باسکٹ بال;باسکٹ|بال|کھیل
🏐;والی بال;بال|کھیل|والی بال
🏈;امریکی فٹبال;امریکی|فٹبال|کھیل
🏉;رگبی فٹبال;امریکی|رغبی|رگبی فٹبال|فٹبال|کھیل
🎾;ٹینس;بال|ٹینس|کھیل
🥏;اڑتی ہوئی ڈسک;اڑتی ہوئی ڈسک|انتہائی
🎳;باؤلنگ;باؤلنگ|بال|بوتلیں|کھیل
🏏;کرکٹ;بال|بیٹ|کرکٹ|کھیل
🏑;فیلڈ ہاکی;بال|فیلڈ ہاکی|کھیل|میدان|ہاکی
🏒;آئس ہاکی اسٹک اور پک;آئس ہاکی اسٹک اور پک|اسٹک|برف|پک|کھیل|ہاکی
🥍;لکراس;چھڑی|گول|گیند|لکراس
🏓;ٹیبل ٹینس;بال|ٹیبل|ٹیبل ٹینس|ریکٹ|کھیل
🏸;بیڈمنٹن;بیڈمنٹن|ریکٹ|شٹل|کھیل|نیٹ
🥊;باکسنگ کے دستانے;باکسنگ|باکسنگ کے دستانے|دستانے|کھیل
🥋;مارشل آرٹس کا یونیفارم;کراٹے|کھیل|مارشل آرٹس|مارشل آرٹس کا یونیفارم|یونیفارم
🥅;گول نیٹ;کھیل|گول|نیٹ
⛳;گڑھے میں جھنڈا;کھیل|گالف|گڑھے میں جھنڈا|گیند|میدان میں سوراخ
⛸️;آئس اسٹیک;آئس اسٹیک|اسٹیک|برف
🎣;فشنگ پول;پانی|ڈنڈا|شکار|فشنگ پول|مچھلی
🤿;غوطہ خوری کا ماسک;سکوبا|سنورکلنگ|غوطہ خوری|غوطہ خوری کا ماسک
🎽;دوڑنے کی شرٹ;جاگنگ|دوڑنے کی شرٹ|شرٹ|واکنگ
🎿;اسکائیز;اسکائی|اسکائیز|برف
🛷;برف گاڑی;برف گاڑی|بے پہیوں کی گاڑی
🥌;کرلنگ پتھر;پتھر|کرلنگ پتھر|کھیل
🎯;براہ راست نشانہ;براہ راست نشانہ|تیر اندازی|کھیل|نشانہ|ہدف
🪀;یو یو;جھولنا|کھلونا|یو یو
🪁;پتنگ;اڑنا|پتنگ|ہوا میں بلند ہونا
🔫;پستول;پانی کی پستول|پستول|ہتھیار
🎱;بلیئرڈز;آٹھ|بال|بلیئرڈز|کھیل
🔮;کرسٹل بال;بال|فینٹسی|قسمت|کرسٹل
🪄;جادوئی چھڑی;جادو|جادوئی چھڑی|جادوگر|جادوگرنی
🎮;ویڈیو گیم;کھیل|ویڈیو|ویڈیو گیم
🕹️;جوائے اسٹک;جوائے اسٹک|کنٹرول|کھیل|ویڈیو
🎰;سلاٹ مشین;سلاٹ مشین|گیم
🎲;گیم ڈائی;ڈائس|کھیل|گیم ڈائی
🧩;جِگسا;اشارہ|باہم مربوط|پزل|ٹکڑا|جِگسا
🧸;کھلونا بھالو;روئی سے بھرا|کھلونا|کھلونا بھالو|کھیلنے کی چیز|مخملی
🪅;پناٹا;پارٹی|پناٹا|تقریب
🪩;آئینہ گیند;آئینہ گیند|پارٹی|چمک|ڈسکو|رقص
🪆;جادوئی گڑیاں;جادوئی گڑیاں|روس|گڑیا|نیسٹنگ|نیسٹنگ گڑیاں
♠️;حکم کا پتہ;پتہ|تاش|حکم|حکم کا پتہ|کھیل
♥️;پان کا پتہ;پان|پان کا پتہ|پتہ|تاش|کھیل
♦️;اینٹ کا پتہ;اینٹ|اینٹ کا پتہ|پتہ|تاش|کھیل
♣️;چڑیا کا پتہ;پتہ|تاش|چڑیا|چڑیا کا پتہ|کھیل
♟️;شطرنج کا پیادہ;شطرنج|شطرنج کا پیادہ|قابل مصرف|مہرہ
🃏;جوکر;پتہ|تاش|جوکر|کھیل
🀄;ماہجونگ ریڈ ڈریگن;سرخ|کھیل|ماہجونگ|ماہجونگ ریڈ ڈریگن
🎴;جاپانی تاش کا کھیل;تاش|جاپانی|جاپانی تاش کا کھیل|کھیل
🎭;فنونِ لطیفہ;پرفارمنگ آرٹس|تھیٹر|فنون لطیفہ|فنونِ لطیفہ|کارکردگی کا مظاہرہ|ماسک
🖼️;فریم میں جڑی تصویر;تصویر|عجائب گھر|فریم|فریم شدہ تصویر|فریم میں جڑی تصویر|فن
🎨;آرٹسٹ پیلٹ;آرٹسٹ پیلٹ|پینٹنگ|عجائب گھر|فن
🧵;دھاگہ;چرخی|دھاگہ|ڈوری|سلائی|سوئی
🪡;سلائی کی سوئی;ٹانکے|سلائی|سلائی کی سوئی|سوئی|سینا|کشیدہ کاری
🧶;اونی دھاگہ;اونی دھاگہ|بُننا|کروشیا|گولہ
🪢;گانٹھ;الجھن|باندھنا|دوہرا|رسی|گانٹھ|موڑ

[objects]
👓;چشمے;آنکھ|جشمے|چشمے|لباس
🕶️;دھوپ چشمے;آنکھ|جشمے|دھوپ چشمے|لباس
🥽;گاگل;آنکھوں کا تحفظ|تیراکی|گاگل|ویلڈنگ
🥼;لیب میں پہننے والا کوٹ;تجربہ|ڈاکٹر|سائنسدان|لیب میں پہننے والا کوٹ
🦺;حفاظتی واسکٹ;ایمرجنسی|حفاظت|حفاظتی واسکٹ|واسکٹ
👔;نیکٹائی;لباس|نیک ٹائی|نیکٹائی
👕;ٹی شرٹ;ٹی شرٹ|لباس
👖;جینز;جینز|لباس
🧣;اسکارف;اسکارف|گردن
🧤;دستانے;دستانے
🧥;کوٹ;جیکٹ|کوٹ
🧦;جرابیں;جراب|جرابیں
👗;لباس;ڈریس|کپڑے|لباس
👘;خواتین کا روایتی جاپانی لباس;خواتین کا روایتی جاپانی لباس|لباس
🥻;ساڑھی;ساڑھی|کپڑے|لباس
🩱;وَن پیس تیراکی کا لباس;نہانے کا لباس|وَن پیس تیراکی کا لباس
🩲;جانگھیا;تیراکی کا لباس|جانگھیا|زیرِ جامہ|نہانے کا لباس|وَن پیس
🩳;نیکر;پینٹس|زیرِ جامہ|نہانے کا لباس|نیکر
👙;بکنی;بکنی|لباس
👚;عورتوں کے کپڑے;عورت|عورتوں کے کپڑے|لباس
🪭;فولڈنگ دستی پنکھا;پنکھا|ٹھنڈک|رقص|شرمیلی|فولڈنگ دستی پنکھا|گرمی|لہرانا
👛;پرس;پرس|پیسہ|لباس
👜;ہینڈ بیگ;بیگ|لباس|ہینڈ بیگ
👝;بیگ;بیگ|لباس
🛍️;شاپنگ بیگز;بیگ|شاپنگ|شاپنگ بیگز|ہوٹل
🎒;اسکول کا بستہ;اسکول|اسکول کا بستہ|بیگ
🩴;تھونگ سینڈل;تھونگ سینڈل|تھونگ سینڈلز|تھونگز|زوری|ساحلی سینڈلز|سینڈلز
👞;مرد کا جوتا;آدمی|جوتا|لباس|مرد کا جوتا
👟;دوڑنے والا جوتا;جوتے|دوڑنے والا جوتا|لباس
🥾;ہائکنگ بوٹ;بوٹ|بیک پیکنگ|کیمپنگ|ہائکنگ
🥿;ہموار جوتا;آسانی سے پہنا جا سکنے والا|بیلے فلیٹ|سلیپر|ہموار جوتا
👠;اونچی ایڑی والا جوتا;اونچی ایڑی|اونچی ایڑی والا جوتا|جوتا|عورت|لباس
👡;عورت کی سینڈل;جوتا|سینڈل|عورت|عورت کی سینڈل|لباس
🩰;رقص کے جوتے;ڈانس|رقص|رقص کے جوتے
👢;عورت کا بوٹ;بوٹ|جوتا|عورت|عورت کا بوٹ|لباس
🪮;ہیئر پِک;افرو|بال|پک|کنگھی|ہیئر پِک
👑;تاج;بادشاہ|تاج|لباس|ملکہ
👒;عورت کا ہیٹ;عورت|عورت کا ہیٹ|لباس|ہیٹ
🎩;اوپری ٹوپ;اوپری ٹوپ|ٹاپ ہیٹ|لباس
🎓;گریجوئیشن کیپ;ٹوپی|گریجوئیشن|گریجوئیشن کیپ|لباس
🧢;بلڈ کیپ;بلڈ کیپ|بیس بال ٹوپی
🪖;ملٹری ہیلمٹ;جنگجو|سپاہی|فوج|ملٹری|ہیلمٹ
⛑️;سفید کراس والا ہیلمٹ;ٹوپی|چہرہ|سفید کراس والا ہیلمٹ|ہیلمٹ
📿;تسبیح کے دانے;تسبیح کے دانے|دعا|لباس|مذہب|ہار
💄;لپ اسٹک;لپ اسٹک|میک اپ
💍;انگوٹھی;انگوٹھی|رومانس|ہیرا
💎;ہیرا;رومانس|قیمتی پتھر|ہیرا
🔇;اسپیکر بند;آواز|اسپیکر|اسپیکر بند|خاموشی
🔈;دھیمی آواز نکالتے اسپیکر;آواز|اسپیکر|دھیمی آواز نکالتے اسپیکر
🔉;اوسط آواز نکالتے اسپیکر;آواز|اسپیکر|اوسط آواز نکالتے اسپیکر
🔊;بلند آواز نکالتے اسپیکر;آواز|اسپیکر|بلند|بلند آواز نکالتے اسپیکر
📢;لاؤڈ اسپیکر;اجتماع|بلند آواز|خطاب|لاؤڈ اسپیکر
📣;میگا فون;آلہ|تیز آواز|میگا فون
📯;پوسٹل ہارن;پوسٹل|ساز|ہارن
🔔;گھنٹی;آواز|گھنٹی
