# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
🍓;тути заминӣ;буттамева|мева|тути заминӣ
🫐;;
🥝;меваи киви;ғизо|киви|мева|меваи киви
🍅;помидор;ғизо|помидор|сабзавот
🫒;;
🥥;норҷил;нахл|норҷил|пина колада
🥑;авакадо;авакадо|ғизо|мева
🍆;бодимҷон;бодимҷон|бодинҷон|сабзавот
🥔;картошка;ғизо|картошка|сабзавот
🥕;сабзӣ;ғизо|сабзавот|сабзӣ
🌽;сӯтаи ҷуворимакка;гӯш|лабиринт|сӯтаи ҷуворимакка|ҷуворӣ|ҷуворимакка
🌶️;қаланфури тез;гарм|қаланфур|қаланфури тез
🫑;;
🥒;бодиринг;бодиринг|ғизо|парварда|сабзавот
🥬;;
🥦;брокколи;брокколи|карами ёбоӣ
🧄;;
🧅;;
🥜;чормағзи заминӣ;ғизо|сабзавот|чормағз|чормағзи заминӣ
🫘;;
🌰;кастона;кастона|растанӣ
🫚;;
🫛;;
🍄‍🟫;;
🍞;нон;буханка|нон
🥐;кулчақанди &quot;Рогалик&quot;;ғизо|картошка бирён|кулчақанди &quot;Рогалик&quot;|кулчақанди рогалик|нон|рогалик
🥖;батон;батон|ғизо|картошкаи бирён|нон|нони дарози фаронсавӣ
🫓;;
🥨;кулчаи қоқи ҳалқашакл;каҷ|кулчаи қоқи ҳалқашакл
🥯;;
🥞;чалпак;ғизо|пироги гарм|чалпак|чалпаки тунук
🧇;;
🧀;пораи фонашакли панир;панир|пораи фонашакли панир
🍖;гушт дар устухон;гушт|гушт дар устухон|устухон
🍗;линги мурғ;линги мурғ|мурғ|пой|устухон|чӯҷа
🥩;буридаи гушт;бурида|буридаи гушт|буридаи гушти баррача|буридаи гушти хук
🥓;гушти хук;гушт|гушти хук|ғизо
🍔;гамбургер;бургер|гамбургер
🍟;картошка бирён;бирён|картошка бирён|фаронсавӣ
🍕;питса;панир|питса|порча
🌭;хот дог;хот дог|хотдог|ҳасиб|ҳасибча
🥪;сендвич;нон|сендвич
🌮;тако;мехиклӣ|тако
🌯;буритто;буритто|мехисоӣ|печондан
🫔;;
🥙;нони қима андохташуда;гирос|ғизо|кабоб|қима андохташуда|нони қима андохташуда|нони чапотӣ|фалафел
🧆;;
🥚;тухм;ғизо|тухм
🍳;пухта истодааст;бирён шудаистода|дег|пухта истодааст|тухм
🥘;дегчаи хурди ғизо;ғизо|дегча|дегчаи хурди ғизо|паеля|пастоб|тоба
🍲;деги ғизо;дег|деги ғизо|пазондан
🫕;;
🥣;табақ бо қошуқ;наҳорӣ|табақ бо қошуқ|шӯла|шӯлаи биринҷӣ
🥗;хӯриши сабз;ғизо|сабз|хӯриш|хӯриши сабз
🍿;ҷуворипақак;ҷуворипақак
🧈;;
🧂;;
🥫;маҳсулоти консервагӣ;қуттӣ|маҳсулоти консервагӣ
🍱;қуттии бенто;бенто|қуттӣ|қуттии бенто
🍘;брекери биринҷӣ;биринҷ|брекери биринҷӣ|крекер
🍙;курачаи биринҷӣ;биринҷ|курачаи биринҷӣ|тӯб|ҷопонӣ
🍚;биринҷи пухташуда;биринҷ|биринҷи пухташуда|пухташуда
🍛;биринҷ бо карри;биринҷ|биринҷ бо карри|карри
🍜;зарф барои ҷӯшондан;дар об пӯхтан|зарф барои ҷӯшондан|коса|макарон|рамен
🍝;спагетти;маҳсулоти макаронӣ|спагетти
🍠;картошкаи ширини пухташуда;картошка|картошкаи ширини пухташуда|пухташуда|ширин
🍢;оден;кабоб|маҳсулоти баҳрӣ|оден|сихкабоб|чӯб
🍣;суши;суши
🍤;креветкаи хурди бирён;бирён|креветка|креветкаи хурди бирён|криветкаи хурд|темпура
🍥;торт аз моҳӣ бо гирдоб;гирдоб|маҳсулоти қаннодӣ|моҳӣ|торт|торт аз моҳӣ бо гирдоб
🥮;;
🍡;данго;данго|десерт|сихкабоб|чӯб|ҷопонӣ|ширин
🥟;ғелаккабоб;гиёза|ғелаккабоб|пирог|тушбера|чалпаки гуштдор|ҷиёза
🥠;кулчаҳои қандини туҳфадор;кулчаҳои қандини туҳфадор|пешгӯӣ
🥡;қуттии хӯроки бо худ гирифташаванда;зарфи хӯрокхӯрии садафак|қуттии хӯроки бо худ гирифташаванда
🦀;харчанг;бурҷи дувоздаҳгона|Саратон|харчанг
🦞;;
🦐;гамбусакча;гамбусак|гамбусакча|ғизо|моллюскҳо|хурд
🦑;калмар;ғизо|калмар|моллюск
🦪;;
🍦;яхмоси мулоим;десерт|крем|мулоим|ширин|ях|яхмос|яхмоси мулоим
🍧;тарошаи ях;десерт|тарошаи ях|тарошида|ширин|ях
🍨;яхмос;десерт|крем|ширин|ях|яхмос
🍩;кулча;десерт|кулча|ширин
🍪;кулчақанд;десерт|кулчақанд|ширин
🎂;торти зодрӯзӣ;десерт|маҳсулоти қаннодӣ|рӯзи таваллуд|торт|торти зодрӯзӣ|ҷашн|ширин
🍰;кулчақанди регак-регак;десерт|кулчақанди регак-регак|маҳсулоти қаннодӣ|порча|торт|ширин
🧁;;
🥧;пирог;адвия|қаннодӣ|пирог
🍫;як тахтача шоколад;десерт|тахтача|ширин|шоколад|як тахтача шоколад
🍬;конфет;десерт|конфет|ширин
🍭;оби дандон;десерт|конфет|оби дандон|ширин
🍮;крем;десерт|крем|пудинг|ширин
🍯;кӯзаи асал;асал|дег|кӯзаи асал|ширин
🍼;шишаи кӯдак;кӯдак|нӯшидан|шир|шиша|шишаи кӯдак
🥛;стакани шир;нӯшидан|стакан|стакани шир|шир
☕;нӯшокии гарм;гарм|қаҳва|нӯшидан|нӯшокӣ|нӯшокии гарм|чой|ҷӯшондан
🫖;;
🍵;пиёлаи чой бе даста;нӯшидан|нӯшокӣ|пиёла|пиёлаи чой|пиёлаи чой бе даста|чой
🍶;саке;бар|нӯшидан|нӯшокӣ|пиёла|саке|шиша
🍾;шиша бо пӯкаи он парида рафта истода;бар|нӯшидан|парида рафтан|пӯка|шиша|шиша бо пӯкаи он парида рафта истода
🍷;стакани май;бар|май|нӯшидан|нӯшокӣ|стакан|стакани май
🍸;стакани коктейл;бар|коктейл|нӯшидан|стакан|стакани коктейл
🍹;нӯшокии тропикӣ;бар|нӯшидан|нӯшокии тропикӣ|тропикӣ
🍺;дӯлчаи пиво;бар|дӯлча|дӯлчаи пиво|нӯшидан|пиво
🍻;ҷирингос задани дӯлчаҳои пиво;бар|дӯлча|нӯшидан|пиво|ҷиринго задан|ҷирингос задани дӯлчаҳои пиво
🥂;ҷирингос задани стаканҳо;нӯшидан|стакан|ҷашн гирифтан|ҷирингос задан|ҷирингос задани стаканҳо
🥃;стакан барои нӯшокиҳои спиртӣ;виски|ликёр|стакан|стакан барои нӯшокиҳои спиртӣ|стакани хурд|тирпаронӣ
🫗;;
🥤;пиёла бо чӯбак;оби газдор|пиёла бо чӯбак|шарбат
🧋;;
🧃;;
🧉;;
🧊;;
🥢;чӯбҳои хӯрокхӯрӣ;ҳаши|чӯбҳои хӯрокхӯрӣ
🍽️;чангол ва корд бо табақча;корд|пухтан|табақча|чангол|чангол ва корд бо табақча
🍴;чангол ва корд;корд|пухтан|чангол|чангол ва корд
🥄;қошуқ;зарфҳои хӯрокхӯрӣ|қошуқ
🔪;корди ошхона;асбоб|корд|корди ошхона|пухтан|силоҳ|ҳочо
🫙;;
🏺;амфора;амфора|асбоб|бурҷи дувоздаҳгона|Далв|қадаҳи дастадор|нӯшидан|пухта истода|силоҳ

[travel_places]
🌍;глобусе, ки Аврупо-Африкаро намоиш медиҳад;Аврупо|Африка|глобус|глобусе|глобусе, ки Аврупо-Африкаро намоиш медиҳад|замин|ки Аврупо-Африкаро намоиш медиҳад|ҷаҳон
🌎;глобусе, ки Америкаҳоро намоиш медиҳад;Америкаҳо|глобус|глобусе|глобусе, ки Америкаҳоро намоиш медиҳад|замин|ки Америкаҳоро намоиш медиҳад|ҷаҳон
🌏;глобусе, ки Осиё-Австралияро намоиш медиҳад;Австралия|глобус|глобусе|глобусе, ки Осиё-Австралияро намоиш медиҳад|замин|ки Осиё-Австралияро намоиш медиҳад|Осиё|ҷаҳон
🌐;глобус бо меридианаҳо;глобус|глобус бо меридианаҳо|замин|меридианҳо|ҷаҳон
🗺️;харитаи ҷаҳон;харита|харитаи ҷаҳон|ҷаҳон
🗾;харитаи Ҷопон;харита|харитаи Ҷопон|Ҷопон
🧭;;
🏔️;куҳи бо барф пӯшида;барф|куҳ|куҳи бо барф пӯшида|хунук
⛰️;куҳ;куҳ
🌋;вулқон;вулқон|куҳ|оташфишонӣ
🗻;теппаи Фуҷи;куҳ|теппаи Фуҷи|фуҷи
🏕️;хаймазанӣ;хаймазанӣ
🏖️;соҳил бо чатр;соҳил|соҳил бо чатр|чатр
🏜️;биёбон;биёбон
🏝️;ҷазираи биёбон;биёбон|ҷазира|ҷазираи биёбон
🏞️;парки миллӣ;парк|парки миллӣ
🏟️;варзишгоҳ;варзишгоҳ
🏛️;бинои классикӣ;бинои классикӣ|классикӣ
🏗️;сохтмони бино;сохтмон|сохтмони бино
🧱;;
🪨;;
🪵;;
🛖;;
🏘️;хонаҳо;хонаҳо
🏚️;хонаи бесоҳиб;бесоҳиб|хона|хонаи бесоҳиб
🏠;хона;хона
🏡;хона бо боғ;боғ|хона|хона бо боғ
🏢;бинои идора;бино|бинои идора
🏣;идораи почтаи ҷопонӣ;идораи почтаи ҷопонӣ|почта|ҷопонӣ
🏤;идораи почта;аврупоӣ|идораи почта|почта
🏥;беморхона;беморхона|дору|духтур
🏦;бонк;бино|бонк
🏨;меҳмонхона;бино|меҳмонхона
🏩;меҳмонхонаи муҳаббат;меҳмонхона|меҳмонхонаи муҳаббат|муҳаббат
🏪;мағозаи шабонарӯзӣ;мағоза|мағозаи шабонарӯзӣ|шароит
🏫;мактаб;бино|мактаб
🏬;универмаг;бахш|магазин|универмаг
🏭;фабрика;бино|фабрика
🏯;қалъаи ҷопонӣ;қалъа|қалъаи ҷопонӣ|ҷопонӣ
🏰;қалъа;аврупоӣ|қалъа
💒;тӯй;калисои хурд|роман|тӯй
🗼;бурҷи Токио;бурҷ|бурҷи Токио|Токио
🗽;ҳайкали Озодӣ;озодӣ|ҳайкал|ҳайкали Озодӣ
⛪;калисо;дин|калисо|Насронӣ|салиб
🕌;масҷид;дин|Ислом|масҷид|мусулмон
🛕;;
🕍;каниса;дин|каниса|маъбад|яҳуд|яҳудӣ
⛩️;ҷои муқаддаси синто;дин|синто|ҷои муқаддас|ҷои муқаддаси синто
🕋;каъба;дин|Ислом|каъба|мусулмон
⛲;фаввора;фаввора
⛺;хайма;хайма|хаймазанӣ
🌁;тумандор;туман|тумандор
🌃;шаби ситорадор;ситора|шаб|шаби ситорадор
🏙️;манзараи шаҳр;манзараи шаҳр|шаҳр
🌄;Тулӯи офтоб аз болои куҳҳо;куҳ|офтоб|саҳар|тулӯи офтоб|Тулӯи офтоб аз болои куҳҳо
🌅;тулӯъ;офтоб|саҳар|тулӯъ
🌆;манзараи шаҳр дар шом;бегоҳ|ғуруби офтоб|манзара|манзараи шаҳр дар шом|офтоб|шаҳр|шом
🌇;ғуруб;ғуруб|офтоб|шом
🌉;кӯпрук дар шаб;кӯпрук|кӯпрук дар шаб|шаб
♨️;чашмаҳои гарм;гарм|чашмаҳо|чашмаҳои гарм|ҷӯшидаистода
🎠;аспаки чархуфалак;аспак|аспаки чархуфалак|чархуфалак
🛝;;
🎡;чархуфалак;парки фароғатӣ|феррис|чарх|чархуфалак
🎢;роҳи оҳани лағжишбозӣ;каток|лағжишбозӣ|парки фароғатӣ|роҳи оҳани лағжишбозӣ
💈;сутун бо ранги сурху сафеди морпеч;қутб|мӯйгирӣ|сартарош|сутун бо ранги сурху сафеди морпеч
🎪;хаймаи сирк;сирк|хайма|хаймаи сирк
🚂;локомотив;буғ|қатора|локомотив|муҳаррик|роҳи оҳан
🚃;вагони роҳи оҳан;вагони роҳи оҳан|қатора|мошин|роҳи оҳан|трамвай|троллейбус|электрикӣ
🚄;қатораи баландсуръат;қатора|қатораи баландсуръат|роҳи оҳан|синкансен|суръат
🚅;қатораи баландсуръат бо нӯги тирмонанд;қатора|қатораи баландсуръат бо нӯги тирмонанд|роҳи оҳан|синкансен|суръат|тир
🚆;қатора;қатора|роҳи оҳан
🚇;метро;метро
🚈;метрои сабук;метрои сабук|роҳи оҳан
🚉;истгоҳ;истгоҳ|қатора|роҳи оҳан
🚊;трамвай;трамвай|троллейбус
🚝;якрелса;нақлиёт|якрелса
🚞;роҳи оҳани куҳӣ;куҳ|мошин|роҳи оҳан|роҳи оҳани куҳӣ
🚋;вагони трамвай;вагони трамвай|мошин|трамвай|троллейбус
🚌;автобус;автобус|нақлиёт
🚍;автобуси самти муқобил;автобус|автобуси самти муқобил|самти муқобил
🚎;троллейбус;автобус|трамвай|троллейбус
🚐;микроавтобус;автобус|микроавтобус
🚑;мошини ёрии таъҷилӣ;мошини ёрии таъҷилӣ|нақлиёт
🚒;мошини сӯхторхомӯшкунӣ;мошини боркаш|мошини сӯхторхомӯшкунӣ|муҳаррик|оташ
🚓;мошини пулис;мошин|мошини пулис|посбон|пулис
🚔;мошини пулис аз самти муқобил;аз самти муқобил|мошин|мошини пулис аз самти муқобил|пулис
🚕;такси;нақлиёт|такси
🚖;такси аз самти муқобил;аз самти муқобил|такси|такси аз самти муқобил
🚗;автомобил;автомобил|мошин
🚘;автомобили самти муқобил;автомобил|автомобили самти муқобил|мошин|самти муқобил
🚙;кроссовер;кроссовер|мошини варзишии ҳамаҷогард|фароғатӣ
🛻;;
🚚;автомобили боркаш;автомобили боркаш|бурдарасонӣ|мошини боркаш
🚛;нақлиёти боркаш;боркаш|мошини боркаш|нақлиёти боркаш|ним
🚜;трактор;нақлиёт|трактор
🏎️;автомобили пойга;автомобили пойга|мошин|пойга
🏍️;мотосикл;мотосикл|пойга
🛵;скутер;муҳаррик|скутер
🦽;;
🦼;;
🛺;;
🚲;дучарха;велосипед|дучарха
🛴;самокат;ба по задан|самокат|скутер
🛹;;
🛼;;
🚏;истгоҳи автобусҳо;автобус|истгоҳ|истгоҳи автобус|истгоҳи автобусҳо
🛣️;роҳи автомобилгард;роҳ|роҳи автомобилгард|шоҳроҳ
🛤️;роҳи оҳан;қатора|роҳи оҳан
🛢️;чалаки нафт;нақора|нафт|чалаки нафт
⛽;насоси сӯзишворӣ;газ|истгоҳ|насос|насоси сӯзишворӣ|сӯзишворӣ
🛞;;
🚨;рӯшноии мошини пулис;даврзананда|мино|мошин|пулис|рӯшноӣ|рӯшноии мошини пулис
🚥;чароғи раҳнамои уфуқӣ;рӯшноӣ|сигнал|ҳаракат|чароғи раҳнамои уфуқӣ
🚦;чароғи раҳнамои амудӣ;рӯшноӣ|сигнал|ҳаракат|чароғи раҳнамои амудӣ
🛑;аломати &quot;Ист&quot;;аломат|аломати &quot;Ист&quot;|ист|ҳашткунҷа
🚧;сохтмон;монеа|сохтмон
⚓;лангар;асбоб|киштӣ|лангар
🛟;;
⛵;заврақи бодбондор;баҳр|заврақи бодбондор|киштӣ|курорт|қаиқ
🛶;заврақ;заврақ|қаиқ
🚤;катери тезгард;катери тезгард|қаиқ
🛳️;киштии мусофиркаш;киштӣ|киштии мусофиркаш|мусофир
⛴️;киштии гузора;киштии гузора|қаиқ|мусофир
🛥️;қаиқи муҳаррикдор;қаиқ|қаиқи муҳаррикдор
🚢;киштӣ;киштӣ|қаиқ|мусофир
✈️;тайёра;тайёра|ҳавопаймо
🛩️;тайёраи хурд;тайёра|тайёраи хурд|ҳавопаймо
🛫;парвози тайёра;бақайдгирӣ|парвоз|парвози тайёра|парвозҳо|тайёра|ҳавопаймо
🛬;омадани тайёра;нишастан|омадаистода|омадан|омадани тайёра|тайёра|ҳавопаймо
🪂;;
💺;ҷои нишаст;курсӣ|ҷои нишаст
🚁;чархбол;нақлиёт|чархбол
🚟;роҳи оҳани овезон;овеза|роҳи оҳан|роҳи оҳани овезон
🚠;фуникулёр;гондола|куҳ|ноқил|фуникулёр
🚡;трамваи ҳавоӣ;гондола|мошин|ноқил|трамваи ҳавоӣ|трамвай|ҳавоӣ
🛰️;моҳвора;моҳвора|фазо
🚀;ракета;ракета|фазо
🛸;лаълии паррон;лаълии паррон
🛎️;зангулаи хизматгори меҳмонхона;зангула|зангулаи хизматгори меҳмонхона|меҳмонхона|хизматгори меҳмонхона
🧳;;
⌛;соати регӣ;вақтсанҷ|рег|соати регӣ
⏳;соати регӣ бо ҷорӣ шудани рег;вақтсанҷ|рег|соати регӣ|соати регӣ бо ҷорӣ шудани рег
⌚;соати дастӣ;соати дастӣ|соати деворӣ
⏰;соати зангдор;соат|соати зангдор|ҳушдор
⏱️;сониясанҷ;соати деворӣ|сониясанҷ
⏲️;соати вақтсанҷ;вақтсанҷ|соати вақтсанҷ|соати деворӣ
🕰️;соати сангӣ;соати деворӣ|соати сангӣ
🕛;соат дувоздаҳ;00|12|12:00|дувоздаҳ|соат
🕧;дувоздаҳу сӣ;12|12:30|30|дувоздаҳ|дувоздаҳу сӣ|сӣ|соат
🕐;соат як;00|1|1:00|соат|як
🕜;яку сӣ;1|1:30|30|сӣ|соат|як|яку сӣ
🕑;соат ду;00|2|2:00|ду|соат
🕝;дую сӣ;2|2:30|30|ду|дую сӣ|сӣ|соат
🕒;соат се;00|3|3:00|се|соат
🕞;севу сӣ;3|3:30|30|се|севу сӣ|сӣ|соат
🕓;соат чор;00|4|4:00|соат|чор
🕟;чору сӣ;30|4|4:30|сӣ|соат|чор|чору сӣ
🕔;соат панҷ;00|5|5:00|панҷ|соат
🕠;панҷу сӣ;30|5|5:30|панҷ|панҷу сӣ|сӣ|соат
🕕;соат шаш;00|6|6:00|соат|шаш
🕡;шашу сӣ;30|6|6:30|сӣ|соат|шаш|шашу сӣ
🕖;соат ҳафт;00|7|7:00|соат|ҳафт
🕢;ҳафту сӣ;30|7|7:30|сӣ|соат|ҳафт|ҳафту сӣ
🕗;соат ҳашт;00|8|8:00|соат|ҳашт
🕣;ҳашту сӣ;30|8|8:30|сӣ|соат|ҳашт|ҳашту сӣ
🕘;соат нуҳ;00|9|9:00|нуҳ|соат
🕤;нуҳу сӣ;30|9|9:30|нуҳ|нуҳу сӣ|сӣ|соат
🕙;соат даҳ;00|10|10:00|даҳ|соат
🕥;даҳу сӣ;10|10:30|30|даҳ|даҳу сӣ|сӣ|соат
🕚;соат ёздаҳ;00|11|11:00|ёздаҳ|соат
🕦;ёздаҳу сӣ;11|11:30|30|ёздаҳ|ёздаҳу сӣ|сӣ|соат
🌑;моҳи нав;моҳ|моҳи нав|торик
🌒;ҳилоли нав;калон шудани моҳ|моҳ|ҳилол|ҳилоли нав
🌓;марҳилаи чоряки якуми моҳ;марҳилаи чоряки якуми моҳ|моҳ|чоряк
🌔;марҳилаи калон шудани моҳ;калон шудани моҳ|марҳилаи калон шудани моҳ|марҳилаи моҳ|моҳ
🌕;моҳи пурра;моҳи пурра|пурра
🌖;марҳилаи хурд шудани моҳ;марҳилаи моҳ|марҳилаи хурд шудани моҳ|моҳ|хурд шудани моҳ
🌗;марҳилаи чоряки охири моҳ;марҳилаи чоряки охири моҳ|моҳ|чоряк
🌘;марҳилаи хурд шудани ҳилол;марҳилаи хурд шудани ҳилол|моҳ|хурд шудани моҳ|ҳилол
🌙;ҳилол;моҳ|ҳилол
🌚;чеҳраи моҳи нав;моҳ|рӯй|чеҳраи моҳи нав
🌛;чоряки якуми моҳ бо чеҳра;моҳ|рӯй|чоряк|чоряки якуми моҳ бо чеҳра
🌜;чоряки охири моҳ бо чеҳра;моҳ|рӯй|чоряк|чоряки охири моҳ бо чеҳра
🌡️;ҳароратсанҷ;обу ҳаво|ҳароратсанҷ
☀️;офтоб;офтоб|офтобӣ|равшан|шуоъ
🌝;моҳи пурра бо чеҳра;моҳ|моҳи пурра бо чеҳра|пурра|равшан|рӯй
🌞;офтоб бо чеҳра;офтоб|офтоб бо чеҳра|равшан|рӯй
🪐;;
⭐;ситораи миёнаи сафед;ситора|ситораи миёнаи сафед
🌟;ситораи дурахшон;дурахшидан|дурахшон|пурҷило|ситора|ситораи дурахшон|ялаққос задан
🌠;ситораи думдор;афтидан|парондан|ситора|ситораи думдор
🌌;роҳи Каҳкашон;роҳи Каҳкашон|фазо
☁️;абр;абр|обу ҳаво
⛅;офтоб паси абр;абр|офтоб|офтоб паси абр
⛈️;абр бо чароғак ва борон;абр|абр бо чароғак ва борон|борон|тундар
🌤️;офтоб паси абри хурд;абр|офтоб|офтоб паси абри хурд
🌥️;офтоб паси абри калон;абр|офтоб|офтоб паси абри калон
🌦️;офтоб паси абри боронӣ;абр|борон|офтоб|офтоб паси абри боронӣ
🌧️;абр бо борон;абр|абр бо борон|борон
🌨️;абр бо барф;абр|абр бо барф|барф|хунук
🌩️;абр бо чароғак;абр|абр бо чароғак|чароғак
🌪️;торнадо;абр|гирдбод|торнадо
🌫️;туман;абр|туман
🌬️;рӯи шамол;абр|вазидан|рӯи шамол|рӯй|шамол
🌀;сиклон;сарчархзанӣ|сиклон|тундбод|туфон
🌈;тирукамон;борон|тирукамон
🌂;чатри пӯшида;борон|либос|чатр|чатри пӯшида
☂️;чатр;борон|либос|чатр
☔;чатр бо қатраҳои борон;борон|қатра|либос|чатр|чатр бо қатраҳои борон
⛱️;чатр дар замин;борон|офтоб|чатр|чатр дар замин
⚡;шиддати баланд;барқ|қувва|хатар|чароғак|шиддат|шиддати баланд|электрикӣ
❄️;зарраи барф;абр|барф|зарраи барф
☃️;одами барфӣ;абр|барф|одами барфӣ
⛄;одами барфӣ бе барф;барф|одами барфӣ|одами барфӣ бе барф|хунук
☄️;комета;комета|фазо
🔥;оташ;аланга|асбоб|оташ
💧;қатра;арақ|қатра|мазҳакавӣ|хунук
🌊;мавҷи об;мавҷ|мавҷи об|об|уқёнус

[activities]
🎃;чароғак аз каду бо сӯрохиҳои даҳон, бинӣ ва чашмон;бинӣ ва чашмон|сурохӣ|хеллоуин|чароғ|чароғак аз каду бо сӯрохиҳои даҳон|чароғак аз каду бо сӯрохиҳои даҳон, бинӣ ва чашмон|ҷашн
🎄;дарахти Мавлуди Исо;дарахт|дарахти Мавлуди Исо|мавлуди Исо|ҷашн
🎆;оташфаввора;оташфаввора|ҷашн
🎇;мушаки маҳтобӣ;мушаки маҳтобӣ|оташфаввора|ҷашн|ялаққос задан
🧨;;
✨;шарора;ситора|шарора|ялаққос задан
🎈;ҳубоб;ҳубоб|ҷашн
🎉;маводи тарфгарӣ (хлопушка);маводи тарфгарӣ (хлопушка)|тада|хлопушка|ҷашн|шабнишинӣ
🎊;кӯраи конфетти;конфетти|кӯраи конфетти|тӯб|ҷашн
🎋;дарахти Танабата;баннер|дарахт|дарахти Танабата|ҷашн|ҷопонӣ
🎍;ороиши дарахти санавбар;бамбук|дарахти санавбаар|ороиши дарахти санавбар|ҷашн|ҷопонӣ
🎎;лухтакҳои ҷопонӣ;лухтак|лухтакҳои ҷопонӣ|фестивал|ҷашн|ҷопонӣ
🎏;летнаи ҳиллиросзанандаи ба шакли зағорамоҳӣ;зағорамоҳӣ|лентаи борик|летнаи ҳиллиросзанандаи ба шакли зағорамоҳӣ|ҷашн
🎐;мусиқии шамол;зангула|мусиқӣ|мусиқии шамол|ҷашн|шамол
🎑;маросими тамошои моҳтоб;маросим|маросими тамошои моҳтоб|моҳ|ҷашн
🧧;;
🎀;лента;лента|ҷашн
🎁;туҳфаи печондашуда;қуттӣ|печондашуда|туҳфа|туҳфаи печондашуда|ҷашн
🎗️;лентаи ёдрасон;ёдрасон|лента|лентаи ёдрасон|ҷашн
🎟️;чиптаҳои қабул;қабул|чипта|чиптаҳои қабул
🎫;чипта;қабул|чипта
🎖️;медали ҳарбӣ;медал|медали ҳарбӣ|ҳарбӣ|ҷашн
🏆;мукофот;мукофот|ҷоиза
🏅;медали варзишӣ;медал|медали варзишӣ
🥇;медал барои ҷои 1-ум;медал|медал барои ҷои 1-ум|тилло|якум
🥈;медал барои ҷои 2-юм;дуюм|медал|медал барои ҷои 2-юм|нуқра
🥉;медал барои ҷои 3-юм;биринҷӣ|медал|медал барои ҷои 3-юм|сеюм
⚽;тӯби футбол;тӯб|тӯби футбол|футбол
⚾;бейсбол;бейсбол|тӯб
🥎;;
🏀;баскетбол;баскетбол|тӯб|ҳалқа
🏐;волейбол;бозӣ|волейбол|саққа
🏈;футболи амрикоӣ;амрикоӣ|тӯб|футбол|футболи амрикоӣ
🏉;регби;регби|тӯб|футбол
🎾;тенис;ракетка|тенис|тӯб
🥏;;
🎳;боулинг;бозӣ|боулинг|саққа
🏏;бозии крикет;бозӣ|бозии крикет|саққо|тӯб
🏑;майдони хоккей;бозӣ|майдон|майдони хоккей|тӯб|хоккей|чавгон
🏒;хоккей дар рӯи ях;бозӣ|хоккей|хоккей дар рӯи ях|чавгон|шайба|ях
🥍;;
🏓;пинг понг;бозӣ|пинг понг|ракетка|саққо|тенниси рӯи миз|тӯб
🏸;бадминтон;бадминтон|бозӣ|волан|ракетка
🥊;дастпӯшак барои бокс;бокс|дастпӯшак|дастпӯшак барои бокс
🥋;либоси санъати ҳарбӣ;дзюдо|каратэ|либоси санъати ҳарбӣ|либоси ягона|санъати ҳарбӣ|таэквондо
🥅;тӯри дарвозаи футбол;гол|тӯри дарвозаи футбол
⛳;байрақ дар сӯрохӣ;байрақ дар сӯрохӣ|голф|сурохӣ
⛸️;яхмолак;скейт|ях|яхмолак
🎣;шаст;қутб|моҳӣ|шаст
🤿;;
🎽;курта барои давидан;варзиши сабук|давидан|курта|курта барои давидан|тасмаи орден
🎿;лижа;барф|лижа
🛷;чана;чана
🥌;санги бозии кёрлинг;бозӣ|санги бозии кёрлинг|харсанг
🎯;рост рафта расидан;бозӣ|буққа|дарт|задан|нишона|рост рафта расидан|ҳадаф|чашм
🪀;;
🪁;;
🔫;таппонча;асбоб|револвер|силоҳ|таппонча|яроқ|яроқи дастӣ
🎱;билярди 8 саққадор;8|билярд|билярди 8 саққадор|бозӣ|саққа|ҳашт
🔮;кураи булӯрӣ;асбоб|афсона|булӯр|кура|кураи булӯрӣ|тақдир|тахайюлот
🪄;;
🎮;бозии видеоӣ;бозӣ|бозии видеоӣ|танзимгар
🕹️;ҷойстик;бозӣ|бозии видеоӣ|ҷойстик
🎰;мошинаи қиморбозӣ;бозӣ|ковокӣ|мошинаи қиморбозӣ
🎲;бозии зарикҳо;бозӣ|бозии зарикҳо|зарик|зарикҳо
🧩;;
🧸;;
🪅;;
🪩;;
🪆;;
♠️;қарамашшоқ;бозӣ|корт|қарамашшоқ
♥️;таппон;бозӣ|корт|таппон
♦️;хиштхол;бозӣ|корт|хиштхол
♣️;чилликхол;бозӣ|корт|чилликхол
♟️;;
🃏;ҳазлбоз;аломатҳои ивазкунӣ|бозӣ|корт|ҳазлбоз
🀄;аждаҳори сурхи маҳҷонг;аждаҳори сурхи маҳҷонг|бозӣ|маҳҷонг|сурх
🎴;кортҳои бозии &quot;Гул&quot;;бозӣ|бозикунӣ|гул|корт|кортҳои бозии &quot;Гул&quot;|ҷопонӣ
🎭;намдуҳои санъати иҷро;иҷро кардан|намдуҳои санъати иҷро|ниқоб|санъат|театр
🖼️;сурати чорчӯбадор;осорхона|расм|санъат|сурат|сурати чорчӯбадор|чорчӯба
🎨;лавҳачаи рассомии рассом;лавҳачаи рассомӣ|лавҳачаи рассомии рассом|осорхона|расм|санъат
🧵;;
🪡;;
🧶;;
🪢;;

[objects]
👓;айнак;айнак|айнаки муҳофизатӣ|либос|чашм
🕶️;айнаки офтобӣ;айнак|айнаки муҳофизатӣ|айнаки офтобӣ|торик|чашм
🥽;;
🥼;;
🦺;;
