# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;रमाएको अनुहार;अनुहार|रमाएको अनुहार|हँसिलो
🎚️;स्तरसम्बन्धी स्लाइडर;संगीत|स्तर|स्तरसम्बन्धी स्लाइडर|स्लाइडर
🎛️;नियन्त्रणसम्बन्धी नबहरू;नबहरू|नियन्त्रण|नियन्त्रणसम्बन्धी नबहरू|संगीत
🎤;माइक्रोफोन;कारावोके|माइक|माइक्रोफोन
🎧;हेडफोन;इयरबड|हेडफोन
📻;रेडियो;भिडियो|रेडियो
🎷;स्याक्सोफोन;उपकरण|संगीत|स्याक्सोफोन
🪗;अक्कोर्डियन;अक्कोर्डियन|कन्सर्टिना|स्क्विज बाकस
🎸;गितार;उपकरण|गितार|संगीत
🎹;सांगीतिक किबोर्ड;उपकरण|किबोर्ड|पियानो|संगीत|सांगीतिक किबोर्ड
🎺;ट्रम्पेट;उपकरण|ट्रम्पेट|संगीत
🎻;भायोलिन;उपकरण|भायोलिन|संगीत
🪕;बान्जो;तार भएको|बान्जो|संगीत
🥁;ड्रम;ड्रम|ड्रमस्टिक|संगीत
🪘;लामो ड्रम;कोङ्गा|ड्रम|ताल|धुन|लामो ड्रम
🪇;माराकास;छनछन|पर्कसन|बाद्य|माराकास|संगीत|हल्लिनु
🪈;बासुरी;उडविन्ड|पाइप|बासुरी|मुरली|रेकर्डर|संगीत
📱;मोबाइल फोन;कल|टेलिफोन|फोन|मोबाइल
📲;तीरले देखाइएको मोबाइल;तीर|तीरले देखाइएको मोबाइल|प्राप्त गर्नु|फोन|मोबाइल|सेल
☎️;टेलिफोन;टेलिफोन|फोन
📞;टेलिफोन रिसिभर;टेलिफोन|फोन|रिसिभर
📟;पेजर;पेजर
📠;फ्याक्स मेसिन;फ्याक्स|फ्याक्स मेसिन
🔋;ब्याट्री;ब्याट्री
🪫;कम ब्याट्री;कम ऊर्जा|कम ब्याट्री|विद्युतीय
🔌;बिधुतीय प्लग;प्लग|बिधुत|बिधुतीय
💻;ल्यापटप कम्प्युटर;कम्प्युटर|पिसी|ल्यापटप कम्प्युटर|व्यक्तिगत
🖥️;डेस्कटप कम्प्युटर;कम्प्युटर|डेस्कटप
🖨️;प्रिन्टर;कम्प्युटर|प्रिन्टर
⌨️;किबोर्ड;कम्प्युटर|किबोर्ड
🖱️;कम्प्युटर माउस;कम्प्युटर|कम्प्युटर माउस
🖲️;ट्रयाकबल;कम्प्युटर|ट्रयाकबल
💽;कम्प्युटर डिस्क;अप्टिकल|कम्प्युटर|डिस्क|मिनी डिस्क
💾;फ्लपी डिस्क;कम्प्युटर|डिस्क|फ्लपी
💿;अप्टिकल डिस्क;अप्टिकल|कम्प्युटर|डिस्क|सिडी
📀;डिभिडी;अप्टिकल|कम्प्युटर|डिभिडी|डिस्क|ब्लु-रे
🧮;एब्याकस;एब्याकस|गणना
🎥;मुभी क्यामेरा;क्यामेरा|चलचित्र|मुभी क्यामेरा|सिनेमा
🎞️;फिल्मको फ्रेमहरू;चलचित्र|फिल्म|फिल्मको फ्रेमहरू|फ्रेमहरू|सिनेमा
📽️;फिल्म प्रोजेक्टर;चलचित्र|प्रोजेक्टर|फिल्म|भिडियो|सिनेमा
🎬;क्ल्याप्पर बोर्ड;क्ल्याप्पर|क्ल्याप्पर बोर्ड|चलचित्र
📺;टेलिभिजन;टिभी|टेलिभिजन|भिडियो
📷;क्यामेरा;क्यामेरा|भिडियो
📸;फ्ल्याशसहितको क्यामेरा;क्यामेरा|फ्ल्याश|फ्ल्याशसहितको क्यामेरा|भिडियो
📹;भिडियो क्यामेरा;क्यामेरा|भिडियो
📼;भिडियो क्यासेट;टेप|भिएचएस|भिडियो|भिडियो क्यासेट
🔍;बायाँतर्फ ढल्केको म्याग्निफाइङ ग्लास;उपकरण|खोज|ग्लास|बायाँतर्फ ढल्केको म्याग्निफाइङ ग्लास|म्याग्निफाइङ
🔎;दायाँतर्फ ढल्केको म्याग्निफाइङ ग्लास;उपकरण|खोज|ग्लास|दायाँतर्फ ढल्केको म्याग्निफाइङ ग्लास|म्याग्निफाइङ
🕯️;मैनबत्ती;बत्ती|मैनबत्ती
💡;बत्तीको चिम;बत्ती|बत्तीको चिम|विचार|विद्युतीय|हास्य
🔦;फ्ल्याश लाइट;उपकरण|टर्च|फ्ल्याश लाइट|बत्ती|विद्युतीय
🏮;रातो पानाको लालटिन;प्रकाश|बार|रातो|रातो पानाको लालटिन|लालटिन
🪔;दियो बत्ती;तेल|दियो|दियो बत्ती|ल्याम्प
📔;सजिएको कभरसहितको नोटबुक;कभर|नोटबुक|पुस्तक|सजिएको|सजिएको कभरसहितको नोटबुक
📕;बन्द गरेको पुस्तक;पुस्तक|बन्द गरेको|बन्द गरेको पुस्तक
📖;खुला पुस्तक;खुला|पुस्तक
📗;हरियो पुस्तक;पुस्तक|हरियो
📘;नीलो पुस्तक;नीलो|पुस्तक
📙;सुन्तला रङको पुस्तक;पुस्तक|सुन्तला|सुन्तला रङको पुस्तक
📚;पुस्तकहरू;पुस्तक|पुस्तकहरू
📓;नोटबुक;नोटबुक
📒;लेजर;नोटबुक|लेजर
📃;कर्लसहितको पृष्ठ;कर्ल|कर्लसहितको पृष्ठ|कागजात|पृष्ठ
📜;स्क्रोल;पाना|स्क्रोल
📄;माथि फर्केको पाना;कागजात|पाना|माथि फर्केको पाना
📰;समाचारपत्र;पत्र|समाचार|समाचारपत्र
🗞️;माथि-रोल भएको समाचारपत्र;पत्र|माथि-रोल भएको समाचारपत्र|रोल गरिएको|समाचार|समाचारपत्र
📑;बुकमार्क ट्याबहरू;चिन्ह|ट्याबहरू|बुकमार्क|मार्कर
🔖;बुकमार्क;चिन्ह|बुकमार्क
🏷️;लेबल;लेबल
💰;पैसाको झोला;झोला|डलर|पैसा|पैसा राख्ने झोला|पैसाको झोला
🪙;सिक्का;खजाना|चाँदी|धातु|पैसा|सिक्का|सुन
💴;येन बैंकनोट;नोट|पैसा|बिल|बैंकनोट|मुद्रा|येन
💵;डलर बैंकनोट;डलर|नोट|पैसा|बिल|बैंक|बैंकनोट|मुद्रा
💶;यूरो बैंकनोट;बिल|बैंक|बैंकनोट|मुद्रा|यूरो
💷;पाउण्ड बैंकनोट;नोट|पाउण्ड|पैसा|बिल|बैंक|बैंकनोट|मुद्रा
💸;पखेटावाला पैसा;उड्ने|पखेटा|पखेटावाला पैसा|पैसा|बिल|ैंकनोट
💳;क्रेडिट कार्ड;कार्ड|क्रेडिट|पैसा|बैंक
🧾;भर्पाई;प्रमाण|बुककिपिङ|भर्पाई|लेखा
💹;येनसँगै बढिरहेको चार्ट;ग्राफ|चार्ट|पैसा|येन|येनसँगै बढिरहेको चार्ट|वृद्धि
✉️;खाम;इमेल|इमेेल|खाम
📧;इमेल;इमेल|चिठ्ठी|मेल
📨;आगमन खाम;आगमन|इमेल|खाम|चिठ्ठी|प्राप्त|मेल
📩;तीरसहितको खाम;इमेल|खाम|तीर|तीरसहितको खाम|बहिर्गमन|मेल
📤;आउटबक्स ट्रे;आउटबक्स|चिठ्ठी|ट्रे|पठाएको|बक्स|मेल
📥;इनबक्स ट्रे;इनबक्स|चिठी|ट्रे|पत्र|प्राप्त गर्नु|बक्स
📦;प्याकेज;पार्सल|प्याकेज|बक्स
📫;उठेको झन्डासहितको बन्द भएको मेलबक्स;उठेको झन्डासहितको बन्द भएको मेलबक्स|खुला|पोस्टबक्स|बन्द भएको|मेल|मेलबक्स
📪;तलको झन्डासहितको बन्द भएको मेलबक्स;तलको झन्डासहितको बन्द भएको मेलबक्स|तल्लो अक्षरको|पोस्टबक्स|बन्द भएको|मेल|मेलबक्स
📬;उठेको झन्डासहितको खुला मेलबक्स;उठेको झन्डासहितको खुला मेलबक्स|खुला|पोस्टबक्स|मेल|मेलबक्स
📭;तलको झन्डासहितको खुला मेलबक्स;खुला|तलको झन्डासहितको खुला मेलबक्स|तल्लो अक्षरको|पोस्टबक्स|मेल|मेलबक्स
📮;पोस्टबक्स;पोस्टबक्स|मेल|मेलबक्स
🗳️;मतदानपत्रसहितको मतदान बाकस;बक्स|मतदान|मतदानपत्रसहितको मतदान बाकस
✏️;शिशा कलम;शिशा कलम
✒️;कालो निब;कलम|कालो निब|निब
🖋️;फाउन्टेन कलम;कलम|फाउन्टेन
🖊️;कलम;कलम|बलपोइन्ट
🖌️;पेन्टब्रस;पेन्टब्रस|पेन्टिङ्
🖍️;क्रेयोन;क्रेयोन|क्र्योन
📝;मेमो;पेन्सिल|मेमो
💼;ब्रिफकेस;ब्रिफकेस
📁;फाइल फोल्डर;फाइल|फोल्डर
📂;खुला फाइलको फोल्डर;खुला फाइलको फोल्डर|खोल्न|फाइल|फोल्डर
🗂️;कार्ड सूचक ड्राइभरहरू;कार्ड|ड्राइभरहरू|सूचक
📅;पात्रो;पात्रो|मिति
📆;टियर-अफ-पात्रो;टियर-अफ-पात्रो|पात्रो
🗒️;स्पाइरल नोटप्याड;नोट|प्याड|स्पाइरल|स्पाइरल नोटप्याड
🗓️;स्पाइरल पात्रो;पात्रो|प्याड|स्पाइरल
📇;कार्ड सूचक;कार्ड|रोलोडेक्स|सूचक
📈;बढ्दो चार्ट;ग्राफ|चार्ट|ट्रेन्ट|बढ्दो चार्ट|माथि|विकास
📉;घट्दो चार्ट;घट्दो चार्ट|चार्ट घट्दो
📊;बार चार्ट;ग्राफ|चार्ट|बार
📋;क्लिपबोर्ड;क्लिपबोर्ड
📌;पुसपिन;पिन|पुसपिन
📍;गोलो पुसपिन;गोलो पुसपिन|पिन|पुसपिन
📎;पेपरक्लिप;पेपरक्लिप
🖇️;लिङ्क गरिएको पेपरक्लिपहरू;पेपरक्लिपहरू|लिङ्क|लिङ्क गरिएको पेपरक्लिपहरू
📏;सीधा स्केल;सीधा किनारा|सीधा स्केल|स्केल
📐;त्रिकोणीय स्केल;त्रिकोण|त्रिकोणीय स्केल|सेट|स्केल
✂️;कैँची;उपकरण|काट्ने|कैँची
🗃️;कार्ड फाइल बाकस;कार्ड|कार्ड फाइल बाकस|फाइल|बक्स
🗄️;फाइल क्याबिनेट;क्याबिनेट|फाइल
🗑️;फोहोर फाल्ने डालो;फोहोर फाल्ने डालो
🔒;लक;बन्द गरेको|लक
🔓;लक खोलिएको;खुला|लक|लक खोलिएको
🔏;कलमले लक गरिएको;कलम|कलमले लक गरिएको|गोपनीयता|निब|मसी|लक
🔐;चाबीले लक गरिएको;चाबीले लक गरिएको|बन्द|लक|साँचो|सुरक्षित
🔑;साँचो;ताल्चा|पासवर्ड|साँचो
🗝️;पुरानो साँचो;ताल्चा|पुरानो|संकेत|साँचो
🔨;घन;उपकरण|घन
🪓;बन्चरो;चिर्नु|दाउरा|धार|बन्चरो|विभाजित
⛏️;उठाउने;उठाउने|उत्खनन|उपकरण
⚒️;घन र उठाउने;उठाउने|उपकरण|घन|घन र उठाउने
🛠️;घन र रिन्च;उपकरण|घन|घन र रिन्च|रिन्च
🗡️;ड्यागर;चक्कु|ड्यागर|हतियार
⚔️;क्रस तरवार;क्रस|तरवार|हतियार
💣;बम;बम|हँसाउने
🪃;बुमर्‍याङ;अस्ट्रेलिया|पूर्व सावधानी|बुमर्‍याङ|रिबाउन्ड
🏹;धनुष बाण;तीर|धनुष बाण|धनुष हान्ने
🛡️;ढाल;ढाल|हतियार
🪚;कार्पेन्टर स;उपकरण|कार्पेन्टर|लम्बर|स
🔧;रिन्च;उपकरण|रिन्च
🪛;मार्तोल;उपकरण|मार्तोल|स्क्रु
🔩;नट र बोल्ट;उपकरण|नट|नट र बोल्ट|बोल्ट
⚙️;गियर;उपकरण|गियर
🗜️;संकुचन;उपकरण|भाइस|संकुचन
⚖️;सन्तुलन स्केल;उपकरण|तुला|तौल|न्याय|राशि|सन्तुलन|स्केल
🦯;प्रोबिङ केन;अन्धो|उपलब्धता|प्रोबिङ केन
🔗;लिंक;लिंक
⛓️‍💥;भाँचिएको चेन;कफ|चेन|तोड्नु|भाँचिएको चेन|भाँच्नु|स्वतन्त्रता
⛓️;चेन;चेन
🪝;हुक;इन्सनेयर|कर्भ|ठग|बिक्री गर्ने बिन्दु|समात्नु|हुक
🧰;औँजारबाकस;उपकरण|औँजारबाकस|बाकस|मेकानिक
🧲;चुम्बक;आकर्षण|घोडाको खुट्टामा बाँध्ने फलाम|चुम्बक|चुम्बकीय
🪜;भर्‍याङ;चड्नु|चरण|झर्‍याङ|भर्‍याङ|रङ
⚗️;ऐलेम्बिक;ऐलेम्बिक|केमेस्ट्री|साधन
🧪;टेस्ट ट्युब;टेस्ट ट्युब|प्रयोग|प्रयोगशाला|रसायन शास्त्र|रसायन शास्त्री|विज्ञान
🧫;पेट्री डिस;कल्चर|जीव विज्ञान|जीवशास्त्री|पेट्री डिस|प्रयोगशाला|ब्याक्टेरिया
🧬;डिएनए;क्रमिक विकास|जिन|जिन विज्ञान|जीवन|जीवशास्त्री|डिएनए
🔬;सुक्ष्मदर्शक यन्त्र;उपकरण|विज्ञान|सुक्ष्मदर्शक यन्त्र
🔭;टेलिस्कोप;उपकरण|टेलिस्कोप|विज्ञान
📡;स्याटलाइट एन्टेना;एन्टेना|डिस्|स्याटलाइट
💉;सूई;औषधि|बिरामी|सट|सुई|सूई
🩸;रक्तको थोपा;ऋतुस्राव|औषधी|रक्त दान|रक्तको थोपा
💊;औंषधीको गोली;औषधि|औंषधिको गोली|औंषधीको गोली|डाक्टर|बिरामी
🩹;टाँस्सिने ब्यान्डेज;टाँस्सिने ब्यान्डेज|ब्यान्डेज
🩼;क्रच;अक्षमता|क्रच|चोट लाग्नु|बेत|लट्ठी|हिँडडुल सहायक
🩺;स्टेथोस्कोप;औषधी|डाक्टर|स्टेथोस्कोप|हृदय
🩻;एक्सरे;एक्सरे|कङ्काल|डाक्टर|मेडिकल|हाडहरू
🚪;ढोका;ढोका
🛗;एलिभेटर;उपलब्धता|एलिभेटर|लिफ्ट|होइस्ट
🪞;ऐना;ऐना|प्रतिबिम्ब|प्रतिबिम्बकर्ता|स्पेकुलुम
🪟;झ्याल;खुला|झ्याल|ताजा हावा|दृश्य|पारदर्शी|फ्रेम
🛏️;खाट;खाट|सुत्ने|होटेल
🛋️;कउच र बत्ती;कउच|कउच र बत्ती|बत्ती|होटेल
🪑;कुर्सी;कुर्सी|बस्नु|बस्ने ठाउँ
🚽;चर्पी;चर्पी
🪠;प्लन्जर;प्लन्जर|प्लम्बर|फोर्स कप|शौचालय|सक्सन
🚿;नुहाउने;नुहाउने|पानी
🛁;बाथटब;बाथ|बाथटब
🪤;मुसाको जालो;जालो|बेट|मुसाको जालो|स्नेयर
🪒;रेजर;खौरिनु|तिखो|रेजर
🧴;लोसनको बोतल;मोइस्चराइजर|लोसन|लोसनको बोतल|श्याम्पु|सनस्क्रिन
🧷;हुक्सियो;डायपर|पङ्क रक|हुक्सियो
🧹;कुचो;कुचो|बढार्ने कार्य|बोक्सी|सफाइ कार्य
🧺;डालो;खेतीपाती|डालो|बनभोज|लुगा धुने कार्य
🧻;कागजको बण्डल;कागजको तौलिया|कागजको बण्डल|ट्वाइलेट पेपर
🪣;बकेट;कास्क|पेल|बकेट|भ्याट
🧼;साबुन;धुने कार्य|नुहाउने कार्य|फिँज|बार|साबुन|साबुनको झोल
🫧;फोकाहरू;पानीमुनि|फोकाहरू|बर्प|सफा|साबुन
🪥;मन्जन;दन्त|दाँत|बाथरुम|ब्रस|मन्जन|सफा|हाइजिन
🧽;स्पोन्ज;सरसफाइ कार्य|ससाना प्वाल भएको|सोस्ने कार्य|स्पोन्ज
🧯;आगो निभाउने;आगो|आगो निभाउने|निभाउनु|निभाउने कार्य
🛒;किनमेल गर्ने कार्ट;कार्ट|किनमेल|किनमेल गर्ने कार्ट|ट्रली
🚬;धुम्रपान;धुम्रपान|सिगरेट
⚰️;कफिन;कफिन|मृत्यु
🪦;हेडस्टोन;ग्रेभ|ग्रेभयार्ड|टुम्बस्टोन|मरनघाट|हेडस्टोन
⚱️;मलाम अर्न;अर्न|मलाम|मृत्यु
🧿;बुटी;आकर्षण|कुदृष्टि|दाना|नजर|बुटी
🪬;हम्सा;ताबिज|फातिमा|मिरियम|मेरी|सुरक्षा|हम्सा|हात
🗿;मोवई;अनुहार|मूर्ति|मोवई
🪧;प्लेकार्ड;चिन्ह|पिकेट|प्रस्तुतीकरण|प्लेकार्ड|विरोध
🪪;परिचय पत्र;आइडी|परिचय पत्र|प्रमाण|लाइसेन्स|सुरक्षा

[symbols]
🏧;एटिएमको संकेत;एटिएम|एटिएम चिन्ह|एटिएमको संकेत|टेलर|बैंक|स्वचालित
🚮;रद्दी टोकरीको संकेतमा फोहोर फालौं;फोहोर|फोहोर फाल्ने टोकरी|रद्दी टोकरीको संकेतमा फोहोर फालौं
🚰;पिउन योग्य पानी;पानी|पिउन योग्य पानी|पिउनयोग्य|पिउने
♿;ह्विलचेयरको संकेत;पहुँच|ह्विलचेयरको संकेत
🚹;पुरुषको कोठा;पानी पाइने ठाउँ|पुरुषको कोठा|पुरूष|पुरूषको कोठा|शौंचालय
🚺;महिलाको कोठा;पानी पाइने ठाउँ|महिला|महिलाको कोठा|शौंचालय
🚻;शौंचालय;पानी पाइने ठाउँ|शौंचालय
🚼;बच्चाको संकेत;कपडा फेर्ने|बच्चा|बच्चाको संकेत
🚾;पानी पाइने ठाउँ;कोठा|पानी|पानी पाइने ठाउँ|शौंचालय
🛂;पासपोर्ट चेकजाँच;चेकजाँच|पासपोर्ट
🛃;भन्सार;भन्सार
🛄;ब्यागेज क्लेम;दावी|ब्यागेज|ब्यागेज क्लेम
🛅;छाडिएको सामान;छाडिएको सामान|ब्यागेज|लकर|लगेज
⚠️;चेतावनी;चेतावनी
🚸;बच्चाले बाटो काट्दै;क्रस गर्दै|ट्राफिक|पदयात्री|बच्चा|बच्चाले बाटो काट्दै
⛔;प्रवेश छैन;छैन|ट्राफिक|निषेधित|प्रवेश|रोकिएको|होइन
🚫;निषेधित;छैन|निषेधित|प्रवेश|रोकिएको|होइन
🚳;साइकल चलाउन पाइँदैन;निषेधित|बाइक|रोकिएको|साइकल|साइकल चलाउन पाइँदैन|होइन
🚭;धुम्रपान गर्न पाइँदैन;छैन|धुम्रपान|धुम्रपान गर्न पाइँदैन|निषेधित|रोकिएको|होइन
🚯;फोहोर फाल्न पाइँदैन;छैन|निषेधित|फोहोर|फोहोर फाल्न पाइँदैन|रोकिएको|होइन
🚱;पिउन-अयोग्य पानी;पानी|पिउन अयोग्य|पिउन अयोग्य पानी|पिउन-अयोग्य पानी
🚷;पदयात्रीहरूको लागि होइन;छैन|निषेधित|पदयात्री|पदयात्रीहरूको लागि होइन|रोकिएको|होइन
📵;मोबाइल फोनलाई अनुमति छैन;निषेधित|फोन|मोबाइल|मोबाइल फोनलाई अनुमति छैन|सेल|होइन
🔞;कोही पनि अठार बर्षभन्दा कम हुनुहुँदैन;१८|अठाह्र|उमेरमा रोकटोक|कोही पनि अठार बर्षभन्दा कम हुनुहुँदैन|नाबालिग|रोकिएको
☢️;रेडियोएक्टिभ;रेडियोएक्टिभ|संकेत
☣️;बायोहाजार्ड;बायोहाजार्ड|संकेत
⬆️;माथि फर्केको तीर;उत्तर|कार्डिनल|तीर|दिशा|माथि फर्केको तीर
↗️;माथि-दायाँ फर्केको तीर;उत्तरदक्षीण|कार्डिनल विपरित|तीर|दिशा|माथि-दायाँ फर्केको तीर
➡️;दायाँ तर्फको तीर;कार्डिनल|तीर|दायाँ तर्फको तीर|दिशा|पूर्व
↘️;तल दायाँतर्फको तीर;इन्टरकार्डिनल|तल दायाँतर्फको तीर|तीर|दक्षिण पूर्व|दिशा
⬇️;तलतर्फको तीर;कार्डिनल|तल|तलतर्फको तीर|तीर|दक्षिण|दिशा
↙️;तल बायाँतर्फको तीर;इन्टरकार्डिनल|तल बायाँतर्फको तीर|तीर|दक्षिण पूर्व|दिशा
⬅️;बायाँतर्फको तीर;कार्डिनल|तीर|दिशा|पश्चिम|बायाँतर्फको तीर
↖️;माथि बायातर्फको तीर;इन्टरकार्डिनल|उत्तर पश्चिम|तीर|दिशा|माथि बायातर्फको तीर
↕️;माथि-तल वाण;माथि-तल वाण|वाण
↔️;बायाँ-दायाँ वाण;बायाँ-दायाँ वाण|वाण
↩️;बायाँ मोडेको दायाँ वाण;बायाँ मोडेको दायाँ वाण|वाण
↪️;दायाँ मोडेको बायाँ वाण;दायाँ मोडेको बायाँ वाण|वाण
⤴️;माथि मोडेको दायाँ वाण;माथि मोडेको दायाँ वाण|वाण
⤵️;तल मोडेको दायाँ वाण;तल|तल मोडेको दायाँ वाण|वाण
🔃;घडीको दिशातिर ठाडो वाणहरू;घडीको दिशा तिर|घडीको दिशातिर ठाडो वाणहरू|पुनः लोड|वाण
🔄;घडीको दिशाविपरीततिर वाणहरूको बटन;घडीको दिशा तिर|घडीको दिशा विपरीत तिर|घडीको दिशाविपरीततिर वाणहरूको बटन|वाण|विथरसिन्न
🔙;पछाडि संकेत गर्ने वाण;पछाडि जाने|पछाडि संकेत गर्ने वाण|वाण
🔚;सकिएको संकेत गर्ने वाण;अन्तिम|वाण|सकिएको संकेत गर्ने वाण
🔛;चलिरहेको! संकेत गर्ने वाण;चलिरहेको! संकेत गर्ने वाण|चिन्ह|मा|वाण
🔜;छिट्टै आउने संकेत गर्ने वाण;आउने|छिट्टै आउने संकेत गर्ने वाण|वाण
🔝;माथिको संकेत गर्ने वाण;माथि|माथिको संकेत गर्ने वाण|वाण|शीर्ष
🛐;पूजा गर्ने ठाउँ;धर्म|पूजा गर्ने|पूजा गर्ने ठाउँ
⚛️;परमाणुको संकेत;नास्तिक|परमाणु|परमाणुको संकेत
🕉️;ओम;ओम|धर्म|हिन्दु
✡️;डेभिडको तारा;डेभिड|डेभिडको तारा|तारा|धर्म|यहूदी
☸️;धर्मको पाङ्ग्रा;धर्म|धर्मको पाङ्ग्रा|धर्मा|पाङ्ग्रा|बुद्धिस्ट
☯️;यिन याङ्ग;टाविस्ट|टावो|धर्म|याङ्ग|यिन
✝️;ल्याटिन क्रस;क्रस|क्रिस्चियन|धर्म|ल्याटिन क्रस
☦️;अर्थडक्स क्रस;अर्थडक्स क्रस|क्रस|क्रिस्चियन|धर्म
☪️;तारा र अर्धचन्द्र;इस्लाम|तारा र अर्धचन्द्र|धर्म|मुस्लिम
☮️;शान्तिको प्रतिक;शान्ति|शान्तिको प्रतिक
🕎;मनोराह;क्यान्डेलस्टिक|क्यान्डेलाब्रम|धर्म|मनोराह
🔯;डट गरेको-छ-विन्दू तारा;डट गरेको-छ-विन्दू तारा|तारा|भाग्य
🪯;खण्डा;खण्डा|धर्म|शिख
♈;मेष;मेष|राम|राशि
♉;वृष;गोरू|राशि|वृष
♊;मिथुन;मिथुन|राशि|समान
♋;कर्कट;कर्कट|राशि
♌;सिंह;राशि|सिंह
♍;कन्या;कन्या|कुमारी|राशि
♎;तुला;तुला|न्याय|राशि|सन्तुलन|स्केल
♏;वृश्चिक;राशि|विच्छु|वृश्चिक
♐;धनु;धनु|राशि
♑;मकर;बाख्रा|मकर|राशि
♒;कुम्भ;कुम्भ|धारक|पानी|राशि
♓;मिन;माछा|मिन|राशि
⛎;अफिकुअस;अफिकुअस|धारक|नाग|राशि|सर्प
🔀;ट्रयाकहरूको बटन बदल्न;क्रस गरेको|ट्रयाकहरूको बटन बदल्न|वाण
🔁;दोहोर्याउने बटन;घडीको दिशातिर|दोहोर्याउन|दोहोर्याउने बटन|वाण
🔂;एकैलाई दोहोर्याउने बटन;एक पटक|एकैलाई दोहोर्याउने बटन|घडीको दिशातिर|वाण
▶️;बजाउने बटन;त्रिकोण|दायाँ|बजाउन|बजाउने बटन|वाण
⏩;छिटो-फर्वाड गर्ने बटन;छिटो|छिटो-फर्वाड गर्ने बटन|दोहोरो|फर्वाड|वाण
⏭️;अर्को ट्रयाक गर्ने बटन;अर्को ट्रयाक|अर्को ट्रयाक गर्ने बटन|अर्को दृश्य|त्रिकोण|वाण
⏯️;बजाउने वा रोक्ने बटन;त्रिकोण|दायाँ|बजाउने|बजाउने वा रोक्ने बटन|रोक्ने|वाण
◀️;उल्ट्याउने बटन;उल्ट्याउन|उल्ट्याउने बटन|त्रिकोण|बायाँ|वाण
⏪;छिटो उल्ट्याउने बटन;छिटो उल्ट्याउने बटन|दोहोरो|दोहोर्याउन|वाण
⏮️;अन्तिम ट्रयाक बटन;अघिल्लो ट्रयाक|अघिल्लो दृश्य|अन्तिम ट्रयाक बटन|त्रिकोण|वाण
🔼;माथिको बटन;बटन|माथिको बटन|रातो|वाण
⏫;छिटो माथि जाने बटन;छिटो माथि जाने बटन|दोहोरो|वाण
🔽;तलको बटन;तल|तलको बटन|बटन|रातो|वाण
⏬;छिटो तल जाने बटन;छिटो तल जाने बटन|तल|दोहोरो|वाण
⏸️;पज बटन;ठाडो|दोहोरो|पज बटन|पट्टी|रोक्ने
⏹️;रोक्ने बटन;रोक्ने|रोक्ने बटन|वर्ग
⏺️;रेकर्ड गर्न बटन;रेकर्ड|रेकर्ड गर्न बटन|सर्कल
⏏️;बाहिर निस्कने बटन;बाहिर निस्कने|बाहिर निस्कने बटन
🎦;सिनेमा;क्यामेरा|फिल्म|सिनेमा
🔅;मधुरो बटन;कम|चम्किलो|मधुरो|मधुरो बटन
🔆;चम्किलो बटन;चमक|चम्किलो|चम्किलो बटन
📶;एन्टेन्ना बार;एन्टेन्ना|टेलिफोन|फोन|बार|मोबाइल|सिग्नल|सेल
🛜;वायरलेस;इन्टरनेट|कम्प्युटर|नेटवर्क|वायरलेस
📳;भाइब्रेसन मोड;टेलिफोन|फोन|भाइब्रेसन|मोड|मोबाइल|सेल
📴;मोबाइल फोन बन्द;टेलिफोन|फोन|बन्द|मोबाइल|सेल
♀️;महिला चिन्ह;छोरी मान्छे|महिला|महिला चिन्ह
♂️;पुरूष चिन्ह;छोरा मान्छे|पुरूष|पुरूष चिन्ह
⚧️;ट्रान्सजेन्डर प्रतीक;ट्रान्सजेन्डर|ट्रान्सजेन्डर प्रतीक
✖️;गुणन;×|x|गुणन|गुणन गर्ने|चिन्ह|रद्द
➕;जोड;+|गणित|चिन्ह|जोड
➖;घटाउ;-|−|गणित|घटाउ|चिन्ह
➗;भाग;÷|गणित|चिन्ह|भाग
🟰;मोटो खाले बराबरको चिन्ह;गणित|मोटो खाले बराबरको चिन्ह|समानता
♾️;अपरिमित;अपरिमित|बिना रोकटोकवाला|विश्वव्यापी|सदाका लागि
‼️;दोहोरो विस्मयाधिबोधक चिन्ह;चिन्ह|दोहोरो विस्मयाधिबोधक चिन्ह|ब्याङ्ब्याङ्|विराम चिन्ह|विस्मयाधिबोधक चिन्ह
⁉️;विस्मयाधिबोधक प्रश्न चिन्ह;इन्ट्रोब्याङ्ग|चिन्ह|प्रश्न|विराम चिन्ह|विस्मयाधिबोधक
❓;प्रश्न चिन्ह;चिन्ह|प्रश्न|विराम चिन्ह
❔;सेतो प्रश्न चिन्ह;चिन्ह|प्रश्न|बाहिरि रेखा|विराम चिन्ह|सेतो प्रश्न चिन्ह
❕;सेतो विस्मयाधिबोधक चिन्ह;चिन्ह|बाहिरि रेखा|विराम चिन्ह|विस्मयाधिबोधक|सेतो विस्मयाधिबोधक चिन्ह
❗;विस्मयाधिबोधक चिन्ह;चिन्ह|विराम चिन्ह|विस्मयाधिबोधक
〰️;झुन्डिएको ड्याश;झुन्डिएको|ड्याश|विराम चिन्ह
💱;मुद्रा बिनिमय;पैसा|बिनिमय|बैंक|मुद्रा
💲;भारी डलरको चिन्ह;डलर|पैसा|भारी डलरको चिन्ह|मुद्रा
⚕️;चिकित्सीय चिन्ह;एस्कुलापियस|औंषधि|चिकित्सीय चिन्ह|स्टाफ
