# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;وجه بابتسامة عريضة;ابتسام|ضحك|وجه بابتسامة عريضة|وجه مبتسم
	👩🏾‍❤️‍👨🏽;زوج وقلب: سيدة، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون معتدل;أشخاص|بشرة بلون معتدل|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: سيدة، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون معتدل|سيدة|قلب
	👩🏾‍❤️‍👨🏾;زوج وقلب: سيدة، ورجل، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: سيدة، ورجل، وبشرة بلون معتدل مائل للغامق|سيدة|قلب
	👩🏾‍❤️‍👨🏿;زوج وقلب: سيدة، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: سيدة، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون غامق|سيدة|قلب
	👩🏿‍❤️‍👨🏻;زوج وقلب: سيدة، ورجل، وبشرة بلون غامق، وبشرة بلون فاتح;أشخاص|بشرة بلون غامق|بشرة بلون فاتح|رجل|رومانسية|زوج وقلب|زوج وقلب: سيدة، ورجل، وبشرة بلون غامق، وبشرة بلون فاتح|سيدة|قلب
	👩🏿‍❤️‍👨🏼;زوج وقلب: سيدة، ورجل، وبشرة بلون غامق، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون غامق|بشرة بلون فاتح ومعتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: سيدة، ورجل، وبشرة بلون غامق، وبشرة بلون فاتح ومعتدل|سيدة|قلب
	👩🏿‍❤️‍👨🏽;زوج وقلب: سيدة، ورجل، وبشرة بلون غامق، وبشرة بلون معتدل;أشخاص|بشرة بلون غامق|بشرة بلون معتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: سيدة، ورجل، وبشرة بلون غامق، وبشرة بلون معتدل|سيدة|قلب
	👩🏿‍❤️‍👨🏾;زوج وقلب: سيدة، ورجل، وبشرة بلون غامق، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون غامق|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: سيدة، ورجل، وبشرة بلون غامق، وبشرة بلون معتدل مائل للغامق|سيدة|قلب
	👩🏿‍❤️‍👨🏿;زوج وقلب: سيدة، ورجل، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|رجل|رومانسية|زوج وقلب|زوج وقلب: سيدة، ورجل، وبشرة بلون غامق|سيدة|قلب
👨‍❤️‍👨;زوج وقلب: رجل ورجل;أشخاص|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل ورجل|قلب
	👨🏻‍❤️‍👨🏻;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح;أشخاص|بشرة بلون فاتح|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح|قلب
	👨🏻‍❤️‍👨🏼;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح|بشرة بلون فاتح ومعتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح، وبشرة بلون فاتح ومعتدل|قلب
	👨🏻‍❤️‍👨🏽;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح، وبشرة بلون معتدل;أشخاص|بشرة بلون فاتح|بشرة بلون معتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح، وبشرة بلون معتدل|قلب
	👨🏻‍❤️‍👨🏾;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون فاتح|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح، وبشرة بلون معتدل مائل للغامق|قلب
	👨🏻‍❤️‍👨🏿;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|بشرة بلون فاتح|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح، وبشرة بلون غامق|قلب
	👨🏼‍❤️‍👨🏻;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل، وبشرة بلون فاتح;أشخاص|بشرة بلون فاتح|بشرة بلون فاتح ومعتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل، وبشرة بلون فاتح|قلب
	👨🏼‍❤️‍👨🏼;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح ومعتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل|قلب
	👨🏼‍❤️‍👨🏽;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل، وبشرة بلون معتدل;أشخاص|بشرة بلون فاتح ومعتدل|بشرة بلون معتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل، وبشرة بلون معتدل|قلب
	👨🏼‍❤️‍👨🏾;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون فاتح ومعتدل|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل، وبشرة بلون معتدل مائل للغامق|قلب
	👨🏼‍❤️‍👨🏿;زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|بشرة بلون فاتح ومعتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون فاتح ومعتدل، وبشرة بلون غامق|قلب
	👨🏽‍❤️‍👨🏻;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل، وبشرة بلون فاتح;أشخاص|بشرة بلون فاتح|بشرة بلون معتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل، وبشرة بلون فاتح|قلب
	👨🏽‍❤️‍👨🏼;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح ومعتدل|بشرة بلون معتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل، وبشرة بلون فاتح ومعتدل|قلب
	👨🏽‍❤️‍👨🏽;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل;أشخاص|بشرة بلون معتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل|قلب
	👨🏽‍❤️‍👨🏾;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون معتدل|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل، وبشرة بلون معتدل مائل للغامق|قلب
	👨🏽‍❤️‍👨🏿;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|بشرة بلون معتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل، وبشرة بلون غامق|قلب
	👨🏾‍❤️‍👨🏻;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون فاتح;أشخاص|بشرة بلون فاتح|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون فاتح|قلب
	👨🏾‍❤️‍👨🏼;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح ومعتدل|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون فاتح ومعتدل|قلب
	👨🏾‍❤️‍👨🏽;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون معتدل;أشخاص|بشرة بلون معتدل|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون معتدل|قلب
	👨🏾‍❤️‍👨🏾;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق|قلب
	👨🏾‍❤️‍👨🏿;زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون معتدل مائل للغامق، وبشرة بلون غامق|قلب
	👨🏿‍❤️‍👨🏻;زوج وقلب: رجل، ورجل، وبشرة بلون غامق، وبشرة بلون فاتح;أشخاص|بشرة بلون غامق|بشرة بلون فاتح|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون غامق، وبشرة بلون فاتح|قلب
	👨🏿‍❤️‍👨🏼;زوج وقلب: رجل، ورجل، وبشرة بلون غامق، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون غامق|بشرة بلون فاتح ومعتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون غامق، وبشرة بلون فاتح ومعتدل|قلب
	👨🏿‍❤️‍👨🏽;زوج وقلب: رجل، ورجل، وبشرة بلون غامق، وبشرة بلون معتدل;أشخاص|بشرة بلون غامق|بشرة بلون معتدل|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون غامق، وبشرة بلون معتدل|قلب
	👨🏿‍❤️‍👨🏾;زوج وقلب: رجل، ورجل، وبشرة بلون غامق، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون غامق|بشرة بلون معتدل مائل للغامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون غامق، وبشرة بلون معتدل مائل للغامق|قلب
	👨🏿‍❤️‍👨🏿;زوج وقلب: رجل، ورجل، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|رجل|رومانسية|زوج وقلب|زوج وقلب: رجل، ورجل، وبشرة بلون غامق|قلب
👩‍❤️‍👩;زوج وقلب: سيدة وسيدة;أشخاص|رومانسية|زوج وقلب|زوج وقلب: سيدة وسيدة|سيدة|قلب
	👩🏻‍❤️‍👩🏻;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح;أشخاص|بشرة بلون فاتح|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح|سيدة|قلب
	👩🏻‍❤️‍👩🏼;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح|بشرة بلون فاتح ومعتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح، وبشرة بلون فاتح ومعتدل|سيدة|قلب
	👩🏻‍❤️‍👩🏽;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح، وبشرة بلون معتدل;أشخاص|بشرة بلون فاتح|بشرة بلون معتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح، وبشرة بلون معتدل|سيدة|قلب
	👩🏻‍❤️‍👩🏾;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون فاتح|بشرة بلون معتدل مائل للغامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح، وبشرة بلون معتدل مائل للغامق|سيدة|قلب
	👩🏻‍❤️‍👩🏿;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|بشرة بلون فاتح|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح، وبشرة بلون غامق|سيدة|قلب
	👩🏼‍❤️‍👩🏻;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل، وبشرة بلون فاتح;أشخاص|بشرة بلون فاتح|بشرة بلون فاتح ومعتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل، وبشرة بلون فاتح|سيدة|قلب
	👩🏼‍❤️‍👩🏼;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح ومعتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل|سيدة|قلب
	👩🏼‍❤️‍👩🏽;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل، وبشرة بلون معتدل;أشخاص|بشرة بلون فاتح ومعتدل|بشرة بلون معتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل، وبشرة بلون معتدل|سيدة|قلب
	👩🏼‍❤️‍👩🏾;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون فاتح ومعتدل|بشرة بلون معتدل مائل للغامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل، وبشرة بلون معتدل مائل للغامق|سيدة|قلب
	👩🏼‍❤️‍👩🏿;زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|بشرة بلون فاتح ومعتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون فاتح ومعتدل، وبشرة بلون غامق|سيدة|قلب
	👩🏽‍❤️‍👩🏻;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل، وبشرة بلون فاتح;أشخاص|بشرة بلون فاتح|بشرة بلون معتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل، وبشرة بلون فاتح|سيدة|قلب
	👩🏽‍❤️‍👩🏼;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح ومعتدل|بشرة بلون معتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل، وبشرة بلون فاتح ومعتدل|سيدة|قلب
	👩🏽‍❤️‍👩🏽;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل;أشخاص|بشرة بلون معتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل|سيدة|قلب
	👩🏽‍❤️‍👩🏾;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون معتدل|بشرة بلون معتدل مائل للغامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل، وبشرة بلون معتدل مائل للغامق|سيدة|قلب
	👩🏽‍❤️‍👩🏿;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|بشرة بلون معتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل، وبشرة بلون غامق|سيدة|قلب
	👩🏾‍❤️‍👩🏻;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق، وبشرة بلون فاتح;أشخاص|بشرة بلون فاتح|بشرة بلون معتدل مائل للغامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق، وبشرة بلون فاتح|سيدة|قلب
	👩🏾‍❤️‍👩🏼;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح ومعتدل|بشرة بلون معتدل مائل للغامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق، وبشرة بلون فاتح ومعتدل|سيدة|قلب
	👩🏾‍❤️‍👩🏽;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق، وبشرة بلون معتدل;أشخاص|بشرة بلون معتدل|بشرة بلون معتدل مائل للغامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق، وبشرة بلون معتدل|سيدة|قلب
	👩🏾‍❤️‍👩🏾;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون معتدل مائل للغامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق|سيدة|قلب
	👩🏾‍❤️‍👩🏿;زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|بشرة بلون معتدل مائل للغامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون معتدل مائل للغامق، وبشرة بلون غامق|سيدة|قلب
	👩🏿‍❤️‍👩🏻;زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق، وبشرة بلون فاتح;أشخاص|بشرة بلون غامق|بشرة بلون فاتح|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق، وبشرة بلون فاتح|سيدة|قلب
	👩🏿‍❤️‍👩🏼;زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق، وبشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون غامق|بشرة بلون فاتح ومعتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق، وبشرة بلون فاتح ومعتدل|سيدة|قلب
	👩🏿‍❤️‍👩🏽;زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق، وبشرة بلون معتدل;أشخاص|بشرة بلون غامق|بشرة بلون معتدل|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق، وبشرة بلون معتدل|سيدة|قلب
	👩🏿‍❤️‍👩🏾;زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق، وبشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون غامق|بشرة بلون معتدل مائل للغامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق، وبشرة بلون معتدل مائل للغامق|سيدة|قلب
	👩🏿‍❤️‍👩🏿;زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق;أشخاص|بشرة بلون غامق|رومانسية|زوج وقلب|زوج وقلب: سيدة، وسيدة، وبشرة بلون غامق|سيدة|قلب
👨‍👩‍👦;أسرة: رجل، وسيدة، وصبي;أب|أسرة|أسرة: رجل، وسيدة، وصبي|أشخاص|أم|رجل|سيدة|صبي|طفل
👨‍👩‍👧;أسرة: رجل، وسيدة، وفتاة;أب|أسرة|أسرة: رجل، وسيدة، وفتاة|أشخاص|أم|رجل|سيدة|طفل|فتاة
👨‍👩‍👧‍👦;أسرة: رجل، وسيدة، وفتاة، وصبي;أب|أسرة|أسرة: رجل، وسيدة، وفتاة، وصبي|أشخاص|أم|رجل|سيدة|صبي|طفل|فتاة
👨‍👩‍👦‍👦;أسرة: رجل، وسيدة، وصبي، وصبي;أب|أسرة|أسرة: رجل، وسيدة، وصبي، وصبي|أشخاص|أم|رجل|سيدة|صبي|طفل
👨‍👩‍👧‍👧;أسرة: رجل، وسيدة، وفتاة، وفتاة;أب|أسرة|أسرة: رجل، وسيدة، وفتاة، وفتاة|أشخاص|أم|رجل|سيدة|طفل|فتاة
👨‍👨‍👦;أسرة: رجل، ورجل، وصبي;أب|أسرة|أسرة: رجل، ورجل، وصبي|أشخاص|أم|رجل|صبي|طفل
👨‍👨‍👧;أسرة: رجل، ورجل، وفتاة;أب|أسرة|أسرة: رجل، ورجل، وفتاة|أشخاص|أم|رجل|طفل|فتاة
👨‍👨‍👧‍👦;أسرة: رجل، ورجل، وفتاة، وصبي;أب|أسرة|أسرة: رجل، ورجل، وفتاة، وصبي|أشخاص|أم|رجل|صبي|طفل|فتاة
👨‍👨‍👦‍👦;أسرة: رجل، ورجل، وصبي، وصبي;أب|أسرة|أسرة: رجل، ورجل، وصبي، وصبي|أشخاص|أم|رجل|صبي|طفل
👨‍👨‍👧‍👧;أسرة: رجل، ورجل، وفتاة، وفتاة;أب|أسرة|أسرة: رجل، ورجل، وفتاة، وفتاة|أشخاص|أم|رجل|طفل|فتاة
👩‍👩‍👦;أسرة: سيدة، وسيدة، وصبي;أب|أسرة|أسرة: سيدة، وسيدة، وصبي|أشخاص|أم|سيدة|صبي|طفل
👩‍👩‍👧;أسرة: سيدة، وسيدة، وفتاة;أب|أسرة|أسرة: سيدة، وسيدة، وفتاة|أشخاص|أم|سيدة|طفل|فتاة
👩‍👩‍👧‍👦;أسرة: سيدة، وسيدة، وفتاة، وصبي;أب|أسرة|أسرة: سيدة، وسيدة، وفتاة، وصبي|أشخاص|أم|سيدة|صبي|طفل|فتاة
👩‍👩‍👦‍👦;أسرة: سيدة، وسيدة، وصبي، وصبي;أب|أسرة|أسرة: سيدة، وسيدة، وصبي، وصبي|أشخاص|أم|سيدة|صبي|طفل
👩‍👩‍👧‍👧;أسرة: سيدة، وسيدة، وفتاة، وفتاة;أب|أسرة|أسرة: سيدة، وسيدة، وفتاة، وفتاة|أشخاص|أم|سيدة|طفل|فتاة
👨‍👦;أسرة: رجل وصبي;أب|أسرة|أسرة: رجل وصبي|أشخاص|أم|رجل|صبي|طفل
👨‍👦‍👦;أسرة: رجل، وصبي، وصبي;أب|أسرة|أسرة: رجل، وصبي، وصبي|أشخاص|أم|رجل|صبي|طفل
👨‍👧;أسرة: رجل وفتاة;أب|أسرة|أسرة: رجل وفتاة|أشخاص|أم|رجل|طفل|فتاة
👨‍👧‍👦;أسرة: رجل، وفتاة، وصبي;أب|أسرة|أسرة: رجل، وفتاة، وصبي|أشخاص|أم|رجل|صبي|طفل|فتاة
👨‍👧‍👧;أسرة: رجل، وفتاة، وفتاة;أب|أسرة|أسرة: رجل، وفتاة، وفتاة|أشخاص|أم|رجل|طفل|فتاة
👩‍👦;أسرة: سيدة وصبي;أب|أسرة|أسرة: سيدة وصبي|أشخاص|أم|سيدة|صبي|طفل
👩‍👦‍👦;أسرة: سيدة، وصبي، وصبي;أب|أسرة|أسرة: سيدة، وصبي، وصبي|أشخاص|أم|سيدة|صبي|طفل
👩‍👧;أسرة: سيدة وفتاة;أب|أسرة|أسرة: سيدة وفتاة|أشخاص|أم|سيدة|طفل|فتاة
👩‍👧‍👦;أسرة: سيدة، وفتاة، وصبي;أب|أسرة|أسرة: سيدة، وفتاة، وصبي|أشخاص|أم|سيدة|صبي|طفل|فتاة
👩‍👧‍👧;أسرة: سيدة، وفتاة، وفتاة;أب|أسرة|أسرة: سيدة، وفتاة، وفتاة|أشخاص|أم|سيدة|طفل|فتاة
🗣️;رأس تتحدث;تحدث|رأس|رأس تتحدث|نطق|وجه
👤;صورة ظلية;أشخاص|صورة|صورة ظلية
👥;صورتان ظليتان;أشخاص|صورتان|صورتان ظليتان
🫂;شخصان يتعانقان;ترحيب|توديع|شخصان يتعانقان|شكر|عناق
👪;أسرة;أب|أسرة|أشخاص|أم|طفل
🧑‍🧑‍🧒;أسرة: بالغ، بالغة، طفل;أسرة: بالغ، بالغة، طفل
🧑‍🧑‍🧒‍🧒;أسرة: بالغ، بالغة، طفل، طفلة;أسرة: بالغ، بالغة، طفل، طفلة
🧑‍🧒;أسرة: بالغ، طفل;أسرة: بالغ، طفل
🧑‍🧒‍🧒;أسرة: بالغ، طفل، طفلة;أسرة: بالغ، طفل، طفلة
👣;أثر قدمين;أثر قدم|أثر قدمين|جسم|خطى|قدم

[animals_nature]
🐵;وجه قرد;حيوان|قرد|وجه
🐒;قرد;حيوان|قرد
🦍;غوريلا;حيوان|غوريلا
🦧;إنسان الغاب;إنسان الغاب|قرد
🐶;وجه كلب;حيوان|كلب|وجه
🐕;كلب;حيوان|كلب
🦮;كلب دليل;أعمى|إرشاد|إمكانية الوصول|احتياجات خاصة|دليل|كفيف|كلب دليل
🐕‍🦺;كلب مساعدة;أعمى|إمكانية الوصول|احتياجات خاصة|خدمة|كفيف|كلب مساعدة|مساعدة
🐩;بودل;بودل|حيوان|كلب
🐺;وجه ذئب;حيوان|ذئب|وجه
🦊;وجه ثعلب;ثعلب|حيوان|وجه
🦝;راكون;راقون|راكون|فضولي|ماكر|محتال|مخادع
🐱;وجه قطة;حيوان|قطة|وجه
🐈;قطة;حيوان|قطة
🐈‍⬛;هرّ أسود;أسود|سوداء|سيئ الحظ|قطة|هر|هرّ أسود
🦁;وجه أسد;أسد|برج|وجه
🐯;وجه نمر;حيوان|نمر|وجه نمر
🐅;نمر;حيوان|نمر
🐆;فهد;حيوان|فهد
🐴;وجه حصان;حصان|حيوان|وجه
🫎;أيّل;أيّل|ثديات|حيوان|قرون|موظ
🫏;حمار;بغل|ثديات|جحش|حمار|حيوان|عنيد
🐎;حصان;حصان|حيوان
🦄;وجه أحادي قرن;أحادي القرن|وجه|وجه أحادي قرن
🦓;حمار وحشي;حمار وحشي
🦌;غزال;حيوان|غزال
🦬;ثور أمريكي;بايسن|ثور|ثور أمريكي|جاموس|قطيع
🐮;وجه بقرة;بقرة|حيوان|وجه
🐂;ثور;ثور|حيوان
🐃;جاموس مائي;جاموس مائي|جاموسة|حيوان
🐄;بقرة;بقرة|حيوان
🐷;وجه خنزير;حيوان|خنزير|وجه
🐖;خنزير;حيوان|خنزير
🐗;خنزير بري;حيوان|خنزير بري
🐽;أنف خنزير;أنف|حيوان|خنزير|وجه
🐏;كبش;حيوان|كبش
🐑;خروف;حيوان|خروف
🐐;معزة;حيوان|معزة
🐪;جمل وحيد السنام;جمل وحيد السنام|حيوان|سنام
🐫;جمل ثنائي السنام;جمل ثنائي السنام|حيوان|سنام
🦙;لاما;ألباكا|ألبكة|صوف|غوناق|فكونة|فيكونيا|لاما
🦒;زرافة;زرافة
🐘;فيل;حيوان|فيل
🦣;ماموث;أنياب|صوف|ضخم|فيل|ماموث|منقرض
🦏;وحيد القرن;حيوان|وحيد القرن
🦛;فرس النهر;برنيق|جاموس البحر|سيد قشطة|فرس النهر|هيبو
🐭;وجه فأر;حيوان|فأر|وجه
🐁;فأر;حيوان|فأر
🐀;جرذ;جرذ|حيوان|فأر كبير
🐹;وجه حيوان الهمستر;حيوان|همستر|وجه|وجه حيوان الهمستر
🐰;وجه أرنب;أرنب|حيوان|وجه
🐇;أرنب;أرنب|حيوان
🐿️;سنجاب;سنجاب
🦫;سمّور;سد|سمّور|قندس
🦔;قنفد;قنفد
🦇;خفاش;حيوان|خفاش
🐻;وجه دب;حيوان|دب|وجه
🐻‍❄️;دب قطبي;أبيض|القطب الشمالي|دب|دب قطبي
🐨;دب كوالا;حيوان|دب كوالا
🐼;وجه باندا;باندا|حيوان|وجه
