# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
	👨🏿‍❤️‍💋‍👨🏽;سۆيۈش: ئەر, ئەر, توق تېرە رەڭ, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|توق تېرە رەڭ|جۈپ|سۆيۈش
	👨🏿‍❤️‍💋‍👨🏾;سۆيۈش: ئەر, ئەر, توق تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|توق تېرە رەڭ|جۈپ|سۆيۈش
	👨🏿‍❤️‍💋‍👨🏿;سۆيۈش: ئەر, ئەر, and توق تېرە رەڭ;ئەر|توق تېرە رەڭ|جۈپ|سۆيۈش
👩‍❤️‍💋‍👩;سۆيۈش: ئايال and ئايال;ئايال|جۈپ|سۆيۈش
	👩🏻‍❤️‍💋‍👩🏻;سۆيۈش: ئايال, ئايال, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|جۈپ|سۆيۈش
	👩🏻‍❤️‍💋‍👩🏼;سۆيۈش: ئايال, ئايال, ئاچ تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏻‍❤️‍💋‍👩🏽;سۆيۈش: ئايال, ئايال, ئاچ تېرە رەڭ, and ئارا تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏻‍❤️‍💋‍👩🏾;سۆيۈش: ئايال, ئايال, ئاچ تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏻‍❤️‍💋‍👩🏿;سۆيۈش: ئايال, ئايال, ئاچ تېرە رەڭ, and توق تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|توق تېرە رەڭ|جۈپ|سۆيۈش
	👩🏼‍❤️‍💋‍👩🏻;سۆيۈش: ئايال, ئايال, ئارا ئاچ تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏼‍❤️‍💋‍👩🏼;سۆيۈش: ئايال, ئايال, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏼‍❤️‍💋‍👩🏽;سۆيۈش: ئايال, ئايال, ئارا ئاچ تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏼‍❤️‍💋‍👩🏾;سۆيۈش: ئايال, ئايال, ئارا ئاچ تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏼‍❤️‍💋‍👩🏿;سۆيۈش: ئايال, ئايال, ئارا ئاچ تېرە رەڭگى, and توق تېرە رەڭ;ئارا ئاچ تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيۈش
	👩🏽‍❤️‍💋‍👩🏻;سۆيۈش: ئايال, ئايال, ئارا تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏽‍❤️‍💋‍👩🏼;سۆيۈش: ئايال, ئايال, ئارا تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏽‍❤️‍💋‍👩🏽;سۆيۈش: ئايال, ئايال, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏽‍❤️‍💋‍👩🏾;سۆيۈش: ئايال, ئايال, ئارا تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏽‍❤️‍💋‍👩🏿;سۆيۈش: ئايال, ئايال, ئارا تېرە رەڭگى, and توق تېرە رەڭ;ئارا تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيۈش
	👩🏾‍❤️‍💋‍👩🏻;سۆيۈش: ئايال, ئايال, ئارا توق تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏾‍❤️‍💋‍👩🏼;سۆيۈش: ئايال, ئايال, ئارا توق تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏾‍❤️‍💋‍👩🏽;سۆيۈش: ئايال, ئايال, ئارا توق تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏾‍❤️‍💋‍👩🏾;سۆيۈش: ئايال, ئايال, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيۈش
	👩🏾‍❤️‍💋‍👩🏿;سۆيۈش: ئايال, ئايال, ئارا توق تېرە رەڭگى, and توق تېرە رەڭ;ئارا توق تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيۈش
	👩🏿‍❤️‍💋‍👩🏻;سۆيۈش: ئايال, ئايال, توق تېرە رەڭ, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|توق تېرە رەڭ|جۈپ|سۆيۈش
	👩🏿‍❤️‍💋‍👩🏼;سۆيۈش: ئايال, ئايال, توق تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيۈش
	👩🏿‍❤️‍💋‍👩🏽;سۆيۈش: ئايال, ئايال, توق تېرە رەڭ, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيۈش
	👩🏿‍❤️‍💋‍👩🏾;سۆيۈش: ئايال, ئايال, توق تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيۈش
	👩🏿‍❤️‍💋‍👩🏿;سۆيۈش: ئايال, ئايال, and توق تېرە رەڭ;ئايال|توق تېرە رەڭ|جۈپ|سۆيۈش
💑;يۈرەكلىك جۈپلەر;جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	💑🏻;يۈرەكلىك جۈپلەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	💑🏼;يۈرەكلىك جۈپلەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	💑🏽;يۈرەكلىك جۈپلەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	💑🏾;يۈرەكلىك جۈپلەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	💑🏿;يۈرەكلىك جۈپلەر: توق تېرە رەڭ;توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏻‍❤️‍🧑🏼;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئاچ تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏻‍❤️‍🧑🏽;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئاچ تېرە رەڭ, and ئارا تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏻‍❤️‍🧑🏾;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئاچ تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏻‍❤️‍🧑🏿;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئاچ تېرە رەڭ, and توق تېرە رەڭ;ئاچ تېرە رەڭ|توق تېرە رەڭ|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏼‍❤️‍🧑🏻;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا ئاچ تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏼‍❤️‍🧑🏽;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا ئاچ تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏼‍❤️‍🧑🏾;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا ئاچ تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏼‍❤️‍🧑🏿;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا ئاچ تېرە رەڭگى, and توق تېرە رەڭ;ئارا ئاچ تېرە رەڭگى|توق تېرە رەڭ|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏽‍❤️‍🧑🏻;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏽‍❤️‍🧑🏼;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏽‍❤️‍🧑🏾;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏽‍❤️‍🧑🏿;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا تېرە رەڭگى, and توق تېرە رەڭ;ئارا تېرە رەڭگى|توق تېرە رەڭ|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏾‍❤️‍🧑🏻;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا توق تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏾‍❤️‍🧑🏼;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا توق تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏾‍❤️‍🧑🏽;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا توق تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏾‍❤️‍🧑🏿;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, ئارا توق تېرە رەڭگى, and توق تېرە رەڭ;ئارا توق تېرە رەڭگى|توق تېرە رەڭ|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏿‍❤️‍🧑🏻;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, توق تېرە رەڭ, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|توق تېرە رەڭ|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏿‍❤️‍🧑🏼;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, توق تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|توق تېرە رەڭ|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏿‍❤️‍🧑🏽;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, توق تېرە رەڭ, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|توق تېرە رەڭ|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	🧑🏿‍❤️‍🧑🏾;يۈرەكلىك جۈپلەر: چوڭلار, چوڭلار, توق تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|توق تېرە رەڭ|جۈپ|چوڭلار|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
👩‍❤️‍👨;يۈرەكلىك جۈپلەر: ئايال and ئەر;ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئايال, ئەر, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئاچ تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئاچ تېرە رەڭ, and ئارا تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئاچ تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئاچ تېرە رەڭ, and توق تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا ئاچ تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئايال, ئەر, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا ئاچ تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا ئاچ تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا ئاچ تېرە رەڭگى, and توق تېرە رەڭ;ئارا ئاچ تېرە رەڭگى|ئايال|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئايال, ئەر, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا تېرە رەڭگى, and توق تېرە رەڭ;ئارا تېرە رەڭگى|ئايال|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا توق تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا توق تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا توق تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئايال, ئەر, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئايال, ئەر, ئارا توق تېرە رەڭگى, and توق تېرە رەڭ;ئارا توق تېرە رەڭگى|ئايال|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئايال, ئەر, توق تېرە رەڭ, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئايال, ئەر, توق تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئايال, ئەر, توق تېرە رەڭ, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئايال, ئەر, توق تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئايال, ئەر, and توق تېرە رەڭ;ئايال|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
👨‍❤️‍👨;يۈرەكلىك جۈپلەر: ئەر and ئەر;ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏻‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئەر, ئەر, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏻‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئاچ تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏻‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئاچ تېرە رەڭ, and ئارا تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏻‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئاچ تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏻‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئاچ تېرە رەڭ, and توق تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏼‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا ئاچ تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏼‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئەر, ئەر, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏼‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا ئاچ تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏼‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا ئاچ تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏼‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا ئاچ تېرە رەڭگى, and توق تېرە رەڭ;ئارا ئاچ تېرە رەڭگى|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏽‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏽‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏽‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئەر, ئەر, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏽‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏽‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا تېرە رەڭگى, and توق تېرە رەڭ;ئارا تېرە رەڭگى|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏾‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا توق تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏾‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا توق تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
