# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
	🤦🏼‍♂️;vónbrotin maður: miðalljósur húðarlitur;facepalm|maður|miðalljósur húðarlitur|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin maður|vónbrotin maður: miðalljósur húðarlitur
	🤦🏽‍♂️;vónbrotin maður: miðal húðarlitur;facepalm|maður|miðal húðarlitur|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin maður|vónbrotin maður: miðal húðarlitur
	🤦🏾‍♂️;vónbrotin maður: miðalmyrkur húðarlitur;facepalm|maður|miðalmyrkur húðarlitur|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin maður|vónbrotin maður: miðalmyrkur húðarlitur
	🤦🏿‍♂️;vónbrotin maður: myrkur húðarlitur;facepalm|maður|myrkur húðarlitur|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin maður|vónbrotin maður: myrkur húðarlitur
🤦‍♀️;vónbrotin kvinna;facepalm|kona|kvinna|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin kvinna
	🤦🏻‍♀️;vónbrotin kvinna: ljósur húðarlitur;facepalm|kona|kvinna|ljósur húðarlitur|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin kvinna|vónbrotin kvinna: ljósur húðarlitur
	🤦🏼‍♀️;vónbrotin kvinna: miðalljósur húðarlitur;facepalm|kona|kvinna|miðalljósur húðarlitur|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin kvinna|vónbrotin kvinna: miðalljósur húðarlitur
	🤦🏽‍♀️;vónbrotin kvinna: miðal húðarlitur;facepalm|kona|kvinna|miðal húðarlitur|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin kvinna|vónbrotin kvinna: miðal húðarlitur
	🤦🏾‍♀️;vónbrotin kvinna: miðalmyrkur húðarlitur;facepalm|kona|kvinna|miðalmyrkur húðarlitur|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin kvinna|vónbrotin kvinna: miðalmyrkur húðarlitur
	🤦🏿‍♀️;vónbrotin kvinna: myrkur húðarlitur;facepalm|kona|kvinna|myrkur húðarlitur|ørkymlan|ørkymlanfólk|persónur|vónbrot|vónbrotin kvinna|vónbrotin kvinna: myrkur húðarlitur
🤷;persónur sum yppur øksl;akslaypp|fólk|ivast|ivi|persónur|persónur sum yppur øksl|veit ikki|yppa øksl
	🤷🏻;persónur sum yppur øksl: ljósur húðarlitur;akslaypp|fólk|ivast|ivi|ljósur húðarlitur|persónur|persónur sum yppur øksl|persónur sum yppur øksl: ljósur húðarlitur|veit ikki|yppa øksl
	🤷🏼;persónur sum yppur øksl: miðalljósur húðarlitur;akslaypp|fólk|ivast|ivi|miðalljósur húðarlitur|persónur|persónur sum yppur øksl|persónur sum yppur øksl: miðalljósur húðarlitur|veit ikki|yppa øksl
	🤷🏽;persónur sum yppur øksl: miðal húðarlitur;akslaypp|fólk|ivast|ivi|miðal húðarlitur|persónur|persónur sum yppur øksl|persónur sum yppur øksl: miðal húðarlitur|veit ikki|yppa øksl
	🤷🏾;persónur sum yppur øksl: miðalmyrkur húðarlitur;akslaypp|fólk|ivast|ivi|miðalmyrkur húðarlitur|persónur|persónur sum yppur øksl|persónur sum yppur øksl: miðalmyrkur húðarlitur|veit ikki|yppa øksl
	🤷🏿;persónur sum yppur øksl: myrkur húðarlitur;akslaypp|fólk|ivast|ivi|myrkur húðarlitur|persónur|persónur sum yppur øksl|persónur sum yppur øksl: myrkur húðarlitur|veit ikki|yppa øksl
🤷‍♂️;maður um yppur øksl;akslaypp|ivast|ivi|maður|maður um yppur øksl|veit ikki|yppa øksl
	🤷🏻‍♂️;maður um yppur øksl: ljósur húðarlitur;akslaypp|ivast|ivi|ljósur húðarlitur|maður|maður um yppur øksl|maður um yppur øksl: ljósur húðarlitur|veit ikki|yppa øksl
	🤷🏼‍♂️;maður um yppur øksl: miðalljósur húðarlitur;akslaypp|ivast|ivi|maður|maður um yppur øksl|maður um yppur øksl: miðalljósur húðarlitur|miðalljósur húðarlitur|veit ikki|yppa øksl
	🤷🏽‍♂️;maður um yppur øksl: miðal húðarlitur;akslaypp|ivast|ivi|maður|maður um yppur øksl|maður um yppur øksl: miðal húðarlitur|miðal húðarlitur|veit ikki|yppa øksl
	🤷🏾‍♂️;maður um yppur øksl: miðalmyrkur húðarlitur;akslaypp|ivast|ivi|maður|maður um yppur øksl|maður um yppur øksl: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|veit ikki|yppa øksl
	🤷🏿‍♂️;maður um yppur øksl: myrkur húðarlitur;akslaypp|ivast|ivi|maður|maður um yppur øksl|maður um yppur øksl: myrkur húðarlitur|myrkur húðarlitur|veit ikki|yppa øksl
🤷‍♀️;kvinna um yppur øksl;akslaypp|ivast|ivi|kona|kvinna|kvinna um yppur øksl|veit ikki|yppa øksl
	🤷🏻‍♀️;kvinna um yppur øksl: ljósur húðarlitur;akslaypp|ivast|ivi|kona|kvinna|kvinna um yppur øksl|kvinna um yppur øksl: ljósur húðarlitur|ljósur húðarlitur|veit ikki|yppa øksl
	🤷🏼‍♀️;kvinna um yppur øksl: miðalljósur húðarlitur;akslaypp|ivast|ivi|kona|kvinna|kvinna um yppur øksl|kvinna um yppur øksl: miðalljósur húðarlitur|miðalljósur húðarlitur|veit ikki|yppa øksl
	🤷🏽‍♀️;kvinna um yppur øksl: miðal húðarlitur;akslaypp|ivast|ivi|kona|kvinna|kvinna um yppur øksl|kvinna um yppur øksl: miðal húðarlitur|miðal húðarlitur|veit ikki|yppa øksl
	🤷🏾‍♀️;kvinna um yppur øksl: miðalmyrkur húðarlitur;akslaypp|ivast|ivi|kona|kvinna|kvinna um yppur øksl|kvinna um yppur øksl: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|veit ikki|yppa øksl
	🤷🏿‍♀️;kvinna um yppur øksl: myrkur húðarlitur;akslaypp|ivast|ivi|kona|kvinna|kvinna um yppur øksl|kvinna um yppur øksl: myrkur húðarlitur|myrkur húðarlitur|veit ikki|yppa øksl
🧑‍⚕️;heilsuverkfrøðingur;heilsuverkfrøðingur|lækni|lekifrøðingur|sjúkrarøktarfrøðingur|sjúkrasystir
	🧑🏻‍⚕️;heilsuverkfrøðingur: ljósur húðarlitur;heilsuverkfrøðingur|heilsuverkfrøðingur: ljósur húðarlitur|lækni|lekifrøðingur|ljósur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir
	🧑🏼‍⚕️;heilsuverkfrøðingur: miðalljósur húðarlitur;heilsuverkfrøðingur|heilsuverkfrøðingur: miðalljósur húðarlitur|lækni|lekifrøðingur|miðalljósur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir
	🧑🏽‍⚕️;heilsuverkfrøðingur: miðal húðarlitur;heilsuverkfrøðingur|heilsuverkfrøðingur: miðal húðarlitur|lækni|lekifrøðingur|miðal húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir
	🧑🏾‍⚕️;heilsuverkfrøðingur: miðalmyrkur húðarlitur;heilsuverkfrøðingur|heilsuverkfrøðingur: miðalmyrkur húðarlitur|lækni|lekifrøðingur|miðalmyrkur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir
	🧑🏿‍⚕️;heilsuverkfrøðingur: myrkur húðarlitur;heilsuverkfrøðingur|heilsuverkfrøðingur: myrkur húðarlitur|lækni|lekifrøðingur|myrkur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir
👨‍⚕️;mannligur lækni;heilsurøkt|lækni|maður|mannligur lækni|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👨🏻‍⚕️;mannligur lækni: ljósur húðarlitur;heilsurøkt|lækni|ljósur húðarlitur|maður|mannligur lækni|mannligur lækni: ljósur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👨🏼‍⚕️;mannligur lækni: miðalljósur húðarlitur;heilsurøkt|lækni|maður|mannligur lækni|mannligur lækni: miðalljósur húðarlitur|miðalljósur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👨🏽‍⚕️;mannligur lækni: miðal húðarlitur;heilsurøkt|lækni|maður|mannligur lækni|mannligur lækni: miðal húðarlitur|miðal húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👨🏾‍⚕️;mannligur lækni: miðalmyrkur húðarlitur;heilsurøkt|lækni|maður|mannligur lækni|mannligur lækni: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👨🏿‍⚕️;mannligur lækni: myrkur húðarlitur;heilsurøkt|lækni|maður|mannligur lækni|mannligur lækni: myrkur húðarlitur|myrkur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
👩‍⚕️;kvinnuligur lækni;heilsurøkt|kona|kvinna|kvinnuligur lækni|lækni|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👩🏻‍⚕️;kvinnuligur lækni: ljósur húðarlitur;heilsurøkt|kona|kvinna|kvinnuligur lækni|kvinnuligur lækni: ljósur húðarlitur|lækni|ljósur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👩🏼‍⚕️;kvinnuligur lækni: miðalljósur húðarlitur;heilsurøkt|kona|kvinna|kvinnuligur lækni|kvinnuligur lækni: miðalljósur húðarlitur|lækni|miðalljósur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👩🏽‍⚕️;kvinnuligur lækni: miðal húðarlitur;heilsurøkt|kona|kvinna|kvinnuligur lækni|kvinnuligur lækni: miðal húðarlitur|lækni|miðal húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👩🏾‍⚕️;kvinnuligur lækni: miðalmyrkur húðarlitur;heilsurøkt|kona|kvinna|kvinnuligur lækni|kvinnuligur lækni: miðalmyrkur húðarlitur|lækni|miðalmyrkur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
	👩🏿‍⚕️;kvinnuligur lækni: myrkur húðarlitur;heilsurøkt|kona|kvinna|kvinnuligur lækni|kvinnuligur lækni: myrkur húðarlitur|lækni|myrkur húðarlitur|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
🧑‍🎓;studentur;lesandi|næmingur|prógv|studentur
	🧑🏻‍🎓;studentur: ljósur húðarlitur;lesandi|ljósur húðarlitur|næmingur|prógv|studentur|studentur: ljósur húðarlitur
	🧑🏼‍🎓;studentur: miðalljósur húðarlitur;lesandi|miðalljósur húðarlitur|næmingur|prógv|studentur|studentur: miðalljósur húðarlitur
	🧑🏽‍🎓;studentur: miðal húðarlitur;lesandi|miðal húðarlitur|næmingur|prógv|studentur|studentur: miðal húðarlitur
	🧑🏾‍🎓;studentur: miðalmyrkur húðarlitur;lesandi|miðalmyrkur húðarlitur|næmingur|prógv|studentur|studentur: miðalmyrkur húðarlitur
	🧑🏿‍🎓;studentur: myrkur húðarlitur;lesandi|myrkur húðarlitur|næmingur|prógv|studentur|studentur: myrkur húðarlitur
👨‍🎓;mannligur studentur;maður|mannligur studentur|studentur|útbúgvin
	👨🏻‍🎓;mannligur studentur: ljósur húðarlitur;ljósur húðarlitur|maður|mannligur studentur|mannligur studentur: ljósur húðarlitur|studentur|útbúgvin
	👨🏼‍🎓;mannligur studentur: miðalljósur húðarlitur;maður|mannligur studentur|mannligur studentur: miðalljósur húðarlitur|miðalljósur húðarlitur|studentur|útbúgvin
	👨🏽‍🎓;mannligur studentur: miðal húðarlitur;maður|mannligur studentur|mannligur studentur: miðal húðarlitur|miðal húðarlitur|studentur|útbúgvin
	👨🏾‍🎓;mannligur studentur: miðalmyrkur húðarlitur;maður|mannligur studentur|mannligur studentur: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|studentur|útbúgvin
	👨🏿‍🎓;mannligur studentur: myrkur húðarlitur;maður|mannligur studentur|mannligur studentur: myrkur húðarlitur|myrkur húðarlitur|studentur|útbúgvin
👩‍🎓;kvinnuligur studentur;kona|kvinna|kvinnuligur studentur|studentur|útbúgvin
	👩🏻‍🎓;kvinnuligur studentur: ljósur húðarlitur;kona|kvinna|kvinnuligur studentur|kvinnuligur studentur: ljósur húðarlitur|ljósur húðarlitur|studentur|útbúgvin
	👩🏼‍🎓;kvinnuligur studentur: miðalljósur húðarlitur;kona|kvinna|kvinnuligur studentur|kvinnuligur studentur: miðalljósur húðarlitur|miðalljósur húðarlitur|studentur|útbúgvin
	👩🏽‍🎓;kvinnuligur studentur: miðal húðarlitur;kona|kvinna|kvinnuligur studentur|kvinnuligur studentur: miðal húðarlitur|miðal húðarlitur|studentur|útbúgvin
	👩🏾‍🎓;kvinnuligur studentur: miðalmyrkur húðarlitur;kona|kvinna|kvinnuligur studentur|kvinnuligur studentur: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|studentur|útbúgvin
	👩🏿‍🎓;kvinnuligur studentur: myrkur húðarlitur;kona|kvinna|kvinnuligur studentur|kvinnuligur studentur: myrkur húðarlitur|myrkur húðarlitur|studentur|útbúgvin
🧑‍🏫;lærari;lærari|professari|vegleiðari
	🧑🏻‍🏫;lærari: ljósur húðarlitur;lærari|lærari: ljósur húðarlitur|ljósur húðarlitur|professari|vegleiðari
	🧑🏼‍🏫;lærari: miðalljósur húðarlitur;lærari|lærari: miðalljósur húðarlitur|miðalljósur húðarlitur|professari|vegleiðari
	🧑🏽‍🏫;lærari: miðal húðarlitur;lærari|lærari: miðal húðarlitur|miðal húðarlitur|professari|vegleiðari
	🧑🏾‍🏫;lærari: miðalmyrkur húðarlitur;lærari|lærari: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|professari|vegleiðari
	🧑🏿‍🏫;lærari: myrkur húðarlitur;lærari|lærari: myrkur húðarlitur|myrkur húðarlitur|professari|vegleiðari
👨‍🏫;mannligur lærari;lærari|maður|mannligur lærari|professari|vegleiðari
	👨🏻‍🏫;mannligur lærari: ljósur húðarlitur;lærari|ljósur húðarlitur|maður|mannligur lærari|mannligur lærari: ljósur húðarlitur|professari|vegleiðari
	👨🏼‍🏫;mannligur lærari: miðalljósur húðarlitur;lærari|maður|mannligur lærari|mannligur lærari: miðalljósur húðarlitur|miðalljósur húðarlitur|professari|vegleiðari
	👨🏽‍🏫;mannligur lærari: miðal húðarlitur;lærari|maður|mannligur lærari|mannligur lærari: miðal húðarlitur|miðal húðarlitur|professari|vegleiðari
	👨🏾‍🏫;mannligur lærari: miðalmyrkur húðarlitur;lærari|maður|mannligur lærari|mannligur lærari: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|professari|vegleiðari
	👨🏿‍🏫;mannligur lærari: myrkur húðarlitur;lærari|maður|mannligur lærari|mannligur lærari: myrkur húðarlitur|myrkur húðarlitur|professari|vegleiðari
👩‍🏫;kvinnuligur lærari;kona|kvinna|kvinnuligur lærari|lærari|lærarinna|professari|vegleiðari
	👩🏻‍🏫;kvinnuligur lærari: ljósur húðarlitur;kona|kvinna|kvinnuligur lærari|kvinnuligur lærari: ljósur húðarlitur|lærari|lærarinna|ljósur húðarlitur|professari|vegleiðari
	👩🏼‍🏫;kvinnuligur lærari: miðalljósur húðarlitur;kona|kvinna|kvinnuligur lærari|kvinnuligur lærari: miðalljósur húðarlitur|lærari|lærarinna|miðalljósur húðarlitur|professari|vegleiðari
	👩🏽‍🏫;kvinnuligur lærari: miðal húðarlitur;kona|kvinna|kvinnuligur lærari|kvinnuligur lærari: miðal húðarlitur|lærari|lærarinna|miðal húðarlitur|professari|vegleiðari
	👩🏾‍🏫;kvinnuligur lærari: miðalmyrkur húðarlitur;kona|kvinna|kvinnuligur lærari|kvinnuligur lærari: miðalmyrkur húðarlitur|lærari|lærarinna|miðalmyrkur húðarlitur|professari|vegleiðari
	👩🏿‍🏫;kvinnuligur lærari: myrkur húðarlitur;kona|kvinna|kvinnuligur lærari|kvinnuligur lærari: myrkur húðarlitur|lærari|lærarinna|myrkur húðarlitur|professari|vegleiðari
🧑‍⚖️;dómari;dómari|rættvísi
	🧑🏻‍⚖️;dómari: ljósur húðarlitur;dómari|dómari: ljósur húðarlitur|ljósur húðarlitur|rættvísi
	🧑🏼‍⚖️;dómari: miðalljósur húðarlitur;dómari|dómari: miðalljósur húðarlitur|miðalljósur húðarlitur|rættvísi
	🧑🏽‍⚖️;dómari: miðal húðarlitur;dómari|dómari: miðal húðarlitur|miðal húðarlitur|rættvísi
	🧑🏾‍⚖️;dómari: miðalmyrkur húðarlitur;dómari|dómari: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|rættvísi
	🧑🏿‍⚖️;dómari: myrkur húðarlitur;dómari|dómari: myrkur húðarlitur|myrkur húðarlitur|rættvísi
👨‍⚖️;mannligur dómari;dómari|maður|mannligur dómari|rættvísi
	👨🏻‍⚖️;mannligur dómari: ljósur húðarlitur;dómari|ljósur húðarlitur|maður|mannligur dómari|mannligur dómari: ljósur húðarlitur|rættvísi
	👨🏼‍⚖️;mannligur dómari: miðalljósur húðarlitur;dómari|maður|mannligur dómari|mannligur dómari: miðalljósur húðarlitur|miðalljósur húðarlitur|rættvísi
	👨🏽‍⚖️;mannligur dómari: miðal húðarlitur;dómari|maður|mannligur dómari|mannligur dómari: miðal húðarlitur|miðal húðarlitur|rættvísi
	👨🏾‍⚖️;mannligur dómari: miðalmyrkur húðarlitur;dómari|maður|mannligur dómari|mannligur dómari: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|rættvísi
	👨🏿‍⚖️;mannligur dómari: myrkur húðarlitur;dómari|maður|mannligur dómari|mannligur dómari: myrkur húðarlitur|myrkur húðarlitur|rættvísi
👩‍⚖️;kvinnuligur dómari;dómari|kona|kvinna|kvinnuligur dómari|rættvísi
	👩🏻‍⚖️;kvinnuligur dómari: ljósur húðarlitur;dómari|kona|kvinna|kvinnuligur dómari|kvinnuligur dómari: ljósur húðarlitur|ljósur húðarlitur|rættvísi
	👩🏼‍⚖️;kvinnuligur dómari: miðalljósur húðarlitur;dómari|kona|kvinna|kvinnuligur dómari|kvinnuligur dómari: miðalljósur húðarlitur|miðalljósur húðarlitur|rættvísi
	👩🏽‍⚖️;kvinnuligur dómari: miðal húðarlitur;dómari|kona|kvinna|kvinnuligur dómari|kvinnuligur dómari: miðal húðarlitur|miðal húðarlitur|rættvísi
	👩🏾‍⚖️;kvinnuligur dómari: miðalmyrkur húðarlitur;dómari|kona|kvinna|kvinnuligur dómari|kvinnuligur dómari: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|rættvísi
	👩🏿‍⚖️;kvinnuligur dómari: myrkur húðarlitur;dómari|kona|kvinna|kvinnuligur dómari|kvinnuligur dómari: myrkur húðarlitur|myrkur húðarlitur|rættvísi
🧑‍🌾;bóndi;bóndi|urtagarðsmaður
	🧑🏻‍🌾;bóndi: ljósur húðarlitur;bóndi|bóndi: ljósur húðarlitur|ljósur húðarlitur|urtagarðsmaður
	🧑🏼‍🌾;bóndi: miðalljósur húðarlitur;bóndi|bóndi: miðalljósur húðarlitur|miðalljósur húðarlitur|urtagarðsmaður
	🧑🏽‍🌾;bóndi: miðal húðarlitur;bóndi|bóndi: miðal húðarlitur|miðal húðarlitur|urtagarðsmaður
	🧑🏾‍🌾;bóndi: miðalmyrkur húðarlitur;bóndi|bóndi: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|urtagarðsmaður
	🧑🏿‍🌾;bóndi: myrkur húðarlitur;bóndi|bóndi: myrkur húðarlitur|myrkur húðarlitur|urtagarðsmaður
👨‍🌾;mannligur bóndi;bóndi|maður|mannligur bóndi
	👨🏻‍🌾;mannligur bóndi: ljósur húðarlitur;bóndi|ljósur húðarlitur|maður|mannligur bóndi|mannligur bóndi: ljósur húðarlitur
	👨🏼‍🌾;mannligur bóndi: miðalljósur húðarlitur;bóndi|maður|mannligur bóndi|mannligur bóndi: miðalljósur húðarlitur|miðalljósur húðarlitur
	👨🏽‍🌾;mannligur bóndi: miðal húðarlitur;bóndi|maður|mannligur bóndi|mannligur bóndi: miðal húðarlitur|miðal húðarlitur
	👨🏾‍🌾;mannligur bóndi: miðalmyrkur húðarlitur;bóndi|maður|mannligur bóndi|mannligur bóndi: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	👨🏿‍🌾;mannligur bóndi: myrkur húðarlitur;bóndi|maður|mannligur bóndi|mannligur bóndi: myrkur húðarlitur|myrkur húðarlitur
👩‍🌾;kvinnuligur bóndi;bóndi|kona|kvinna|kvinnuligur bóndi
