[smileys_emotion]
😀;ಹಾಸ್ಯದ ಮುಖ;ಮುಖ|ಹಾಸ್ಯ|ಹಾಸ್ಯದ ಮುಖ
	👩🏾‍🤝‍👩🏿;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
	👩🏿‍🤝‍👩🏻;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
	👩🏿‍🤝‍👩🏼;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
	👩🏿‍🤝‍👩🏽;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
	👩🏿‍🤝‍👩🏾;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
	👭🏿;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಮಹಿಳೆಯರು ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ಮಹಿಳೆ
👫;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👫🏻;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏻‍🤝‍👨🏼;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏻‍🤝‍👨🏽;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏻‍🤝‍👨🏾;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏻‍🤝‍👨🏿;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏼‍🤝‍👨🏻;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👫🏼;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏼‍🤝‍👨🏽;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏼‍🤝‍👨🏾;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏼‍🤝‍👨🏿;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏽‍🤝‍👨🏻;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏽‍🤝‍👨🏼;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👫🏽;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏽‍🤝‍👨🏾;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏽‍🤝‍👨🏿;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏾‍🤝‍👨🏻;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏾‍🤝‍👨🏼;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏾‍🤝‍👨🏽;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👫🏾;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏾‍🤝‍👨🏿;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏿‍🤝‍👨🏻;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏿‍🤝‍👨🏼;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏿‍🤝‍👨🏽;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👩🏿‍🤝‍👨🏾;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
	👫🏿;ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು|ಪುರುಷ ಮತ್ತು ಮಹಿಳೆ ಕೈ ಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ ಮತ್ತು ಸ್ತ್ರೀ|ಹೆಂಗಸು ಮತ್ತು ಗಂಡಸು
