# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
	👌🏾;gacanta saxda ah: jidh nooc madaw oo dhexe;gacan|gacanta saxda ah|gacanta saxda ah: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe|sax
	👌🏿;gacanta saxda ah: jidh madaw;gacan|gacanta saxda ah|gacanta saxda ah: jidh madaw|jidh madaw|sax
🤌;faro la isku wada duubay;faraha|faro la isku wada duubay|jees jees ah|qanjaruufo|su’aalo weydiin|tilmaanta gacanta
	🤌🏻;faro la isku wada duubay: jidh fudud;faraha|faro la isku wada duubay|faro la isku wada duubay: jidh fudud|jees jees ah|jidh fudud|qanjaruufo|su’aalo weydiin|tilmaanta gacanta
	🤌🏼;faro la isku wada duubay: jidh fudud oo dhexe;faraha|faro la isku wada duubay|faro la isku wada duubay: jidh fudud oo dhexe|jees jees ah|jidh fudud oo dhexe|qanjaruufo|su’aalo weydiin|tilmaanta gacanta
	🤌🏽;faro la isku wada duubay: jidh nooc dhexe;faraha|faro la isku wada duubay|faro la isku wada duubay: jidh nooc dhexe|jees jees ah|jidh nooc dhexe|qanjaruufo|su’aalo weydiin|tilmaanta gacanta
	🤌🏾;faro la isku wada duubay: jidh nooc madaw oo dhexe;faraha|faro la isku wada duubay|faro la isku wada duubay: jidh nooc madaw oo dhexe|jees jees ah|jidh nooc madaw oo dhexe|qanjaruufo|su’aalo weydiin|tilmaanta gacanta
	🤌🏿;faro la isku wada duubay: jidh madaw;faraha|faro la isku wada duubay|faro la isku wada duubay: jidh madaw|jees jees ah|jidh madaw|qanjaruufo|su’aalo weydiin|tilmaanta gacanta
🤏;qanjaruufo;qaddar yar|qanjaruufo
	🤏🏻;qanjaruufo: jidh fudud;jidh fudud|qaddar yar|qanjaruufo|qanjaruufo: jidh fudud
	🤏🏼;qanjaruufo: jidh fudud oo dhexe;jidh fudud oo dhexe|qaddar yar|qanjaruufo|qanjaruufo: jidh fudud oo dhexe
	🤏🏽;qanjaruufo: jidh nooc dhexe;jidh nooc dhexe|qaddar yar|qanjaruufo|qanjaruufo: jidh nooc dhexe
	🤏🏾;qanjaruufo: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|qaddar yar|qanjaruufo|qanjaruufo: jidh nooc madaw oo dhexe
	🤏🏿;qanjaruufo: jidh madaw;jidh madaw|qaddar yar|qanjaruufo|qanjaruufo: jidh madaw
✌️;gacanta guusha;gacanta|guusha|v
	✌🏻;gacanta guusha: jidh fudud;gacanta|gacanta guusha: jidh fudud|guusha|jidh fudud|v
	✌🏼;gacanta guusha: jidh fudud oo dhexe;gacanta|gacanta guusha: jidh fudud oo dhexe|guusha|jidh fudud oo dhexe|v
	✌🏽;gacanta guusha: jidh nooc dhexe;gacanta|gacanta guusha: jidh nooc dhexe|guusha|jidh nooc dhexe|v
	✌🏾;gacanta guusha: jidh nooc madaw oo dhexe;gacanta|gacanta guusha: jidh nooc madaw oo dhexe|guusha|jidh nooc madaw oo dhexe|v
	✌🏿;gacanta guusha: jidh madaw;gacanta|gacanta guusha: jidh madaw|guusha|jidh madaw|v
🤞;faraha gudban; Alla bari;Alla bari|faraha gudban|faraha gudban; Alla bari|faraha isdhaafay|farta|gacanta|iskutallaab|nasiib
	🤞🏻;faraha gudban; Alla bari: jidh fudud;Alla bari|Alla bari: jidh fudud|faraha gudban|faraha gudban; Alla bari: jidh fudud|faraha isdhaafay|farta|gacanta|iskutallaab|jidh fudud|nasiib
	🤞🏼;faraha gudban; Alla bari: jidh fudud oo dhexe;Alla bari|Alla bari: jidh fudud oo dhexe|faraha gudban|faraha gudban; Alla bari: jidh fudud oo dhexe|faraha isdhaafay|farta|gacanta|iskutallaab|jidh fudud oo dhexe|nasiib
	🤞🏽;faraha gudban; Alla bari: jidh nooc dhexe;Alla bari|Alla bari: jidh nooc dhexe|faraha gudban|faraha gudban; Alla bari: jidh nooc dhexe|faraha isdhaafay|farta|gacanta|iskutallaab|jidh nooc dhexe|nasiib
	🤞🏾;faraha gudban; Alla bari: jidh nooc madaw oo dhexe;Alla bari|Alla bari: jidh nooc madaw oo dhexe|faraha gudban|faraha gudban; Alla bari: jidh nooc madaw oo dhexe|faraha isdhaafay|farta|gacanta|iskutallaab|jidh nooc madaw oo dhexe|nasiib
	🤞🏿;faraha gudban; Alla bari: jidh madaw;Alla bari|Alla bari: jidh madaw|faraha gudban|faraha gudban; Alla bari: jidh madaw|faraha isdhaafay|farta|gacanta|iskutallaab|jidh madaw|nasiib
🫰;gacanta farta caarada iyo suulka la dhaafay;dhaqso|gacanta farta caarada iyo suulka la dhaafay|jacayl|lacag|qaali|qalbi
	🫰🏻;gacanta farta caarada iyo suulka la dhaafay: jidh fudud;dhaqso|gacanta farta caarada iyo suulka la dhaafay|gacanta farta caarada iyo suulka la dhaafay: jidh fudud|jacayl|jidh fudud|lacag|qaali|qalbi
	🫰🏼;gacanta farta caarada iyo suulka la dhaafay: jidh fudud oo dhexe;dhaqso|gacanta farta caarada iyo suulka la dhaafay|gacanta farta caarada iyo suulka la dhaafay: jidh fudud oo dhexe|jacayl|jidh fudud oo dhexe|lacag|qaali|qalbi
	🫰🏽;gacanta farta caarada iyo suulka la dhaafay: jidh nooc dhexe;dhaqso|gacanta farta caarada iyo suulka la dhaafay|gacanta farta caarada iyo suulka la dhaafay: jidh nooc dhexe|jacayl|jidh nooc dhexe|lacag|qaali|qalbi
	🫰🏾;gacanta farta caarada iyo suulka la dhaafay: jidh nooc madaw oo dhexe;dhaqso|gacanta farta caarada iyo suulka la dhaafay|gacanta farta caarada iyo suulka la dhaafay: jidh nooc madaw oo dhexe|jacayl|jidh nooc madaw oo dhexe|lacag|qaali|qalbi
	🫰🏿;gacanta farta caarada iyo suulka la dhaafay: jidh madaw;dhaqso|gacanta farta caarada iyo suulka la dhaafay|gacanta farta caarada iyo suulka la dhaafay: jidh madaw|jacayl|jidh madaw|lacag|qaali|qalbi
🤟;meedaarta waan ku jecelahay ah;gacan|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|WKJ
	🤟🏻;meedaarta waan ku jecelahay ah: jidh fudud;gacan|jidh fudud|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|meedaarta waan ku jecelahay ah: jidh fudud|WKJ
	🤟🏼;meedaarta waan ku jecelahay ah: jidh fudud oo dhexe;gacan|jidh fudud oo dhexe|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|meedaarta waan ku jecelahay ah: jidh fudud oo dhexe|WKJ
	🤟🏽;meedaarta waan ku jecelahay ah: jidh nooc dhexe;gacan|jidh nooc dhexe|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|meedaarta waan ku jecelahay ah: jidh nooc dhexe|WKJ
	🤟🏾;meedaarta waan ku jecelahay ah: jidh nooc madaw oo dhexe;gacan|jidh nooc madaw oo dhexe|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|meedaarta waan ku jecelahay ah: jidh nooc madaw oo dhexe|WKJ
	🤟🏿;meedaarta waan ku jecelahay ah: jidh madaw;gacan|jidh madaw|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|meedaarta waan ku jecelahay ah: jidh madaw|WKJ
🤘;calaamadda geesaha;calaamadda geesaha|far|gacan|geesaha|qirid
	🤘🏻;calaamadda geesaha: jidh fudud;calaamadda geesaha|calaamadda geesaha: jidh fudud|far|gacan|geesaha|jidh fudud|qirid
	🤘🏼;calaamadda geesaha: jidh fudud oo dhexe;calaamadda geesaha|calaamadda geesaha: jidh fudud oo dhexe|far|gacan|geesaha|jidh fudud oo dhexe|qirid
	🤘🏽;calaamadda geesaha: jidh nooc dhexe;calaamadda geesaha|calaamadda geesaha: jidh nooc dhexe|far|gacan|geesaha|jidh nooc dhexe|qirid
	🤘🏾;calaamadda geesaha: jidh nooc madaw oo dhexe;calaamadda geesaha|calaamadda geesaha: jidh nooc madaw oo dhexe|far|gacan|geesaha|jidh nooc madaw oo dhexe|qirid
	🤘🏿;calaamadda geesaha: jidh madaw;calaamadda geesaha|calaamadda geesaha: jidh madaw|far|gacan|geesaha|jidh madaw|qirid
🤙;gacanta ah isoo wac;gacan|gacanta ah isoo wac|isoo wac|wac
	🤙🏻;gacanta ah isoo wac: jidh fudud;gacan|gacanta ah isoo wac|gacanta ah isoo wac: jidh fudud|isoo wac|jidh fudud|wac
	🤙🏼;gacanta ah isoo wac: jidh fudud oo dhexe;gacan|gacanta ah isoo wac|gacanta ah isoo wac: jidh fudud oo dhexe|isoo wac|jidh fudud oo dhexe|wac
	🤙🏽;gacanta ah isoo wac: jidh nooc dhexe;gacan|gacanta ah isoo wac|gacanta ah isoo wac: jidh nooc dhexe|isoo wac|jidh nooc dhexe|wac
	🤙🏾;gacanta ah isoo wac: jidh nooc madaw oo dhexe;gacan|gacanta ah isoo wac|gacanta ah isoo wac: jidh nooc madaw oo dhexe|isoo wac|jidh nooc madaw oo dhexe|wac
	🤙🏿;gacanta ah isoo wac: jidh madaw;gacan|gacanta ah isoo wac|gacanta ah isoo wac: jidh madaw|isoo wac|jidh madaw|wac
👈;Gacan tilmaamaysa bidix;dhibic|farta|Gacan tilmaamaysa bidix|gacanta|gadaal|tilmaame gadaal u jeeda bidix|tusmada
	👈🏻;Gacan tilmaamaysa bidix: jidh fudud;dhibic|farta|Gacan tilmaamaysa bidix|Gacan tilmaamaysa bidix: jidh fudud|gacanta|gadaal|jidh fudud|tilmaame gadaal u jeeda bidix|tusmada
	👈🏼;Gacan tilmaamaysa bidix: jidh fudud oo dhexe;dhibic|farta|Gacan tilmaamaysa bidix|Gacan tilmaamaysa bidix: jidh fudud oo dhexe|gacanta|gadaal|jidh fudud oo dhexe|tilmaame gadaal u jeeda bidix|tusmada
	👈🏽;Gacan tilmaamaysa bidix: jidh nooc dhexe;dhibic|farta|Gacan tilmaamaysa bidix|Gacan tilmaamaysa bidix: jidh nooc dhexe|gacanta|gadaal|jidh nooc dhexe|tilmaame gadaal u jeeda bidix|tusmada
	👈🏾;Gacan tilmaamaysa bidix: jidh nooc madaw oo dhexe;dhibic|farta|Gacan tilmaamaysa bidix|Gacan tilmaamaysa bidix: jidh nooc madaw oo dhexe|gacanta|gadaal|jidh nooc madaw oo dhexe|tilmaame gadaal u jeeda bidix|tusmada
	👈🏿;Gacan tilmaamaysa bidix: jidh madaw;dhibic|farta|Gacan tilmaamaysa bidix|Gacan tilmaamaysa bidix: jidh madaw|gacanta|gadaal|jidh madaw|tilmaame gadaal u jeeda bidix|tusmada
👉;gacan tilmaamaysa midig;dhibic|farta|gacan tilmaamaysa midig|gacanta|gacanta gadaal|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏻;gacan tilmaamaysa midig: jidh fudud;dhibic|farta|gacan tilmaamaysa midig|gacan tilmaamaysa midig: jidh fudud|gacanta|gacanta gadaal|jidh fudud|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏼;gacan tilmaamaysa midig: jidh fudud oo dhexe;dhibic|farta|gacan tilmaamaysa midig|gacan tilmaamaysa midig: jidh fudud oo dhexe|gacanta|gacanta gadaal|jidh fudud oo dhexe|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏽;gacan tilmaamaysa midig: jidh nooc dhexe;dhibic|farta|gacan tilmaamaysa midig|gacan tilmaamaysa midig: jidh nooc dhexe|gacanta|gacanta gadaal|jidh nooc dhexe|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏾;gacan tilmaamaysa midig: jidh nooc madaw oo dhexe;dhibic|farta|gacan tilmaamaysa midig|gacan tilmaamaysa midig: jidh nooc madaw oo dhexe|gacanta|gacanta gadaal|jidh nooc madaw oo dhexe|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏿;gacan tilmaamaysa midig: jidh madaw;dhibic|farta|gacan tilmaamaysa midig|gacan tilmaamaysa midig: jidh madaw|gacanta|gacanta gadaal|jidh madaw|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
👆;gacan tilmaamaysa kor;dhibic|farta|gacan tilmaamaysa kor|gacanta|gadaal gacanta|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏻;gacan tilmaamaysa kor: jidh fudud;dhibic|farta|gacan tilmaamaysa kor|gacan tilmaamaysa kor: jidh fudud|gacanta|gadaal gacanta|jidh fudud|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏼;gacan tilmaamaysa kor: jidh fudud oo dhexe;dhibic|farta|gacan tilmaamaysa kor|gacan tilmaamaysa kor: jidh fudud oo dhexe|gacanta|gadaal gacanta|jidh fudud oo dhexe|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏽;gacan tilmaamaysa kor: jidh nooc dhexe;dhibic|farta|gacan tilmaamaysa kor|gacan tilmaamaysa kor: jidh nooc dhexe|gacanta|gadaal gacanta|jidh nooc dhexe|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏾;gacan tilmaamaysa kor: jidh nooc madaw oo dhexe;dhibic|farta|gacan tilmaamaysa kor|gacan tilmaamaysa kor: jidh nooc madaw oo dhexe|gacanta|gadaal gacanta|jidh nooc madaw oo dhexe|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏿;gacan tilmaamaysa kor: jidh madaw;dhibic|farta|gacan tilmaamaysa kor|gacan tilmaamaysa kor: jidh madaw|gacanta|gadaal gacanta|jidh madaw|kor|tilmaame gadaal u jeeda oo tilmaamaya
🖕;farta dhexe;far|farta dhexe|gacan
	🖕🏻;farta dhexe: jidh fudud;far|farta dhexe|farta dhexe: jidh fudud|gacan|jidh fudud
	🖕🏼;farta dhexe: jidh fudud oo dhexe;far|farta dhexe|farta dhexe: jidh fudud oo dhexe|gacan|jidh fudud oo dhexe
	🖕🏽;farta dhexe: jidh nooc dhexe;far|farta dhexe|farta dhexe: jidh nooc dhexe|gacan|jidh nooc dhexe
	🖕🏾;farta dhexe: jidh nooc madaw oo dhexe;far|farta dhexe|farta dhexe: jidh nooc madaw oo dhexe|gacan|jidh nooc madaw oo dhexe
	🖕🏿;farta dhexe: jidh madaw;far|farta dhexe|farta dhexe: jidh madaw|gacan|jidh madaw
👇;gacan tilmaamaysa hoos;dhibic|farta|gacan tilmaamaysa hoos|gacanta|gadaal gacanta|hoos|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏻;gacan tilmaamaysa hoos: jidh fudud;dhibic|farta|gacan tilmaamaysa hoos|gacan tilmaamaysa hoos: jidh fudud|gacanta|gadaal gacanta|hoos|jidh fudud|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏼;gacan tilmaamaysa hoos: jidh fudud oo dhexe;dhibic|farta|gacan tilmaamaysa hoos|gacan tilmaamaysa hoos: jidh fudud oo dhexe|gacanta|gadaal gacanta|hoos|jidh fudud oo dhexe|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏽;gacan tilmaamaysa hoos: jidh nooc dhexe;dhibic|farta|gacan tilmaamaysa hoos|gacan tilmaamaysa hoos: jidh nooc dhexe|gacanta|gadaal gacanta|hoos|jidh nooc dhexe|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏾;gacan tilmaamaysa hoos: jidh nooc madaw oo dhexe;dhibic|farta|gacan tilmaamaysa hoos|gacan tilmaamaysa hoos: jidh nooc madaw oo dhexe|gacanta|gadaal gacanta|hoos|jidh nooc madaw oo dhexe|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏿;gacan tilmaamaysa hoos: jidh madaw;dhibic|farta|gacan tilmaamaysa hoos|gacan tilmaamaysa hoos: jidh madaw|gacanta|gadaal gacanta|hoos|jidh madaw|tilmaame gadaal u jeeda hoos u tilmaamaya
☝️;farta muujinta tilmaamaysa kor;far|farta muujinta tilmaamaysa kor|gacan|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏻;farta muujinta tilmaamaysa kor: jidh fudud;far|farta muujinta tilmaamaysa kor|farta muujinta tilmaamaysa kor: jidh fudud|gacan|jidh fudud|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏼;farta muujinta tilmaamaysa kor: jidh fudud oo dhexe;far|farta muujinta tilmaamaysa kor|farta muujinta tilmaamaysa kor: jidh fudud oo dhexe|gacan|jidh fudud oo dhexe|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏽;farta muujinta tilmaamaysa kor: jidh nooc dhexe;far|farta muujinta tilmaamaysa kor|farta muujinta tilmaamaysa kor: jidh nooc dhexe|gacan|jidh nooc dhexe|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏾;farta muujinta tilmaamaysa kor: jidh nooc madaw oo dhexe;far|farta muujinta tilmaamaysa kor|farta muujinta tilmaamaysa kor: jidh nooc madaw oo dhexe|gacan|jidh nooc madaw oo dhexe|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏿;farta muujinta tilmaamaysa kor: jidh madaw;far|farta muujinta tilmaamaysa kor|farta muujinta tilmaamaysa kor: jidh madaw|gacan|jidh madaw|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
🫵;tusmo tilmaame daawadaha;adiga|tilmaam|tusmo tilmaame daawadaha
	🫵🏻;tusmo tilmaame daawadaha: jidh fudud;adiga|jidh fudud|tilmaam|tusmo tilmaame daawadaha|tusmo tilmaame daawadaha: jidh fudud
	🫵🏼;tusmo tilmaame daawadaha: jidh fudud oo dhexe;adiga|jidh fudud oo dhexe|tilmaam|tusmo tilmaame daawadaha|tusmo tilmaame daawadaha: jidh fudud oo dhexe
	🫵🏽;tusmo tilmaame daawadaha: jidh nooc dhexe;adiga|jidh nooc dhexe|tilmaam|tusmo tilmaame daawadaha|tusmo tilmaame daawadaha: jidh nooc dhexe
	🫵🏾;tusmo tilmaame daawadaha: jidh nooc madaw oo dhexe;adiga|jidh nooc madaw oo dhexe|tilmaam|tusmo tilmaame daawadaha|tusmo tilmaame daawadaha: jidh nooc madaw oo dhexe
	🫵🏿;tusmo tilmaame daawadaha: jidh madaw;adiga|jidh madaw|tilmaam|tusmo tilmaame daawadaha|tusmo tilmaame daawadaha: jidh madaw
👍;suulka kor;+1|gacan|kor|suul|suulka kor
	👍🏻;suulka kor: jidh fudud;+1|gacan|jidh fudud|kor|suul|suulka kor|suulka kor: jidh fudud
	👍🏼;suulka kor: jidh fudud oo dhexe;+1|gacan|jidh fudud oo dhexe|kor|suul|suulka kor|suulka kor: jidh fudud oo dhexe
	👍🏽;suulka kor: jidh nooc dhexe;+1|gacan|jidh nooc dhexe|kor|suul|suulka kor|suulka kor: jidh nooc dhexe
	👍🏾;suulka kor: jidh nooc madaw oo dhexe;+1|gacan|jidh nooc madaw oo dhexe|kor|suul|suulka kor|suulka kor: jidh nooc madaw oo dhexe
	👍🏿;suulka kor: jidh madaw;+1|gacan|jidh madaw|kor|suul|suulka kor|suulka kor: jidh madaw
👎;suulka hoos;-1|gacan|hoos|suul|suulka hoos
	👎🏻;suulka hoos: jidh fudud;-1|gacan|hoos|jidh fudud|suul|suulka hoos|suulka hoos: jidh fudud
	👎🏼;suulka hoos: jidh fudud oo dhexe;-1|gacan|hoos|jidh fudud oo dhexe|suul|suulka hoos|suulka hoos: jidh fudud oo dhexe
	👎🏽;suulka hoos: jidh nooc dhexe;-1|gacan|hoos|jidh nooc dhexe|suul|suulka hoos|suulka hoos: jidh nooc dhexe
	👎🏾;suulka hoos: jidh nooc madaw oo dhexe;-1|gacan|hoos|jidh nooc madaw oo dhexe|suul|suulka hoos|suulka hoos: jidh nooc madaw oo dhexe
	👎🏿;suulka hoos: jidh madaw;-1|gacan|hoos|jidh madaw|suul|suulka hoos|suulka hoos: jidh madaw
✊;kor u qaadid tantoonyo (feer);feer tuur|gacan|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|tantoonyo|xannibay
	✊🏻;kor u qaadid tantoonyo (feer): jidh fudud;feer tuur|gacan|jidh fudud|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|kor u qaadid tantoonyo (feer): jidh fudud|tantoonyo|xannibay
	✊🏼;kor u qaadid tantoonyo (feer): jidh fudud oo dhexe;feer tuur|gacan|jidh fudud oo dhexe|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|kor u qaadid tantoonyo (feer): jidh fudud oo dhexe|tantoonyo|xannibay
	✊🏽;kor u qaadid tantoonyo (feer): jidh nooc dhexe;feer tuur|gacan|jidh nooc dhexe|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|kor u qaadid tantoonyo (feer): jidh nooc dhexe|tantoonyo|xannibay
	✊🏾;kor u qaadid tantoonyo (feer): jidh nooc madaw oo dhexe;feer tuur|gacan|jidh nooc madaw oo dhexe|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|kor u qaadid tantoonyo (feer): jidh nooc madaw oo dhexe|tantoonyo|xannibay
	✊🏿;kor u qaadid tantoonyo (feer): jidh madaw;feer tuur|gacan|jidh madaw|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|kor u qaadid tantoonyo (feer): jidh madaw|tantoonyo|xannibay
👊;feer soo socoto;feer soo socoto|feer tuuris|gacan|tantoonyo|tantoonyo soo socota|xanniban
	👊🏻;feer soo socoto: jidh fudud;feer soo socoto|feer soo socoto: jidh fudud|feer tuuris|gacan|jidh fudud|tantoonyo|tantoonyo soo socota|xanniban
	👊🏼;feer soo socoto: jidh fudud oo dhexe;feer soo socoto|feer soo socoto: jidh fudud oo dhexe|feer tuuris|gacan|jidh fudud oo dhexe|tantoonyo|tantoonyo soo socota|xanniban
	👊🏽;feer soo socoto: jidh nooc dhexe;feer soo socoto|feer soo socoto: jidh nooc dhexe|feer tuuris|gacan|jidh nooc dhexe|tantoonyo|tantoonyo soo socota|xanniban
	👊🏾;feer soo socoto: jidh nooc madaw oo dhexe;feer soo socoto|feer soo socoto: jidh nooc madaw oo dhexe|feer tuuris|gacan|jidh nooc madaw oo dhexe|tantoonyo|tantoonyo soo socota|xanniban
	👊🏿;feer soo socoto: jidh madaw;feer soo socoto|feer soo socoto: jidh madaw|feer tuuris|gacan|jidh madaw|tantoonyo|tantoonyo soo socota|xanniban
🤛;feerka tilmaamaysa bidix;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix
	🤛🏻;feerka tilmaamaysa bidix: jidh fudud;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|feerka tilmaamaysa bidix: jidh fudud|jidh fudud
	🤛🏼;feerka tilmaamaysa bidix: jidh fudud oo dhexe;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|feerka tilmaamaysa bidix: jidh fudud oo dhexe|jidh fudud oo dhexe
	🤛🏽;feerka tilmaamaysa bidix: jidh nooc dhexe;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|feerka tilmaamaysa bidix: jidh nooc dhexe|jidh nooc dhexe
	🤛🏾;feerka tilmaamaysa bidix: jidh nooc madaw oo dhexe;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|feerka tilmaamaysa bidix: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe
	🤛🏿;feerka tilmaamaysa bidix: jidh madaw;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|feerka tilmaamaysa bidix: jidh madaw|jidh madaw
🤜;feerka tilmaamaya midig;dhanka midig|feerka|feerka tilmaamaya midig
	🤜🏻;feerka tilmaamaya midig: jidh fudud;dhanka midig|feerka|feerka tilmaamaya midig|feerka tilmaamaya midig: jidh fudud|jidh fudud
	🤜🏼;feerka tilmaamaya midig: jidh fudud oo dhexe;dhanka midig|feerka|feerka tilmaamaya midig|feerka tilmaamaya midig: jidh fudud oo dhexe|jidh fudud oo dhexe
	🤜🏽;feerka tilmaamaya midig: jidh nooc dhexe;dhanka midig|feerka|feerka tilmaamaya midig|feerka tilmaamaya midig: jidh nooc dhexe|jidh nooc dhexe
	🤜🏾;feerka tilmaamaya midig: jidh nooc madaw oo dhexe;dhanka midig|feerka|feerka tilmaamaya midig|feerka tilmaamaya midig: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe
	🤜🏿;feerka tilmaamaya midig: jidh madaw;dhanka midig|feerka|feerka tilmaamaya midig|feerka tilmaamaya midig: jidh madaw|jidh madaw
👏;sacabinta gacmaha;gacan|sacab|sacabinta gacmaha
	👏🏻;sacabinta gacmaha: jidh fudud;gacan|jidh fudud|sacab|sacabinta gacmaha|sacabinta gacmaha: jidh fudud
	👏🏼;sacabinta gacmaha: jidh fudud oo dhexe;gacan|jidh fudud oo dhexe|sacab|sacabinta gacmaha|sacabinta gacmaha: jidh fudud oo dhexe
	👏🏽;sacabinta gacmaha: jidh nooc dhexe;gacan|jidh nooc dhexe|sacab|sacabinta gacmaha|sacabinta gacmaha: jidh nooc dhexe
	👏🏾;sacabinta gacmaha: jidh nooc madaw oo dhexe;gacan|jidh nooc madaw oo dhexe|sacab|sacabinta gacmaha|sacabinta gacmaha: jidh nooc madaw oo dhexe
	👏🏿;sacabinta gacmaha: jidh madaw;gacan|jidh madaw|sacab|sacabinta gacmaha|sacabinta gacmaha: jidh madaw
🙌;gacmo kor u taagid;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|kor u taagid|meedaar
	🙌🏻;gacmo kor u taagid: jidh fudud;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|gacmo kor u taagid: jidh fudud|jidh fudud|kor u taagid|meedaar
	🙌🏼;gacmo kor u taagid: jidh fudud oo dhexe;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|gacmo kor u taagid: jidh fudud oo dhexe|jidh fudud oo dhexe|kor u taagid|meedaar
	🙌🏽;gacmo kor u taagid: jidh nooc dhexe;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|gacmo kor u taagid: jidh nooc dhexe|jidh nooc dhexe|kor u taagid|meedaar
	🙌🏾;gacmo kor u taagid: jidh nooc madaw oo dhexe;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|gacmo kor u taagid: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe|kor u taagid|meedaar
	🙌🏿;gacmo kor u taagid: jidh madaw;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|gacmo kor u taagid: jidh madaw|jidh madaw|kor u taagid|meedaar
🫶;gacanta qalbiga;gacanta qalbiga|jacayl
	🫶🏻;gacanta qalbiga: jidh fudud;gacanta qalbiga|gacanta qalbiga: jidh fudud|jacayl|jidh fudud
	🫶🏼;gacanta qalbiga: jidh fudud oo dhexe;gacanta qalbiga|gacanta qalbiga: jidh fudud oo dhexe|jacayl|jidh fudud oo dhexe
	🫶🏽;gacanta qalbiga: jidh nooc dhexe;gacanta qalbiga|gacanta qalbiga: jidh nooc dhexe|jacayl|jidh nooc dhexe
