[smileys_emotion]
😀;ծիծաղող դեմք;դեմք|ծիծաղող դեմք|քմծիծաղել
📥;մուտքի արկղ;արկղ|դարակ|մուտքի արկղ|նամակ|ստանալ|փոստ
📦;ծանրոց;արկղ|ծանրոց
📫;փակ փոստարկղ բարձրացված դրոշակով;փակ|փակ փոստարկղ բարձրացված դրոշակով|փոստ|փոստատուփ|փոստարկղ
📪;փակ փոստարկղ իջեցված դրոշակով;իջեցված|փակ|փակ փոստարկղ իջեցված դրոշակով|փոստ|փոստատուփ|փոստարկղ
📬;բաց փոստարկղ բարձրացված դրոշակով;բաց|բաց փոստարկղ բարձրացված դրոշակով|փոստ|փոստատուփ|փոստարկղ
📭;բաց փոստարկղ իջեցված դրոշակով;բաց|բաց փոստարկղ իջեցված դրոշակով|իջեցված|փոստ|փոստատուփ|փոստարկղ
📮;փոստատուփ;փոստ|փոստատուփ|փոստարկղ
🗳️;քվեատուփ քվեաթերթիկով;տուփ|քվեաթերթիկ|քվեատուփ քվեաթերթիկով
✏️;մատիտ;մատիտ
✒️;սև գրչածայր;գրիչ|գրչածայր|սև գրչածայր
🖋️;ինքնահոս գրիչ;գրիչ|ինքնահոս
🖊️;գրիչ;գնդիկավոր գրիչ|գրիչ
🖌️;վրձին;ներկել|նկարել|վրձին
🖍️;յուղամատիտ;գունավոր մատիտ|մոմամատիտ|յուղամատիտ
📝;հուշաթերթ;հուշաթերթ|մատիտ
💼;պորտֆել;պորտֆել
📁;թղթապանակ;թղթապանակ|ֆայլ
📂;բաց թղթապանակ;բաց|թղթապանակ|ֆայլ
🗂️;քարտադարանի բաժանարարներ;բաժանարար|ինդեքս|քարտ|քարտադարանի բաժանարարներ
📅;օրացույց;ամսաթիվ|օրացույց
📆;պոկովի օրացույց;պոկովի օրացույց|օրացույց
🗒️;պարուրավոր նոթատետր;գրքույկ|պարույր|պարուրավոր նոթատետր|տետր
🗓️;պարուրավոր օրացույց;գրքույկ|պարույր|պարուրավոր օրացույց|օրացույց
📇;քարտադարան;ինդեքս|քարտ|քարտադարան
📈;աճող գծապատկեր;աճ|աճող գծապատկեր|գծապատկեր|միտում|վեր|տրամագի
📉;նվազող գծապատկեր;գծապատկեր|միտում|ներքև|նվազող գծապատկեր|տրամագիր
📊;գոտեձև գծապատկեր;գոտեձև գծապատկեր|գոտի|գրաֆիկ|դիագրամ
📋;սեղմատախտակ;սեղմակ|սեղմատախտակ|տախտակ
📌;քորոց;քորոց
📍;գնդասեղ;գնդասեղ|քորոց
📎;ամրակ;ամրակ
🖇️;միացված ամրակներ;ամրակ|միացնել|միացված ամրակներ
📏;քանոն;ուղղանկյուն|քանոն
📐;եռանկյունի քանոն;եռանկյունի|քանոն
✂️;մկրատ;գործիք|մկրատ
🗃️;քարտադարանի արկղ;արկղ|քարտ|քարտադարանի արկղ|ֆայլ
🗄️;պահարան;պահարան|ֆայլ
🗑️;աղբաման;աղբաման
🔒;կողպված;կողպեք|կողպված|փակ
🔓;բաց կողպեք;ապակողպել|բաց|կողպեք
🔏;կողպեք ինքնահոսով;գաղտնիություն|գրիչ|գրչածայր|թանաք|կողպեք|կողպեք ինքնահոսով
🔐;փակ կողպեք բանալիով;ապահով|բնալի|կողպեք|փակ|փակ կողպեք բանալիով
🔑;բանալի;բանալի|գաղտնաբառ|կողպեք
🗝️;հին բանալի;բանալի|կողպեք|հին
🔨;մուրճ;գործիք|մուրճ
🪓;կացին;կացին|կտրել|փայտ
⛏️;քլունգ;գործիք|հանք|քլունգ
⚒️;մուրճեր;գործիք|մուրճ|մուրճեր
🛠️;մուրճ և պտուտակաբանալի;գործիք|մուրճ|մուրճ և պտուտակաբանալի|պտուտակաբանալի
🗡️;դաշույն;դանակ|դաշույն|զենք
⚔️;խաչված սրեր;զենք|խաչված|սրեր
💣;ռումբ;կոմիքս|ռումբ
🪃;բումերանգ;ավստրալիա|բումերանգ|հետևանքներ|վերադարձ
🏹;նետ ու աղեղ;աղեղ|աղեղնավոր|գործիք|զենք|նետ|նետ ու աղեղ
🛡️;վահան;զենք|վահան
🪚;սղոց;ատաղձագործ|գործիք|սղոց|փայտ
🔧;պտուտակաբանալի;գործիք|պտուտակաբանալի
🪛;պտուտակիչ;գործիք|պտուտակ|պտուտակիչ
🔩;մանեկ ու հեղույս;գործիք|հեղույս|մանեկ|մանեկ ու հեղույս
⚙️;ատամնանիվ;ատամնանիվ|գործիք
🗜️;մամլակ;մամլակ|մամլիչ
⚖️;նժարավոր կշեռք;արդարություն|գործիք|ծանրություն|կենդանակերպ|կշեռք|հավասարակշռություն|նժարավոր կշեռք
🦯;ձեռնափայտ;կույր|հաշմանդամ|ձեռնափայտ
🔗;օղակ;օղակ
⛓️‍💥;կոտրված շղթա;կապանքներ|կոտրված շղթա|կոտրվածք|կոտրվել|շղթա
⛓️;շղթաներ;շղթա|շղթաներ
🪝;կեռ;բռնել|կարթ|կեռ
🧰;գործիքների արկղ;արկղ|գործիք|գործիքների արկղ|վարպետ
🧲;մագնիս;ձգողություն|մագնիս|մագնիսային|պայտ
🪜;սանդուղք;աստիճան|բարձրանալ|սանդուղք
⚗️;թորիչ;գործիք|թորիչ|քիմիա
🧪;փորձանոթ;գիտություն|լաբորատորիա|փորձ|փորձանոթ|քիմիա|քիմիկոս
🧫;Պետրիի պնակ;բակտերիա|լաբորատորիա|կենսաբան|կենսաբանություն|կուլտուրա|Պետրիի պնակ
🧬;դնթ;գենետիկա|դնթ|էվոլյուցիա|կենսաբան|կենսաբանություն
🔬;մանրադիտակ;գործիք|մանրադիտակ
🔭;հեռադիտակ;գործիք|հեռադիտակ
📡;արբանյակային ալեհավաք;ալեհավաք|արբանյակ|արբանյակային ալեհավաք|ափսե
💉;ներարկիչ;ասեղ|բժիշկ|բժշկություն|գործիք|հիվանդ|ներարկիչ
🩸;արյան կաթիլ;արյան դոնոր|արյան կաթիլ|բժշկություն|դաշտան
💊;հաբ;բժիշկ|բժշկություն|հաբ|հիվանդ
🩹;սպեղանի;սպեղանի
🩼;հենակ;հաշմանդամություն|հենակ|ձեռնափայտ|վնասվածք
🩺;ստեթոսկոպ;բժիշկ|բժշկություն|սիրտ|ստեթոսկոպ
🩻;ռենտգենյան ճառագայթներ;բժիշկ|բժշկական|կմախք|ոսկոր|ռենտգենյան ճառագայթներ
🚪;դուռ;դուռ
🛗;վերելակ;ամբարձիչ|հատուկ կարիքներ|վերելակ|վերհան
🪞;հայելի;արտացոլություն|արտացոլում|հայելի
🪟;պատուհան;թարմ|թափանցիկ|լուսամուտ|շրջանակ|պատուհան|տեսարան
🛏️;մահճակալ;հյուրանոց|մահճակալ|քնել
🛋️;բազմոց և լամպ;բազմոց|բազմոց և լամպ|լամպ|հյուրանոց
🪑;աթոռ;աթոռ|նստատեղ|նստել
🚽;զուգարանակոնք;զուգարան|զուգարանակոնք
🪠;վանտուզ;զուգարան|խցանում|ջրմուղ|սանհանգույց|վանտուզ
🚿;ցնցուղ;ջուր|ցնցուղ
🛁;լոգարան;լոգասենյակ|լոգարան
🪤;մկան թակարդ;թալակ|թակարդ|ծուղակ|մկան թակարդ|որոգայթ
🪒;ածելի;ածելի|սափրիչ|սափրվել|սուր
🧴;լոսիոնի շիշ;լոսիոն|լոսիոնի շիշ|խոնավացնող|շամպուն
🧷;անվտանգ քորոց;անգլիական քորոց|անվտանգ քորոց|տակդիր|փանկ ռոք
🧹;ավել;ավել|ավլում|կախարդ|մաքրում
🧺;զամբյուղ;գյուղատնտեսություն|զամբյուղ|լվացք|պիկնիկ
🧻;թղթի գլան;զուգարանի թուղթ|թղթե սրբիչ|թղթի գլան
🪣;դույլ;դույլ|թիթեղաման
🧼;օճառ;լոգանք|մաքրություն|փրփուր|օճառ
🫧;պղպջակներ;կեղտոտ|մաքուր|պղպջակներ|ստորջրյա|օճառ
🪥;ատամի խոզանակ;ատամի խոզանակ|ատամներ|լոգասենյակ|լոգարան|խոզանակ|հիգիենա|մաքուր
🧽;սպունգ;ծակոտիներ|մաքրություն|ներծծում|սպունգ
🧯;կրակմարիչ;կրակ|կրակմարիչ|հրդեհ|մարում
🛒;գնումների զամբյուղ;գնումներ|գնումների զամբյուղ|զամբյուղ|սայլակ
🚬;ծխել;գլանակ|ծխել
⚰️;դագաղ;դագաղ|մահ
🪦;շիրմաքար;գերեզման|գերեզմանատուն|գերեզմանաքար|շիրմաքար|տապանաքար
⚱️;աճյունասափոր;աճյունասափոր|հուղարկավորություն|մահ
🧿;աչքի ուլունք;աչքաուլունք|աչքի ուլունք|թալիսման|համայիլ|ուլունք
🪬;հնգմատ;համայիլ|հնգմատ|ձեռքի|Մերի|Միրիամ|պաշտպանություն|Ֆաթիմա
🗿;մոաի;արձան|դեմք|մոաի|մոայի
🪧;պաստառ;բողոք|հանրահավաք|պաստառ|ցույց
🪪;նույնացուցիչ քարտ;ID|անձի հաստատում|անվտանգություն|նույնականացում|նույնացուցիչ|նույնացուցիչ քարտ|վկայական

[symbols]
🏧;բանկոմատի նշան;atm|բանկ|բանկոմատ|բանկոմատի նշան|գանձապահ
🚮;աղբամանի նշան;աղբ|աղբամանի նշան|աղբարկղ
🚰;խմելու ջուր;խմել|խմելու|ջուր
♿;անվասայլակի նշան;անվասայլակի նշան|մատչելիություն|սայլակ|սայլակի նշան
🚹;տղամարդկանց զուգարան;wc|զուգարան|տղամարդ|տղամարդկանց զուգարան
🚺;կանանց զուգարան;wc|զուգարան|կանանց զուգարան|կին
🚻;ընդհանուր զուգարան;wc|զուգարան|ընդհանուր զուգարան
🚼;նորածնի նշան;նորածին|նորածնի նշան|փոխել
🚾;զուգարան;wc|զուգարան|ջուր
🛂;անձնագրային ստուգում;անձնագիր|անձնագրային ստուգում|անձնագրի ստուգում|ստուգում
🛃;մաքսատուն;մաքսային ծառայություն|մաքսատուն
🛄;ուղեբեռի վերաբերյալ բողոք;բողոք|ուղեբեռ|ուղեբեռի ստացում|ուղեբեռի վերաբերյալ բողոք
🛅;մոռացված ուղեբեռ;բեռ|մոռացված ուղեբեռ|ուղեբեռ|պահարան
⚠️;զգուշացում;զգուշացում
🚸;անցնող երեխաներ;անցնող|անցնող երեխաներ|երեխա|երթեւեկություն|հետիոտն
⛔;մուտք չկա;արգելված|երթևեկություն|մուտք|մուտք չկա|ոչ
🚫;արգելված է;արգելված|արգելված է|մուտք|ոչ
🚳;առանց հեծանիվների;առանց հեծանիվների|արգելված|հեծանիվ|ոչ|փոխադրամիջոց
🚭;չծխել;արգելված|ծխել|ոչ|չծխել
🚯;չաղտոտել;աղբ|արգելված|ոչ|չաղտոտել
🚱;ոչ խմելու ջուր;արգելված|խմել|խմելու|ոչ|ջուր
🚷;հետիոտնների մուտքն արգելված է;արգելված|հետիոտն|հետիոտնների մուտքն արգելված է|ոչ
📵;բջջային հեռախոսներն արգելվում են;արգելված|բջջային|բջջային հեռախոսներն արգելվում են|հեռախոս|շարժական|ոչ
🔞;տասնութից ցածր արգելվում է;18|անչափահաս|արգելված|ոչ|տասնութ|տասնութից ցածր արգելվում է|տարիքային սահմանափակում
☢️;ռադիոակտիվ;նշան|ռադիոակտիվ
☣️;կենսաբանական վտանգ;կենսաբանական վտանգ|կենսաբանական վտանգի նշան
⬆️;վերև սլաք;գլխավոր|հյուսիս|ուղղություն|սլաք|վերև սլաք
↗️;վերև աջ սլաք;հյուսիս-արևելք|ուղղություն|սլաք|վերև աջ սլաք
➡️;աջ սլաք;աջ սլաք|արևելք|գլխավոր|ուղղություն|սլաք
↘️;ներքև աջ սլաք;հարավ-արևելք|ներքև աջ սլաք|ուղղություն|սլաք
⬇️;ներքև սլաք;գլխավոր|հարավ|ներքև|ուղղություն|սլաք
↙️;ներքև ձախ սլաք;հարավ-արևմուտք|ներքև ձախ սլաք|ուղղություն|սլաք
⬅️;ձախ սլաք;արևմուտք|գլխավոր|ձախ սլաք|ուղղություն|սլաք
↖️;վերև ձախ սլաք;հյուսիս-արևմուտք|ուղղություն|սլաք|վերև ձախ սլաք
↕️;վերև-ներքև սլաք;սլաք|վերև-ներքև սլաք
↔️;ձախ-աջ սլաք;աջ-ձախ սլաք|ձախ-աջ սլաք|սլաք
↩️;աջ շրջադարձի սլաք;աջ շրջադարձի սլաք|սլաք
↪️;ձախ շրջադարձի սլաք;ձախ շրջադարձի սլաք|սլաք
⤴️;ձախից վերև թեքվող սլաք;ձախից վերև թեքվող սլաք|սլաք
⤵️;ձախից ներքև թեքվող սլաք;ձախից ներքև թեքվող սլաք|ներքև|սլաք
🔃;ժամասլաքի ուղղությամբ ուղղահայաց սլաքներ;ժամասլաքի ուղղությամբ|ժամասլաքի ուղղությամբ ուղղահայաց սլաքներ|սլաք|վերաբեռնել
🔄;ժամասլաքին հակառակ ուղղությամբ սլաքներով կոճակ;ժամասլաքին հակառակ ուղղությամբ|ժամասլաքին հակառակ ուղղությամբ սլաքներով կոճակ|հակառակ ուղղությամբ|սլաք
🔙;հետ գրությամբ սլաք;հետ|հետ գրությամբ սլաք|սլաք
🔚;ՎԵՐՋ սլաք;սլաք|վերջ
🔛;միացված է գրությամբ սլաք;միացված է|միացված է գրությամբ սլաք|նշան|սլաք
🔜;շուտով գրությամբ սլաք;շուտով|շուտով գրությամբ սլաք|սլաք
🔝;վերև գրությամբ սլաք;սլաք|վեր|վերև|վերև գրությամբ սլաք
🛐;աղոթատեղի;աղոթատեղի|կրոն|պաշտամունք
⚛️;ատոմի նշան;աթեիստ|ատոմ|ատոմի նշան
🕉️;օմ;կրոն|հնդիկ|օմ
✡️;դավթի աստղ;աստղ|դավթի աստղ|դավիթ|կրոն|հրեա|հրեական
☸️;դհարմայի անիվ;անիվ|բուդդայական|դհարմա|դհարմայի անիվ|կրոն
☯️;ին յան;դաո|դաոական|ին|կրոն|յան
✝️;լատինական խաչ;լատինական խաչ|խաչ|կրոն|քրիստոնյա
☦️;ուղղափառ խաչ;խաչ|կրոն|ուղղափառ խաչ|քրիստոնյա
☪️;աստղ և մահիկ;աստղ և մահիկ|իսլամ|կրոն|մուսուլման
☮️;խաղաղության նշան;խաղաղության նշան|խաղաղություն
🕎;մենորա;աշտանակ|կրոն|մենորա|մոմակալ
🔯;կետիկով վեցթևանի աստղ;աստղ|բախտ|կետիկով վեցթևանի աստղ
🪯;քանդա;քանդա
♈;Խոյ;Խոյ|կենդանակերպ
♉;Ցուլ;կենդանակերպ|Ցուլ
♊;Երկվորյակներ;Երկվորյակներ|կենդանակերպ
♋;Խեցգետին;Խեցգետին|կենդանակերպ
♌;Առյուծ;Առյուծ|կենդանակերպ
♍;Կույս;կենդանակերպ|Կույս
♎;Կշեռք;արդարադատություն|կենդանակերպ|Կշեռք|հավասարակշռություն
♏;Կարիճ;Կարիճ|կենդանակերպ
♐;Աղեղնավոր;Աղեղնավոր|կենդանակերպ
♑;Այծեղջյուր;այծ|Այծեղջյուր|կենդանակերպ
♒;Ջրհոս;կենդանակերպ|կրող|ջուր|Ջրհոս
♓;Ձկներ;կենդանակերպ|Ձկներ|ձուկ
⛎;Օձակիր;կենդանակերպ|կրող|օձ|Օձակիր
🔀;խառնել կատարումները կոճակ;խաչված|խառնել կատարումները կոճակ|սլաք
🔁;կրկնման կոճակ;անընդհատ կրկնել կոճակ|ժամասլաքի ուղղությամբ|կրկնել|կրկնման կոճակ|սլաք
🔂;կրկնել մեկ անգամ կոճակ;ժամասլաքի ուղղությամբ|կրկնել մեկ անգամ կոճակ|մեկ անգամ|սլաք
▶️;նվագարկել կոճակ;աջ|եռանկյուն|նվագարկել|նվագարկել կոճակ|սլաք
⏩;արագ առաջ կոճակ;առաջ|արագ|արագ առաջ կոճակ|կրկնակի|սլաք
⏭️;հաջորդ կատարումը կոճակ;եռանկյուն|հաջորդ կատարումը|հաջորդ կատարումը կոճակ|հաջորդ տեսարանը|սլաք
⏯️;նվագարկման կամ դադարի կոճակ;աջ|դադար|եռանկյուն|նվագարկել|նվագարկման կամ դադարի կոճակ|սլաք
◀️;հետադարձման կոճակ;եռանկյուն|հետադարձել|հետադարձման կոճակ|ձախ|սլաք
⏪;արագ հետադարձել կոճակ;արագ հետադարձել կոճակ|արագ հետադարձման կոճակ|արագ հետադարձում կոճակ|կրկնակի|հետադարձում|սլաք
⏮️;վերջին կատարումը կոճակ;եռանկյուն|նախորդ կատարումը|նախորդ տեսարանը|սլաք|վերջին կատարումը կոճակ
🔼;վերև կոճակ;կարմիր|կոճակ|սլաք|վերև կոճակ
⏫;արագ վերև կոճակ;արագ վերև կոճակ|կրկնակի|սլաք
🔽;ներքև կոճակ;կարմիր|կոճակ|ներքև|սլաք
⏬;արագ ներքև կոճակ;արագ ներքև կոճակ|կրկնակի|ներքև|սլաք
⏸️;դադարի կոճակ;դադար|դադար կոճակ|դադարի կոճակ|կրկնակի|ձողեր|ուղղահայաց
⏹️;կանգ կոճակ;կանգ կոճակ|ստոպ|ստոպ կոճակ|քառակուսի
⏺️;ձայնագրման կոճակ;ձայնագրել|ձայնագրել կոճակ|ձայնագրման կոճակ|շրջան
⏏️;հանելու կոճակ;դուրս հանել|դուրս հանել կոճակ|հանելու կոճակ
🎦;կինո;ժապավեն|կինո|կինոմատոգրաֆիա|տեսախցիկ|ֆիլմ
🔅;մթեցնելու կոճակ;թույլ|մթեցնել|մթեցնել կոճակ|մթեցնելու կոճակ|պայծառություն
🔆;պայծառեցնելու կոճակ;պայծառ|պայծառեցնելու կոճակ|պայծառություն
📶;անտենայի գծիկներ;ազդանշան|անտենա|անտենայի գծիկներ|բջջային|գծիկ|հեռախոս|շարժական
🛜;անլար;անլար|առցանց|ինտերնետ|կապ|ցանց
📳;թրթռազանգի ռեժիմ;բջջային|թրթռազանգի ռեժիմ|թրթռում|հեռախոս|շարժական|ռեժիմ
📴;բջջայինն անջատված է;անջատված|բջջային|բջջայինն անջատված է|հեռախոս|շարժական
♀️;կնոջ նշան;կին|կնոջ նշան
♂️;տղամարդու նշան;տղամարդ|տղամարդու նշան
⚧️;տրանսգենդերի նշան;տրանսգենդեր|տրանսգենդերի նշան
✖️;բազմապատկում;բազմապատկման նշան|բազմապատկում|նշան|չեղարկել
➕;գումարման նշան;+|գումարման նշան|թվաբանություն|մաթեմատիկա|նշան|պլյուս
➖;հանման նշան;-|−|թվաբանություն|հանման նշան|մաթեմատիկա|մինուս|նշան
➗;բաժանում;÷|բաժանման նշան|բաժանում|թվաբանություն|մաթեմատիկա|նշան
🟰;հավասարության թանձր նշան;հավասարության թանձր նշան|հավասարություն|մաթեմատիկա
♾️;անվերջություն;անսահման|անվերջ|անվերջություն|մշտնջենական
‼️;կրկնակի բացականչական նշան;բացականչություն|կետադրություն|կրկնակի բացականչական նշան|նշան
⁉️;բացականչական հարցական նշան;բացականչական հարցական նշան|բացականչություն|կետադրություն|հարց|նշան
❓;հարցական նշան;?|կետադրություն|հարց|հարցական նշան|նշան
❔;սպիտակ հարցական նշան;կետադրություն|հարց|նշան|ուրվագծված|սպիտակ հարցական նշան
❕;սպիտակ բացականչական նշան;բացականչություն|կետադրություն|նշան|ուրվագծված|սպիտակ բացականչական նշան
❗;բացականչական նշան;բացականչական նշան|բացականչություն|կետադրություն|նշան
〰️;ալիքաձև գծիկ;ալիքաձև|գծիկ|կետադրություն
💱;տարադրամի փոխանակում;բանկ|տարադրամ|տարադրամի փոխանակում|փոխանակում|փող
💲;դոլարի թավ նշան;դոլար|դոլարի թավ նշան|տարադրամ|փող
⚕️;բժշկության խորհրդանիշ;բժիշկ|բժշկության խորհրդանիշ|բժշկություն
♻️;վերամշակման նշան;վերամշակել|վերամշակման նշան
⚜️;թագավորական շուշան;թագավորական շուշան
🔱;եռաժանի խորհրդանշան;գործիք|եռաժանի|եռաժանի խորհրդանշան|զինանշան|խարիսխ|նավ
📛;բեյջ;անուն|բեյջ
🔰;սկսնակ լինելու ճապոնական նշան;գործիք|դեղին|կանաչ|հեծանակ|ճապոնական|սկսնակ|սկսնակ լինելու ճապոնական նշան|տերև
⭕;կարմիր դատարկ շրջան;կարմիր|կարմիր դատարկ շրջան|մեծ|շրջան|օղակ
✅;ստուգանշանի կոճակ;✓|թռչնիկ|կոճակ|նշան|ստուգանշան|ստուգանշանի կոճակ
☑️;նշված վանդակ;✓|թռչնիկ|նշավանդակ|նշված վանդակ|վանդակ
✔️;ստուգանշան;✓|թռչնիկ|ստուգանշան
❌;խաչի նշան;բազմապատկում|խաչ|խաչի նշան|նշան|չեղարկել
❎;խաչի նշանով կոճակ;խաչի նշանով կոճակ|նշել|քառակուսի
➰;ոլորուն հանգույց;հանգույց|ոլորուն հանգույց|ոլորված
➿;կրկնակի ոլորուն հանգույց;կրկնակի|կրկնակի ոլորուն հանգույց|հանգույց|ոլորված
〽️;իորիտեն;իորիտեն|մաս|նշել
✳️;ութ թևանի աստղանիշ;աստղանիշ|ութ թևանի աստղանիշ
✴️;ութ թևանի աստղ;*|աստղ|ութ թևանի աստղ
❇️;կայծիկ;*|կայծիկ
©️;հեղինակային իրավունք;հեղինակային իրավունք
®️;գրանցված;գրանցված
™️;ապրանքանիշ;ապրանքանիշ|նշան
#️⃣;ստեղն․ #;ստեղն|ստեղն․ #
*️⃣;ստեղն․ *;ստեղն|ստեղն․ *
0️⃣;ստեղն․ 0;ստեղն|ստեղն․ 0
1️⃣;ստեղն․ 1;ստեղն|ստեղն․ 1
2️⃣;ստեղն․ 2;ստեղն|ստեղն․ 2
3️⃣;ստեղն․ 3;ստեղն|ստեղն․ 3
4️⃣;ստեղն․ 4;ստեղն|ստեղն․ 4
5️⃣;ստեղն․ 5;ստեղն|ստեղն․ 5
6️⃣;ստեղն․ 6;ստեղն|ստեղն․ 6
7️⃣;ստեղն․ 7;ստեղն|ստեղն․ 7
8️⃣;ստեղն․ 8;ստեղն|ստեղն․ 8
9️⃣;ստեղն․ 9;ստեղն|ստեղն․ 9
🔟;ստեղն․ 10;ստեղն|ստեղն․ 10
🔠;լատինատառ մեծատառ ներածում;լատինական|լատինատառ մեծատառ ներածում|մեծատառ|մուտքագրել|տառեր
🔡;լատինատառ փոքրատառ ներածում;abcd|լատինական|լատինատառ փոքրատառ ներածում|մուտքագրել|տառեր|փոքրատառ
🔢;թվերի ներածում;1234|թվեր|թվերի ներածում|մուտքագրել
🔣;նշանների ներածում;մուտքագրել|նշանների ներածում
🔤;լատինատառ ներածում;abc|այբուբեն|լատինական|լատինատառ ներածում|մուտքագրել|տառեր
🅰️;էյ կոճակ;a|արյուն|էյ կոճակ
🆎;էյ-բի կոճակ;ab|արյուն|էյ-բի կոճակ
🅱️;բի կոճակ;b|արյուն|բի կոճակ
🆑;սի-էլ;cl|սի-էլ
🆒;ԶԻԼ բառը ուղղանկյունի մեջ;զիլ|ԶԻԼ բառը ուղղանկյունի մեջ
🆓;ԱՆՎՃԱՐ բառը ուղղանկյունի մեջ;ազատ|ԱՆՎՃԱՐ բառը ուղղանկյունի մեջ
ℹ️;տեղեկատու;i|տեղեկատու|տեղեկատվություն
🆔;այ-դի;id|այ-դի|ինքնություն
Ⓜ️;էմ տառը շրջանակի մեջ;m|էմ տառը շրջանակի մեջ|շրջան
🆕;ՆՈՐ բառը ուղղանկյունի մեջ;նոր|ՆՈՐ բառը ուղղանկյունի մեջ
🆖;էն-ջի;ng|էն-ջի
🅾️;օ կոճակ;o|արյուն|օ կոճակ
🆗;օքեյ;ok|օքեյ
🅿️;փի կոճակ;կայանատեղի|փի կոճակ
🆘;սոս;sos|սոս|օգնել
🆙;ափ կոճակ;up|ափ կոճակ|նշան|վեր
🆚;վի-էս;ընդդեմ|ԸՆԴԴԵՄ կոճակ|վի-էս
🈁;կատականա կոկո;կատականա կոկո|ճապոնական|ճապոներեն
🈂️;կատականա սա;կատականա սա|ճապոնական|ճապոներեն
🈷️;լուսին գաղափարագիր;լուսին գաղափարագիր|ճապոնական|ճապոներեն
🈶;գոյ գաղափարագիր;գոյ գաղափարագիր|ճապոնական|ճապոներեն
🈯;մատ գաղափարագիր;ճապոնական|ճապոներեն|մատ գաղափարագիր
🉐;առավելություն գաղափարագիր շրջանակի մեջ;առավելություն գաղափարագիր շրջանակի մեջ|ճապոնական|ճապոներեն
🈹;բաժանել գաղափարագիր;բաժանել գաղափարագիր|ճապոնական|ճապոներեն
🈚;ժխտում գաղափարագիր;ժխտում գաղափարագիր|ճապոնական|ճապոներեն
🈲;արգելել գաղափարագիր;արգելել գաղափարագիր|ճապոնական|ճապոներեն
🉑;ընդունել գաղափարագիր շրջանակի մեջ;ընդունել գաղափարագիր շրջանակի մեջ|չինական|չինարեն
🈸;կիրառել գաղափարագիր;կիրառել գաղափարագիր|չինական|չինարեն
🈴;միասին գաղափարագիր;միասին գաղափարագիր|չինական|չինարեն
🈳;դատարկ գաղափարագիր;դատարկ գաղափարագիր|չինական|չինարեն
㊗️;շնորհավորել գաղափարագիր շրջանակի մեջ;գաղափարագիր|շնորհավորանք|շնորհավորել գաղափարագիր շրջանակի մեջ|չինական|չինարեն
㊙️;գաղտնի գաղափարագիր շրջանակի մեջ;գաղափարագիր|գաղտնի գաղափարագիր շրջանակի մեջ|գաղտնիք|ճապոնական «գաղտնի» կոճակ|ճապոներեն
🈺;աշխատում է գաղափարագիր;աշխատում է գաղափարագիր|չինական|չինարեն
🈵;լիություն գաղափարագիր;լիություն գաղափարագիր|չինական|չինարեն
🔴;կարմիր շրջան;երկրաչափական|կարմիր|շրջան
🟠;նարնջագույն շրջան;նարնջագույն|շրջան
🟡;դեղին շրջան;դեղին|շրջան
🟢;կանաչ շրջան;կանաչ|շրջան
🔵;կապույտ շրջան;երկրաչափական|կապույտ|շրջան
🟣;մանուշակագույն շրջան;մանուշակագույն|շրջան
🟤;դարչնագույն շրջան;դարչնագույն|շրջան
⚫;սև շրջանակ;երկրաչափական|շրջան|սև շրջան|սև շրջանակ
⚪;սպիտակ շրջան;երկրաչափական|շրջան|սպիտակ շրջան
🟥;կարմիր քառակուսի;կարմիր|քառակուսի
🟧;նարնջագույն քառակուսի;նարնջագույն|քառակուսի
🟨;դեղին քառակուսի;դեղին|քառակուսի
🟩;կանաչ քառակուսի;կանաչ|քառակուսի
🟦;կապույտ քառակուսի;կապույտ|քառակուսի
🟪;մանուշակագույն քառակուսի;մանուշակագույն|քառակուսի
🟫;շագանակագույն քառակուսի;շագանակագույն|քառակուսի
⬛;սև մեծ քառակուսի;երկրաչափական|սև մեծ քառակուսի|քառակուսի
⬜;սպիտակ մեծ քառակուսի;երկրաչափական|սպիտակ մեծ քառակուսի|քառակուսի
◼️;սև միջին չափի քառակուսի;երկրաչափական|սև միջին չափի քառակուսի|քառակուսի
◻️;սպիտակ միջին չափի քառակուսի;երկրաչափական|սպիտակ միջին չափի քառակուսի|քառակուսի
◾;սև միջին-փոքր քառակուսի;երկրաչափական|սև միջին-փոքր քառակուսի|քառակուսի
◽;սպիտակ միջին-փոքր քառակուսի;երկրաչափական|սպիտակ միջին-փոքր քառակուսի|քառակուսի
▪️;սև փոքր քառակուսի;երկրաչափական|սև փոքր քառակուսի|քառակուսի
▫️;սպիտակ փոքր քառակուսի;երկրաչափական|սպիտակ փոքր քառակուսի|քառակուսի
🔶;նարնջագույն մեծ շեղանկյուն;երկրաչափական|նարնջագույն|նարնջագույն մեծ շեղանկյուն|շեղանկյուն
🔷;կապույտ մեծ շեղանկյուն;երկրաչափական|կապույտ|կապույտ մեծ շեղանկյուն|շեղանկյուն
🔸;նարնջագույն փոքր շեղանկյուն;երկրաչափական|նարնջագույն|նարնջագույն փոքր շեղանկյուն|շեղանկյուն
🔹;կապույտ փոքր շեղանկյուն;երկրաչափական|կապույտ|կապույտ փոքր շեղանկյուն|շեղանկյուն
🔺;կարմիր եռանկյուն ուղղված վերև;երկրաչափական|կարմիր|կարմիր եռանկյուն ուղղված վերև
