[smileys_emotion]
😀;ubuso obusinekile;osinekile|ubuso obusinekile
🪱;isibungu;i-annelid|imbungulu|isibungu|isiqubuqubu
🦠;microbe;i-amoeba|i-microbe|igqiwane|microbe
💐;isixha sezimbali;imbali|isitshalo|isixha sezimbali
🌸;ukhukhula kwembali;imbali|isitsahlo|ukhukhula kwembali|ukuqhakaza
💮;imbali emhlophe;imbali|imbali emhlophe
🪷;lotus;Buddhism|flower|Hinduism|India|lotus|purity|Vietnam
🏵️;irosette;irosette|isitshalo
🌹;irose;imbali|irose|isitshalo
🥀;bunile;bunile|imbali
🌺;ihibiscus;ihibiscus|imbali|isitshalo
🌻;ujikanelanga;imbali|isitshalo|ujikanelanga
🌼;ukuqhakaza;imbali|isitshalo|ukuqhakaza
🌷;i-tulip;i-tulip|imbali|isitshalo
🪻;hyacinth;bluebonnet|flower|hyacinth|lavender|lupine|snapdragon
🌱;imbewu;imbewu|isitshalo|okuncane
🪴;isitshalo esisesitsheni;akusizi ngalutho|indlu|isitshalo|isitshalo esisesitsheni|ukudubula|ukukhula|ukukhulisa
🌲;i-evergreen;i-evergreen|isihlahla|isitshalo
🌳;i-deciduous tree;i-deciduous tree|isihlahla|isitshalo
🌴;isundu;isihlahla|isitshalo|isundu
🌵;i-cactus;i-cactus|isitshalo
🌾;uhlamvu lwelayisi;ilayisi|indlebe|isitshalo|uhlamvu|uhlamvu lwelayisi
🌿;iqabunga;iqabunga|isitshalo
☘️;i-shamrock;i-shamrock|isitshalo
🍀;i-four leaf clover;i-four leaf clover|iqabunga|isitshalo|okune
🍁;i-maple leaf;i-maple leaf|iqabunga|isitshalo|ukuwa
🍂;iqabunga eliqathakile;iqabunga|iqabunga eliqathakile|isitshalo|ukuwa
🍃;iqabunga eliphephethwa umoya;iqabunga|iqabunga eliphephethwa umoya|isitshalo|phephetha|umoya
🪹;isidleke esingenalutho;isidleke esingenalutho|ukwakha isidleke
🪺;nest with eggs;esidlekeni|nest with eggs
🍄;ikhowe;ikhowe|isitshalo

[food_drink]
🍇;amagilebhisi;amagilebhisi|igilebhisi|isithelo|isitshalo
🍈;imeloni;imeloni|isithelo|isitshalo
🍉;ikhabe;ikhabe|isithelo|isitshalo
🍊;inantshi;inantshi|isithelo|isitshalo|iwolintshi
🍋;ulamula;isithelo|isitshalo|okusawolintshi|ulamula
🍋‍🟩;lime;citrus|fruit|lime|tropical
🍌;ubhanana;isithelo|isitshalo|ubhanana
🍍;upayinapu;isithelo|isitshalo|upayinapu
🥭;umango;fruit|tropical|umango
🍎;ihhabhula elibomvu;ihhabhula elibomvu|isithelo|isitshalo
🍏;ihhabhula eliluhlaza;ihhabhula eliluhlaza|isithelo|isitshalo
🍐;ipheya;ipheya|isithelo|isitshalo
🍑;ipetshisi;ipetshisi|isithelo|isitshalo
🍒;amasheri;amasheri|isheri|isithelo|isitshalo
🍓;amabhimbi;amabhimbi|isithelo|isitshalo
🫐;ama-blueberries;ama-blueberries|i-berry|i-bilberry|i-blue|i-blueberry
🥝;ikiwi;ikiwi|isithelo|ukudla
🍅;utamatisi;imifino|isitshalo|utamatisi
🫒;i-olive;i-olive|ukudla
🥥;ikhukhunathi;i-palm|i-piña colada|ikhukhunathi
🥑;ukotapheya;isithelo|ukotapheya|ukudla
🍆;ubrinjoli;imifino|isitshalo|ubrinjoli
🥔;izambane;isithelo|izambane|ukudla
🥕;ukhalothi;amaveji|ukhalothi|ukudla
🌽;iqabunga lommbila;iqabunga|iqabunga lommbila|isithalo|ummbila
🌶️;upelepele obabayo;isitshalo|ukubaba|upelepele|upelepele obabayo
🫑;i-bell pepper;i-bell pepper|i-capsicum|isithelo|upelepele
🥒;ukhukhumba;amaveji|gqumisa|ukhukhumba|ukudla
🥬;leafy green;bok choy|cabbage|kale|leafy green|lettuce
🥦;i-bhulokholi;i-bhulokholi|iklabishi lasendle
🧄;igalikhi;igalikhi|ukufaka umnambitho
🧅;u-anyanisi;u-anyanisi|ukufaka umnambitho
🥜;amakinati;amakinati|amaveji|ikinati|ukudla
🫘;ubhontshisi;inso|legume|ubhontshisi|ukudla
🌰;ichestnut;ichestnut|isitshalo
🫚;ingxabu yejinja;ingxabu|ingxabu yejinja|isipayisi|ubhiya
🫛;i-pea pod;beans|edamame|i-pea pod|legume|pea|pod|vegetable
🍄‍🟫;ikhowe elinsundu;brown mushroom|food|fungus|ikhowe elinsundu|imvelo|iveji
🍞;ulofu;isinkwa|ulofu
🥐;ibhanisi;ibhanisi|isifrentshi|isinkwa|ukudla
🥖;isinkwa;baguette|isifrentshi|isinkwa|ukudla
🫓;isinkwa esibacakile;i-arepa|i-lavash|i-naan|i-pita|isinkwa esibacakile
🥨;i-phulezeli;i-phulezeli|phendukezelwe
🥯;bagel;bagel|bakery|schmear
🥞;amakhekhe;amakhekhe|crêpe|ikhekhe elishisayo|isifrentshi|ukudla
🧇;i-waffle;i-ayoni|i-indecive|i-waffle
🧀;ucezu lukashizi;ucezu lukashizi|ushizi
🍖;inyamo ethajeni;inyama|inyamo ethajeni|ithambo
🍗;umlenze wenkukhu;inkukhu|ithambo|umlenze|umlenze wenkukhu
🥩;ingxenyana yenyama;ingxenyana yenyama|inyama|inyama yemvu|inyama yengulube|isteki
🥓;ubhekeni;inyama|ubhekeni|ukudla
🍔;ibhega;ibhega
🍟;amafrayizi;amafrayizi|amashibusi
🍕;ipiza;ipiza|ucezu|ushizi
🌭;ihot dog;ihot dog|isoseji
🥪;isemishi;isemishi|isinkwa
🌮;itaco;itaco|okumexican
🌯;hburrito;hburrito|okumexican
🫔;i-tamale;goqiwe|i-mexican|i-tamale
🥙;isinkwa esishuthekwe ukudla;falafel|gyro|isinkwa|isinkwa esishuthekwe ukudla|kebab|shuthekiwe|ukudla
🧆;i-falafel;i-chickpea|i-falafel|i-meatball
🥚;iqanda;iqanda|ukudla
🍳;ukupheka;ipani|iqanda|ukupheka|ukuthosa
🥘;ipani elinokudla;casserole|ipani|ipani elinokudla|ngajulile|paella|ukudla
🍲;ibhdwe lokudla;ibhdwe lokudla|ibhodwe|isitshulu
🫕;i-fondue;i-fondue|i-Swiss|ibhodwe|ncibilikile|ushizi|ushokoledi
🥣;idla ngespuni;i-congee|ibhulakfesi|idla ngespuni|isiriyeli
🥗;isaladi lasengadini;hlaza|isaladi|isaladi lasengadini|ukudla
🍿;uphophukhoni;uphophukhoni
🧈;ibhatha;ibhatha|okwebisi
🧂;salt;i-condiment|i-shaker|salt|usawothi
🥫;ukudla okusekanini;ikani|ukudla okusekanini
🍱;ibento bhoksi;ibento|ibento bhoksi|ibhoksi
🍘;irice cracker;icracker|ilayisi|irice cracker
🍙;ibhala lelayisi;ibhala|ibhala lelayisi|ilayisi|japanese
🍚;ilayisi eliphekiwe;ilayisi|ilayisi eliphekiwe|okuphekiwe
🍛;isishebo selayisi;ilayisi|isishebo|isishebo selayisi
🍜;isitsha esishunqayo;isitsha|isitsha esishunqayo|noodle|ukushunqa
🍝;ispaghetti;i-pasta|ispaghetti
🍠;ubhatata othosiwe;amazambane|thosa|ubhatata othosiwe|ubumnandi
🍢;i-oden;i-oden|ikebhabhu|induku|ukudla kwasolwandle
🍣;isushi;isushi
🍤;ishrimpu ethosiwe;ishrimpu|ishrimpu ethosiwe|isikhuphashi|thosa
🍥;ikhekhe lenhlanzi elinokuzungezayo;ikhekhe|ikhekhe lenhlanzi elinokuzungezayo|inhlanzi|okuzungezayo
🥮;moon cake;autumn|festival|moon cake|yuèbǐng
🍡;i-dango;i-dango|induku|japanese|okunoshukela|ubumnandi
🥟;idombolo;empanada|gyōza|idombolo|jiaozi|pierogi|potsticker
🥠;ikhekhe lenhlanhla;ikhekhe lenhlanhla|isipholofitho
🥡;ibhokisi lokuthatha ngaphandle;ibhakede lekhwathu|ibhokisi lokuthatha ngaphandle
🦀;inkalankala;cancer|inkalankala|inkanyezi
🦞;lobster;bisque|claws|lobster|seafood
🦐;imfanzi;igobolondo|imfanzi|ncane|ukudla
🦑;ingwane;ingwane|molusc|ukudla
🦪;i-oyster;i-oyster|i-pearl|ukudayiva
🍦;u-ice cream othambile;okunoshukela|okuthambile|u-ice cream|u-ice cream othambile|ukhilimu
🍧;i-shaved ice;i-shaved ice|iqhwa|okunoshukela|shaved|ubumnandi
🍨;u-ice cream;iqhwa|okumnandi|okunoshuke|u-ice cream|ukhilimu
🍩;idonathi;idonathi|okunoshukela|ubumnandi
🍪;iqebelengwane;iqebelengwane|okunoshukela|ubumnandi
🎂;ikhekhe lokuzalwa;ikhekhe|ikhekhe lokuzalwa|okunoshukela|ubumnandi|ukuzalwa|umbungazo
🍰;ikhekhe elincane;ikhekhe|ikhekhe elincane|okunoshukela|ubumnandi|ucezu
🧁;cupcake;bakery|cupcake|sweet
🥧;uphaya;inhlama|okwaphakathi|uphaya
🍫;ushokoledi;okunoshukela|ubumnandi|ushokoledi
🍬;uswidi;okunoshukela|ubumnandi|uswidi
🍭;ustikhiswidi;okunoshukela|ubumnandi|ustikhiswidi|uswidi
🍮;ukhastadi;iphudingi|okunoshukela|ubumnandi|ukhastadi
🍯;isitsha soju;isitsha|isitsha soju|ubumnandi|uju
🍼;ibhodlela lengane;ibhodlela|ibhodlela lengane|ingane|isiphuzo|ubisi
🥛;ingilazi yobisi;ingilazi|ingilazi yobisi|phuza|ubisi
☕;isiphuzo esishisayo;ikhofi|intuthu|isiphuzo|isiphuzo esishisayo|itiye|okuphuzwayo|okushisayo
🫖;ithibhothi;ibhodwe|ithibhothi|itiye|phuza
🍵;inkomishi yetiye engenasibambo;inkomishi|inkomishi yetiye|inkomishi yetiye engenasibambo|isiphuzo|itiye|okuphuzwayo
🍶;isake;ibha|ibhodlela|inkomishi|isake|isiphuzo|okuphuzwayo
🍾;ibhodlela elinokuputshuka phezulu;ibha|ibhodlela|ibhodlela elinokuputshuka phezulu|icork|isiphuzo|ukuqhuma
🍷;ingilazi yewayini;ibha|ingilazi|ingilazi yewayini|isiphuzo|iwayini|okuphuzwayo
🍸;ingilazi yecocktail;ibha|icocktail|ingilazi|ingilazi yecocktail|isiphuzo
🍹;isiphuzo esipholisayo;ibha|isiphuzo|isiphuzo esipholisayo|okupholile
🍺;imagi kabhiya;ibha|imagi|imagi kabhiya|isiphuzo|ubhiya
🍻;ukushayisana kwamamagi kabhiya;ibha|imagi|okuphuzwayo|ubhiya|ukushayisana|ukushayisana kwamamagi kabhiya
🥂;ukushayanisa izingilazi;bungaza|ingilazi|phuza|ukushayanisa|ukushayanisa izingilazi
🥃;ingilazi yephepha;dubula|ingilazi|ingilazi yephepha|iphepha|utshwala|whisky
🫗;uthela uketshezi;uthela uketshezi
🥤;inkomishi enomucu wokumoma;ijusi|inkomishi enomucu wokumoma|isoda
🧋;itiye le-bubble;i-bubble|i-pearl|itiye|itiye le-bubble|ubisi
🧃;ibhokisi leziphuzo;ibhokisi lamajusi|ibhokisi leziphuzo
🧉;i-mate;i-mate|isiphuzo
🧊;ukubanda;i-iceberg|ukubanda
🥢;izinti;ihashi|izinti
🍽️;imfoloko nommese nepleti;imfoloko|imfoloko nommese nepleti|ipleti|ukupheka|ummese
🍴;imfoloko nommese;imfoloko|imfoloko nommese|ukupheka|ummese
🥄;isipunu;isipunu|okwetafula
🔪;ummese wasekhishini;ihocho|isikhali|ithuluzi|ukupheka|ummese|ummese wasekhishini
🫙;ujeke;condiment|container|empty|jar|sauce|store|ujeke
🏺;i-amfrora;aquarius|i-amfrora|inkanyezi|isikhali|isiphuzo|ithuluzi|ujeke|ukupheka

[travel_places]
🌍;igilobhu eliveza i-europe-afrika;afrika|europe|igilobhu|igilobhu eliveza i-europe-afrika|umhlaba
🌎;igilobhu eliveza emelika;igilobhu|igilobhu eliveza emelika|melika|umhlaba
🌏;igilobhu eliveza asia-australia;asia|australia|igilobhu|igilobhu eliveza asia-australia|umhlaba
🌐;igilobhu elinemeridians;igilobhu|igilobhu elinemeridians|meridians|umhlaba
🗺️;ibalazwe lomhlaba;ibalazwe|ibalazwe lomhlaba|umhlaba
🗾;ibalazwe lejapan;ibalazwe|ibalazwe lejapan|japan
🧭;i-compass;i-compass|magnetic|navigation|orienteering
🏔️;intaba embethe iqhwa;intaba|intaba embethe iqhwa|iqhwa|ukubanda
⛰️;intaba;intaba
🌋;intabamlilo;intaba|intabamlilo|isimo sezulu|ukuqhuma
🗻;intaba ifuji;ifuji|intaba
🏕️;ukukhempa;ukukhempa
🏖️;ibhishi nesambulela;ibhishi|ibhishi nesambulela|isambulela
🏜️;ugwadule;isiqhingi|ugwadule
🏝️;isiqhingi sasogwadule;isiqhingi|isiqhingi sasogwadule|ugwadule
🏞️;ipaki likazwelonke;ipaki|ipaki likazwelonke
🏟️;inkundla yezemidlalo;inkundla|inkundla yezemidlalo
🏛️;isakhiwo sakudala;isakhiwo|isakhiwo sakudala
🏗️;ukwakha isakhiwo;ukwakha|ukwakha isakhiwo
🧱;isitini;i-mortar|isitini|izitini|ubumba|udonga
🪨;idwala;idwala|itshe|okusindayo|okuyibhande|okuyitshe
🪵;ukhuni;i-log|imithi|ukhuni|umuthi
🛖;indlu;i-yurt|indlu|urondo
🏘️;izakhiwo zezindlu;izakhiwo zezindlu|izindlu
🏚️;isakhiwo sendlu esinganakiwe;indlu|isakhiwo sendlu esinganakiwe
🏠;isakhiwo sendlu;indlu|isakhiwo sendlu
🏡;indlu enengadi;indlu|indlu enengadi|ingadi|isakhiwo|umuzi
🏢;isakhiwo sehhovisi;isakhiwo|isakhiwo sehhovisi
🏣;iposi lama-japanese;iposi|iposi lama-japanese|isakhiwo|japanese
🏤;iposi;european|iposi|isakhiwo
🏥;isibhedlela;imithi|isakhiwo|isibhedlela|udokotela
🏦;ibhange;ibhange|isakhiwo
🏨;ihhotela;ihhotela|isakhiwo
🏩;ihhotela lothando;ihhotela|ihhotela lothando|isakhiwo|uthando
🏪;isitolo esihlala sivuliwe;isakhiwo|isitolo|isitolo esihlala sivuliwe|ukuhlala kuvuliwe
🏫;isikole;isakhiwo|isikole
🏬;isitolo sempahla;impahla|isakhiwo|isitolo|isitolo sempahla
🏭;imboni;imboni|isakhiwo
🏯;isigodlo se-japanese;isakhiwo|isigodlo|isigodlo se-japanese|japanese
🏰;isigodlo;isakhiwo|isigodlo|japanese
💒;umshado;isonto|umshado|uthando
🗼;itokyo tower;itokyo tower|tokyo|umbhoshongo
🗽;statue of liberty;icuthe|inkululeko|statue of liberty
⛪;isonto;inkolo|isakhiwo|isiphambano|isonto|umzalwane
🕌;isonto lamasulumane;amasulumane|inkolo|isonto lamasulumane
🛕;ithempeli le-hindu;i-hindu|ithempeli|ithempeli le-hindu
🕍;isinagoge;inkolo|isinagoge|ithempeli|umjuda
⛩️;shinto shrine;inkolo|shinto|shrine
🕋;i-kaaba;amasulumane|i-kaaba|inkolo
⛲;umthombo;umthombo
⛺;itende;itende|ukulala etendeni
🌁;kunezinkungu;isimo sezulu|izinkungu|kunezinkungu
🌃;ubusuku obunezinkanyezi;inkanyezi|ubusuku|ubusuku obunezinkanyezi
🏙️;ukubukeka kwedolobha;idolobha|ukubukeka kwedolobha
🌄;ukuphuma kwelanga ezintabeni;ekuseni|ilanga|ukuphuma kwelanga ezintabeni
🌅;ukuphuma kwelanga;ilanga|isimo sezulu|ukuphuma kwelanga
🌆;ukubukeka kwedolobha ukushona kwelanga;idolobha|isakhiwo|ukubukeka kwedolobha ukushona kwelanga|ukushona kwelanga
🌇;ukushona kwelanga;isakhiwo|isimo sezulu|ukushona kwelanga
🌉;ibhuloho ebusuku;ebusuku|ibhuloho|isimo sezulu
♨️;iziphethu ezinamanzi ashisayo;iziphethu|iziphethu ezinamanzi ashisayo|kuyashisa|kuyathunya
🎠;ihhashi lekharaseli;ihhashi|ihhashi lekharaseli|ikharaseli
🛝;islayidi sokudlala;dlala|ipaki yokuzijabulisa|islayidi sokudlala
🎡;isondo leferisi;iferisi|isondo|isondo leferisi
🎢;i-roller coaster;i-roller coaster|ipaki|okokushushuluza
💈;ipholi yomgundi wezinwele;ipholi yomgundi wezinwele|ukugunda izinwele|umgundi wezinwele
🎪;itende lesekisi;isekisi|itende|itende lesekisi
🚂;ikhanda lesitmela;ikhanda lesitmela|injini|isithuthi|isitimela|isitimu|ujantshi
🚃;imoto eyisitimela;imoto|imoto eyisitimela|isitimela|ithilamu|ngogesi|ujantshi
🚄;isitimela esinesivinini esikhulu;imoto|isitimela|isitimela esinesivinini esikhulu|isivinini|ujantshi
🚅;isitimela esinesivinini esikhulu esinekhala elinjengenhlamvu;imoto|inhlamvu|isitimela|isitimela esinesivinini esikhulu esinekhala elinjengenhlamvu|isivinini|ujantshi
🚆;isitimela;imoto|isitimela|ujantshi
🚇;isitimela esihamba ngaphansi komhlaba;imoto|isitimela esihamba ngaphansi komhlaba|umzila wesitimela ongaphansi komhlaba
🚈;isitimela esingengethilamu;imoto|isitimela esingengethilamu|ujantshi
🚉;isiteshi;imoto|isiteshi|isitimela|ujantshi
🚊;ithilamu;ibhasi|imoto|ithilamu
🚝;ujantshi owodwa;imoto|ujantshi owodwa
🚞;ujantshi wasentabeni;imoto|intaba|ujantshi|ujantshi wasentabeni
🚋;imoto eyithilamu;imoto|imoto eyithilamu|ithilamu
🚌;ibhasi;ibhasi|imoto
🚍;ibhasi elizayo;elizayo|ibhasi|imoto
🚎;ibhasi elihamba ngogesi;ibhasi|ibhasi elihamba ngogesi|imoto|inqola|ithilamu
🚐;ikhumbi;ibhasi|ikhumbi|imoto
🚑;i-ambulense;i-ambulense|imoto
🚒;injini yomlilo;iloli|imoto|injini|injini yomlilo|isicishamlilo|umlilo
🚓;imoto yamaphoyisa;amaphoyisa|imoto|imoto yamaphoyisa|ukuqapha
🚔;imoto yamaphoyisa ezayo;amaphoyisa|ezayo|imoto|imoto yamaphoyisa ezayo|isithuthi
🚕;itekisi;isithuthi|itekisi
🚖;itekisi elizayo;elizayo|isithuthi|itekisi elizayo
🚗;imoto;imoto|isithuthi
🚘;imoto ezayo;ezayo|imoto|isithuthi
🚙;isithuthi sokuzithokozisa;i-rv|isithuthi|isithuthi sokuzithokozisa|ukuzithokozisa
🛻;iloli likadoti;cosha|iloli|iloli likadoti
🚚;iloli lokudiliva;iloli|iloli lokudiliva|isithuthi|ukudiliva
🚛;iloli elihlangene nogandaganda;iloli|iloli elihlangene nogandaganda|isithuthi
🚜;ugandaganda;isithuthi|ugandaganda
🏎️;imoto yomjaho;imoto|imoto yomjaho|umjaho
🏍️;isithuthuthu esigijimayo;isithuthuthu esigijimayo|umjaho
🛵;isithuthuthu;imoto|isithuthuthu
🦽;isitulo esihanjiswayo;isitulo esihanjiswayo|ukufinyelela
🦼;isitulo esizihambelayo;isitulo esizihambelayo|ukufinyelela
🛺;i-auto rickshaw;i-auto rickshaw|i-tuk tuk
🚲;ibhayisikili;ibhayisikili|isithuthi
🛴;isikuta esikhahlelwayo;isikuta esikhahlelwayo|isithuthuthu|khahlela
🛹;skateboard;ibhodi|skateboard
🛼;i-roller skate;i-roller|i-roller skate|i-skate
🚏;isitobhu sebhasi;ibhasi|isitobhu|isitobhu sebhasi
🛣️;umgwaqo onguthelawayeka;umgwaqo|umgwaqo onguthelawayeka|umgwaqo womphakathi
🛤️;ujantshi wesitimela;isitimela|ujantshi|ujantshi wesitimela
🛢️;idramu lamafutha;amafutha|idramu|idramu lamafutha
⛽;isifutho sesiphehlamandla;igesi|isifutho|isifutho sesiphehlamandla|isiphehlamandla|isiteshi
🛞;isondo;circle|isondo|tire|turn|wheel
🚨;ilambu lemoto yamaphoyisa;amaphoyisa|ilambu lemoto yamaphoyisa|imoto|isithuthi|okujikelezayo|ukukhanya
🚥;irobhothi elivundlile;irobhothi elivundlile|isiginali|ithrafikhi|ukukhanya
🚦;irobhothi elibheke phezulu;ilambu|irobhothi elibheke phezulu|isiginali|ithrafikhi
🛑;uphawu lokuma;ima|octagonal|uphawu|uphawu lokuma
🚧;ukwakha;isithiyo|ukwakha
⚓;ihange;ihange|ithuluzi|umkhumbi
🛟;ring buoy;float|life preserver|life saver|rescue|ring buoy|safety
⛵;isikebhe sasolwandle;indawo yokuvakasha|isikebhe|isikebhe sasolwandle|isithuthi|ulwandle
🛶;isikebhe;isikebhe
🚤;isikebhe esinesivinini esikhulu;isikebhe|isikebhe esinesivinini esikhulu|isithuthi
🛳️;umkhumbi othwala abagbeli;isithuthi|umgibeli|umkhumbi|umkhumbi othwala abagbeli
⛴️;isikebhe sokuwelisa;isikebhe|isikebhe sokuwelisa
🛥️;isikebhe esinenjini;isikebhe|isikebhe esinenjini|isithuthi
🚢;umkhumbi;isithuthi|umkhumbi
✈️;ibhanoyi;ibhanoyi|isithuthi
🛩️;ibhanoyi elincane;ibhanoyi|ibhanoyi elincane|isithuthi
🛫;ukuhamba kwebhanoyi;ibhanoyi|isithuthi|ukuhamba|ukuhamba kwebhanoyi|ukukhipa ithikithi
🛬;ukufika kwebhanoyi;ibhanoyi|isthuthi|ukufika|ukufika kwebhanoyi|ukuhlala phansi kwebhanoyi
🪂;i-parachute;i-hang-glide|i-parachute|i-parasail|i-skydive
💺;isihlalo;isihlalo
🚁;ibhanoyi elinophephela emhlane;ibhanoyi elinophephela emhlane|isithuthi
🚟;ujantshi;isithuthi|ujantshi
🚠;inqola eya entabeni;gondola|inqola|inqola eya entabeni|intamba|isithuthi
🚡;inqola yasemoyeni;gondola|imoto|inqola|inqola yasemoyeni|intambo|isithuthi|umoya
🛰️;isethalayithi;isethalayithi|isithuthi|umkhathi
🚀;irokhethi;irokhethi|isithuthi|umkhathi
🛸;isosa endizayo;i-UFO|isosa endizayo
🛎️;insimbi;ihhotela|insimbi
🧳;umthwalo;hamba|pakisha|umthwalo
⌛;hourglass;hourglass|isihlabathi|isiklali sikhathi
⏳;i-hourglass egeleza isihlabathi;i-hourglass|i-hourglass egeleza isihlabathi|isihlabathi|isiklali sikhathi
⌚;iwashi;iwashi
⏰;iwashi le-alamu;i-alamu|iwashi|iwashi le-alamu
⏱️;i-stop washi;i-stop washi|iwashi
⏲️;timer clock;isiklalisikhathi|iwashi|timer clock
🕰️;mantelpiece clock;iwashi|mantelpiece clock
🕛;twelve o’clock;00|12|12:00|ihora|shumi nambili|twelve o’clock
🕧;twelve-thirty;12|12:30|30|clock|thirty|twelve|twelve-thirty
🕐;one o’clock;00|1|1:00|ihora|lokuqala|one o’clock
🕜;elilodwa nengxenye;1|1:30|30|clock|elilodwa nengxenye|one|one-thirty|thirty
🕑;two o’clock;00|2|2:00|amabili|ihora|two o’clock
🕝;two-thirty;2|2:30|30|clock|thirty|two|two-thirty
🕒;three o’clock;00|3|3:00|amathathu|ihora|three o’clock
🕞;three-thirty;3|3:30|30|clock|thirty|three|three-thirty
🕓;four o’clock;00|4|4:00|four o’clock|ihora|lesine
🕟;ihora lesine nengxenye;30|4|4:30|clock|four|four-thirty|ihora lesine nengxenye|thirty
🕔;five o’clock;00|5|5:00|five o’clock|ihora|lesihlanu’ ihora
🕠;five-thirty;30|5|5:30|clock|five|five-thirty|thirty
🕕;six o’clock;00|6|6:00|ihora|lesithupha|six o’clock
🕡;six-thirty;30|6|6:30|clock|six|six-thirty|thirty
🕖;seven o’clock;00|7|7:00|ihora|lesikhombisa|seven o’clock
🕢;seven-thirty;30|7|7:30|clock|seven|seven-thirty|thirty
🕗;eight o’clock;00|8|8:00|eight o’clock|ihora|isishiyagalo mbilieight
🕣;eight-thirty;30|8|8:30|clock|eight|eight-thirty|thirty
🕘;nine o’clock;00|9|9:00|ihora|isishiyagalo lunyenine|nine o’clock
🕤;nine-thirty;30|9|9:30|clock|nine|nine-thirty|thirty
🕙;ten o’clock;00|10|10:00|ihora|leshumi|ten o’clock
🕥;ten-thirty;10|10:30|30|clock|ten|ten-thirty|thirty
🕚;eleven o’clock;00|11|11:00|eleven o’clock|ihora|leshumi nanye
🕦;eleven-thirty;11|11:30|30|clock|eleven|eleven-thirty|thirty
🌑;inyanga entsha;inyanga|inyanga entsha|isimo sezulu|ubumnyama|umkhathi
🌒;inyanga ewucezu olubheke emuva;inyanga|inyanga ewucezu olubheke emuva|isimo sezulu|ukubheka emuva|umkhathi
🌓;ikota yokuqala yenyanga;ikota|ikota yokuqala yenyanga|inyanga|isimo sezulu|umkhathi
🌔;inyange ewucezu ebheke phambili;inyanga|inyange ewucezu ebheke phambili|isimo sezulu|ukubhek phambili|umkhathi
🌕;inyange egcwele;inyanga|inyange egcwele|isimo sezulu|ukugcwala|umkhathi
🌖;inyanga ebheke emuva enciphile;inyanga|inyanga ebheke emuva enciphile|isimo sezulu|ukubheka emuva|ukuncipha|umkhathi
🌗;inyanga yekota yokugcina;ikota|inyanga|inyanga yekota yokugcina|isimo sezulu|umkhathi
🌘;inyanga ebheke phambili enkulu;inyanga|inyanga ebheke phambili enkulu|isimo sezulu|ukubheka phambili|ukuncipha|umkhathi
🌙;inyanga enciphile;inyanga|inyanga enciphile|isimo sezulu|ukubheka emuva|umkhathi
🌚;ubuso benyanga entsha;inyanga|isimo sezulu|ubuso|ubuso benyanga entsha|umkhathi
🌛;inyanga yekota lokuqala elinobuso;inyanga|inyanga yekota lokuqala elinobuso|isimo sezulu|ubuso|umkhathi
🌜;ikota yokugcina yenyanga enobuso;ikota yokugcina yenyanga enobuso|inyanga|isimo sezulu|ubuso|umkhathi
🌡️;ithemomitha;isimo sezulu|ithemomitha
☀️;ilanga;ilanga|imisebe|isikhala|isimo sezulu|kunelanga|ukukhanya
🌝;inyanga egcwele enobuso;inyanga egcwele|inyanga egcwele enobuso|isimo sezulu|ubuso|ukukhanya|umkhathi
🌞;ilanga elinobuso;ilanga|ilanga elinobuso|isimo sezulu|ubuso|ukukhanya|umkhathi
🪐;iplanethi eringayo;i-saturine|i-saturn|iplanethi eringayo
⭐;inkanyezi ephakathi nendawo emhlophe;inkanyezi|inkanyezi ephakathi nendawo emhlophe
🌟;inkanyezi ebhanyazayo;inkanyezi|inkanyezi ebhanyazayo|ukubhayaza
🌠;inkanyezi edubulayo;inkanyezi|inkanyezi edubulayo|ukudubula|ukuwa|umkhathi
🌌;imilkhi weyi;imilkhi weyi|isimo sezulu|umkhathi
☁️;ifu;ifu|isimo sezulu
⛅;ilanga elingemuva kwefu;ifu|ilanga|ilanga elingemuva kwefu|isimo sezulu
⛈️;ifu elinombani kanye nemvula;ifu|ifu elinombani kanye nemvula|imvula|isimo sezulu|ukuduma
🌤️;ilanga elingemuva kwefu elincane;ifu|ilanga|ilanga elingemuva kwefu elincane|isimo sezulu
🌥️;ilanga elingemuva kwef elikhul;ifu|ilanga|ilanga elingemuva kwef elikhul|isimo sezulu
🌦️;ilanga elingemuva kwefu elinemvula;ifu|ilanga|ilanga elingemuva kwefu elinemvula|imvula|isimo sezulu
🌧️;ifu elinemvula;ifu|ifu elinemvula|imvula|isimo sezulu
🌨️;ifu elinesithwathwa;ifu|ifu elinesithwathwa|isimo sezulu|isithwathwa|ukubanda
🌩️;ifu elinombani;ifu|ifu elinombani|isimo sezulu|umbani
🌪️;inkanyamba;ifu|inkanyamba|isimo sezulu|umoya ovunguzayo
🌫️;inkungu;ifu|inkungu|isimo sezulu
🌬️;ubuso bomoya;ifu|isimo sezulu|phephetha|ubuso|ubuso bomoya|umoya
🌀;isiphepho;inkanyamba|inzululwane|isimo sezulu|isiphepho
🌈;uthingo;imvula|isimo sezulu|uthingo
🌂;isambulela esivaliwe;impahla egqokwayo|imvula|isambulela|isambulela esivaliwe|isimo sezulu
☂️;isambulela;impahla egqokwayo|imvula|isambulela|isimo sezulu
☔;isambulela esinamaqabazi emvula;impahla egqokwayo|imvula|iqabazi|isambulela|isambulela esinamaqabazi emvula|isimo sezulu
⛱️;isambulela esiphansi;ilanga|imvula|isambulela|isambulela esiphansi|isimo sezulu
