[smileys_emotion]
😀;шырока ўсміхаецца;зубы|усмешка|шырока ўсміхаецца
🍋;лімон;лімон|расліна|садавіна|цытрусавы
🍋‍🟩;лайм;лайм|садавіна|трапічны|цытрусавы
🍌;банан;банан|расліна|садавіна
🍍;ананас;ананас|расліна|садавіна
🥭;манга;манга|трапічны|фрукт
🍎;чырвоны яблык;расліна|садавіна|чырвоны|яблык
🍏;зялёны яблык;зялёны|расліна|садавіна|яблык
🍐;груша;груша|расліна|садавіна
🍑;персік;персік|расліна|садавіна
🍒;вішні;вішні|вішня|расліна|садавіна|чарэшня
🍓;клубніцы;клубніцы|расліна|суніцы|ягада
🫐;буякі;буякі|дурніцы|сінія|чарніцы|ягады
🥝;ківі;ківі|садавіна|фрукт
🍅;памідор;гародніна|памідор|плод|тамат
🫒;аліва;аліва|ежа|масліна
🥥;какос;какос|пальма|піна калада
🥑;авакада;авакада|садавіна|фрукт
🍆;баклажан;баклажан|гародніна|расліна
🥔;бульба;бульба|гародніна|ежа
🥕;морква;гародніна|ежа|морква
🌽;катах кукурузы;катах|катах кукурузы|кукуруза|пачатак|расліна
🌶️;востры перац;востры|перац|расліна
🫑;балгарскі перац;агародніна|балгарскі перац|перац|чырвоны перац
🥒;агурок;агурок|гародніна|ежа|саленне
🥬;зеляніна;бок-чой|зеляніна|кале|капуста|латук
🥦;брокалі;брокалі|дзікая капуста
🧄;часнок;прыправа|часнок
🧅;цыбуля;прыправа|цыбуля
🥜;арахіс;арахіс|арэх|гародніна|ежа
🫘;боб;бабовыя|боб|ежа|нырка
🌰;каштан;каштан|расліна
🫚;корань імбіру;корань|корань імбіру|піва|спецыя
🫛;гарохавы стручок;боб|гародніна|гарох|гарохавы стручок|стручок|фасоля|эдамамэ
🍄‍🟫;карычневы грыб;гародніна|грыб|ежа|карычневы грыб|прырода
🍞;хлеб;бохан|хлеб
🥐;круасан;ежа|круасан|рагалік|французскі|хлеб
🥖;багет;багет|батон|ежа|французскі
🫓;праснак;арэпа|лаваш|наан|піта|праснак
🥨;крэндзель;крэндзель|плеценая булка
🥯;пышка;выпечка|масла|пышка
🥞;бліны;бліны|ежа
🧇;вафля;вафельніца|вафля|няпэўнасць
🧀;кавалак сыру;кавалак сыру|сыр
🍖;мяса на косці;косць|мяса|мяса на косці
🍗;курыная ножка;косць|курыная ножка|курыца|мяса птушкі|нага
🥩;кавалак мяса;адбіўная|кавалак мяса|свініна|стэйк|ягняціна
🥓;бекон;бекон|ежа|мяса
🍔;гамбургер;бургер|гамбургер|фаст-фуд
🍟;бульба фры;бульба|фаст-фуд|фры
🍕;піца;кавалак|піца|сыр|фаст-фуд
🌭;хот-дог;булка|сасіска|фаст-фуд|хот-дог
🥪;сандвіч;сандвіч|хлеб
🌮;така;мексіканскі|така
🌯;бурыта;бурыта|мексіканскі
🫔;тамале;мексіканскі|тамале
🥙;піта;златка|кебаб|лаваш|піта|шаўрма
🧆;фалафель;нут|фалафель|фрыкадэлька|шарык
🥚;яйка;ежа|яйка
🍳;гатаванне;гатаванне|патэльня|скаварада|смажанне|яйка
🥘;рагу ў патэльні;ежа|патэльня|паэлья|рагу|рагу ў патэльні
🍲;гаршчок з ежай;гаршчок|гаршчок з ежай|тушэнне
🫕;фандзю;каструля|расплаўлены|сыр|фандзю|шакалад|швейцарскі
🥣;міска з лыжкай;каша|міска з лыжкай|сняданак|шматкі
🥗;салата з зеляніны;гародніна|ежа|зеляніна|салата|салата з зеляніны
🍿;папкорн;папкорн
🧈;масла;малочны прадукт|масла
🧂;соль;прыправы|сальніца|соль
🥫;кансерваваная ежа;кансерваваная ежа|кансервы
🍱;бэнто;бэнто|скрыначка
🍘;рысавае пячэнне;печыва|пячэнне|рыс|рысавае печыва|рысавае пячэнне
🍙;рысавы шарык;рыс|рысавы шарык|шарык|японскі
🍚;згатаваны рыс;згатаваны|правараны|рыс
🍛;рыс і кары;кары|рыс|рыс і кары
🍜;міска з гарачай ежай;гарачы|локшына|міска|міска з гарачай ежай|рамэн
🍝;спагеці;макароны|паста|спагеці
🍠;запечаная салодкая бульба;бульба|запечаная салодкая бульба|запечаны|салодкі
🍢;одэн;кебаб|марскія прадукты|одэн|палка|шампур
🍣;сушы;сусі|сушы
🍤;смажаная крэветка;крэветка|смажаная крэветка|смажаны|тэмпура
🍥;рыбны пірог з завітком;выпечка|завіток|пірог|рыба|рыбны пірог з завітком
🥮;месяцовы пернік;восень|месяцовы пернік|фестываль|юэбін
🍡;данга;данга|дэсерт|палачка|салодкі|японскі
🥟;пельмені;варэнікі|гёдза|пельмені|цяоцзы|эмпанада
🥠;пячэнне з прадказаннем;прадказанне|пячэнне з прадказаннем
🥡;ежа на вынас;ежа на вынас|каробка для кітайскай ежы
🦀;краб;задыяк|краб|рак
🦞;амар;амар|клюшні|морапрадукты|ракавы суп
🦐;крэветка;ежа|крэветка|маленькая|морапрадукты
🦑;кальмар;ежа|кальмар|малюск
🦪;вустрыца;вустрыца|жэмчуг|ныранне
🍦;мяккае марожанае;дэсерт|марожанае|марозіва|мяккае марожанае|мяккі|пламбір|салодкі
🍧;фруктовы лёд;дэсерт|лёд|салодкі|фруктовы
🍨;марожанае;дэсерт|марожанае|марозіва|салодкі
🍩;пончык;дэсерт|пончык|салодкі
🍪;пячэнне;дэсерт|пячэнне|салодкі
🎂;імянінны торт;дзень нараджэння|дэсерт|імянінны торт|салодкі|свята|торт
🍰;слоены пірог;выпечка|дэсерт|пірог|салодкі|слоены пірог|торт
🧁;кекс;выпечка|кекс|салодкае
🥧;торт;выпечка|начынка|пірог|торт
🍫;плітка шакаладу;дэсерт|плітка|плітка шакаладу|салодкі|шакалад
🍬;цукерка;дэсерт|салодкі|цукерка
🍭;ледзянец;дэсерт|ледзянец|салодкі|цукерка
🍮;карамельны пудынг;дэсерт|карамельны пудынг|пудынг|салодкі
🍯;гаршчок мёду;гаршчок|гаршчок мёду|мёд|салодкі
🍼;дзіцячая бутэлечка;бутэлечка|дзіцячая бутэлечка|малако|напой|немаўля
🥛;шклянка малака;малако|пітво|шклянка|шклянка малака
☕;гарачы напой;гарачы|гарбата|кава|напой|чай
🫖;чайнік;імбрык|імбрычак|піць|чай|чайнік
🍵;кубачак чаю без ручкі;гарбата|кубачак|кубачак чаю без ручкі|напой|піяла|чай|шклянка
🍶;саке;алкаголь|бар|бутэлька|кубак|напой|саке
🍾;шампанскае адкаркавана;алкаголь|бар|бутэлька|корак|напой|шампанскае адкаркавана
🍷;келіх віна;бар|віно|келіх|келіх віна|напой
🍸;келіх кактэйлю;бар|кактэйль|келіх|келіх кактэйлю|напой
🍹;трапічны напой;бар|напой|трапічны
🍺;куфель піва;бар|куфель|напой|піва
🍻;чоканне куфляў;бар|куфель|кухаль|напой|піва|чоканне|чоканне куфляў
🥂;чоканне келіхаў;дзынкаць|келіх|напітак|свята|чоканне келіхаў|чокацца
🥃;шклянка для віна;віно|віскі|кактэйль|лікёр|шклянка|шклянка для віна
🫗;ліць вадкасць;ліць вадкасць|напой|пустая|разліваць|шклянка
🥤;шклянка з саломінкай;газіроўка|сок|шклянка з саломінкай
🧋;чай з шарыкамі;жамчужны|малако|чай|чай з шарыкамі|шарыкі
🧃;пачак з напоем;пачак з напоем|пачак соку
🧉;матэ;матэ|напой
🧊;кубік лёду;кубік лёду|ледзяны|халодны
🥢;палачкі;палачкі|хашы
🍽️;талерка, відэлец і нож;відэлец|відэлец і нож|гатаванне|нож|талерка|талерка, відэлец і нож
🍴;відэлец і нож;відэлец|відэлец і нож|гатаванне|нож
🥄;лыжка;лыжка|сталовы прыбор
🔪;кухонны нож;гатаванне|зброя|інструмент|кухонны нож|нож
🫙;слоік;ёмістасць|крама|прыправа|пустая|слоік|соус
🏺;амфара;амфара|вадаліў|задыяк|збан|напой

[travel_places]
🌍;зямны шар (еўропа і афрыка);афрыка|еўропа|зямля|зямны шар (еўропа і афрыка)|свет
🌎;зямны шар (паўночная і паўднёвая амерыкі);зямля|зямны шар (паўночная і паўднёвая амерыкі)|паўднёвая амерыка|паўночная амерыка|свет
🌏;зямны шар (аўстралія і азія);азія|аўстралія|зямля|зямны шар (аўстралія і азія)|свет
🌐;зямны шар з мерыдыянамі;зямля|зямны шар з мерыдыянамі|мерыдыяны|свет
🗺️;карта свету;карта|карта свету|мапа|свет
🗾;карта японіі;карта|карта японіі|мапа|японія
🧭;компас;арыентаванне|компас|магнетызм|навігацыя
🏔️;заснежаная гара;гара|заснежаная гара|снег|халодны
⛰️;гара;гара
🌋;вулкан;вулкан|вывяржэнне|гара|лава|надвор’е
🗻;гара фудзі;гара|фудзі|фудзіяма|японія
🏕️;кемпінг;кемпінг
🏖️;пляж і парасон;парасон|пляж|пляж і парасон
🏜️;пустыня;пустыня
🏝️;ненаселены востраў;бязлюдны|востраў|ненаселены
🏞️;нацыянальны парк;нацыянальны парк|парк
🏟️;стадыён;стадыён
🏛️;будынак у класічным стылі;будынак|будынак у класічным стылі|класічны
🏗️;будаўніцтва;будаўніцтва|будынак
🧱;цагліна;гліна|сцяна|цагліна|цэгла|цэмент
🪨;камень;валун|камень|моцны|трывалы|цяжкі
🪵;драўніна;бервяно|драўніна|дрэва|лесаматэрыял
🛖;хата;дом|хата|юрта
🏘️;дамы;будынкі|дамы|хаты
🏚️;закінуты дом;будынак|дом|закінуты|занядбаны
🏠;дом;будынак|дом|хата
🏡;дом з садам;будынак|дом|дом з садам|сад|хата
🏢;офісны будынак;будынак|офіс|офісны будынак
🏣;японскі паштамт;будынак|пошта|юбінкёку|японскі|японскі паштамт
🏤;паштамт;будынак|еўрапейскі|паштамт|пошта
🏥;бальніца;бальніца|будынак|доктар|медыцына|паліклініка
🏦;банк;банк|будынак|валюта|грошы
🏨;гатэль;адпачынак|будынак|гатэль
🏩;любоўны гатэль;будынак|гатэль|інтым|каханне|любоўны гатэль
🏪;кругласутачная крама;будынак|крама|кругласутачная крама|магазін|начнік
🏫;школа;адукацыя|будынак|установа|школа
🏬;універмаг;будынак|крама|магазін|універмаг
🏭;завод;будынак|вытворчасць|завод|прамысловасць
🏯;японскі замак;будынак|замак|японскі
🏰;замак;будынак|еўрапейскі|замак
💒;вяселле;вяселле|капліца|касцёл|царква|шлюб
🗼;такійская тэлевежа;вежа|такійская тэлевежа|токіа
🗽;статуя свабоды;свабода|статуя|статуя свабоды
⛪;царква;касцёл|рэлігія|хрысціянства|царква
🕌;мячэць;іслам|мусульманскі|мячэць|рэлігія
🛕;індуісцкі храм;індуісцкі|храм
🕍;сінагога;іудаізм|рэлігія|сінагога|храм|яўрэй
⛩️;сінтаісцкі храм;рэлігія|сінтаізм|сінтаісцкі храм|храм
🕋;кааба;іслам|кааба|мусульманскі|рэлігія
⛲;фантан;фантан
⛺;палатка;кемпінг|палатка
🌁;туманнае надвор’е;надвор’е|туман|туманнае надвор’е
🌃;зорная ноч;зорка|зорная ноч|надвор’е|ноч
🏙️;гарадскі краявід;будынкі|гарадскі краявід|горад
🌄;узыход сонца над гарамі;гара|надвор’е|раніца|сонца|узыход сонца над гарамі
🌅;узыход сонца;надвор’е|раніца|світанне|сонца|узыход сонца
🌆;гарадскі краявід у змярканні;будынак|вечар|гарадскі краявід у змярканні|горад|захад|змярканне
🌇;захад сонца;будынак|захад сонца|змярканне|надвор’е|сонца
🌉;мост уначы;мост|мост уначы|надвор’е|ноч
♨️;гарачыя крыніцы;гарачы|гарачыя крыніцы|крыніцы|пара
🎠;конік з каруселі;карусель|конік|конік з каруселі|конь
🛝;дзіцячая горка;гульня|дзіцячая горка|парк адпачынку
🎡;кола агляду;забаўляльны парк|кола агляду
🎢;амерыканскія горкі;амерыканскія горкі|атракцыён|горка|забаўляльны парк
💈;каляровы слуп;барбершоп|знак цырульні|каляровы слуп|слуп|цырульнік|цырульня
🎪;цыркавая палатка;палатка|цырк|цыркавая палатка|шапіто
🚂;лакаматыў;лакаматыў|пара|рухавік|цягнік|чыгунка
🚃;чыгуначны вагон;вагон|чыгуначны вагон|чыгунка|электрычка
🚄;высакаскорасны цягнік;высакаскорасны цягнік|сінкансэн|хуткасць|цягнік|чыгунка
🚅;цягнік-пуля;пуля|сінкансэн|хуткасць|цягнік|цягнік-пуля|чыгунка
🚆;цягнік;бч|рэйкі|цягнік|чыгунка
🚇;метро;м|метрапалітэн|метро|рэйкі|цягнік
🚈;электрычка;бч|рэйкі|чыгунка|электрычка
🚉;станцыя;прыпынак|станцыя|цягнік|чыгунка
🚊;трамвай;рэйкі|трамвай|цягнік
🚝;манарэйка;манарэйка|метро|рэйкі
🚞;чыгунка ў гарах;гара|рэйкі|цягнік|чыгунка|чыгунка ў гарах
🚋;трамвайны вагон;вагон|рэйкі|трамвай|трамвайны вагон
🚌;аўтобус;аўтобус|транспарт
🚍;набліжаецца аўтобус;аўтобус|набліжаецца аўтобус|набліжэнне|транспарт
🚎;тралейбус;тралейбус|тралік|транспарт|электрычнасць
🚐;мікрааўтобус;аўтобус|маршрутка|мікрааўтобус
🚑;хуткая дапамога;103|мігалка|транспарт|хуткая дапамога
🚒;пажарная машына;101|грузавік|мігалка|пажар|пажарная машына
🚓;паліцэйская машына;102|мігалка|міліцыя|паліцыя|паліцэйская машына|патруль
🚔;набліжаецца паліцэйская машына;102|мігалка|міліцыя|набліжаецца паліцэйская машына|набліжэнне|паліцыя
🚕;таксі;таксі|транспарт
🚖;набліжаецца таксі;набліжаецца таксі|набліжэнне|таксі|транспарт
🚗;аўтамабіль;аўтамабіль|машына|транспарт
🚘;набліжаецца аўтамабіль;аўтамабіль|машына|набліжаецца аўтамабіль|набліжэнне|транспарт
🚙;джып;адпачынак|джып|машына|пазадарожнік|уседарожнік
🛻;пікап;грузавік|пікап
🚚;грузавік;грузавік|дастаўка|развоз
🚛;аўтапоезд;аўтапоезд|грузавік|дальнабойшчык|перавозка|фура
🚜;трактар;беларус|ммвз|мтз|трактар|транспарт
🏎️;гоначны аўтамабіль;аўтамабіль|балід|гоначны аўтамабіль|гонкі|формула
🏍️;матацыкл;байк|гонкі|матацыкл|хуткасць
🛵;скутар;скутар
🦽;інвалідная каляска з ручным прывадам;асаблівыя фізічныя патрэбы|інваліднасць|інвалідная каляска з ручным прывадам
🦼;інвалідная каляска з маторам;асаблівыя фізічныя патрэбы|інваліднасць|інвалідная каляска з маторам
🛺;аўтарыкша;аўтарыкша|тук-тук
🚲;веласіпед;аіст|веласіпед|горнік|ровар
🛴;самакат;самакат
🛹;скейтборд;дошка|скейтборд
🛼;ролікавы канёк;канёк|ролік|ролікавы канёк
🚏;аўтобусны прыпынак;аўтобус|аўтобусны прыпынак|знак|прыпынак
🛣️;аўтамагістраль;аўтамагістраль|дарога|траса|шаша
🛤️;чыгунка;рэйкі|цягнік|чыгунка|шпалы
🛢️;бочка з нафтай;бочка|бочка з нафтай|нафта
⛽;бензакалонка;азс|бензакалонка|бензін|запраўка|паліва|паліўная станцыя|салярка
🛞;кола;абарот|кола|круг|пакрышка|шына
🚨;паліцэйская мігалка;аўтамабіль|маячок|міліцыя|паліцыя|паліцэйская мігалка|трывога
🚥;гарызантальны святлафор;гарызантальны святлафор|рух|рэгуляванне|сігнал
🚦;вертыкальны святлафор;вертыкальны святлафор|рух|рэгуляванне|сігнал
🛑;знак “стоп”;васьмівугольнік|знак|знак “стоп”|стоп
🚧;будаўнічыя работы;агароджа|бар’ер|будаўнічыя работы|перашкода
⚓;якар;інструмент|карабель|якар
🛟;ратавальны круг;бяспека|круг|ратавальны круг|ратавальны сродак|ратаванне|сродак ратавання
⛵;паруснік;ветразь|курорт|лодка|мора|паруснік|яхта
🛶;каноэ;каноэ|лодка
🚤;быстраходны катар;быстраходны катар|вада|лодка|хуткасць
🛳️;пасажырскі лайнер;карабель|круіз|падарожжа|пасажырскі лайнер|судна
⛴️;паром;карабель|паром
🛥️;маторная лодка;вада|лодка|матор|маторная лодка
🚢;карабель;карабель|параход|перавозкі|транспарт
✈️;самалёт;пералёт|самалёт|транспарт
🛩️;невялікі самалёт;лёгкаматорны|невялікі самалёт|самалёт|транспарт
🛫;узлёт;адбыццё|вылет|рэгістрацыя|самалёт|узлёт
🛬;пасадка;пасадка|прыбыццё|прылёт|самалёт
🪂;парашут;дэльтаплан|парасэйлінг|парашут|скайдайвінг
💺;месца;крэсла|месца
🚁;верталёт;верталёт|лопасці|транспарт
🚟;падвесная чыгунка;вагон|падвесная чыгунка|падвесны|чыгунка
🚠;горны фунікулёр;вагон|гара|горны фунікулёр|трос
🚡;канатная дарога;вагон|канатная дарога|паветраны|трамвай|трос
🛰️;спадарожнік;космас|спадарожнік
🚀;ракета;космас|ракета
🛸;лятаючая талерка;лятаючая талерка|НЛА
🛎️;званок у гатэлі;выклік|гатэль|званок|званок у гатэлі
🧳;багаж;багаж|падарожжа|чамадан
⌛;пясочны гадзіннік адлічыў час;гадзіннік|пясок|пясочны гадзіннік|пясочны гадзіннік адлічыў час|час
⏳;пясочны гадзіннік лічыць час;адлік часу|гадзіннік|пясок|пясочны гадзіннік лічыць час|таймер|час ідзе
⌚;наручны гадзіннік;гадзіннік|наручны гадзіннік|рука
⏰;будзільнік;будзільнік|звон|сігнал|час
⏱️;секундамер;гадзіннік|замер|секундамер
⏲️;таймер;адлік|гадзіннік|таймер
🕰️;камінны гадзіннік;гадзіннік|камін|камінны гадзіннік
🕛;дванаццаць гадзін;дванаццаць|дванаццаць гадзін|поўдзень|поўнач
🕧;палова на першую;00:30|12:30|дванаццаць|дня|ночы|палова|палова на першую
🕐;адна гадзіна;1:00|13:00|адна|гадзіна|дня|ночы
🕜;палова на другую;1:30|13:30|гадзіна|дня|ночы|палова|палова на другую
🕑;дзве гадзіны;14:00|2:00|гадзіна|дзве|дзве гадзіны|дня|ночы
🕝;палова на трэцюю;14:30|2:30|гадзіна|дня|ночы|палова|палова на трэцюю
🕒;тры гадзіны;15:00|3:00|гадзіна|дня|ночы|тры|тры гадзіны
🕞;палова на чацвёртую;15:30|3:30|гадзіна|дня|ночы|палова|палова на чацвёртую
🕓;чатыры гадзіны;16:00|4:00|гадзіна|дня|раніцы|чатыры|чатыры гадзіны
🕟;палова на пятую;16:30|4:30|гадзіна|дня|палова|палова на пятую|раніцы
🕔;пяць гадзін;17:00|5:00|вечара|гадзіна|пяць|пяць гадзін|раніцы
🕠;палова на шостую;17:30|5:30|вечара|гадзіна|палова|палова на шостую|раніцы
🕕;шэсць гадзін;18:00|6:00|вечара|гадзіна|раніцы|шэсць|шэсць гадзін
🕡;палова на сёмую;18:30|6:30|вечара|гадзіна|палова|палова на сёмую|раніцы
🕖;сем гадзін;19:00|7:00|вечара|гадзіна|раніцы|сем|сем гадзін
🕢;палова на восьмую;19:30|7:30|вечара|гадзіна|палова|палова на восьмую|раніцы
🕗;восем гадзін;20:00|8:00|вечара|восем|восем гадзін|гадзіна|раніцы
🕣;палова на дзявятую;20:30|8:30|вечара|гадзіна|палова|палова на дзявятую|раніцы
🕘;дзевяць гадзін;21:00|9:00|вечара|гадзіна|дзевяць|дзевяць гадзін|раніцы
🕤;палова на дзясятую;21:30|9:30|вечара|гадзіна|палова|палова на дзясятую|раніцы
🕙;дзесяць гадзін;10:00|22:00|вечара|гадзіна|дзесяць|дзесяць гадзін|раніцы
🕥;палова на адзінаццатую;10:30|22:30|вечара|гадзіна|палова|палова на адзінаццатую|раніцы
🕚;адзінаццаць гадзін;11:00|23:00|адзінаццаць|адзінаццаць гадзін|вечара|гадзіна|раніцы
🕦;палова на дванаццатую;11:30|23:30|вечара|гадзіна|палова|палова на дванаццатую|раніцы
🌑;маладзік;космас|маладзік|новы месяц|ноч|перакрой|пусты месяц
🌒;рост сярпа;космас|маладзік|месяц|неаменія|ноч|рост сярпа|серп
🌓;першая чвэрць;квадра|космас|маладзік|месяц|ноч|палова|першая чвэрць|чвэрць
🌔;рост гарба;горб|космас|месяц|ноч|падпоўня|рост|рост гарба
🌕;поўня;космас|ноч|поўны месяц|поўня
🌖;змяншэнне гарба;горб|змяншэнне гарба|космас|месяц|ноч|сход|убыванне
🌗;апошняя чвэрць;апошняя|квадра|космас|месяц|ноч|палова|сход|трэцяя|чвэрць
🌘;змяншэнне сярпа;ветах|змяншэнне сярпа|космас|месяц|ноч|серп|стары|убыванне
🌙;паўмесяц;космас|месяц|ноч|паўмесяц
🌚;маладзік з тварам;космас|маладзік|маладзік з тварам|месяц|ноч|твар
🌛;месяц у першай чвэрці з тварам;квадра|космас|месяц|месяц у першай чвэрці з тварам|першая|твар|чвэрць
🌜;месяц у апошняй чвэрці з тварам;апошняя|квадра|космас|месяц|месяц у апошняй чвэрці з тварам|твар|чвэрць
🌡️;тэрмометр;надвор’е|тэмпература|тэрмометр
☀️;сонца;космас|надвор’е|промні|сонца
🌝;поўня з тварам;космас|месяц|ноч|поўня|поўня з тварам|яркі
🌞;сонца з тварам;космас|надвор’е|сонца|сонца з тварам|твар|яркае
🪐;планета з кальцом;планета з кальцом|сатурн
⭐;звычайная зорка;звычайная зорка|зорка
🌟;бліскучая зорка;бліскучая зорка|бліскучы|ззянне|зорка|іскра
🌠;знічка;знічка|зорка|космас|мара|метэор
🌌;млечны шлях;космас|млечны шлях|надвор’е|ноч
☁️;воблака;воблака|надвор’е|неба|пахмурна
⛅;сонца за воблакам;воблака|надвор’е|неба|сонца|сонца за воблакам
⛈️;хмара з маланкай і дажджом;гром|дождж|навальніца|хмара|хмара з маланкай і дажджом
🌤️;сонца за маленькім воблакам;воблака|надвор’е|неба|сонца|сонца за маленькім воблакам
🌥️;сонца за вялікім воблакам;воблака|надвор’е|неба|сонца|сонца за вялікім воблакам
🌦️;сонца за дажджавой хмарай;дождж|надвор’е|сонца|сонца за дажджавой хмарай|хмара
🌧️;хмара і дождж;ападкі|дождж|надвор’е|хмара|хмара і дождж
🌨️;хмара і снег;ападкі|надвор’е|снег|хмара|хмара і снег
🌩️;хмара з маланкай;бліскавіца|маланка|надвор’е|хмара|хмара з маланкай
🌪️;тарнада;віхор|надвор’е|смерч|тарнада|хмара
🌫️;туман;бачнасць|воблака|надвор’е|нізкая|туман
🌬️;твар ветру;вецер|надвор’е|твар|твар ветру
🌀;цыклон;завіхрэнне|надвор’е|тайфун|ураган|цыклон
🌈;вясёлка;вясёлка|дождж|надвор’е
🌂;закрыты парасон;аксесуар|дождж|закрыты парасон|надвор’е|парасон
☂️;парасон;аксесуар|дождж|надвор’е|парасон
☔;парасон з кроплямі дажджу;аксесуар|дождж|кропля|надвор’е|парасон|парасон з кроплямі дажджу
⛱️;пляжны парасон;дождж|надвор’е|парасон|пляжны парасон|сонца
⚡;высокае напружанне;высокае напружанне|маланка|напружанне|небяспека|электрычнасць
❄️;сняжынка;надвор’е|снег|сняжынка|халодны
☃️;снегавік;снег|снегавая баба|снегавік|снегавы балван|холад
⛄;снегавік без снегападу;снегавая баба без снегападу|снегавік|снегавік без снегападу|снегавы балван|холад
☄️;камета;камета|космас
🔥;агонь;агонь|інструмент|полымя
💧;кропелька;вада|кропелька|надвор’е|пот|халодны
🌊;хваля;акіян|вада|надвор’е|хваля

[activities]
🎃;гарбузны ліхтар;гарбуз|гарбузны ліхтар|ліхтар|свята|Хэлоўін
🎄;навагодняя ёлка;ёлка|Каляды|навагодняя ёлка|ялінка
🎆;феерверк;святкаванне|феерверк
🎇;бенгальскі агонь;бенгальскі агонь|іскра|свята|феерверк
🧨;петарда;выбуховы|дынаміт|петарда|узрыўчатка|феерверк
✨;іскры;*|зорка|іскра|іскры
🎈;паветраны шарык;паветраны шарык|святкаванне
🎉;хлапушка;вечарына|віншую|свята|хлапушка
🎊;шарык з канфеці;канфеці|свята|шар|шарык з канфеці
🎋;дрэва танабата;дрэва|дрэва танабата|свята|тандзаку|японскае
🎍;кадамацу;бамбук|кадамацу|свята|хвоя|японскае
🎎;японскія лялькі;лялька|свята|фестываль|японскі|японскія лялькі
🎏;каінаборы;каінаборы|карп|свята
🎐;музычная падвеска;вецер|званок|музычная падвеска|свята
🎑;цукімі;любаванне месяцам|месяц|свята|цукімі|цырымонія
🧧;чырвоны канверт;грошы|падарунак|прэзент|удача|хунбаа|чаявыя|чырвоны канверт
🎀;стужка;свята|святкаванне|стужка
🎁;запакаваны падарунак;загорнуты|запакаваны падарунак|каробка|падарунак|свята
🎗️;памятная стужка;напамін|памятная стужка|свята|стужка
🎟️;уваходныя білеты;білет|уваход|уваходныя білеты
🎫;білет;білет|уваход
🎖️;ваенны медаль;ваенны|медаль|свята
🏆;кубак;кубак|прыз
🏅;спартыўны медаль;медаль|спартыўны медаль
🥇;залаты медаль;залаты медаль|золата|медаль|першае месца
🥈;сярэбраны медаль;другое месца|медаль|серабро|сярэбраны медаль
🥉;бронзавы медаль;бронза|бронзавы медаль|медаль|трэцяе месца
⚽;футбольны мяч;мяч|футбол|футбольны мяч
⚾;бейсбольны мяч;бейсбол|бейсбольны мяч
🥎;софтбол;мяч|падача|пальчатка|софтбол
🏀;баскетбол;баскетбол|кальцо|мяч
🏐;валейбол;валейбол|гульня|мяч
🏈;амерыканскі футбол;амерыканскі|мяч|футбол
🏉;рэгбі;мяч|рэгбі|футбол
🎾;тэніс;мяч|ракетка|тэніс
🥏;фрысбі;алцімат|лятучы дыск|фрысбі
🎳;боўлінг;боўлінг|гульня|шар
🏏;крыкет;біта|гульня|крыкет|мяч
🏑;хакей на траве;гульня|клюшка|мяч|поле|хакей|хакей на траве
🏒;хакей з шайбай;гульня|клюшка|лёд|хакей|хакей з шайбай|хакей на лёдзе|шайба
🥍;лакрос;гол|клюшка|лакрос|мяч
🏓;пінг-понг;гульня|мяч|настольны|пінг-понг|ракетка|тэніс
🏸;бадмінтон;бадмінтон|валан|валанчык|гульня|ракетка
🥊;баксёрская пальчатка;баксёрская пальчатка|бокс
🥋;уніформа для адзінаборстваў;баявыя мастацтва|дзюдо|каратэ|тэквандо|уніформа для адзінаборстваў|форма
🥅;футбольныя вароты;вароты|футбольныя вароты
⛳;флажок у лунцы;гольф|лунка|сцяжок|флажок|флажок у лунцы
⛸️;канёк;канёк|лёд
🎣;вуда для рыбалкі;вуда для рыбалкі|рыба|рыбалка
🤿;маска для падводнага плавання;маска для падводнага плавання|ныранне|падводнае плаванне|скуба
🎽;саколка для бегу;атлетыка|бег|майка|паласа|саколка|саколка для бегу
🎿;лыжы;лыжныя палкі|лыжы|снег
🛷;санкі;сані|санкі
🥌;шайба для кёрлінгу;гульня|камень|шайба|шайба для кёрлінгу
🎯;прамое пападанне;гульня|дартс|дроцік|мішэнь|прамое пападанне|цэль
🪀;ё-ё;ё-ё|матляцца|цацка
🪁;паветраны змей;лётаць|лунаць|лятаць|паветраны змей
🔫;вадзяны пісталет;вадзяны пісталет|зброя|пісталет|пушка|рэвальвер
🎱;більярд;8|більярд|восем|гульня|кій|шар
🔮;крыштальны шар;казачны|крыштальны|магія|прадказанне|шар
🪄;чароўная палачка;вядзьмак|вядзьмарка|магія|чароўная палачка
🎮;відэагульня;відэагульня|геймпад|гульня|кантролер
🕹️;джойсцік;відэагульня|гульня|джойсцік|кантролер
🎰;гульнявы аўтамат;аўтамат|гульня|гульнявы аўтамат|жэтон
🎲;ігральная косць;азарт|гульня|ігральная косць|косць|кубік
🧩;частка пазла;ключ|мазаіка|пазл|частка|частка пазла
🧸;плюшавы мядзведзь;забава|мяккі|плюш|плюшавы мядзведзь|цацка
🪅;піньята;вечарына|гулянка|піньята|святкаванне
🪩;люстраны шар;блікі|вечарына|гулянка|дыскатэка|люстраны шар|танцы
🪆;матрошка;лялька|матрошка|Расія
♠️;віны;азарт|віны|гульня|карты|масць|пікі
♥️;чырвы;гульня|карты|чырвы
♦️;звонкі;гульня|звонкі|карты
♣️;трэфы;гульня|карта|трэфы|хрэсці
♟️;пешка;дробязь|пешка|шахматы
