[smileys_emotion]
😀;સ્મિત કરતો ચહેરો;ચહેરો|સ્મિત|સ્મિત કરતો ચહેરો
🐎;ઘોડો;ઘોડો|પ્રાણી
🦄;યુનિકોર્ન;એક શિંગડાવાળો કાલ્પનિક ઘોડો|ચહેરો|યુનિકોર્ન|યુનિકોર્નનો ચહેરો
🦓;ઝિબ્રા;ઝિબ્રા
🦌;હરણ;પ્રાણી|હરણ
🦬;બાઇસન;જંગલી|ધણ|બાઇસન|ભેંસ|વાઇસેન્ટ
🐮;ગાયનો ચહેરો;ગાય|ગાયનો ચહેરો|ચહેરો|પ્રાણી
🐂;બળદ;પ્રાણી|બળદ
🐃;ભેંસ;પાણી|પ્રાણી|ભેંસ
🐄;ગાય;ગાય|પ્રાણી
🐷;ડુક્કરનો ચહેરો;ચહેરો|ડુક્કર|ડુક્કરનો ચહેરો|પ્રાણી
🐖;ડુક્કર;ડુક્કર|પ્રાણી
🐗;ભૂંડ;પ્રાણી|ભૂંડ
🐽;ડુક્કરનું નાક;ચહેરો|ડુક્કરનું નાક|નાક|પ્રાણી
🐏;નર ઘેટું;નર ઘેટું|પ્રાણી|મેષ રાશિ ચિહ્ન
🐑;ઘેટું;ઘેટું|પ્રાણી
🐐;બકરી;પ્રાણી|બકરી|મકર રાશિ ચિહ્ન
🐪;ઊંટ;ઊંટ|એક ખૂંધવાળું ઊંટ|ખૂંધ|ડ્રોમેડરી|પ્રાણી
🐫;બે ખૂંધવાળો ઊંટ;ઊંટ|ખૂંધ|પ્રાણી|બે ખૂંધવાળો ઊંટ|બેક્ટ્રિયન
🦙;લામા;આલ્પાકા|ઊન|ગ્યુનાકો|લામા|વીક્યુના
🦒;જિરાફ;જિરાફ
🐘;હાથી;પ્રાણી|હાથી
🦣;મૅમથ;ઊનવાળું|કદાવર|દંતશૂળ|નાશ પામવું|મૅમથ|વિશાળ
🦏;ગેંડો;ગેંડો|પ્રાણી
🦛;હિપ્પોપૉટેમસ;હિપ્પો|હિપ્પોપૉટેમસ
🐭;ઉંદરનો ચહેરો;ઉંદર|ઉંદરનો ચહેરો|ચહેરો|પ્રાણી
🐁;મૂષક;પ્રાણી|મૂષક
🐀;ઉંદર;ઉંદર|પ્રાણી
🐹;હેમ્સ્ટર;ચહેરો|પ્રાણી|હેમ્સ્ટર|હેમ્સ્ટરનો ચહેરો
🐰;સસલાનો ચહેરો;ચહેરો|પ્રાણી|સસલાનો ચહેરો|સસલું
🐇;સસલું;પ્રાણી|સસલું
🐿️;ખિસકોલી;ખિસકોલી|ચિપમંક
🦫;બીવર;બંધ|બીવર
🦔;હેજહોગ;હેજહોગ
🦇;ચામાચીડિયું;ચામાચીડિયું|પ્રાણી|વૅમ્પાયર
🐻;રીંછ;ચહેરો|રીંછ|રીંછનો ચહેરો
🐻‍❄️;ધ્રુવીય રીંછ;આર્કટિક|ધ્રુવીય રીંછ|રીંછ|સફેદ
🐨;કોઆલા;કોઆલા|કોઆલા રીંછ|પ્રાણી
🐼;પાન્ડા;ચહેરો|પાન્ડા|પાન્ડાનો ચહેરો
🦥;સ્લૉથ;આળસું|ધીમું|સ્લૉથ
🦦;જળબિલાડી;જળબિલાડી|માછીમારી|રમતિયાળ
🦨;સ્કન્ક;દુર્ગંધ|સ્કન્ક
🦘;કાંગારું;ઑસ્ટ્રેલિયા|કાંગારું|જમ્પ|માર્સૂપિઅલ|યુવાન કાંગારું
🦡;બૅજર;પજવણી કરનાર|બૅજર|હની બૅજર
🐾;પંજાનું નિશાન;નિશાન|પંજાનું નિશાન|પંજો|પ્રાણી
🦃;ટર્કી;ટર્કી
🐔;ચિકન;ચિકન|પ્રાણી|મરઘીનું બચ્ચું
🐓;કૂકડો;કૂકડો|પ્રાણી
🐣;સેવાઈ રહેલું બચ્ચું;પક્ષીનું બચ્ચું|પ્રાણી|બચ્ચું|મરઘીનું બચ્ચું|સેવવું|સેવાઈ રહેલું બચ્ચું
🐤;મરઘીનું બચ્ચું;પક્ષીનું બચ્ચું|પ્રાણી|બચ્ચું|મરઘીનું બચ્ચું
🐥;સામે જોતું પક્ષીનું બચ્ચું;આગળ તરફ જોતું પક્ષીનું બચ્ચું|પક્ષીનું બચ્ચું|પ્રાણી|બચ્ચું|મરઘીનું બચ્ચું|સામે જોતું પક્ષીનું બચ્ચું
🐦;પક્ષી;પક્ષી|પ્રાણી
🐧;પેંગ્વિન;પેંગ્વિન|પ્રાણી
🕊️;કબૂતર;કબૂતર|પક્ષી|શાંતિ
🦅;ગરુડ;ગરુડ|પક્ષી
🦆;બતક;પક્ષી|બતક
🦢;હંસ;નાની બતક|પક્ષી|હંસ|હંસનું બચ્ચું
🦉;ઘુવડ;ઘુવડ|પક્ષી|બુદ્ધિમાન
🦤;ડોડો;ડોડો|નાશ પામવું|મોરિશિયસ|વિશાળ
🪶;પીંછાળું;ઉડાણ|પક્ષી|પીંછાળું|હલકું
🦩;સુરખાબ;આકર્ષક|ઉષ્ણકટિબંધીય|સુરખાબ
🦚;મોર;ઢેલ|પક્ષી|ભવ્ય|મોર|શાનદાર
🦜;પોપટ;ચાંચિયો|પક્ષી|પોપટ|બોલતો પોપટ
🪽;પાંખ;ઊડવું|દેવતાઈ|પક્ષી|પાંખ|પૌરાણિક કથા|વિમાન વ્યવહાર
🐦‍⬛;કાળું પક્ષી;કાગડો|કાળું પક્ષી|કાળો|જંગલી કાગડો|પક્ષી|રુક
🪿;કલહંસ;કલહંસ|જંગલી હંસનું બરાડવું|નાદાન|પક્ષી|મરઘું
🐦‍🔥;ફીનિક્સ;કાલ્પનિક|પુનર્જન્મ|ફાયરબર્ડ|ફીનિક્સ
🐸;દેડકો;ચહેરો|દેડકાંનો ચહેરો|દેડકો
🐊;મગર;પ્રાણી|મગર
🐢;કાચબો;કાચબો|પ્રાણી
🦎;ગરોળી;ગરોળી|સરિસૃપ
🐍;સાપ;પ્રાણી|સાપ
🐲;દૈત્યનો ચહેરો;ચહેરો|દૈત્ય|દૈત્યનો ચહેરો|પ્રાણી
🐉;ડ્રેગન;ડ્રેગન|પ્રાણી
🦕;સોરોપોડ;સોરોપોડ
🦖;ટી-રેક્સ;ટી-રેક્સ
🐳;પાણી ઉછાળતી વ્હેલ;પાણી ઉછાળતી વ્હેલ|પાણી ઉછાળવું|પ્રાણી|વ્હેલ
🐋;વ્હેલ;પ્રાણી|વ્હેલ
🐬;ડોલ્ફિન;ડોલ્ફિન|પ્રાણી
🦭;સીલ;સીલ|સીલ માછલી
🐟;માછલી;પ્રાણી|માછલી
🐠;ઉષ્ણકટિબંધીય માછલી;ઉષ્ણકટિબંધીય માછલી|પ્રાણી|માછલી
🐡;બ્લોફિશ;પ્રાણી|બ્લોફિશ|બ્લોફીશ|માછલી
🦈;શાર્ક;માછલી|શાર્ક
🐙;ઓક્ટોપસ;ઓક્ટોપસ|પ્રાણી
🐚;સર્પાકાર શેલ;પ્રાણી|શેલ|સર્પાકાર શેલ
🪸;કોરલ;કોરલ|ખડક|સમુદ્ર
🪼;જેલિ ફિશ;અચાનક દરદ કે વ્યથાનો સૂચક|કરોડ કે પૃષ્ઠવંશ વિનાનું|જેલિ|જેલિ ફિશ|ડંખ મારનાર|દરિયાનું|નાનું ઝરણું
🐌;ગોકળગાય;ગોકળગાય|પ્રાણી
🦋;બટરફ્લાઇ;જંતુ|બટરફ્લાઇ|સુંદર
🐛;જંતુ;ઇયળ|કાનખજૂરો|જંતુ|પ્રાણી
🐜;કીડી;કીડી|પ્રાણી
🐝;મધમાખી;પ્રાણી|મધમાખી|મધુમક્ષિકા
🪲;ભમરો;જંતુ|નાનું જીવડું|ભમરો
🐞;માદા ભમરી;પ્રાણી|ભમરો|માદા|માદા ભમરી|માદા માંકડ
🦗;કંસારી;કંસારી
🪳;વાંદો;ઉપદ્રવી જીવાત|જંતુ|રોચ|વાંદો
🕷️;કરોળિયો;કરોળિયો|જંતુ
🕸️;કરોળિયાનું જાળું;કરોળિયાનું જાળું|કરોળિયો|જાળું
🦂;વીંછી;રાશિ|વીંછી|સ્કોર્પિયો
🦟;મચ્છર;જંતુ|તાવ|મચ્છર|મલેરિયા|રોગ|વાયરસ
🪰;માખી;ઈયળ|ઉપદ્રવી જીવાત|માખી|રોગ|સડવું
🪱;કૃમિ;અળસિયું|કૃમિ|જળો|પરોપજીવી|વલયી કૃમિ
🦠;જીવાણુ;અમીબા|જીવાણુ|બેક્ટેરિયા|વાયરસ
💐;બુકે;પુષ્પ|બુકે|રોમાંસ
🌸;ચેરી બ્લોઝમ;ચેરી|ચેરી બ્લોઝમ|પુષ્પ|પુષ્પ જોવું
💮;શ્વેત ફૂલ;ફૂલ|ફૂલનો સિક્કો|શ્વેત ફૂલ|સરસ કર્યુંનો સિક્કો|સિક્કો
🪷;કમળ;કમળ|ફૂલ|બૌદ્ધ ધર્મ|ભારત|વિયેટનામ|શુદ્ધતા|હિન્દુ ધર્મ
🏵️;ફીતનું ગુલાબ;છોડ|ફીતનું ગુલાબ
🌹;ગુલાબ;ગુલાબ|ફૂલ
🥀;મુર્જાયેલું ફૂલ;ફૂલ|મુર્જાયેલું
🌺;જાસૂદ;જાસૂદ|ફૂલ
🌻;સૂર્યમુખી;ફૂલ|સૂર્યમુખી
🌼;ચેરી;ચેરી|પુષ્પ
🌷;ટ્યૂલિપ;ટ્યૂલિપ|ફૂલ
🪻;હાયસિન્થ;ફૂલ|બ્લુબોનેટ|લવેન્ડર|લૂપાઇન|સ્નેપ ડ્રેગન|હાયસિન્થ
🌱;નાનો છોડ;નાનો|નાનો છોડ|બીજ
🪴;કૂંડામાં ઉગાડેલી વનસ્પતિ;ઉછેરવું|કૂંડામાં ઉગાડેલી વનસ્પતિ|ઘર|છોડ|નિરુપયોગી|બોરિંગ|વૃદ્ધિ પામવું
🌲;સદાબહાર વૃક્ષ;વૃક્ષ|સદાબહાર
🌳;ખરાઉ વૃક્ષ;ખરાઉ|પર્ણ ખરવા|વૃક્ષ
🌴;તાડનું વૃક્ષ;તાડ|તાડનું વૃક્ષ|વૃક્ષ
🌵;કેક્ટસ;કેક્ટસ|છોડ
🌾;ડાંગર;ચોખા|ડાંગર|ડૂંડુ
🌿;જડીબુટ્ટી;જડીબુટ્ટી|પર્ણ
☘️;ત્રિદલ પાંદડાવાળો એક છોડ;છોડ|ત્રણ પર્ણ|ત્રિદલ પાંદડાવાળો એક છોડ
🍀;ચાર પર્ણ ત્રિદલ;ચાર|ત્રિદલ|નસીબદાર|પર્ણ
🍁;મેપલ પર્ણ;ખરી પડેલું પર્ણ|પર્ણ|મેપલ પર્ણ
🍂;ખરતી પાંદડીઓ;ખરતી|ખરેલી|પાંદડી|પાંદડીઓ
🍃;પવનમાં ઉડતું પર્ણ;પર્ણ|પવન|પવનમાં ઉડતું પર્ણ|ફૂંકાતો પવન|ફૂંકાવું
🪹;ખાલી માળો;ખાલી માળો|માળો બનાવવો
🪺;ઇંડા મૂકેલો માળો;ઇંડા મૂકેલો માળો|માળો બનાવવો
🍄;મશરુમ;ઝાડ|મશરુમ

[food_drink]
🍇;દ્રાક્ષ;દ્રાક્ષ|ફળ
🍈;ટેટી;ટેટી|તરબૂચ|ફળ
🍉;તરબૂચ;તરબૂચ|ફળ
🍊;નાનું ચપટું સંતરું;નાનું ચપટું સંતરું|નારંગી|ફળ
🍋;લીંબુ;ખાટું|ફળ|લીંબુ
🍋‍🟩;લાઇમ;ખાટું|ટ્રોપિકલ|ફળ|લાઇમ
🍌;કેળું;કેળું|ફળ
🍍;અનાનાસ;અનાનાસ|ફળ
🥭;કેરી;કેરી|ફળ
🍎;લાલ સફરજન;ફળ|લાલ|સફરજન
🍏;લીલું સફરજન;ફળ|લીલું|સફરજન
🍐;નાસપાતી;નાસપાતી|ફળ
🍑;આલૂ;આલૂ|ફળ
🍒;ચેરીઝ;ચેરી ફળ|ચેરીઝ
🍓;સ્ટ્રોબેરી;ફળ|બેરી|સ્ટ્રોબેરી
🫐;બ્લ્યૂબેરીઝ;બિલબેરી|બેરી|બ્લ્યૂ|બ્લ્યૂબેરી|બ્લ્યૂબેરીઝ
🥝;કિવી ફળ;કિવી|ફળ|ભોજન
🍅;ટામેટું;ટામેટું|શાક
🫒;ઓલિવ;ઓલિવ|ખાદ્ય
🥥;નારિયેળ;નારિયેળ
🥑;ઍવકાડો;ઍવકાડો|ફળ|ભોજન
🍆;રીંગણ, શાક;બેંગન|રીંગણ|રીંગણ, શાક|શાક
🥔;બટાકો;બટાકો|ભોજન|શાકભાજી
🥕;ગાજર;ગાજર|ભોજન|શાકભાજી
🌽;મકાઈ;ડોડો|મકાઈ
🌶️;લાલ મરચું;છોડ|તીખું|મરચું|લાલ મરચું
🫑;સિમલા મરચું;મરચાનો છોડ|મરચું|શાકભાજી|સિમલા મરચું
🥒;કાકડી;અથાણું|કાકડી|ભોજન|શાકભાજી
🥬;લીલા પાંદળાવાળા;કેલ|કોબી|બૉક ચોય|લીલા પાંદળાવાળા|લેટિસ
🥦;બ્રોકોલી;બ્રોકોલી
🧄;લસણ;ખાદ્યપદાર્થ|લસણ
🧅;ડુંગળી;ખાદ્યપદાર્થ|ડુંગળી
🥜;મગફળી;અખરોટ|ભોજન|મગફળી|શાકભાજી
🫘;કઠોળ;કઠોળ|ખોરાક|ફલી|રાજમા
🌰;બદામ જેવું એક ફળ;ઝાડ|બદામ|બદામ જેવું એક ફળ
🫚;આદુની ગાંઠ;આદુની ગાંઠ|ઝાડનું મૂળ|બિઅર|મસાલા
🫛;વટાણાની શીંગ;એડમામે|કઠોળ|ફલી|લેગ્યૂમ|વટાણા|વટાણાની શીંગ|શાકભાજી
🍄‍🟫;ભૂરા રંગનું મશરૂમ;પ્રકૃતિ|ફંગસ|ભૂરા રંગનું મશરૂમ|ભોજન|શાકભાજી
🍞;બ્રેડ;બ્રેડ|બ્રેડનો રોટલો|રેસ્ટોરન્ટ
🥐;ક્રોઇસૈન;ક્રોઇસૈન|ફ્રેન્ચ|ભોજન|રોટલી
🥖;બેગેટ રોટલી;ફ્રેન્ચ|બેગેટ|ભોજન|રોટલી
🫓;ફ્લેટબ્રેડ;એરેપા|નાન|પિટા|ફ્લેટબ્રેડ|લવાશ
🥨;પ્રેટ્ઝલ;ટ્વિસ્ટેડ|પ્રેટ્ઝલ
🥯;બેગલ;બેકરી|બેગલ|સ્કમિયર
🥞;પૅન્કેક;પૅન્કેક|ભોજન|હૉટકેક
🧇;વૉફલ;અનિર્ણાયક|આયર્ન|વૉફલ
🧀;ચીઝનો ત્રિકોણાકાર ટુકડો;ચીઝ|ચીઝનો ત્રિકોણાકાર ટુકડો|ટુકડો
🍖;હાડકાં પરનું માંસ;માંસ|રેસ્ટોરન્ટ|હાડકાં પરનું માંસ
🍗;ચિકન ટંગડી;ચિકન ટંગડી|ટંગડી|પોલ્ટ્રી|રેસ્ટોરન્ટ
🥩;માંસનો ટુકડો;ચોપ|પોર્કચોપ|માંસનો ટુકડો|લેમ્બચોપ|સ્ટેક
🥓;બેકન;બેકન|ભોજન|માંસ
🍔;હેમબર્ગર;બર્ગર|રેસ્ટોરન્ટ|હેમબર્ગર
🍟;ફ્રેન્ચ ફ્રાઇસ;ફ્રાઇસ|ફ્રેન્ચ ફ્રાઇસ|રેસ્ટોરન્ટ
🍕;પિઝા;પિઝા|રેસ્ટોરન્ટ|સ્લાઇસ
🌭;હોટ ડોગ;ફ્રેંકફર્ટર|સોસેજ|હોટ ડોગ
🥪;સૅન્ડવિચ;બ્રેડ|સૅન્ડવિચ
🌮;ટાકો;ટાકો|મેક્સિકન|મેક્સિકન વાનગી
🌯;બરિટો;બરિટો|મેક્સિકન|મેક્સિકન વાનગી
🫔;તમાલે;તમાલે|મેક્સિકન|રૅપમાં વીંટાળેલું
🥙;ભરેલી ફલેટબ્રેડ;કબાબ|ફલાફલ|ફલેટબ્રેડ|ભરેલી ફલેટબ્રેડ|ભરેલું|ભોજન
🧆;ફલાફલ;કાબુલી ચણા|ફલાફલ|મીટબૉલ
🥚;ઈંડુ;ઈંડુ|ભોજન
🍳;રાંધવું;કડાઈ|રાંધવું|રેસ્ટોરન્ટ
🥘;છીછરો તવો;કૅસરોલ|છીછરો|તવો|ભોજન
🍲;ભોજનનું વાસણ;ભોજનનું વાસણ|રેસ્ટોરન્ટ|વાસણમાંનો ખોરાક|સ્ટ્યૂ
🫕;ફૉન્ડ્યુ;ચીઝ|ચોકલેટ|પીગળેલી|ફૉન્ડ્યુ|વાસણ|સ્વિસ
🥣;સ્પૂન સાથે બોલ;કોન્જી|બ્રેકફાસ્ટ|સિરીઅલ|સ્પૂન સાથે બોલ
🥗;લીલું સૅલડ;ભોજન|લીલું|સૅલડ
🍿;પૉપકોર્ન;પૉપકોર્ન|મકાઈના શેકેલા દાણા
🧈;માખણ;ડેરી|માખણ
🧂;મીઠું;મસાલાની ડબી|મસાલો|મીઠું
🥫;કેન્ડ ફૂડ;કૅન|કેન્ડ ફૂડ
🍱;બેન્ટો બોક્સ;બેન્ટો|બોક્સ|રેસ્ટોરન્ટ
🍘;ચોખાની કકરી બિસ્કીટ;ચોખા|ચોખાની કકરી બિસ્કીટ|ચોખાની કકરી બિસ્કીટ
🍙;ભાતનાં વડા;ઓનિગિરી|ભાતનાં વડા|રેસ્ટોરન્ટ
🍚;ભાત;ચોખા|ભાત|રેસ્ટોરેન્ટ
🍛;કઢી અને ભાત;કઢી|કઢી અને ભાત|ભાત|રેસ્ટોરેન્ટ
🍜;વરાળ નીકળતો પ્યાલો;નુડલ|નુડલ્સ|નુડલ્સનો વાટકો|રમેન|વરાળ નીકળતાં|વરાળ નીકળતો પ્યાલો|વરાળ નીકળતો વાટકો
🍝;સ્પગેટી;પાસ્તા|રેસ્ટોરન્ટ|સ્પગેટી
🍠;શેકેલું શક્કરિયું;ગળ્યું|રેસ્ટોરન્ટ|શક્કરિયું|શેકેલાં બટાકા|શેકેલું
🍢;ઓડેન;ઓડેન|રેસ્ટોરન્ટ|સી ફૂડ|સ્ટીક|સ્ટીક પર સી ફૂડ
🍣;સુશી;રેસ્ટોરન્ટ|સુશી
🍤;તળેલી ઝીંગા માછલી;ઝીંગા|તળેલી ઝીંગા માછલી|રેસ્ટોરન્ટ
🍥;ફિશ કેક;ફિશ કેક|ફીશ કેક|માછલી|રેસ્ટોરન્ટ|વમળવાળી ફીશ કેક
🥮;મૂન કેક;તહેવાર|મૂન કેક|યુએબિંગ|શરદઋતુ
🍡;ડેન્ગો;ડેન્ગો|મોચી|મોચી બોલ્સ|રેસ્ટોરન્ટ|લાકડી પર મોચી બોલ્સ
🥟;ડમ્પલિંગ;એમ્પાનાડા|ગીયોઝા|જિયાઓઝી|ડમ્પલિંગ|ડમ્પિંગ|પિરોગી|પોટસ્ટિકર
🥠;ફૉર્ચુન કુકી;પ્રૉફિસી|ફૉર્ચુન કુકી
🥡;ટેકઆઉટ બૉક્સ;ઑઇસ્ટર પૈલ|ટેકઆઉટ બૉક્સ
🦀;કરચલો;કરચલો|કર્ક|રાશિ
🦞;લૉબ્સ્ટર;નહોર|બિસ્ક|લૉબ્સ્ટર|સીફૂડ
🦐;ઝીંગું;કરચલો|ઝીંગું|નાનું|ભોજન
🦑;સ્ક્વિડ;ભોજન|સ્ક્વિડ
🦪;ઑઇસ્ટર;ઑઇસ્ટર|ડાઇવિંગ|મોતી
🍦;સોફ્ટ આઇસ ક્રીમ;આઇસ ક્રીમ|ક્રીમ|રેસ્ટોરન્ટ|સોફ્ટ આઇસ ક્રીમ|સોફ્ટ સર્વ
🍧;શેવ્ડ આઇસ ક્રીમ;આઇસ|રેસ્ટોરન્ટ|શેવ્ડ|શેવ્ડ આઇસ ક્રીમ
🍨;આઇસ ક્રીમ;આઇસ|ક્રીમ|રેસ્ટોરન્ટ
🍩;ડોનટ;ડોનટ|મીઠાઈ|રેસ્ટોરન્ટ
🍪;કુકી;કુકી|રેસ્ટોરન્ટ
🎂;જન્મદિવસની કેક;ઉજવણી|કેક|જન્મદિવસ|જન્મદિવસની કેક
🍰;નાની કેક;કાપેલી કેક|કેક|નાની કેક|રેસ્ટોરન્ટ
🧁;કપકેક;કપકેક|બેકરી|મીઠાઈ
🥧;પાઇ;પાઇ|પેસ્ટ્રી|ફિલિંગ
🍫;ચોકલેટ બાર;ચોકલેટ|બાર|રેસ્ટોરન્ટ
🍬;કેન્ડી;કેન્ડી|રેસ્ટોરન્ટ
🍭;લોલિપોપ;કેન્ડી|રેસ્ટોરન્ટ|લોલિપોપ
🍮;કસ્ટર્ડ;કસ્ટર્ડ|પુડિંગ|રેસ્ટોરન્ટ
🍯;મધનું વાસણ;મધ|મધનું વાસણ|રેસ્ટોરન્ટ|વાસણ
🍼;શિશુની બોટલ;દૂધ|પીણું|બોટલ|શિશુ બોટલ|શિશુની બોટલ
🥛;દૂધનો ગ્લાસ;ગ્લાસ|દૂધ|દૂધનો ગ્લાસ|પીણું
☕;ગરમ પીણું;ઉકળતું|કૉફી|ગરમ|ગરમ પીણું|ચા|પેય
🫖;ચાની ઝારી;કીટલી|ચા|ચાની ઝારી|ઝારી|પીવું
🍵;દાંડી વગરનો ચાનો કપ;ચા|ચા માટેનો કપ|ચાનો કપ|દાંડી વગરનો ચાનો કપ|પીણું
🍶;સેક;પીણું|બાર|બોટલ|રેસ્ટોરન્ટ|સેક
🍾;કૉર્ક ખુલતી બાટલી;કૉર્ક|ખુલતી|ડ્રિંક|બાટલી|બાર
🍷;વાઇનનો ગ્લાસ;ગ્લાસ|પીણું|બાર|રેસ્ટોરન્ટ|વાઇન|વાઇન માટેનો ગ્લાસ|વાઇનનો ગ્લાસ
🍸;કોકટેઇલ ગ્લાસ;કોકટેઇલ|કોકટેઇલ ગ્લાસ|બાર|રેસ્ટોરન્ટ
🍹;ઉષ્ણકટિબંધીય પીણું;ઉષ્ણકટિબંધીય|પીણું|બાર|રેસ્ટોરન્ટ
🍺;બીઅર મગ;બાર|બીઅર|મગ|રેસ્ટોરન્ટ
🍻;અડકાતાં બીઅર મગ્સ;અડકાતાં બીઅર મગ્સ|બાર|બીઅર|મગ|મગ્સ|રેસ્ટોરન્ટ
🥂;ક્લિન્કીંગ ગ્લાસ;ઉજવણી|ક્લિંક|ક્લિન્કીંગ ગ્લાસ|ગ્લાસ|પીણું
🥃;ટમ્બ્લર ગ્લાસ;ગ્લાસ|ટમ્બ્લર|દારૂ|વિસ્કી|શૉટ
🫗;રેડતું પ્રવાહી;ખાલી|ગ્લાસ|ઢોળવું|પીણું|રેડતું પ્રવાહી
🥤;સ્ટ્રૉ સાથે કપ;જૂસ|સોડા|સ્ટ્રૉ સાથે કપ
🧋;બબલ ટી;ટી|દૂધ|પરપોટા|પર્લ|બબલ
🧃;પીણાંનું ખોખું;જ્યૂસ બૉક્સ|પીણાંનું ખોખું
🧉;મૅટ;પીણું|મૅટ
🧊;આઇસ ક્યૂબ;આઇસ ક્યૂબ|ઠંડું|બરફનો ડુંગર
🥢;ચૉપ્સ્ટિક્સ;ચૉપ્સ્ટિક્સ|હાશી
🍽️;પ્લેટ સાથે છરી અને કાંટો;કાંટો|છરી|થાળી|પ્લેટ|પ્લેટ સાથે છરી અને કાંટો|રસોઈ
🍴;છરી અને કાંટો;કાંટો|છરી|છરી અને કાંટો|રેસ્ટોરન્ટ
🥄;ચમચી;ચમચી|છરીકાંટા
🔪;રસોડાનો ચાકુ;ચાકુ|રસોડાનો ચાકુ
🫙;જાર;કન્ટેનર|ખાલી|જાર|દુકાન|મલમ|સૉસ
🏺;બરણી;કુંભ|જગ|ડ્રિંક|પીણું|બરણી|રસોઈ|રાશિ

[travel_places]
🌍;યુરોપ-આફ્રિકા બતાવતો પૃથ્વીનો ગોળો;આફ્રિકા|ગ્લોબ|પૃથ્વી|યુરોપ|યુરોપ-આફ્રિકા બતાવતી ગ્લોબ|યુરોપ-આફ્રિકા બતાવતું ગ્લોબ|યુરોપ-આફ્રિકા બતાવતો પૃથ્વીનો ગોળો
🌎;અમેરિકા બતાવતો પૃથ્વીનો ગોળો;અમેરિકા|અમેરિકા બતાવતું ગ્લોબ|અમેરિકા બતાવતો પૃથ્વીનો ગોળો|અમેરિકાઝ બતાવતી ગ્લોબ|ગ્લોબ|પૃથ્વી
🌏;એશિયા-ઓસ્ટ્રેલિયા બતાવતો પૃથ્વીનો ગોળો;એશિયા|એશિયા-ઓસ્ટ્રેલિયા બતાવતી ગ્લોબ|એશિયા-ઓસ્ટ્રેલિયા બતાવતું ગ્લોબ|એશિયા-ઓસ્ટ્રેલિયા બતાવતો પૃથ્વીનો ગોળો|ઓસ્ટ્રેલિયા|ગ્લોબ|પૃથ્વી
🌐;યામ્યોત્તર વૃત્ત બતાવતો પૃથ્વીનો ગોળો;ગ્લોબ|યામ્યોત્તર વૃત્ત|યામ્યોત્તર વૃત્ત બતાવતી ગ્લોબ|યામ્યોત્તર વૃત્ત બતાવતું ગ્લોબ|યામ્યોત્તર વૃત્ત બતાવતો પૃથ્વીનો ગોળો
🗺️;વિશ્વનો નકશો;નકશો|વિશ્વ|વિશ્વનો નકશો
🗾;જાપાનનો નકશો;જાપાન|જાપાનનો નકશો|નકશો
🧭;કંપાસ;ઓરિએન્ટરીંગ|કંપાસ|ચુંબકીય|નેવિગેશન
🏔️;બરફના શિખરવાળો પર્વત;પહાડ|બરફ|બરફના શિખરવાળો પર્વત|હિમ
⛰️;પર્વત;પર્વત|પહાડ
🌋;જ્વાળામુખી;જ્વાળામુખી|જ્વાળામુખી વિસ્ફોટ
🗻;માઉન્ટ ફુજી;પર્વત|મા. ફુજી|માઉન્ટ ફુજી
🏕️;કેમ્પિંગ;કેમ્પિંગ|તંબુ લગાવવો
🏖️;છત્રી સાથેનો સમુદ્રતટ;છત્રી|છત્રી સાથેનો સમુદ્રતટ
🏜️;રણ;રણ|રણપ્રદેશ
🏝️;રણમાં દ્વિપ;આઇલેન્ડ|દ્વિપ|રણમાં દ્વિપ
🏞️;રાષ્ટ્રીય ઉદ્યાન;પાર્ક|બગીચો|રાષ્ટ્રીય ઉદ્યાન
🏟️;સ્ટેડિયમ;સ્ટેડિયમ
🏛️;ક્લાસિકલ બિલ્ડિંગ;ઈમારત|ક્લાસિકલ બિલ્ડિંગ|જૂની
🏗️;બિલ્ડિંગનું બાંધકામ;ઈમારત|નિર્માણ|બિલ્ડિંગ|બિલ્ડિંગનું બાંધકામ
🧱;ઈંટ;ઈંટ|ઈંટો|ચીકણી માટી|ચૂનાનો કોલ|દિવાલ
🪨;ખડક;ખડક|પથ્થર|ભારે વજનદાર|મજબૂત|શિલાખંડ
🪵;લાકડું;ઈમારતી લાકડું|લમ્બર|લાકડાનું ઢીમચું|લાકડું
🛖;ઝૂંપડી;ઘર|ઝૂંપડી|યર્ટ|રોડહાઉસ
🏘️;ઘરની ઈમારતો;ઈમારત|ઘર|ઘરની ઈમારતો|બિલ્ડિંગ
🏚️;વેરાન ઘરની બિલ્ડિંગ;ઘર|વેરાન|વેરાન ઘરની બિલ્ડિંગ
🏠;ઘરની ઈમારત;ઈમારત|ગૃહ|ઘર|ઘરની ઈમારત|બિલ્ડિંગ
🏡;બગીચાવાળું ઘર;ઈમારત|ગૃહ|ઘર|બગીચાવાળું ઘર|બાગ
🏢;કાર્યાલયની ઈમારત;ઈમારત|કાર્યાલય|કાર્યાલયની ઈમારત
🏣;જાપાની પોસ્ટ ઑફિસ;ઈમારત|જાપાની|જાપાની પોસ્ટ ઑફિસ|પોસ્ટ|પોસ્ટ ઑફિસ
🏤;પોસ્ટ ઑફિસ;ઈમારત|પોસ્ટ|પોસ્ટ ઑફિસ|યુરોપિયન પોસ્ટ ઑફિસ
🏥;હોસ્પિટલ;ઈમારત|દવા|હોસ્પિટલ
🏦;બેંક;ઈમારત|બેંક
