[smileys_emotion]
😀;glottandi andlit;andlit|glott|glottandi andlit
👨‍👨‍👧‍👧;fjölskylda: karl, karl, stúlka og stúlka;barn|faðir|fjölskylda|fjölskylda: karl, karl, stúlka og stúlka|fólk|karl|móðir|stúlka
👩‍👩‍👦;fjölskylda: kona, kona og drengur;barn|drengur|faðir|fjölskylda|fjölskylda: kona, kona og drengur|fólk|kona|móðir
👩‍👩‍👧;fjölskylda: kona, kona og stúlka;barn|faðir|fjölskylda|fjölskylda: kona, kona og stúlka|fólk|kona|móðir|stúlka
👩‍👩‍👧‍👦;fjölskylda: kona, kona, stúlka og drengur;barn|drengur|faðir|fjölskylda|fjölskylda: kona, kona, stúlka og drengur|fólk|kona|móðir|stúlka
👩‍👩‍👦‍👦;fjölskylda: kona, kona, drengur og drengur;barn|drengur|faðir|fjölskylda|fjölskylda: kona, kona, drengur og drengur|fólk|kona|móðir
👩‍👩‍👧‍👧;fjölskylda: kona, kona, stúlka og stúlka;barn|faðir|fjölskylda|fjölskylda: kona, kona, stúlka og stúlka|fólk|kona|móðir|stúlka
👨‍👦;fjölskylda: karl og drengur;barn|drengur|faðir|fjölskylda|fjölskylda: karl og drengur|fólk|karl|móðir
👨‍👦‍👦;fjölskylda: karl, drengur og drengur;barn|drengur|faðir|fjölskylda|fjölskylda: karl, drengur og drengur|fólk|karl|móðir
👨‍👧;fjölskylda: karl og stúlka;barn|faðir|fjölskylda|fjölskylda: karl og stúlka|fólk|karl|móðir|stúlka
👨‍👧‍👦;fjölskylda: karl, stúlka og drengur;barn|drengur|faðir|fjölskylda|fjölskylda: karl, stúlka og drengur|fólk|karl|móðir|stúlka
👨‍👧‍👧;fjölskylda: karl, stúlka og stúlka;barn|faðir|fjölskylda|fjölskylda: karl, stúlka og stúlka|fólk|karl|móðir|stúlka
👩‍👦;fjölskylda: kona og drengur;barn|drengur|faðir|fjölskylda|fjölskylda: kona og drengur|fólk|kona|móðir
👩‍👦‍👦;fjölskylda: kona, drengur og drengur;barn|drengur|faðir|fjölskylda|fjölskylda: kona, drengur og drengur|fólk|kona|móðir
👩‍👧;fjölskylda: kona og stúlka;barn|faðir|fjölskylda|fjölskylda: kona og stúlka|fólk|kona|móðir|stúlka
👩‍👧‍👦;fjölskylda: kona, stúlka og drengur;barn|drengur|faðir|fjölskylda|fjölskylda: kona, stúlka og drengur|fólk|kona|móðir|stúlka
👩‍👧‍👧;fjölskylda: kona, stúlka og stúlka;barn|faðir|fjölskylda|fjölskylda: kona, stúlka og stúlka|fólk|kona|móðir|stúlka
🗣️;talandi höfuð;andlit|höfuð|skuggamynd|tala|talandi
👤;brjóstmynd í skugga;brjóstmynd|brjóstmynd í skugga|fólk|framan á
👥;brjóstmyndir í skugga;brjóstmynd|brjóstmyndir í skugga|fólk|framan á
🫂;fólk að faðmast;faðmlag|fólk að faðmast|halló|kveðja|þakklæti
👪;fjölskylda;barn|faðir|fjölskylda|fólk|móðir
🧑‍🧑‍🧒;fjölskylda: fullorðinn, fullorðinn, barn;barn|fjölskylda: fullorðinn|fjölskylda: fullorðinn, fullorðinn, barn|fullorðinn
🧑‍🧑‍🧒‍🧒;fjölskylda: fullorðinn, fullorðinn, barn, barn;barn|fjölskylda: fullorðinn|fjölskylda: fullorðinn, fullorðinn, barn, barn|fullorðinn
🧑‍🧒;fjölskylda: fullorðinn, barn;barn|fjölskylda: fullorðinn|fjölskylda: fullorðinn, barn
🧑‍🧒‍🧒;fjölskylda: fullorðinn, barn, barn;barn|fjölskylda: fullorðinn|fjölskylda: fullorðinn, barn, barn
👣;fótspor;fótspor|fótur|líkami|spor

[animals_nature]
🐵;apahöfuð;apahöfuð|api|dýr|höfuð
🐒;api;api
🦍;górilla;api|górilla
🦧;órangútan;api|órangútan
🐶;hundshöfuð;gæludýr|höfuð|hundshöfuð|hundur
🐕;hundur;gæludýr|hundur
🦮;leiðsöguhundur;aðgengi|leiðsögn|leiðsöguhundur|sjónlaus
🐕‍🦺;þjónustuhundur;aðgengi|aðstoð|hundur|þjónusta|þjónustuhundur
🐩;púðluhundur;gæludýr|hundur|púðluhundur
🐺;úlfur;andlit|úlfur
🦊;refur;andlit|refur
🦝;þvottabjörn;forvitinn|slóttugur|þvottabjörn
🐱;kattarhöfuð;gæludýr|höfuð|kattarhöfuð|köttur
🐈;köttur;gæludýr|köttur
🐈‍⬛;svartur köttur;köttur|óheppni|svartur
🦁;ljón;andlit|ljón|ljónið|stjörnumerki
🐯;tígrisdýrshöfuð;höfuð|tígrisdýr|tígrisdýrshöfuð
🐅;tígrisdýr;tígrisdýr
🐆;hlébarði;hlébarði
🐴;hestshöfuð;hestshöfuð|hestur|höfuð
🫎;elgur;dýr|elgur|horn|spendýr
🫏;asni;asni|bjáni|dýr|múlasni|spendýr
🐎;hestur;hestur|veðhlaupahestur
🦄;einhyrningur;andlit|einhyrningur
🦓;sebrahestur;rendur|rönd|sebrahestur
🦌;hjartardýr;dýr|hjartardýr|hjörtur|hreindýr
🦬;vísundur;buffali|Evrópuvísundur|hjörð|vísundur
🐮;kýrhöfuð;höfuð|kýr|kýrhöfuð
🐂;uxi;naut|stjörnumerki|uxi
🐃;vatnabuffaló;buffaló|vatn|vatnabuffaló
🐄;kýr;kú|kýr
🐷;svínshöfuð;höfuð|svín|svínshöfuð
🐖;svín;grís|svín
🐗;villisvín;svín|villisvín
🐽;svínstrýni;svín|svínstrýni|trýni
🐏;hrútur;hrútur|kind|stjörnumerki
🐑;ær;ær|fé|kind|sauðfé
🐐;geit;geit|stjörnumerki
🐪;drómedari;drómedari|kryppa|úlfaldi
🐫;kameldýr;hnúður|kameldýr|kameldýr með tvo hnúða
🦙;lamadýr;alpaka|lamadýr|ull|villt lamadýr|villt suður-amerískt spendýr
🦒;gíraffi;blettir|doppur|gíraffi
🐘;fíll;fíll
🦣;loðfíll;loðfíll|loðinn|mammútur|stór|tennur|útdauði
🦏;nashyrningur;dýr|nashyrningur
🦛;flóðhestur;flóðhestur
🐭;músarhöfuð;höfuð|mús|músarhöfuð
🐁;mús;mús
🐀;rotta;rotta
🐹;hamstur;andlit|gæludýr|hamstur
🐰;kanínuhöfuð;höfuð|kanína|kanínuhöfuð
🐇;kanína;kanína
🐿️;jarðíkorni;íkorni|jarðíkorni
🦫;bifur;bifur|bjór|stífla
🦔;broddgöltur;broddar|broddgöltur|broddóttur
🦇;leðurblaka;dýr|leðurblaka|vampíra
🐻;björn;andlit|björn
🐻‍❄️;ísbjörn;björn|hv´ítur|ísbjörn|norðurheimskaut
🐨;kóalabjörn;höfuð|kóalabjörn
🐼;panda;andlit|panda
🦥;letidýr;hægur|latur|letidýr
🦦;otur;gamansamur|otur|veiði
🦨;skunkur;óþefur|skunkur
🦘;kengúra;Ástralía|hopp|kengúra|kengúruungi|pokadýr|ungi
🦡;greifingi;greifingi|hunangsgreifingi|rellóttur|þjakandi
🐾;loppa;fótspor|loppa|loppur
🦃;kalkúnn;fugl|kalkúnn
🐔;kjúklingur;fugl|hæna|kjúklingur
🐓;hani;fugl|hani
🐣;hænuungi í eggi;fuglsungi|hænuungi í eggi|kjúklingur|ungi
🐤;hænuungi;fuglsungi|hænuungi|kjúklingur|ungi
🐥;framhlið hænuunga;framhlið hænuunga|fuglsungi|kjúklingur|ungi
🐦;fugl;fugl
🐧;mörgæs;fugl|mörgæs
🕊️;dúfa;dúfa|friður|fugl
🦅;örn;fugl|örn
🦆;önd;fugl|önd
🦢;svanur;álft|álftarungi|fugl|ljóti andarunginn|svanur
🦉;ugla;fugl|ugla
🦤;dúdúfugl;dúdúfugl|Márítíus|stór|útdauði
🪶;fjöður;fjaðraskraut|fjöður|flug|fugl|létt
🦩;flamingói;flamingói|hitabeltis|litríkur
🦚;páfugl;fugl|páfugl|páhæna|stoltur|sýndarmennska
🦜;páfagaukur;fugl|páfagaukur|sjóræningi|tal
🪽;vængur;engill|fljúga|flug|fugl|goðafræði|vængur
🐦‍⬛;svartur fugl;fugl|hrafn|kráka|krummi|svart|svartur
🪿;gæs;gæs|gás|heiðagæs|steggur
🐦‍🔥;fönix;eldfugl|endurfæðing|endurholdgun|fantasía|fönix
🐸;froskur;andlit|froskur
🐊;krókódíll;krókódíll
🐢;skjaldbaka;skjaldbaka
🦎;eðla;eðla|skriðdýr
🐍;snákur;naðra|naðurvaldi|snákur|stjörnumerki
🐲;drekahöfuð;drekahöfuð|dreki|höfuð
🐉;dreki;ævintýri|dreki
🦕;graseðla;finngálkn|graseðla|þórseðla|þórseðlubróðir
🦖;Grameðla;Grameðla
🐳;blásandi hvalur;blásandi hvalur|hvalur
🐋;hvalur;hvalur|keikó
🐬;höfrungur;höfrungur
🦭;selur;sæljón|selur
🐟;fiskur;fiskar|fiskur|stjörnumerki
🐠;hitabeltisfiskur;fiskur|hitabelti|hitabeltisfiskur
🐡;blöðrufiskur;blöðrufiskur|fiskur
🦈;hákarl;fiskur|hákarl|sjávardýr
🐙;kolkrabbi;kolkrabbi
🐚;kuðungur;kuðungur
🪸;kórall;kórall|rif|úthaf
🪼;marglytta;bruni|hryggleysingi|marglytta|meiða|sjávarlíf|stinga
🐌;snigill;snigill
🦋;fiðrildi;dýr|fiðrildi|skordýr
🐛;skordýr;margfætla|skordýr
🐜;maur;maur|skordýr
🐝;hunangsfluga;býfluga|hunangsfluga
🪲;bjölludýr;bjalla|bjölludýr|padda|skordýr
🐞;maríuhæna;bjalla|maríubjalla|maríuhæna|skordýr
🦗;krybba;engispretta|krybba
🪳;kakkalakki;kakkalakki|plága|skordýr
🕷️;könguló;könguló|skordýr
🕸️;köngulóarvefur;könguló|köngulóarvefur|vefur
🦂;sporðdreki;sporðdreki|stjörnumerki
🦟;moskító;hiti|malaría|moskító|skordýr|veiki|veira
🪰;fluga;fluga|maðkar|plága|rotnun|sjúkdómur
🪱;ormur;ánamaðkur|liðormur|ormur|sníkjudýr
🦠;örvera;amaba|baktería|örvera|veira|vírus
💐;blómvöndur;blóm|blómvöndur|rómantík
🌸;kirsuberjablóm;blóm|kirsuber|kirsuberjablóm
💮;hvítt blóm;blóm|hvítt blóm|stimpill
🪷;lótus;blóm|Búddhatrú|Hindúatrú|hreinleiki|Indland|lótus|Víetnam
🏵️;rósarmynstur;blóm|planta|rós|rósarmynstur
🌹;rós;blóm|rós
🥀;sölnað blóm;blóm|rós|sölnað blóm
🌺;Havaírós;blóm|Havaírós
🌻;sólblóm;blóm|sól|sólblóm
🌼;blóm;blóm|planta
🌷;túlípani;blóm|túlípani
🪻;hýasinta;blóm|garðakornblóm|hýasinta|ljónsmunnur|lofnarblóm|lúpína
🌱;græðlingur;græðlingur|planta
🪴;pottaplanta;gagnslaus|hús|næra|planta|pottaplanta|vaxa
🌲;sígrænt tré;sígrænt|tré
🌳;sumargrænt tré;lauftré|sumargrænt tré|tré
🌴;pálmatré;pálmatré|pálmi|tré
🌵;kaktus;kaktus|planta
🌾;hrísgrjónaplanta;ax|hrísgrjón|hrísgrjónaax|hrísgrjónaplanta
🌿;kryddjurt;krydd|kryddjurt|lauf
☘️;músarsmári;músarsmári|planta|smári
🍀;fjögurra laufa smári;fjögurra laufa smári|happamerki|smári
🍁;hlynslauf;hlynslauf|hlynur|lauf|laufblað
🍂;fallandi lauf;fallandi|fallandi laufblöð|haust|lauf|laufblað
🍃;lauf í vindi;lauf|lauf í vindi|laufblað|vindur
🪹;tómt hreiður;hreiðurgerð|tómt hreiður
🪺;hreiður með eggjum;hreiður með eggjum|hreiðurgerð
🍄;sveppur;sveppur

[food_drink]
🍇;vínber;ávöxtur|vínber
🍈;melóna;ávöxtur|melóna
🍉;vatnsmelóna;ávöxtur|melóna|vatnsmelóna
🍊;mandarína;appelsína|ávöxtur|mandarína
🍋;sítróna;ávöxtur|sítróna|sítrusávöxtur
🍋‍🟩;límóna;ávöxtur|hitabeltis|límóna|sítrus|súraldin
🍌;banani;ávöxtur|banani
🍍;ananas;ananas|ávöxtur
🥭;mangó;ávöxtur|mangó|suðrænn
🍎;rautt epli;ávöxtur|epli|rautt
🍏;grænt epli;ávöxtur|epli|grænt
🍐;pera;ávöxtur|pera
🍑;ferskja;ávöxtur|ferskja
🍒;kirsuber;ávöxtur|kirsuber
🍓;jarðarber;ávöxtur|jarðarber
🫐;bláber;aðalbláber|ber|blá|bláber
🥝;kíví;ávöxtur|kíví|matur
🍅;tómatur;grænmeti|tómatur
🫒;ólífa;matur|ólífa|ólífur
🥥;kókoshneta;kókoshneta|pálmatré|pina colada
🥑;avókadó;avókadó|grænmeti|matur
🍆;eggaldin;eggaldin|grænmeti
🥔;kartafla;grænmeti|kartafla|matur
🥕;gulrót;grænmeti|gulrót|matur
🌽;maís;maís
🌶️;chilipipar;chilipipar|chilli|pipar|planta|sterkt
🫑;paprika;grænmeti|paprika
🥒;gúrka;grænmeti|gúrka|matur
🥬;kál;bok choi|grænkál|hvítkál|kál
🥦;brokkólí;brokkólí|garðakál
🧄;hvítlaukur;bragðbætir|hvítlaukur
🧅;laukur;bragðefni|laukur
🥜;jarðhneta;grænmeti|jarðhneta|jarðhnetur
🫘;baunir;baunabelgur|baunir|matur|nýra
🌰;kastanía;hneta|kastanía
🫚;engiferrót;engifer|engiferrót|kryddjurt|rót
🫛;baunabelgur;baun|baunabelgur|baunir|belgjurt|belgur|edamame|grænmeti
🍄‍🟫;brúnn sveppur;brúnn sveppur|grænmeti|matur|náttúra
🍞;brauð;brauð|brauðhleifur
🥐;smjördeigshorn;brauð|Croissant|franskt|horn|smjördeigshorn|snúður
🥖;fransbrauð;brauð|fransbrauð|franskt|matur
🫓;flatkaka;arepa|flatbrauð|flatkaka|flatkökur|lavash|nan
🥨;saltkringla;saltkringla|snúin
🥯;beygla;bakarí|beygla|smurostur
🥞;pönnukökur;eftirréttur|matur|pönnukökur
🧇;vaffla;járn|vaffla|vöfflujárn
🧀;götóttur ostur;götóttur ostur|ostur
🍖;kjöt;bein|kjöt|veitingastaður
🍗;kjúklingaleggur;fuglakjöt|kjúklingaleggur|kjúklingur|leggur
🥩;kjötsneið;kjötsneið|kótiletta|lambakótiletta|steik|svínakótiletta
🥓;beikon;beikon|kjöt|matur
🍔;hamborgari;borgari|hamborgari|veitingastaður
🍟;franskar;franskar|franskar kartöflur|veitingastaður
🍕;pítsusneið;ostur|pítsa|pítsusneið|sneið
🌭;pylsa í brauði;pulsa|pylsa|pylsa í brauði|vínarpylsa
🥪;samloka;brauð|samloka
🌮;takó;mexíkóskt|takó
🌯;búrrító;búrrító|mexíkóskt
🫔;tamale;mexíkóskt|mexíkóskur matur|tamale|vefja
🥙;kebab;kebab|kebap|matur|rúlla
🧆;falafel;falafel|kjötbollur|kjúklingabaunir
🥚;egg;egg|matur
🍳;steikarpanna;elda|steikarpanna|steiking|veitingastaður
🥘;pönnuréttur;matur|panna|pönnuréttur
🍲;pottréttur;kássa|pottréttur
🫕;fondú;brætt|fondú|ostur|pottur|súkkulaði|Sviss
🥣;skál og skeið;morgunkorn|morgunmatur|morgunverður|skál og skeið
🥗;salat;grænmeti|matur|salat
🍿;popp;popp
🧈;smjör;mjólkurvara|smjör
🧂;salt;krydd|salt|saltstaukur
🥫;dósamatur;dós|dósamatur
🍱;bento-box;bento-box|nesti|nestisbox
🍘;hrísgrjónakex;hrísgrjón|hrísgrjónakex|kex
🍙;hrísgrjónabolla;hrísgrjón|hrísgrjónabolla|onigiri
🍚;soðin hrísgrjón;hrísgrjón|soðin
🍛;hrísgrjón og karrí;hrísgrjón|hrísgrjón og karrí|karrí|veitingastaður
🍜;núðlur;gufusoðnar|núðlur|núðluskál|skál|veitingastaður
🍝;spagettí;pasta|spagettí|veitingastaður
🍠;steiktar sætar kartöflur;kartafla|sæt|steikt|steiktar sætar kartöflur
🍢;oden;oden|sjávarréttir|sjávarréttir á teini|veitingastaður
🍣;sushi;sushi|veitingastaður
🍤;djúpsteikt rækja;djúpsteikt rækja|rækja|veitingastaður
🍥;fiskkaka;fiskkaka|fiskur|veitingastaður
🥮;tunglkaka;hátíð|haust|tunglkaka
🍡;soðkökur á teini;dango|mochi|soðkökur|soðkökur á teini|veitingastaður
🥟;soðkaka;dumpling|empanada|gyosa|pierogi|soðkaka
🥠;spádómskaka;opinberun|spádómskaka|spádómur|vitrun
🥡;takeaway-box;kínverskur matur|taka-með|takeaway-box
🦀;krabbi;krabbi|stjörnumerki
🦞;humar;bisque|humar|klær|matarmikil súpa|sjávarfang
🦐;rækja;rækja|sjávardýr|skelfiskur
🦑;smokkfiskur;sjávardýr|smokkfiskur
🦪;ostra;köfun|ostra|perla
🍦;rjómaís;ís|ís úr vél|rjómaís|veitingastaður
🍧;skafís;ís|skafinn|skafís|veitingastaður
🍨;kúluís;ís|kúluís|veitingastaður
🍩;kleinuhringur;eftirréttur|kleinuhringur|sætindi
🍪;smákaka;smákaka|súkkulaðibitakaka|veitingastaður
🎂;afmæliskaka;afmæli|afmæliskaka|kaka|veisla
🍰;kökusneið;kaka|kökusneið|terta|veitingastaður
🧁;bollakaka;bakarí|bollakaka|sætindi
🥧;baka;baka|bökudeig|fylling|sætabrauð
🍫;súkkulaði;súkkulaði|súkkulaðiplata|veitingastaður
🍬;nammi;eftirréttur|nammi|sælgæti
🍭;sleikibrjóstsykur;nammi|sælgæti|sleikibrjóstsykur|sleikjó|veitingastaður
🍮;búðingur;búðingur|veitingastaður
🍯;hunang;hunang|hunangskrukka|veitingastaður
🍼;peli;drekka|mjólk|peli
🥛;mjólkurglas;drykkur|glas|mjólk|mjólkurglas
☕;heitur drykkur;drykkur|heitt|heitur drykkur|kaffi|rjúkandi|te
🫖;tekanna;drykkur|kanna|te|tekanna
🍵;tebolli;bolli|drykkur|te|tebolli
🍶;sake;bar|bolli|drykkur|flaska|sake
🍾;flaska með korktappa;bar|flaska|flaska með korktappa|korkur|skjóta
🍷;vín;bar|drekka|drykkur|glas|vín
🍸;kokteill;bar|hanastél|kokteilglas|kokteill|veitingastaður
🍹;suðrænn kokteill;bar|drykkur|glas|suðrænn kokteill|veitingastaður
🍺;bjór;bar|bjór|bjórglas|glas|veitingastaður
🍻;bjórglös;bar|bjór|bjórglös|bjórkönnur|drykkur|skál
🥂;skál;drykkur|glas|glös|skál
🥃;viskíglas;áfengi|drykkur|glas|viskí|viskíglas
🫗;hellir vökva;drykkur|glas|hellir vökva|sulla|tómt
🥤;glas og rör;glas og rör|gos|safi
🧋;kúlute;kúlur|kúlute|mjólk|perlur|te
🧃;ferna;ferna|safaferna
🧉;mate;drykkur|mate
🧊;ísmoli;ísjaki|ísmoli|kuldi
🥢;matprjónar;matprjónar
🍽️;gaffall og hnífur við disk;diskur|eldamennska|gaffall|gaffall og hnífur við disk|hnífur
🍴;hnífur og gaffall;hnífapör|hnífur og gaffall|veitingastaður
🥄;skeið;hnífapör|skeið
🔪;hnífur;eldhúshnífur|hnífur
🫙;krukka;bragðbætir|geyma|ílát|krukka|sósa|tómt
🏺;leirkrukka;drykkur|eldamennska|krukka|leirkrukka|vatnsberi

[travel_places]
🌍;hnöttur sem sýnir Evrópu-Afríku;Afríka|Evrópa|hnöttur sem sýnir Evrópu-Afríku|jörðin
🌎;hnöttur sem sýnir Ameríku;Ameríka|hnöttur sem sýnir Ameríku|jörðin|N- og S-Ameríka
🌏;hnöttur sem sýnir Asíu-Ástralíu;Asía|Ástralía|hnöttur sem sýnir Asíu-Ástralíu|jörðin
🌐;hnöttur sem sýnir lengdarbauga;breiddargráður|hnöttur sem sýnir lengdarbauga|lengdargráður
🗺️;heimskort;heimskort|heimur|kort
🗾;kort af Japan;Japan|kort|kort af Japan
🧭;áttaviti;áttaviti|kompás|leiðarlýsing|leiðsögn|segulmagn
🏔️;snæviþakinn fjallstindur;fjall|kalt|snæviþakinn fjallstindur|snjór
⛰️;fjall;fjall
🌋;eldfjall;eldfjall|eldgos
🗻;fuji-fjall;fjall|fuji|fuji-fjall
🏕️;tjaldstæði;ferðalag|tjald|tjaldstæði
🏖️;strönd með sólhlíf;sólhlíf|strönd|strönd með sólhlíf
🏜️;eyðimörk;eyðimörk
🏝️;eyðieyja;eyðieyja|eyðimörk|eyja
🏞️;þjóðgarður;garður|þjóðgarður
🏟️;leikvangur;leikvangur
🏛️;klassísk fornbygging;bygging|klassísk|klassísk fornbygging|sígild
🏗️;mannvirki í byggingu;bygging|í byggingu|mannvirki í byggingu
🧱;múrsteinn;leir|múrhúð|múrsteinar|múrsteinn|vegglím|veggur
🪨;steinn;gegnheill|grjót|hnullungur|steinn|þungur
🪵;timbur;timbur|tré|trjábolur|viður
🛖;kofi;færanlegt hús|hús|kofi|kringlótt hús
🏘️;húsaþyrping;bygging|hús|húsaþyrping
🏚️;niðurnítt hús;bygging|hús|niðurnítt
🏠;hús;bygging|heimili|hús
🏡;hús með garði;garður|heimili|hús|hús með garði
🏢;skrifstofuhúsnæði;bygging|hús|skrifstofuhúsnæði|skrifstofur
🏣;japanskt pósthús;japan|japanskt pósthús|pósthús
🏤;evrópskt pósthús;evrópskt|pósthús|póstur
🏥;sjúkrahús;bygging|lækningar|læknir|sjúkrahús
🏦;banki;banki|bygging
🏨;hótel;bygging|hótel
🏩;ástarhótel;ástarhótel|bygging|hótel
🏪;matvörubúð;búð|bygging|matvörubúð|verslun
🏫;skóli;bygging|skólahús|skóli
🏬;stórmarkaður;stórmarkaður|verslun
🏭;verksmiðja;bygging|verksmiðja
🏯;japanskur kastali;bygging|japanskur kastali|kastali
🏰;evrópskur kastali;bygging|evrópskur kastali|kastali
💒;brúðkaup;brúðkaup|kirkja|kirkjubrúðkaup|rómantík
🗼;tokyo-turninn;tokyo|tokyo-turninn|turn
🗽;frelsisstyttan;frelsisstyttan|stytta
⛪;kirkja;bygging|kirkja|kross|trú
🕌;moska;íslam|moska|múslimi|trúarbrögð
🛕;hindúahof;hindú|hindúahof|hof
🕍;sýnagóga;gyðingatrú|gyðingur|samkunduhús|sýnagóga|trúarbrögð
⛩️;sjintó-hof;hof|sjintó|sjintó-hof|trúarbrögð
🕋;kaaba-byggingin;íslam|kaaba-byggingin|múslimi|trúarbrögð
⛲;gosbrunnur;brunnur|gosbrunnur
⛺;tjald;tjald|tjaldstæði|útilega
🌁;þokukennt;veður|þoka|þokukennt
🌃;stjörnuhiminn;næturhiminn|nótt|stjörnuhiminn|stjörnur
🏙️;borgarlandslag;borg|borgarlandslag|byggingar
🌄;sólarupprás yfir fjöllum;fjall|morgunsól|sól kemur upp|sólarupprás yfir fjöllum
🌅;sólarupprás;morgunn|sól|sólarupprás
🌆;borg um kvöld;borg|borg í rökkurró|borg um kvöld|borgarlandslag|kvöld|sólarlag
🌇;sólarlag;hús|rökkur|sólarlag|sólarlag yfir húsum
🌉;brú um nótt;brú|brú um nótt|nótt
♨️;hverir;gufa|heitt|hverir|laugar
🎠;hringekjuhestur;hestur|hringekja|hringekjuhestur|skemmtun
🛝;rennibraut;leika|rennibraut|skemmtigarður
🎡;parísarhjól;parísarhjól|skemmtigarður|skemmtun
🎢;rússíbani;rússíbani|skemmtigarður|skemmtun
💈;rakarastofa;rakarastofa|rakari
🎪;sirkus;sirkus|sirkustjald|skemmtun|tjald
🚂;eimreið;eimreið|gufulest|lest
🚃;járnbrautarlest;járnbrautarlest|lestarvagn|rafmagnslest
🚄;hraðlest;hraðlest|lest
🚅;háhraðalest;háhraðalest|hraðlest|lest
🚆;lest;járnbraut|lest
🚇;neðanjarðarlest;farartæki|neðanjarðarlest
🚈;léttlest;lest|létt|léttlest
🚉;lestarstöð;lest|lestarstöð|stöð
🚊;vagn;farartæki|sporvagn|vagn
🚝;einteinungur;einteinungur|lest
🚞;fjallalest;fjall|fjallakláfur|fjallalest|kláfur|lest
🚋;sporvagn;farartæki|sporvagn|vagn
🚌;strætó;rúta|strætisvagn|strætó
🚍;strætó á móti;strætó|strætó á móti|strætó nálgast
🚎;trissustrætó;rafknúinn strætisvagn|rafmagnsstrætó|strætó|trissustrætó
🚐;smárúta;rúta|smárúta
🚑;sjúkrabíll;sjúkrabifreið|sjúkrabíll
🚒;slökkviliðsbíll;brunabíll|slökkvibíll|slökkvilið|slökkviliðsbíll
🚓;lögreglubíll;lögregla|lögreglubifreið|lögreglubíll
🚔;lögreglubíll á móti;lögregla|lögreglubifreið|lögreglubíll|lögreglubíll á móti
🚕;leigubíll;leigubifreið|leigubíll
🚖;leigubíll á móti;leigubíll|leigubíll á móti|leigubíll nálgast
🚗;bíll;bifreið|bíll
🚘;bíll á móti;bíll|bíll á móti|bíll nálgast
🚙;jeppi;dægrastytting|farartæki|jeppi
🛻;pallbíll;pallbíll|pallur|trukkur
🚚;flutningabíll;flutningabifreið|flutningabíll|sendibíll
🚛;vörubíll;flutningabíll|trukkur|vörubifreið|vörubíll
🚜;dráttarvél;dráttarvél|traktor
🏎️;kappakstursbíll;bíll|kappakstur|kappakstursbíll
🏍️;mótorhjól;kappakstur|mótorhjól
🛵;vespa;farartæki|hjól|mótorhjól|skellinaðra|vespa
🦽;hjólastóll;aðgengi|hjólastóll
🦼;vélknúinn hjólastóll;aðgengi|vélknúinn hjólastóll
🛺;vélknúinn léttvagn;túk-túk|vélknúinn léttvagn
🚲;hjólreiðar;hjól|hjólreiðar|reiðhjól
🛴;hlaupahjól;hjól|hlaupa|hlaupahjól
🛹;hjólabretti;bretti|hjólabretti
🛼;hjólaskautar;hjól|hjólaskautar|skauti
🚏;rúta;langferðabíll|rúta|strætisvagn|strætó
🛣️;hraðbraut;hraðbraut|vegur
🛤️;járnbrautarteinar;brautarteinar|járnbrautarteinar|lest
🛢️;olíutunna;olía|olíutunna|tunna
⛽;bensíndæla;bensín|bensíndæla|bensínstöð|dísil
🛞;hjól;beygja|hjól|hjólbarði|hringur
🚨;sírena;lögregla|lögregluljós|sírena
🚥;lárétt umferðarljós;lárétt umferðarljós|ljós|umferð
🚦;lóðrétt umferðarljós;ljós|lóðrétt umferðarljós|umferð
🛑;stöðvunarskylda;átthyrningur|merki|stöðvunarskylda|stopp
🚧;vegavinna;framkvæmdir|vegavinna
⚓;akkeri;akkeri|skip|tól
🛟;björgunarhringur;bjargvættur|björgun|björgunarbúnaður|björgunarhringur|flot|öryggi
⛵;seglskúta;bátur|seglskúta|skúta|smábátahöfn
🛶;kanó;bátur|farartæki|kanó
🚤;hraðbátur;bátur|hraðbátur|spíttbátur
🛳️;farþegaskip;farartæki|farþegaskip|farþegi|skip
⛴️;ferja;bátur|ferja
🛥️;mótorbátur;bátur|farartæki|mótorbátur
🚢;skip;bátur|skip
✈️;flugvél;farartæki|flugvél
🛩️;lítil flugvél;farartæki|flugvél|lítil flugvél
🛫;flugvél í flugtaki;brottfarir|brottför|flugvél|flugvél í flugtaki|innritun
🛬;flugvél í lendingu;flugvél|flugvél í lendingu|komur|lendir
🪂;fallhlíf;fallhlíf|fallhlífarsigling|fallhlífarstökk|svifdrekaflug
💺;sæti;sæti|stóll
🚁;þyrla;þyrla
🚟;loftlest;lest|loftlest
🚠;kláfferja í fjalli;fjall|fjallakláfur|kláfferja í fjalli|kláfur
🚡;kláfferja á línu;kláfferja á línu|kláfur|loftferja
🛰️;gervihnöttur;farartæki|geimur|gervihnöttur
🚀;eldflaug;eldflaug|farartæki|geimur
🛸;fljúgandi diskur;fljúgandi diskur|fljúgandi furðuhlutur
🛎️;hótelbjalla;bjalla|hótel|hótelbjalla
🧳;farangur;farangur|ferðalag|pakka niður|taska
⌛;stundaglas;niðurtalning|sandur|stundaglas
⏳;stundaglas með rennandi sandi;niðurtalning|sandur|stundaglas|stundaglas með rennandi sandi
⌚;úr;klukka|úr
⏰;vekjaraklukka;klukka|vekjaraklukka|vekjari
⏱️;skeiðklukka;klukka|skeiðklukka
⏲️;tímamælir;klukka|tímamælir
🕰️;stássklukka;klukka|stássklukka
