# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᱞᱟᱱᱫᱟ ᱪᱮᱦᱨᱟ;ᱞᱟᱱᱫᱟ|ᱞᱟᱱᱫᱟ ᱪᱮᱦᱨᱟ|ᱢᱚᱲᱟ|ᱤᱥᱤᱲ
🇦🇺;ᱪᱤᱨ: ᱚᱥᱴᱨᱮᱞᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱚᱥᱴᱨᱮᱞᱤᱭᱟ
🇦🇼;ᱪᱤᱨ: ᱟᱹᱨᱩᱵᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱟᱹᱨᱩᱵᱟ
🇦🇽;ᱪᱤᱨ: ᱮᱞᱮᱸᱰ ᱫᱣᱤᱯᱫᱳᱞ;ᱪᱤᱨ|ᱪᱤᱨ: ᱮᱞᱮᱸᱰ ᱫᱣᱤᱯᱫᱳᱞ
🇦🇿;ᱪᱤᱨ: ᱟᱹᱡᱟᱹᱨᱵᱮᱭᱡᱟᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱟᱹᱡᱟᱹᱨᱵᱮᱭᱡᱟᱱ
🇧🇦;ᱪᱤᱨ: ᱵᱚᱥᱱᱤᱭᱟ ᱟᱨ ᱦᱟᱹᱨᱡᱮᱜᱚᱣᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱚᱥᱱᱤᱭᱟ ᱟᱨ ᱦᱟᱹᱨᱡᱮᱜᱚᱣᱤᱭᱟ
🇧🇧;ᱪᱤᱨ: ᱵᱟᱨᱵᱟᱰᱚᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱟᱨᱵᱟᱰᱚᱥ
🇧🇩;ᱪᱤᱨ: ᱵᱟᱝᱞᱟᱫᱮᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱟᱝᱞᱟᱫᱮᱥ
🇧🇪;ᱪᱤᱨ: ᱵᱮᱞᱡᱤᱭᱟᱹᱢ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱮᱞᱡᱤᱭᱟᱹᱢ
🇧🇫;ᱪᱤᱨ: ᱵᱩᱨᱠᱤᱱᱟ ᱯᱷᱟᱥᱚ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱩᱨᱠᱤᱱᱟ ᱯᱷᱟᱥᱚ
🇧🇬;ᱪᱤᱨ: ᱵᱩᱞᱜᱟᱨᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱩᱞᱜᱟᱨᱤᱭᱟ
🇧🇭;ᱪᱤᱨ: ᱵᱟᱦᱨᱮᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱟᱦᱨᱮᱱ
🇧🇮;ᱪᱤᱨ: ᱵᱩᱨᱩᱱᱰᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱩᱨᱩᱱᱰᱤ
🇧🇯;ᱪᱤᱨ: ᱵᱮᱱᱤᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱮᱱᱤᱱ
🇧🇱;ᱪᱤᱨ: ᱮᱥ ᱴᱤ ᱵᱟᱨᱛᱷᱮᱞᱮᱢᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱮᱥ ᱴᱤ ᱵᱟᱨᱛᱷᱮᱞᱮᱢᱤ
🇧🇲;ᱪᱤᱨ: ᱵᱟᱹᱨᱢᱩᱱᱰᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱟᱹᱨᱢᱩᱱᱰᱟ
🇧🇳;ᱪᱤᱨ: ᱵᱽᱨᱩᱱᱮᱭ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱽᱨᱩᱱᱮᱭ
🇧🇴;ᱪᱤᱨ: ᱵᱚᱞᱤᱣᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱚᱞᱤᱣᱤᱭᱟ
🇧🇶;ᱪᱤᱨ: ᱠᱟᱹᱨᱮᱱᱤᱭᱟᱹᱱ ᱱᱮᱫᱚᱨᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱟᱹᱨᱮᱱᱤᱭᱟᱹᱱ ᱱᱮᱫᱚᱨᱞᱮᱸᱰ
🇧🇷;ᱪᱤᱨ: ᱵᱨᱟᱡᱤᱞ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱨᱟᱡᱤᱞ
🇧🇸;ᱪᱤᱨ: ᱵᱟᱦᱟᱢᱟᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱟᱦᱟᱢᱟᱥ
🇧🇹;ᱪᱤᱨ: ᱵᱷᱩᱴᱟᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱷᱩᱴᱟᱱ
🇧🇻;ᱪᱤᱨ: ᱵᱚᱣᱮᱴ ᱟᱭᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱚᱣᱮᱴ ᱟᱭᱞᱮᱸᱰ
🇧🇼;ᱪᱤᱨ: ᱵᱚᱴᱥᱣᱟᱱᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱚᱴᱥᱣᱟᱱᱟ
🇧🇾;ᱪᱤᱨ: ᱵᱮᱞᱟᱨᱩᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱮᱞᱟᱨᱩᱥ
🇧🇿;ᱪᱤᱨ: ᱵᱮᱞᱤᱡᱽ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱮᱞᱤᱡᱽ
🇨🇦;ᱪᱤᱨ: ᱠᱟᱱᱟᱰᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱟᱱᱟᱰᱟ
🇨🇨;ᱪᱤᱨ: ᱠᱚᱠᱚᱥ (ᱠᱤᱞᱤᱝ) ᱟᱭᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱚᱠᱚᱥ (ᱠᱤᱞᱤᱝ) ᱟᱭᱞᱮᱸᱰ
🇨🇩;ᱪᱤᱨ: ᱠᱚᱝᱜᱚ ᱼ ᱠᱤᱱᱥᱟᱥᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱚᱝᱜᱚ ᱼ ᱠᱤᱱᱥᱟᱥᱟ
🇨🇫;ᱪᱤᱨ: ᱛᱟᱞᱟ ᱟᱯᱷᱨᱤᱠᱟ ᱟᱹᱯᱱᱟᱹᱛ;ᱪᱤᱨ|ᱪᱤᱨ: ᱛᱟᱞᱟ ᱟᱯᱷᱨᱤᱠᱟ ᱟᱹᱯᱱᱟᱹᱛ
🇨🇬;ᱪᱤᱨ: ᱠᱚᱝᱜᱚ ᱼ ᱵᱽᱨᱟᱡᱟᱣᱤᱞ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱚᱝᱜᱚ ᱼ ᱵᱽᱨᱟᱡᱟᱣᱤᱞ
🇨🇭;ᱪᱤᱨ: ᱥᱮᱤᱡᱟᱹᱨᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱥᱮᱤᱡᱟᱹᱨᱞᱮᱸᱰ
🇨🇮;ᱪᱤᱨ: ᱠᱚᱛᱮ ᱫᱤᱣᱚᱭᱮᱨ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱚᱛᱮ ᱫᱤᱣᱚᱭᱮᱨ
🇨🇰;ᱪᱤᱨ: ᱠᱩᱠ ᱟᱭᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱩᱠ ᱟᱭᱞᱮᱸᱰ
🇨🇱;ᱪᱤᱨ: ᱪᱟᱭᱤᱞ;ᱪᱤᱨ|ᱪᱤᱨ: ᱪᱟᱭᱤᱞ
🇨🇲;ᱪᱤᱨ: ᱠᱟᱢᱮᱨᱩᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱟᱢᱮᱨᱩᱱ
🇨🇳;ᱪᱤᱨ: ᱪᱤᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱪᱤᱱ
🇨🇴;ᱪᱤᱨ: ᱠᱚᱞᱚᱢᱵᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱚᱞᱚᱢᱵᱤᱭᱟ
🇨🇵;ᱪᱤᱨ: ᱠᱞᱤᱯᱮᱴᱨᱚᱱ ᱟᱭᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱞᱤᱯᱮᱴᱨᱚᱱ ᱟᱭᱞᱮᱸᱰ
🇨🇷;ᱪᱤᱨ: ᱠᱚᱥᱴᱟ ᱨᱤᱠᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱚᱥᱴᱟ ᱨᱤᱠᱟ
🇨🇺;ᱪᱤᱨ: ᱠᱭᱩᱵᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱭᱩᱵᱟ
🇨🇻;ᱪᱤᱨ: ᱠᱮᱯ ᱣᱟᱹᱨᱰᱮ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱮᱯ ᱣᱟᱹᱨᱰᱮ
🇨🇼;ᱪᱤᱨ: ᱠᱩᱨᱟᱠᱟᱣ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱩᱨᱟᱠᱟᱣ
🇨🇽;ᱪᱤᱨ: ᱠᱨᱤᱥᱢᱟᱹᱥ ᱟᱭᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱨᱤᱥᱢᱟᱹᱥ ᱟᱭᱞᱮᱸᱰ
🇨🇾;ᱪᱤᱨ: ᱥᱟᱭᱯᱨᱟᱹᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱥᱟᱭᱯᱨᱟᱹᱥ
🇨🇿;ᱪᱤᱨ: ᱪᱮᱠᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱪᱮᱠᱤᱭᱟ
🇩🇪;ᱪᱤᱨ: ᱡᱟᱨᱢᱟᱱᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱡᱟᱨᱢᱟᱱᱤ
🇩🇬;ᱪᱤᱨ: ᱰᱤᱭᱮᱜᱚ ᱜᱟᱨᱥᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱰᱤᱭᱮᱜᱚ ᱜᱟᱨᱥᱤᱭᱟ
🇩🇯;ᱪᱤᱨ: ᱡᱤᱵᱩᱛᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱡᱤᱵᱩᱛᱤ
🇩🇰;ᱪᱤᱨ: ᱰᱮᱱᱢᱟᱨᱠ;ᱪᱤᱨ|ᱪᱤᱨ: ᱰᱮᱱᱢᱟᱨᱠ
🇩🇲;ᱪᱤᱨ: ᱰᱚᱢᱤᱱᱤᱠᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱰᱚᱢᱤᱱᱤᱠᱟ
🇩🇴;ᱪᱤᱨ: ᱰᱚᱢᱤᱱᱤᱠᱟᱱ ᱨᱤᱯᱚᱵᱞᱤᱠ;ᱪᱤᱨ|ᱪᱤᱨ: ᱰᱚᱢᱤᱱᱤᱠᱟᱱ ᱨᱤᱯᱚᱵᱞᱤᱠ
🇩🇿;ᱪᱤᱨ: ᱟᱞᱡᱮᱨᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱟᱞᱡᱮᱨᱤᱭᱟ
🇪🇦;ᱪᱤᱨ: ᱥᱮᱣᱴᱟ ᱟᱨ ᱢᱮᱞᱤᱞᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱥᱮᱣᱴᱟ ᱟᱨ ᱢᱮᱞᱤᱞᱟ
🇪🇨;ᱪᱤᱨ: ᱤᱠᱣᱟᱰᱚᱨ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱠᱣᱟᱰᱚᱨ
🇪🇪;ᱪᱤᱨ: ᱮᱥᱴᱚᱱᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱮᱥᱴᱚᱱᱤᱭᱟ
🇪🇬;ᱪᱤᱨ: ᱤᱡᱤᱯᱴ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱡᱤᱯᱴ
🇪🇭;ᱪᱤᱨ: ᱯᱟᱪᱮ ᱥᱟᱦᱟᱨᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱯᱟᱪᱮ ᱥᱟᱦᱟᱨᱟ
🇪🇷;ᱪᱤᱨ: ᱤᱨᱤᱴᱨᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱨᱤᱴᱨᱤᱭᱟ
🇪🇸;ᱪᱤᱨ: ᱥᱯᱮᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱥᱯᱮᱱ
🇪🇹;ᱪᱤᱨ: ᱤᱛᱷᱤᱭᱚᱯᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱛᱷᱤᱭᱚᱯᱤᱭᱟ
🇪🇺;ᱪᱤᱨ: ᱭᱩᱨᱚᱯᱤᱭᱟᱹᱱ ᱡᱩᱢᱤᱫ;ᱪᱤᱨ|ᱪᱤᱨ: ᱭᱩᱨᱚᱯᱤᱭᱟᱹᱱ ᱡᱩᱢᱤᱫ
🇫🇮;ᱪᱤᱨ: ᱯᱷᱤᱱᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱯᱷᱤᱱᱞᱮᱸᱰ
🇫🇯;ᱪᱤᱨ: ᱯᱷᱤᱡᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱯᱷᱤᱡᱤ
🇫🇰;ᱪᱤᱨ: ᱯᱷᱟᱞᱠᱞᱮᱸᱰ ᱟᱭᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱯᱷᱟᱞᱠᱞᱮᱸᱰ ᱟᱭᱞᱮᱸᱰ
🇫🇲;ᱪᱤᱨ: ᱢᱟᱭᱠᱨᱚᱱᱮᱥᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱢᱟᱭᱠᱨᱚᱱᱮᱥᱤᱭᱟ
🇫🇴;ᱪᱤᱨ: ᱯᱷᱮᱨᱚ ᱫᱣᱤᱯᱫᱳᱞ;ᱪᱤᱨ|ᱪᱤᱨ: ᱯᱷᱮᱨᱚ ᱫᱣᱤᱯᱫᱳᱞ
🇫🇷;ᱪᱤᱨ: ᱯᱷᱨᱟᱱᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱯᱷᱨᱟᱱᱥ
🇬🇦;ᱪᱤᱨ: ᱜᱟᱵᱚᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱟᱵᱚᱱ
🇬🇧;ᱪᱤᱨ: ᱭᱩᱱᱤᱭᱴᱮᱰ ᱠᱤᱝᱰᱚᱢ;ᱪᱤᱨ|ᱪᱤᱨ: ᱭᱩᱱᱤᱭᱴᱮᱰ ᱠᱤᱝᱰᱚᱢ
🇬🇩;ᱪᱤᱨ: ᱜᱽᱨᱮᱱᱟᱰᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱽᱨᱮᱱᱟᱰᱟ
🇬🇪;ᱪᱤᱨ: ᱡᱭᱚᱨᱡᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱡᱭᱚᱨᱡᱤᱭᱟ
🇬🇫;ᱪᱤᱨ: ᱯᱷᱨᱮᱧᱪ ᱜᱩᱭᱟᱱᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱯᱷᱨᱮᱧᱪ ᱜᱩᱭᱟᱱᱟ
🇬🇬;ᱪᱤᱨ: ᱜᱣᱮᱨᱱᱮᱥᱭ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱣᱮᱨᱱᱮᱥᱭ
🇬🇭;ᱪᱤᱨ: ᱜᱷᱟᱱᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱷᱟᱱᱟ
🇬🇮;ᱪᱤᱨ: ᱜᱤᱵᱽᱨᱟᱞᱴᱟᱹᱨ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱤᱵᱽᱨᱟᱞᱴᱟᱹᱨ
🇬🇱;ᱪᱤᱨ: ᱜᱽᱨᱤᱱᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱽᱨᱤᱱᱞᱮᱸᱰ
🇬🇲;ᱪᱤᱨ: ᱜᱟᱢᱵᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱟᱢᱵᱤᱭᱟ
🇬🇳;ᱪᱤᱨ: ᱜᱩᱭᱱᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱩᱭᱱᱤᱭᱟ
🇬🇵;ᱪᱤᱨ: ᱜᱩᱟᱰᱮᱞᱚᱣᱯ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱩᱟᱰᱮᱞᱚᱣᱯ
🇬🇶;ᱪᱤᱨ: ᱤᱠᱣᱤᱴᱚᱨᱤᱭᱟᱹᱞ ᱜᱤᱱᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱠᱣᱤᱴᱚᱨᱤᱭᱟᱹᱞ ᱜᱤᱱᱤ
🇬🇷;ᱪᱤᱨ: ᱜᱽᱨᱤᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱽᱨᱤᱥ
🇬🇸;ᱪᱤᱨ: ᱠᱚᱸᱭᱮ ᱡᱤᱭᱚᱨᱡᱤᱭᱟ ᱟᱨ ᱠᱚᱸᱭᱮ ᱥᱮᱸᱰᱣᱤᱪ ᱟᱭᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱚᱸᱭᱮ ᱡᱤᱭᱚᱨᱡᱤᱭᱟ ᱟᱨ ᱠᱚᱸᱭᱮ ᱥᱮᱸᱰᱣᱤᱪ ᱟᱭᱞᱮᱸᱰ
🇬🇹;ᱪᱤᱨ: ᱜᱩᱣᱟᱴᱮᱢᱟᱞᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱩᱣᱟᱴᱮᱢᱟᱞᱟ
🇬🇺;ᱪᱤᱨ: ᱜᱩᱣᱟᱢ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱩᱣᱟᱢ
🇬🇼;ᱪᱤᱨ: ᱜᱩᱭᱱᱤᱭᱟᱼᱵᱤᱥᱟᱣ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱩᱭᱱᱤᱭᱟᱼᱵᱤᱥᱟᱣ
🇬🇾;ᱪᱤᱨ: ᱜᱩᱭᱟᱱᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱜᱩᱭᱟᱱᱟ
🇭🇰;ᱪᱤᱨ: ᱦᱚᱝ ᱠᱚᱝ ᱥᱟᱨ ᱪᱟᱭᱱᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱦᱚᱝ ᱠᱚᱝ ᱥᱟᱨ ᱪᱟᱭᱱᱟ
🇭🇲;ᱪᱤᱨ: ᱦᱟᱹᱰ ᱟᱨ ᱢᱮᱠᱰᱚᱱᱟᱹᱞᱰ ᱟᱭᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱦᱟᱹᱰ ᱟᱨ ᱢᱮᱠᱰᱚᱱᱟᱹᱞᱰ ᱟᱭᱞᱮᱸᱰ
🇭🇳;ᱪᱤᱨ: ᱦᱚᱱᱰᱩᱨᱟᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱦᱚᱱᱰᱩᱨᱟᱥ
🇭🇷;ᱪᱤᱨ: ᱠᱨᱚᱮᱥᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱨᱚᱮᱥᱤᱭᱟ
🇭🇹;ᱪᱤᱨ: ᱦᱟᱭᱴᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱦᱟᱭᱴᱤ
🇭🇺;ᱪᱤᱨ: ᱦᱟᱹᱝᱜᱟᱨᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱦᱟᱹᱝᱜᱟᱨᱤ
🇮🇨;ᱪᱤᱨ: ᱠᱟᱱᱟᱨᱭ ᱟᱭᱞᱮᱸᱰᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱟᱱᱟᱨᱭ ᱟᱭᱞᱮᱸᱰᱥ
🇮🇩;ᱪᱤᱨ: ᱤᱱᱰᱚᱱᱮᱥᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱱᱰᱚᱱᱮᱥᱤᱭᱟ
🇮🇪;ᱪᱤᱨ: ᱟᱭᱟᱹᱨᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱟᱭᱟᱹᱨᱞᱮᱸᱰ
🇮🇱;ᱪᱤᱨ: ᱤᱥᱨᱟᱭᱮᱞ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱥᱨᱟᱭᱮᱞ
🇮🇲;ᱪᱤᱨ: ᱟᱭᱞ ᱚᱯᱷ ᱢᱮᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱟᱭᱞ ᱚᱯᱷ ᱢᱮᱱ
🇮🇳;ᱪᱤᱨ: ᱤᱱᱰᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱱᱰᱤᱭᱟ
🇮🇴;ᱪᱤᱨ: ᱵᱽᱨᱤᱴᱤᱥ ᱵᱷᱟᱨᱚᱛ ᱢᱟᱦᱟᱥᱟᱜᱚᱨ ᱡᱟᱭᱜᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱵᱽᱨᱤᱴᱤᱥ ᱵᱷᱟᱨᱚᱛ ᱢᱟᱦᱟᱥᱟᱜᱚᱨ ᱡᱟᱭᱜᱟ
🇮🇶;ᱪᱤᱨ: ᱤᱨᱟᱠ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱨᱟᱠ
🇮🇷;ᱪᱤᱨ: ᱤᱨᱟᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱨᱟᱱ
🇮🇸;ᱪᱤᱨ: ᱟᱭᱥᱞᱮᱸᱰ;ᱪᱤᱨ|ᱪᱤᱨ: ᱟᱭᱥᱞᱮᱸᱰ
🇮🇹;ᱪᱤᱨ: ᱤᱴᱞᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱤᱴᱞᱤ
🇯🇪;ᱪᱤᱨ: ᱡᱟᱹᱨᱥᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱡᱟᱹᱨᱥᱤ
🇯🇲;ᱪᱤᱨ: ᱡᱟᱢᱟᱭᱠᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱡᱟᱢᱟᱭᱠᱟ
🇯🇴;ᱪᱤᱨ: ᱡᱚᱨᱰᱟᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱡᱚᱨᱰᱟᱱ
🇯🇵;ᱪᱤᱨ: ᱡᱟᱯᱟᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱡᱟᱯᱟᱱ
🇰🇪;ᱪᱤᱨ: ᱠᱮᱱᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱮᱱᱭᱟ
🇰🇬;ᱪᱤᱨ: ᱠᱤᱨᱜᱤᱥᱛᱟᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱤᱨᱜᱤᱥᱛᱟᱱ
🇰🇭;ᱪᱤᱨ: ᱠᱟᱹᱢᱵᱚᱰᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱟᱹᱢᱵᱚᱰᱤᱭᱟ
🇰🇮;ᱪᱤᱨ: ᱠᱤᱨᱤᱵᱚᱛᱤ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱤᱨᱤᱵᱚᱛᱤ
🇰🇲;ᱪᱤᱨ: ᱠᱚᱢᱚᱨᱚᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱚᱢᱚᱨᱚᱥ
🇰🇳;ᱪᱤᱨ: ᱮᱥ ᱴᱤ ᱠᱤᱴᱥ ᱟᱨ ᱱᱮᱣᱤᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱮᱥ ᱴᱤ ᱠᱤᱴᱥ ᱟᱨ ᱱᱮᱣᱤᱥ
🇰🇵;ᱪᱤᱨ: ᱮᱛᱚᱢ ᱠᱚᱨᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱮᱛᱚᱢ ᱠᱚᱨᱤᱭᱟ
🇰🇷;ᱪᱤᱨ: ᱠᱚᱧᱮ ᱠᱚᱨᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱚᱧᱮ ᱠᱚᱨᱤᱭᱟ
🇰🇼;ᱪᱤᱨ: ᱠᱩᱣᱟᱹᱭᱛ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱩᱣᱟᱹᱭᱛ
🇰🇾;ᱪᱤᱨ: ᱠᱮᱢᱮᱱ ᱟᱭᱞᱮᱸᱰᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱮᱢᱮᱱ ᱟᱭᱞᱮᱸᱰᱥ
🇰🇿;ᱪᱤᱨ: ᱠᱟᱡᱟᱠᱷᱟᱥᱛᱷᱟᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱠᱟᱡᱟᱠᱷᱟᱥᱛᱷᱟᱱ
🇱🇦;ᱪᱤᱨ: ᱞᱟᱣᱚᱥ;ᱪᱤᱨ|ᱪᱤᱨ: ᱞᱟᱣᱚᱥ
🇱🇧;ᱪᱤᱨ: ᱞᱮᱵᱟᱱᱟᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱞᱮᱵᱟᱱᱟᱱ
🇱🇨;ᱪᱤᱨ: ᱮᱥ ᱴᱤ ᱞᱩᱥᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱮᱥ ᱴᱤ ᱞᱩᱥᱤᱭᱟ
🇱🇮;ᱪᱤᱨ: ᱞᱤᱪᱮᱥᱴᱤᱱ;ᱪᱤᱨ|ᱪᱤᱨ: ᱞᱤᱪᱮᱥᱴᱤᱱ
🇱🇰;ᱪᱤᱨ: ᱥᱨᱤ ᱞᱚᱝᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱥᱨᱤ ᱞᱚᱝᱟ
🇱🇷;ᱪᱤᱨ: ᱞᱟᱭᱵᱮᱨᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱞᱟᱭᱵᱮᱨᱤᱭᱟ
🇱🇸;ᱪᱤᱨ: ᱞᱮᱥᱚᱛᱷᱚ;ᱪᱤᱨ|ᱪᱤᱨ: ᱞᱮᱥᱚᱛᱷᱚ
🇱🇹;ᱪᱤᱨ: ᱞᱤᱛᱷᱩᱣᱟᱱᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱞᱤᱛᱷᱩᱣᱟᱱᱤᱭᱟ
🇱🇺;ᱪᱤᱨ: ᱞᱤᱠᱡᱟᱹᱢᱵᱟᱹᱨᱜᱽ;ᱪᱤᱨ|ᱪᱤᱨ: ᱞᱤᱠᱡᱟᱹᱢᱵᱟᱹᱨᱜᱽ
🇱🇻;ᱪᱤᱨ: ᱞᱟᱛᱣᱤᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱞᱟᱛᱣᱤᱭᱟ
🇱🇾;ᱪᱤᱨ: ᱞᱤᱵᱭᱟ;ᱪᱤᱨ|ᱪᱤᱨ: ᱞᱤᱵᱭᱟ
