[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি
🚚;সরবরাহের ট্র্যাক;ট্রাক|যানবাহন|সরবরাহ|সরবরাহের ট্র্যাক
🚛;আর্টিকুলেট লরি;আর্টিকুলেট লরি|ট্রাক|যানবাহন|লরি|সেমি
🚜;ট্র্যাক্টর;ট্র্যাক্টর|যানবাহন
🏎️;রেসিং কার;গাড়ি|রেসিং|রেসিং কার
🏍️;মটরসাইকেল;মটরসাইকেল|রেসিং
🛵;মোটর স্কুটার;মটর|মোটর স্কুটার|স্কুটার
🦽;ম্যানুয়াল হুইলচেয়ার;অ্যাক্সেসিবিলিটি|ম্যানুয়াল হুইলচেয়ার
🦼;মোটরচালিত হুইলচেয়ার;অ্যাক্সেসিবিলিটি|মোটরচালিত হুইলচেয়ার
🛺;অটো রিক্সা;অটো রিক্সা|টুক টুক
🚲;বাইসাইকেল;বাইক|বাইসাইকেল|যানবাহন
🛴;কিক স্কুটার;কিক|স্কুটার
🛹;স্কেটবোর্ড;বোর্ড|স্কেটবোর্ড
🛼;রোলার স্কেট;রোলার|স্কেট
🚏;বাস্টের স্টপ;থামা|বাস|বাস স্টপ|বাস্টের স্টপ
🛣️;মোটর ওয়ে;মোটর ওয়ে|রাস্তা|হাইওয়ে
🛤️;রেলওয়ে ট্র্যাক;ট্রেন|রেলওয়ে|রেলওয়ে ট্র্যাক
🛢️;তেলের ড্রাম;ড্রাম|তেল|তেলের ড্রাম
⛽;জ্বালানী পাম্প;গ্যাস|জ্বালানী|পাম্প|স্টেশন
🛞;চাকা;চাকা|টায়ার|বাঁক|বৃত্ত
🚨;পুলিশের গাড়ির আলো;আলো|গাড়ি|ঘূর্ণায়মান|পুলিশ|পুলিশের গাড়ির আলো|বাতি|যানবাহন
🚥;অনুভূমিক ট্রাফিক লাইট;অনুভূমিক ট্রাফিক লাইট|আলো|ট্রাফিক|সিগন্যাল
🚦;উল্লম্ব ট্রাফিক লাইট;আলো|উল্লম্ব ট্রাফিক লাইট|ট্রাফিক|সিগন্যাল
🛑;থামার চিহ্ন;অষ্টকোণী|চিহ্ন|থামার চিহ্ন|থামুন
🚧;নির্মাণ;নির্মাণ|বাধা
⚓;নোঙর;জাহাজ|নোঙর|সরঞ্জাম
🛟;রিং বয়;আত্মরক্ষক|জীবন সংরক্ষক|নিরাপত্তা|পুনরুদ্ধার করা|ভাসমান|রিং বয়
⛵;পাল তোলা নৌকা;ইয়ট|নৌকা|পাল তোলা নৌকা|যানবাহন|রিসোর্ট|সাগর
🛶;ডোঙ্গা;ডোঙ্গা|নৌকা
🚤;স্পীডবোট;নৌকা|যানবাহন|স্পীডবোট
🛳️;যাত্রীবাহী জাহাজ;জাহাজ|যাত্রী|যাত্রীবাহী জাহাজ|যানবাহন
⛴️;খেয়া;খেয়া|নৌকা
🛥️;মোটরবোট;নৌকা|মোটরবোট|যানবাহন
🚢;জাহাজ;জাহাজ|যানবাহন
✈️;বিমান;বিমান|যানবাহন
🛩️;ছোট বিমান;ছোট বিমান|বিমান|যানবাহন
🛫;বিমান ছাড়া;চেক ইন|প্রস্থান|বিমান|বিমান ছাড়া|যানবাহন
🛬;বিমান আসা;অবতরণ|আগত|আগমন|বিমান|বিমান আসা|যানবাহন
🪂;প্যারাশুট;প্যারাশুট|প্যারাসেইল|স্কাইডাইভ|হ্যাং-গ্লাইড
💺;বসার জায়গা;চেয়ার|বসার জায়গা
🚁;হেলিকপ্টার;যানবাহন|হেলিকপ্টার
🚟;রেলওয়ে স্থগিতাদেশ;যানবাহন|রেলওয়ে|স্থগিতাদেশ
🚠;মাউন্টেন কেবলওয়ে;কেবল|গন্ডোলা|পর্বত|মাউন্টেন কেবলওয়ে|যানবাহন
🚡;রোপওয়ে;কার|কেবল|গন্ডোলা|ট্রামওয়ে|রোপওয়ে
🛰️;উপগ্রহ;উপগ্রহ|মহাকাশ|যানবাহন
🚀;রকেট;মহাকাশ|যানবাহন|রকেট
🛸;উড়ন্ত চাকতি;ইউএফও|উড়ন্ত চাকতি
🛎️;বেলহপ বেল;ঘণ্টা|বেলহপ|বেলহপ বেল|হোটেল
🧳;লাগেজ;প্যাকিং|ভ্রমণ|লাগেজ
⌛;বালিঘড়ি;টাইমার|বালি|বালিঘড়ি
⏳;প্রবাহিত বালি দিয়ে বালিঘড়ি;টাইমার|প্রবাহিত বালি দিয়ে বালিঘড়ি|বালি|বালিঘড়ি
⌚;ঘড়ি;ঘড়ি
⏰;অ্যালার্ম ঘড়ি;অ্যালার্ম|ঘড়ি
⏱️;স্টপওয়াচ;ঘড়ি|স্টপওয়াচ
⏲️;টাইমার ঘড়ি;ঘড়ি|টাইমার
🕰️;ম্যান্টেলপিস ঘড়ি;ঘড়ি|ম্যান্টেলপিস ঘড়ি
🕛;বারোটা;00|12|12:00|ঘড়ি|টা|বারো|বারোটা
🕧;সাড়ে বারোটা;12|12:30|ঘড়ি|তিরিশ|বারো|সাড়ে বারোটা
🕐;একটা;00|1|1:00|এক|একটা|ঘড়ি|টা
🕜;দেড়টা;1|1:30|এক|ঘড়ি|তিরিশ|দেড়টা
🕑;দুটো;00|2|2:00|ঘড়ি|টো|দু|দুটো
🕝;আড়াইটা;2|2:30|আড়াইটা|ঘড়ি|তিরিশ|দুটো
🕒;তিনটে;00|3|3:00|ঘড়ি|টে|তিন|তিনটে
🕞;সাড়ে তিনটে;3|3:30|ঘড়ি|তিনটে|তিরিশ|সাড়ে
🕓;চারটে;00|4|4:00|ঘড়ি|চার|চারটে|টে
🕟;সাড়ে চারটে;4|4:30|ঘড়ি|চারটে|তিরিশ|সাড়ে চারটে
🕔;পাঁচটা;00|5|5:00|ঘড়ি|টা|পাঁচ|পাঁচটা
🕠;সাড়ে পাঁচটা;5|5:30|ঘড়ি|তিরিশ|পাঁচটা|সাড়ে
🕕;ছটা;00|6|6:00|ঘড়ি|ছটা|ছয়|টা
🕡;সাড়ে ছটা;6|6:30|ঘড়ি|ছয়টা|তিরিশ|সাড়ে ছটা
🕖;সাতটা;00|7|7:00|ঘড়ি|টা|সাত|সাতটা
🕢;সাড়ে সাতটা;7|7:30|ঘড়ি|তিরিশ|সাড়ে সাতটা
🕗;আটটা;8|8:00|আট|আটটা|ঘড়ি|টা
🕣;সাড়ে আটটা;8|8:30|আটটা|ঘড়ি|তিরিশ|সাড়ে আটটা
🕘;নটা;00|9|9:00|ঘড়ি|টা|ন|নটা
🕤;সাড়ে নটা;9|9:30|ঘড়ি|তিরিশ|নয়টা|সাড়ে|সাড়ে নটা
🕙;দশটা;00|10|10:00|ঘড়ি|টা|দশ|দশটা
🕥;সাড়ে দশটা;10|10:30|30|ঘড়ি|তিরিশ|দশটা|সাড়ে দশটা
🕚;এগারোটা;00|11|11:00|এগারো|এগারোটা|ঘড়ি|টা
🕦;সাড়ে এগারোটা;11|11:30|30|এগারোটা|ঘড়ি|তিরিশ|সাড়ে এগারোটা
🌑;আমাবস্যা;অন্ধকার|আবহাওয়া|আমাবস্যা|চাঁদ|মহাকাশ
🌒;বৃদ্ধিপ্রাপ্ত অর্ধচন্দ্র;অর্ধচন্দ্র|আবহাওয়া|ওয়াক্সিং|চাঁদ|বৃদ্ধিপ্রাপ্ত অর্ধচন্দ্র|মহাকাশ
🌓;চাঁদের প্রথম চতুর্থাংশ;আবহাওয়া|চতুর্থাংশ|চাঁদ|চাঁদের প্রথম চতুর্থাংশ|মহাকাশ
🌔;বৃদ্ধিপ্রাপ্ত অর্ধাধিক চাঁদ;অর্ধাধিক|আবহাওয়া|ওয়াক্সিং|চাঁদ|বৃদ্ধিপ্রাপ্ত অর্ধাধিক চাঁদ|মহাকাশ
🌕;পূর্ণিমা;আবহাওয়া|চাঁদ|পূর্ণ|পূর্ণিমা|মহাকাশ
🌖;ক্ষীয়মাণ অর্ধাধিক চাঁদ;অর্ধাধিক|আবহাওয়া|ক্ষীয়মাণ|চাঁদ|মহাকাশ
🌗;চাঁদের শেষ চতুর্থাংশ;আবহাওয়া|চতুর্থাংশ|চাঁদ|চাঁদের শেষ চতুর্থাংশ|মহাকাশ
🌘;ক্ষীয়মাণ অর্ধচন্দ্র;অর্ধচন্দ্র|আবহাওয়া|ক্ষীয়মাণ|চাঁদ|মহাকাশ
🌙;অর্ধচন্দ্র;অর্ধচন্দ্র|আবহাওয়া|চাঁদ|মহাকাশ
🌚;চাঁদের নতুন মুখ;আবহাওয়া|চাঁদ|চাঁদের নতুন মুখ|মহাকাশ|মুখ
🌛;মুখের সাথে চাঁদের প্রথম এক চতুর্থাংশ;চাঁদ|মহাকাশ|মুখ|মুখের সাথে চাঁদের প্রথম এক চতুর্থাংশ
🌜;মুখের সাথে চাঁদের শেষ এক চতুর্থাংশ;চাঁদ|মহাকাশ|মুখ|মুখের সাথে চাঁদের শেষ এক চতুর্থাংশ
🌡️;থার্মোমিটার;আবহাওয়া|থার্মোমিটার
☀️;সূর্য;আবহাওয়া|উজ্জ্বল|মহাকাশ|রশ্মি|রোদ|সূর্য
🌝;মুখের সাথে পূর্ণ চাঁদ;আবহাওয়া|উজ্জ্বল|চাঁদ|পূর্ণ|মহাকাশ|মুখ|মুখের সাথে পূর্ণ চাঁদ
🌞;মুখের সাথে সূর্য;আবহাওয়া|উজ্জ্বল|মহাকাশ|মুখ|মুখের সাথে সূর্য|সূর্য
🪐;বলয়যুক্ত গ্রহ;গম্ভীরস্বভাব|বলয়যুক্ত গ্রহ|শনি
⭐;সাদা মাঝারি তারা;তারা|সাদা মাঝারি তারা
🌟;উজ্জ্বল তারা;উজ্জ্বল তারা|উদ্ভাস|জ্বলজ্বলে|ঝকমক|তারা|দ্যুতি
🌠;উল্কা;উল্কা|তারা|পতিত|মহাকাশ|শুটিং
🌌;আকাশগঙ্গা;আকাশগঙ্গা|আবহাওয়া|মহাকাশ
☁️;মেঘ;আবহাওয়া|মেঘ
⛅;মেঘের পিছনে সূর্য;আবহাওয়া|মেঘ|মেঘের পিছনে সূর্য|সূর্য
⛈️;মেঘের সাথে বিদ্যুতের ঝলক ও বৃষ্টি;আবহাওয়া|বৃষ্টি|মেঘ|মেঘের গর্জন|মেঘের সাথে বিদ্যুতের ঝলক ও বৃষ্টি
🌤️;অল্প মেঘের পিছনে সূর্য;অল্প মেঘের পিছনে সূর্য|আবহাওয়া|মেঘ|সূর্য
🌥️;বেশি মেঘের পিছনে সূর্য;আবহাওয়া|বেশি মেঘের পিছনে সূর্য|মেঘ|সূর্য
🌦️;মেঘের সাথে বৃষ্টির পিছনে সূর্য;আবহাওয়া|বৃষ্টি|মেঘ|মেঘের সাথে বৃষ্টির পিছনে সূর্য|সূর্য
🌧️;বৃষ্টির সাথে মেঘ;আবহাওয়া|বৃষ্টি|বৃষ্টির সাথে মেঘ|মেঘ
🌨️;বরফের সাথে মেঘ;আবহাওয়া|ঠান্ডা|তুষারপাত|বরফের সাথে মেঘ|মেঘ
🌩️;বিদ্যুতের ঝলকের সাথে মেঘ;আবহাওয়া|বিদ্যুতের ঝলকের সাথে মেঘ|বিদ্যুৎ চমক|মেঘ
🌪️;ঘূর্ণিঝড়;আবহাওয়া|ঘূর্ণিঝড়|মেঘ
🌫️;কুয়াশা;আবহাওয়া|কুয়াশা|মেঘ
🌬️;হাওয়ার মুখ;আবহাওয়া|মুখ|মেঘ|হাওয়া|হাওয়ার মুখ|হাল্কা হাওয়া
🌀;সাইক্লোন;আবহাওয়া|টাইফুন|বিভ্রান্তিকর|সাইক্লোন|হতবুদ্ধি
🌈;রামধনু;আবহাওয়া|বৃষ্টি|রামধনু
🌂;বন্ধ ছাতা;আবহাওয়া|ছাতা|পোশাক|বন্ধ ছাতা|বৃষ্টি
☂️;ছাতা;আবহাওয়া|ছাতা|পোশাক|বৃষ্টি
☔;ছাতাতে বৃষ্টির ফোঁটা লাগা;আবহাওয়া|ছাতা|ছাতাতে বৃষ্টির ফোঁটা লাগা|পোশাক|ফোঁটা|বৃষ্টি
⛱️;মাটিতে ছাতা;আবহাওয়া|ছাতা|বৃষ্টি|মাটিতে ছাতা|সূর্য
⚡;বেশি ভোল্টেজ;ঝটকা|বিদ্যুৎ|বিদ্যুৎ চমক|বিপদ|বেশি ভোল্টেজ|বৈদ্যুতিক|ভোল্টেজ
❄️;তুষারকণা;আবহাওয়া|ঠান্ডা|তুষারকণা|তুষারপাত
☃️;তুষারমানব;আবহাওয়া|ঠান্ডা|তুষারপাত|তুষারমানব
⛄;তুষার ছাড়াই তুষারমানব;আবহাওয়া|ঠান্ডা|তুষার ছাড়াই তুষারমানব|তুষারপাত|তুষারমানব
☄️;ধূমকেতু;ধূমকেতু|মহাকাশ
🔥;আগুন;আগুন|শিখা|সরঞ্জাম
💧;ফোঁটা;আবহাওয়া|কমিক|ঘাম|ঠান্ডা|ফোঁটা
🌊;জল তরঙ্গ;আবহাওয়া|জল|জল তরঙ্গ|ঢেউ|মহাসাগর

[activities]
🎃;জ্যাকো লণ্ঠন;উদযাপন|জ্যাক|জ্যাকো লণ্ঠন|লণ্ঠন|হ্যালোইন
🎄;ক্রিসমাস ট্রী;উদযাপন|ক্রিসমাস|ক্রিসমাস ট্রী|গাছ
🎆;আতস বাজি;আতস বাজি|উদযাপন
🎇;ফুলঝুড়ি;উদযাপন|দ্যুতি|ফুলঝুড়ি|বাজি
🧨;বাজি;আতশবাজি|ডাইনামাইট|বাজি|বিস্ফোরক
✨;দ্যুতি;*|ঝিকিমিকি|তারা|দ্যুতি
🎈;বেলুন;উদযাপন|বেলুন
🎉;পার্টি পপার;উদযাপন|টাডা|পপার|পার্টি
🎊;কনফেট্টি বল;উদযাপন|কনফেট্টি|বল
🎋;তানাবাতা ট্রী;উদযাপন|গাছ|জাপানি|তানাবাতা ট্রী|ব্যানার
🎍;পাইনের সজ্জা;উদযাপন|জাপানি|পাইন|পাইনের সজ্জা|বাঁশ
🎎;জাপানি পুতুল;উৎসব|উদযাপন|জাপানি|পুতুল
🎏;কার্প স্ট্রিমার;আলোকরশ্মি|উদযাপন|কার্প|কার্প স্ট্রিমার
🎐;উইন্ড চাইম;উইন্ড চাইম|উদযাপন|ঘণ্টা|হাওয়া
🎑;চাঁদ দেখার উৎসব;অনুষ্ঠান|উদযাপন|চাঁদ|চাঁদ দেখার উৎসব
🧧;লাল খাম;অর্থ|উপহার|লাই সি|লাল খাম|সৌভাগ্য|হং বাও
🎀;রিবন;উদযাপন|রিবন
🎁;মোড়কে থাকা উপহার;উদযাপন|উপহার|জড়ান|বাক্স|মোড়কে থাকা উপহার
🎗️;অনুস্মারক রিবন;অনুস্মারক|অনুস্মারক রিবন|উদযাপন|ফিতা
🎟️;প্রবেশের টিকিট;টিকেট|প্রবেশ|প্রবেশের টিকিট
🎫;টিকিট;টিকিট|প্রবেশ
🎖️;মিলিটারি পদক;উদযাপন|পদক|মিলিটারি পদক|সামরিক
🏆;ট্রফি;ট্রফি|পুরস্কার
🏅;খেলার পদক;খেলার পদক|পদক
🥇;প্রথম স্থানের পদক;প্রথম|প্রথম স্থানের পদক|মেডেল|মোনার
🥈;দ্বিতীয় স্থানের পদক;দ্বিতীয়|দ্বিতীয় স্থানের পদক|মেডেল|রুপো
🥉;তৃতীয় স্থানের পদক;তৃতীয়|তৃতীয় স্থানের পদক|ব্রোঞ্জ|মেডেল
⚽;ফুটবল;ফুটবল|বল
⚾;বেসবল;বল|বেসবল
🥎;সফ্টবল;আন্ডারআর্ম|দস্তানা|বল|সফ্টবল
🏀;বাস্কেটবল;বল|বাস্কেটবল|হুপ
🏐;ভলিবল;খেলা|বল|ভলিবল
🏈;আমেরিকান ফুটবল;আমেরিকান|ফুটবল|বল
🏉;রাগবি ফুটবল;ফুটবল|বল|রাগবি
🎾;টেনিস;টেনিস|টেনিস খেলার ব্যাট|বল
🥏;ফ্লাইং ডিস্ক;আল্টিমেট|ফ্লাইং ডিস্ক
🎳;বোলিং;খেলা|বল|বোলিং
🏏;ক্রিকেট;ক্রিকেট|খেলা|বল|ব্যাট
🏑;মাঠে হকি;খেলা|বল|মাঠ|মাঠে হকি|হকি|হকি স্টিক
🏒;আইস হকি স্টিক এবং পুক;আইস হকি স্টিক|আইস হকি স্টিক এবং পুক|খেলা|পুক|বরফ|হকি
🥍;ল্যাক্রোসি;গোল|বল|ল্যাক্রোসি|স্টিক
🏓;পিং পঙ্গ;খেলা|টেবিল টেনিস|পিং পং|পিং পঙ্গ|বল|ব্যাট
🏸;ব্যাডমিন্টন;খেলা|টেনিস খেলের ব্যাট|বার্ডআই|ব্যাডমিন্টন|শাটলকক
🥊;বক্সিং গ্লাভস;খেলা|গ্লাব্স|বক্সিং|বক্সিং গ্লাভস
🥋;মার্শাল আর্টের উইনিফর্ম;উইনিফর্ম|কারাটে|জুডো|তাইকুন্ডো|মার্শাল আর্টের উইনিফর্ম
🥅;গোল নেট;খেলা|গোল|নেট
⛳;গর্তের মধ্যে পতাকা;গর্ত|গর্তের মধ্যে পতাকা|গলফ
⛸️;বরফে স্কেট করা;বরফ|বরফে স্কেট করা|স্কেট
🎣;মাছ ধরার বর্শি;মাছ|মাছ ধরার বর্শি|মেরু
🤿;ডুবুরির মুখোশ;ডাইভিং|ডুবুরির মুখোশ|স্কুবা|স্নরকেলিং
🎽;দৌড়ানোর জামা;উত্তরীয়|চলমান|জামা|দৌড়ানোর জামা
🎿;স্কি;তুষারপাত|স্কি
🛷;স্লেজ গাড়ি;স্লেজ গাড়ি
🥌;কার্লিং স্টোন;কার্লিং স্টোন|গেম|রক
🎯;সরাসরি হিট করা;খেলা|ডার্ট|বুল্সআই|সরাসরি হিট করা|হিট
🪀;য়ো-য়ো;খেলনা|ফ্ল্যাকচুয়েট|য়ো-য়ো
🪁;ঘুড়ি;ওড়া|ঘুড়ি|মাঝ আকাশে
🔫;পিস্তল;অস্ত্র|পিস্তল|বন্দুক|রিভলবার|সরঞ্জাম
🎱;8 বলের পুল;8 পুল বল|8 বলের পুল|আট|খেলা|বল|বিলিয়ার্ড
🔮;ক্রিস্টাল বল;কল্পনা|ক্রিস্টাল|বল|রূপকথা|সৌভাগ্য
🪄;জাদুর ছড়ি;জাদু|জাদুকর|জাদুর ছড়ি|ডাইনি
🎮;ভিডিও গেম;খেলা|নিয়ন্ত্রক|ভিডিও গেম
🕹️;জয়স্টিক;খেলা|জয়স্টিক|ভিডিও গেম
🎰;স্লট মেশিন;খেলা|স্লট|স্লট মেশিন
🎲;খেলার ছক্কা;খেলা|খেলার ছক্কা|ডাই|পাশা
🧩;পাজেলের টুকরো;ইন্টারলকিং|জিগস|টুকরো|ধাঁধা|পাজেলের টুকরো|সূত্র
🧸;টেডি বিয়ার;খেলনা|খেলার জিনিস|খেলার পণ্য|টেডি বিয়ার|প্লাশ
🪅;পিয়াঁতা;অনুষ্ঠান|পার্টি|পিয়াঁতা
🪩;মিরর বল;গ্লিটার|ডান্স|ডিস্কো|পার্টি|মিরর বল
🪆;নেস্টিং ডল;ডল|নেস্টিং|রাশিয়া
♠️;স্পেড স্যুট;কার্ড|খেলা|স্পেড|স্যুট
♥️;হার্ট স্যুট;কার্ড|খেলা|স্যুট|হার্ট|হার্টস
♦️;ডায়মন্ড স্যুট;কার্ড|খেলা|ডায়মন্ড|ডায়মন্ডস|স্যুট
♣️;ক্লাব স্যুট;কার্ড|ক্লাব|ক্লাবস|গেম|স্যুট
♟️;দাবা গুটি;ছলনা|দাবা|দাবা গুটি|বর্ধনশীল
🃏;জোকার;কার্ড|খেলা|জোকার|তাস
🀄;মাহজঙ্গ লাল ড্রাগন;খেলা|মাহজঙ্গ|মাহজঙ্গ লাল ড্রাগন|লাল
🎴;ফুল বাজানোর কার্ড;কার্ড|খেলা|জাপানি|তাস|ফুল|ফুল বাজানোর কার্ড|ফুল সজ্জিত তাস
🎭;কলা সম্পাদন;কলা|কলা সম্পাদন|থিয়েটার|পারফর্ম করা|মুখোশ
🖼️;ফ্রেমের সাথে ছবি;কলা|ছবি|পেন্টিং|ফ্রেমের সাথে ছবি|মিউজিয়াম
🎨;শিল্পী প্যালেট;কলা|পেন্টিং|প্যালেট|মিউজিয়াম|শিল্পী প্যালেট
🧵;সুতা;দড়ি|নাটাই|সুতা|সূঁচ|সেলাই
🪡;সূচ;এম্ব্রয়ডারি|জোড়|দরজি|সূচ|সূচের ফোঁড়|সেলাই
🧶;সুতো;ক্রোশেই|বল|বুনা|সুতো
🪢;গাঁট;গাঁট|টাই|দড়ি|পাকানো|বাঁকানো

[objects]
👓;চশমা;চশমা|চোখ|চোখে পরার|পোশাক
🕶️;সানগ্লাস;গাঢ়|চশমা|চোখ|সানগ্লাস
🥽;গগলস;গগলস|চোখের সুরক্ষা|ঝালাই|সাঁতার
🥼;ল্যাব কোট;গবেষণা|ডাক্তার|বিজ্ঞানী|ল্যাব কোট
🦺;সেফ্টি জ্যাকেট;জরুরী অবস্থা|জ্যাকেট|নিরাপত্তা|সেফ্টি জ্যাকেট
👔;গলার টাই;গলার টাই|পোশাক
👕;টি-শার্ট;টি শার্ট|টি-শার্ট|পোশাক|শার্ট
👖;জিনস;জিনস|ট্রাউজার্স|পোশাক|প্যান্ট
🧣;স্কার্ফ;গলাবন্ধ|স্কার্ফ
🧤;দস্তানা;দস্তানা|হাত
🧥;কোট;কোট|জ্যাকেট
🧦;মোজা;মোজা|স্টকিং
👗;ফ্রক;জামা|ফ্রক
👘;কিমোনো;কিমোনো|পোশাক
🥻;শাড়ি;কাপড়|পোশাক|শাড়ি
🩱;সুইমিং কস্টিউম;সাঁতারের পোশাক|সুইমিং কস্টিউম
🩲;জাঙ্গিয়া;এক-পিস|জাঙ্গিয়া|সুইমিং কস্টিউম|স্নারের পোশাক
🩳;শর্টস;অন্তর্বাস|প্যান্ট|শর্টস|স্নানের পোশাক
👙;বিকিনি;পোশাক|বিকিনি|সাঁতার কাটা
👚;মহিলাদের পোশাক;নারী|পোশাক|মহিলাদের পোশাক
🪭;ভাঁজ করা হাত পাখা;গরম|ঝাপ্টানো|নাচ|পাখা|ভাঁজ করা হাত পাখা|লাজুক|শীতল
👛;পার্স;পার্স|পোশাক|মুদ্রা
👜;হাতের ব্যাগ;পার্স|পোশাক|ব্যাগ|হাতের ব্যাগ
👝;ব্যাগ;পাউচ|পোশাক|ব্যাগ
🛍️;কেনাকাটার ব্যাগ;কেনাকাটা|কেনাকাটার ব্যাগ|ব্যাগ|হোটেল
🎒;স্কুলের পিঠে নেওয়ার ব্যাগ;ব্যাগ|স্কুল|স্কুলের পিঠে নেওয়ার ব্যাগ|স্কুলের ব্যাগ
🩴;চটি;চটি|চপ্পল|জোরি|স্যান্ডেল|হাওয়াই চপ্পল
👞;পুরুষের জুতো;জুতো|পুরুষ|পুরুষের জুতো|পোশাক
👟;দৌড়ানোর জুতো;ক্রীড়াবিষয়ক|জুতো|দৌড়ানোর জুতো|পোশাক|স্নীকার
🥾;পর্বতারহণের জুতো;জুতো|পর্বতারহণের জুতো|পর্বতারোহণ|ব্যাকপ্যাকিং|শিবির
🥿;ফ্ল্যাট জুতো;চটি|ফ্ল্যাট জুতো|ব্যালেট ফ্ল্যাট|স্লিপ-অন
👠;উচু হিলের জুতো;উচু হিলের জুতো|গোড়ালি|জুতো|নারী|পোশাক
👡;মহিলাদের চটি;জুতো|নারী|পোশাক|মহিলাদের চটি|স্যান্ডেল
🩰;ব্যালের জুতো;নাচ|ব্যালে|ব্যালের জুতো
👢;মহিলাদের বুট;জুতো|নারী|পোশাক|বুট|মহিলাদের বুট
🪮;চুল ছাড়ানো;আফ্রো|চিরুনি|চুল|ছাড়ানো
👑;মুকুট;পোশাক|মুকুট|রাজা|রাণী
👒;মহিলাদের টুপি;টুপি|নারী|পোশাক|মহিলাদের টুপি
🎩;উঁচু টুপি;উঁচু টুপি|টপ|টুপি|পোশাক
🎓;গ্রাজুয়েশনের টুপি;উদযাপন|গ্রাজুয়েশনের টুপি|টুপি|পোশাক|স্নাতক হওয়া
🧢;বিল্ড টুপি;বিল্ড টুপি|বেসবলের টুপি
🪖;মিলিটারি হেলমেট;মিলিটারি|যোদ্ধা|সেনাবাহিনী|সৈনিক|হেলমেট
⛑️;উদ্ধারকারী কর্মীর হেলমেট;উদ্ধারকারী কর্মীর হেলমেট|ক্রস|চিকিৎসা|টুপি|মুখ|হেলমেট
📿;জপের মালা;জপমালা|জপের মালা|ধর্ম|পোশাক|প্রার্থনা
💄;লিপস্টিক;প্রসাধনী|মেকআপ|লিপস্টিক
💍;আংটি;আংটি|রোমান্স|হীরা
💎;রত্ন পাথর;মণি|রত্ন|রত্ন পাথর|রোমান্স|হীরা
🔇;স্পিকার নিরব;আওয়াজ|নিঃশব্দ|নীরব|শান্ত|স্পিকার|স্পিকার নিরব
🔈;কম আওয়াজে স্পিকার;কম আওয়াজে স্পিকার|নরম
🔉;স্পিকার মাঝারি আওয়াজ;মাঝারি|স্পিকার মাঝারি আওয়াজ
🔊;স্পিকার জোরে;খুব জোরে|খুব জোরে স্পিকার|স্পিকার জোরে
📢;লাউড স্পিকার;জনগণের উদ্দেশ্যে|জোরে|লাউড স্পিকার
📣;মেগাফোন;মেগাফোন|হর্ষধ্বনি
📯;পোস্টাল হর্ণ;পোস্ট|পোস্টাল|পোস্টাল হর্ণ|শিঙা
🔔;বেল;ঘণ্টা|বেল
🔕;স্ল্যাশের সাথে বেল;ঘণ্টা|নিঃশব্দ|নিষিদ্ধ|নীরব|শান্ত|স্ল্যাশের সাথে বেল
🎼;সঙ্গীতের স্কোর;সঙ্গীত|সঙ্গীতের স্কোর|স্কোর
🎵;গানের স্বরলিপি;গানের স্বরলিপি|নোট|সঙ্গীত
🎶;সঙ্গীতের নোট;নোট|নোটস|সঙ্গীত|সঙ্গীতের নোট
🎙️;স্টুডিও মাইক্রোফোন;মাইক|মাইক্রোফোন|সঙ্গীত|স্টুডিও
🎚️;লেবেল স্লাইডার;মাত্রা|লেবেল স্লাইডার|সঙ্গীত|স্লাইডার
🎛️;নিয়ন্ত্রণ বোতাম;নব|নিয়ন্ত্রণ|নিয়ন্ত্রণ বোতাম|সঙ্গীত
🎤;মাইক্রোফোন;কারাওকে|মাইক|মাইক্রোফোন
🎧;হেডফোন;ইয়ারবাড|হেডফোন
📻;রেডিও;ভিডিও|রেডিও
🎷;স্যাক্সোফোন;সঙ্গীত|সঙ্গীত যন্ত্র|স্যাক্সোফোন
🪗;একর্ডিয়ন;একর্ডিয়ন|একর্ডিয়ান|কনসার্টিনা|স্কুইজ বক্স
🎸;গিটার;গিটার|সঙ্গীত|সঙ্গীত যন্ত্র
🎹;মিউজিক্যাল কীবোর্ড;কীবোর্ড|পিয়ানো|মিউজিক্যাল কীবোর্ড|সঙ্গীত|সঙ্গীত যন্ত্র
🎺;ভেঁপু;ভেঁপু|সঙ্গীত|সঙ্গীত যন্ত্র
🎻;বেহালা;বেহালা|সঙ্গীত|সঙ্গীত যন্ত্র
🪕;ব্যাঞ্জো;তারযুক্ত|ব্যাঞ্জো|সঙ্গীত
🥁;ড্রাম;ড্রাম|ড্রামস্টিক|সংগীত
🪘;লং ড্রাম;কংগা|ছন্দ|ড্রাম|তাল|লং ড্রাম
🪇;মারাকাস;ঝাঁকান|ঝুমঝুমি|পারকাশন|মারাকাস|যন্ত্র|সঙ্গীত
🪈;বাঁশি;উডউইন্ড|পাইপ|বাঁশি|রেকর্ডার|সঙ্গীত
📱;মোবাইল ফোন;টেলিফোন|ফোন|মোবাইল|সেল
📲;তীর সহ মোবাইল ফোন;গ্রহণ|টেলিফোন|তীর|তীর সহ মোবাইল ফোন|ফোন|মোবাইল|সেল
☎️;টেলিফোন;টেলিফোন|ফোন
📞;টেলিফোন রিসিভার;টেলিফোন|ফোন|রিসিভার
📟;পেজার;পেজার
