[smileys_emotion]
😀;ፈገግ ያለ ፊት;ፈገግ ያለ ፊት|ፈገግታ|ፊት
💷;ፓውንድ የወረቀት ገንዘብ;መክፈያ|ምንዛሬ|የወረቀት ገንዘብ|ገንዘብ|ፓውንድ የወረቀት ገንዘብ
💸;ክንፍ ያለው ገንዘብ;መክፈያ|ብረር|ክንፍ ያለው ገንዘብ|የወረቀት ገንዘብ|ገንዘብ
💳;ክሬዲት ካርድ;ባንክ|ካርታ|ክሬዲት|ክሬዲት ካርድ|ገንዘብ
🧾;ደረሰኝ;ሂሳብ አያያዝ|ማረጋገጫ|ማስረጃ|የመዝገብ አያያዝ|ደረሰኝ
💹;ከየን ጋር የሚጨምር ሰንጠረዥ;ሰንጠረዥ|ከየን ጋር የሚጨምር ሰንጠረዥ|ዕድገት|የን|ገንዘብ
✉️;ኤንቨሎፕ;ኢሜይል|ኤንቨሎፕ
📧;ኢሜይል;ኢሜይል|ደብዳቤ|ፖስታ
📨;ገቢ ኤንቨሎፕ;ተቀበል|ኢሜይል|ኤንቬሎፕ|ደብዳቤ|ገቢ|ገቢ ኤንቨሎፕ
📩;ባለ ቀስት ኤንቨሎፕ;ሜይል|ቀስት|ባለ ቀስት ኤንቨሎፕ|ወጪ|ደብዳቤ|ፖስታ
📤;የወጪ ኤንቨሎፕ ማስቀመጫ ትሪ;ሣጥን|ተልኳል|ወጪ መልእክት ሣጥን|የወጪ ኤንቨሎፕ ማስቀመጫ ትሪ|ደብዳቤ|ፖስታ
📥;የገቢ ኤንቨሎፕ ማስቀመጫ ትሪ;ሣጥን|ተቀበል|የገቢ ኤንቨሎፕ ማስቀመጫ ትሪ|ደብዳቤ|ገቢ መልእክት ሣጥን|ፖስታ
📦;ጥቅል;ሣጥን|ጥቅል
📫;ባንዲራ የተሰቀለበት የተዘጋ የፖስታ ሳጥን;ባንዲራ የተሰቀለበት የተዘጋ የፖስታ ሳጥን|የተዘጋ|ፖስታ|ፖስታ ሣጥን|ፖስታ ቤት ሣጥን
📪;ባንዲራ የወረደበት የተዘጋ የፖስታ ሳጥን;ባንዲራ የወረደበት የተዘጋ የፖስታ ሳጥን|ዝቅ ያለ|የተዘጋ|ፖስታ|ፖስታ ሣጥን|ፖስታ ቤት ሣጥን
📬;ባንዲራ የተሰቀለበት ክፍት የፖስታ ሳጥን;ባንዲራ የተሰቀለበት ክፍት የፖስታ ሳጥን|ክፍት|ፖስታ|ፖስታ ሣጥን|ፖስታ ቤት ሣጥን
📭;ባንዲራ የወረደበት ክፍት የፖስታ ሳጥን;ባንዲራ የወረደበት ክፍት የፖስታ ሳጥን|ክፍት|ዝቅ ያለ|ፖስታ|ፖስታ ሣጥን
📮;ፖስታ ሳጥን;ፖስታ|ፖስታ ሣጥን|ፖስታ ሳጥን
🗳️;የድምፅ መስጫ ሳጥን ከድምፅ መስጫ ካርድ ጋር;ሣጥን|የድምፅ መስጫ ሳጥን ከድምፅ መስጫ ካርድ ጋር|የድምፅ ካርድ
✏️;እርሳስ;እርሳስ
✒️;ጥቁር የብዕር ጫፍ;እስኪብርቶ|የብዕር ጫፍ|ጥቁር የብዕር ጫፍ
🖋️;ፋውንቴን ፔን;እስኪብርቶ|ፋውንቴን|ፋውንቴን ፔን
🖊️;እስኪብርቶ;እስኪብርቶ|ኳስነጥብ
🖌️;የሠዓሊ ብሩሽ;ቅብ ሥዕል ሥራ|የሠዓሊ ብሩሽ
🖍️;የመጻፊያ ከለር;የመጻፊያ ከለር
📝;ማስታወሻ;ማስታወሻ|እርሳስ
💼;ቦርሳ;ቦርሳ
📁;የፋይል አቃፊ;አቃፊ|የፋይል አቃፊ|ፋይል
📂;ክፍት የፋይል አቃፊ;አቃፊ|ክፍት|ክፍት የፋይል አቃፊ|ፋይል
🗂️;ካርድ መጥቁም ከፋፋዮች;መጥቁም|ከፋፋዮች|ካርታ|ካርድ መጥቁም ከፋፋዮች
📅;ቀን መቁጠሪያ;ቀን መቁጠሪያ|ዕለት
📆;ተቀዳጅ ቀን መቁጠሪያ;ቀን መቁጠሪያ|ተቀዳጅ ቀን መቁጠሪያ
🗒️;ባለሽቦ ማስታወሻ ደብተር;ማስታወሻ|ሰሌዳ|ባለሽቦ|ባለሽቦ ማስታወሻ ደብተር
🗓️;ባለሽቦ ቀን መቁጠሪያ;ሰሌዳ|ቀን መቁጠሪያ|ባለሽቦ|ባለሽቦ ቀን መቁጠሪያ
📇;ካርድ መጥቁም;መጥቁም|ሮሎዴክስ|ካርታ|ካርድ መጥቁም
📈;የሚጨምር ገበታ;ሰንጠረዥ|አዝማሚያ|ዕድገት|የሚጨምር ገበታ|ገበታ
📉;የሚቀንስ ገበታ;ሰንጠረዥ|ታች|አዝማሚያ|የሚቀንስ ገበታ|ገበታ
📊;ባለ አሞሌ ገበታ;ሰንጠረዥ|ባለ አሞሌ ገበታ|አሞሌ|ገበታ
📋;ወረቀት ማስደገፊያ;ወረቀት ማስደገፊያ
📌;ፑሽ እስፒል;እስፒል|ፑሽ እስፒል
📍;ክብ ፑሽ እስፒል;እስፒል|ክብ ፑሽ እስፒል|ፑሽ እስፒል
📎;ወረቀት ማያያዣ;ወረቀት ማያያዣ
🖇️;የተያያዙ የወረቀት ክሊፖች;አያይዝ|የተያያዙ የወረቀት ክሊፖች|የወረቀት ክሊፕ
📏;ቀጥ ያለ ማስመሪያ;ማስመሪያ|ቀጥ ያለ ማስመሪያ
📐;ባለ ሦስት ማዕዘን ማስመሪያ;ማስመሪያ|ሦስት ማዕዘን|ስብስብ|ባለ ሦስት ማዕዘን ማስመሪያ
✂️;መቀስ;መሣሪያ|መቀስ
🗃️;የካርድ ፋይል ሳጥን;ሣጥን|ካርታ|የካርድ ፋይል ሳጥን|ፋይል
🗄️;ፋይል ካቢኔት;ካቢኔት|ፋይል
🗑️;የቆሻሻ መጣያ;የቆሻሻ መጣያ
🔒;መሸጎጫ;መሸጎጫ|የተዘጋ
🔓;ክፍት መሸጎጫ;መክፈት|ቁልፍ|ክፍት|ክፍት መሸጎጫ
🔏;መሸጎጫ ከብዕር ጋር;መሸጎጫ ከብዕር ጋር|ቀለም|ቁልፍ|እስኪብርቶ|የብዕር ጫፍ|ግላዊነት
🔐;በቁልፍ የተዘጋ መሸጎጫ;ቁልፍ|በቁልፍ የተዘጋ መሸጎጫ|የተዘጋ|ደህንነቱ አስተማማኝ
🔑;ቁልፍ;ቁልፍ|የይለፍ ቃል
🗝️;አሮጌ ቁልፍ;ሽማግሌ|ቁልፍ|አሮጌ ቁልፍ|ፍንጭ
🔨;መዶሻ;መሣሪያ|መዶሻ
🪓;መጥረቢያ;መቁረጥ|መክፈል|መጥረቢያ|እንጨት|ፋስ
⛏️;አነስተኛ ዶማ;መሣሪያ|ማዕድን ማውጣት|አነስተኛ ዶማ
⚒️;መዶሻ እና አነስተኛ ዶማ;መሣሪያ|መዶሻ|መዶሻ እና አነስተኛ ዶማ|አነስተኛ ዶማ
🛠️;መዶሻ እና መፍቻ;መሣሪያ|መዶሻ|መዶሻ እና መፍቻ|መፍቻ
🗡️;አነስተኛ ሰይፍ;ቢላዋ|አነስተኛ ሰይፍ|ጦር መሣሪያ
⚔️;የተጠላለፉ ሰይፎች;ሰይፎች|የተጠላለፉ ሰይፎች|የተጣመረ|ጦር መሣሪያ
💣;ቦምብ;ቦምብ|አስቂኝ
🪃;ቡምራንግ;ቡምራንግ
🏹;ደጋን እና ቀስት;መልህቅ|ሳጂታሪየስ|ቀስት|ዞዲያክ|ደጋን እና ቀስት
🛡️;ጋሻ;ጋሻ|ጦር መሣሪያ
🪚;የአናጢ መጋዝ;የአናጢ መጋዝ
🔧;መፍቻ;መሣሪያ|መፍቻ
🪛;መፍቻ መሳሪያ;መፍቻ መሳሪያ
🔩;ዳዶ እና ማፈኛ;መሣሪያ|ማፈኛ|ዳዶ|ዳዶ እና ማፈኛ
⚙️;ሞተር ጥርስ;መሣሪያ|ሞተር ጥርስ
🗜️;መጨፍለቂያ;መሣሪያ|መጨፍለቂያ|ክፋት
⚖️;ሚዛን;ሊብራ|ሚዛን|ክብደት|ዞዲያክ|የተመጣጠነ
🦯;ከዘራ;ተደራሽነት|እውር|ከዘራ
🔗;ማገናኛ;ማገናኛ
⛓️‍💥;የተሰበረ ሰንሰለት;መስበር፣ መሰባበር፣ ሰንሰለት፣ ማሰር፣ ነፃነት|የተሰበረ ሰንሰለት
⛓️;ሰንሰለቶች;ሰንሰለት|ሰንሰለቶች
🪝;መንጠቆ;መንጠቆ
🧰;የመፍቻ ሳጥን;መሳሪያ|ሜካኒክ|ሳጥን|የመፍቻ ሳጥን
🧲;ማግኔት;መሳሳብ|ማግኔቲክ|ማግኔት|የፈረስ ጫማ
🪜;መሰላል;መሰላል
⚗️;አለምቢክ;መሣሪያ|አለምቢክ|ኬምስትሪ
🧪;መፈተኛ ቱቦ;መፈተኛ ቱቦ|ሙከራ|ሳይንስ|ቀማሚ|ኬሚስትሪ|የሙከራ ክፍል
🧫;የፔትሪ ዲሽ;ባህል|ባክቴሪያ|ባዮሎጂ|ቤተ ሙከራ|የፔትሪ ዲሽ
🧬;ዲኤንኤ;ህይወት|ለውጥ|የባዮሎጂ ሰው|ዲኤንኤ|ጄኔቲክስ|ጅን
🔬;ማይክሮስኮፕ;መሣሪያ|ማይክሮስኮፕ
🔭;ቴሌስኮፕ;መሣሪያ|ቴሌስኮፕ
📡;ሳተላይት አንቴና;ሳተላይት|አንቴና|ዲሽ
💉;ስሪንጅ;ሕክምና|መርፌ|ስሪንጅ|ተኩስ|የታመመ
🩸;የደም ጠብታ;ህክምና|የወር አበባ|የደም ጠብታ|ደም ልገሳ
💊;ክኒን;ሕክምና|ክኒን|የታመመ|ዶክተር
🩹;ፋሻ ማጣበቂያ;ፋሻ|ፋሻ ማጣበቂያ
🩼;ክራንች;በትር|ተጎዳ|አገዳ|ክራንች|የአካል ጉዳት|የእንቅስቃሴ ድጋፍ
🩺;ማዳመጫ;ህክምና|ልብ|ማዳመጫ|ዶክተር
🩻;ኤክስ-ሬይ;ሃኪም|አጥንቶች|አፅም|ኤክስ-ሬይ|የህክምና
🚪;በር;በር
🛗;አሳንሱር;አሳንሱር
🪞;መስታወት;መስታወት
🪟;መስኮት;መስኮት
🛏️;አልጋ;ሆቴል|አልጋ|እንቅልፍ
🛋️;ሶፋ እና መብራት;ሆቴል|መብራት|ሶፋ|ሶፋ እና መብራት
🪑;መቀመጫ;መቀመጫ|ተቀመጠ
🚽;ሽንት ቤት;ሽንት ቤት
🪠;መወርወሪያ;መወርወሪያ
🚿;ሻወር;ሻወር|ውሃ
🛁;የገላ መታጠቢያ ገንዳ;የገላ መታጠቢያ ገንዳ|ገላን መታጠብ
🪤;የአይጥ ማጥመጃ;የአይጥ ማጥመጃ
🪒;ምላጭ;መላጨት|ምላጭ|ሹል
🧴;የቅባት ጠርሙስ;ሻምፖ|ቅባት|የቅባት ጠርሙስ|የጸሃይ ቅባት
🧷;መርፌ ቁልፍ;መርፌ ቁልፍ|የተልባ እግር|ፐንክ ሮክ
🧹;መጥረጊያ;መጥረጊያ|መጥረግ|ማጽዳት|አስማተኛ
🧺;ቅርጫት;ልብስ ማጠቢያ|ሽርሽር|ቅርጫት|እርሻ
🧻;የወረቀት ጥቅል;ሶፍት|የወረቀት ጥቅል|የወረቀት ፎጣ
🪣;ባልዲ;ባልዲ
🧼;ሳሙና;ማጽዳት|ሳሙና|ሻወር|አሞሌ|አረፋ|የሳሙና ሳህን
🫧;ሽፋኖች;ሳሙና|ሽፋኖች|በርፕ|ንፁህ|የከሰርሰ ምድር ውሃ
🪥;የጥርስ ብሩሽ;የጥርስ ብሩሽ
🧽;ስፖንጅ;መምጠጥ|ማጽዳት|ስፖንጅ|ወንፊት
🧯;እሳት ማጥፊያ;ማጥፊያ|አጠፋ|እሳት
🛒;የመገብያ ጋሪ;መገብየት|የመገብያ ጋሪ|ጋሪ
🚬;ሲጋራ;ማጨስ|ሲጋራ
⚰️;ሬሳ ሣጥን;ሞት|ሬሳ ሣጥን
🪦;ሃውልት;ሃውልት
⚱️;የቀብር ማሰሮ;ማሰሮ|ሞት|ቀብር|የቀብር ማሰሮ
🧿;ናዛር አምዩሌት;ሰይጣን የሚያርቅ ድንጋይ|ናዛር|ናዛር አምዩሌት|አስደሳች|ዛጎል
🪬;ሐመሳ;ሐመሳ|መከላከያ|ሚሪም|ማርያም|አሙሌት|እጅ|ፋጢማ
🗿;ማኦዬ ፊት;ሐውልት|ማኦዬ ፊት|ሞያዬ|ፊት
🪧;ማስታወቂያ;ማስታወቂያ
🪪;መታወቂያ ካርድ;መታወቂያ|መታወቂያ ካርድ|ምስክርነቶች|ደህንነት|ፈቃድ

[symbols]
🏧;የኤቲኤም ምልክት;ራስ-ሰር|ባንክ|ኤቲኤም|የኤቲኤም ምልክት|ገንዘብ ከፋይ
🚮;በቆሻሻ መጣያ ጣሉ ምልክት;ቆሻሻ|ቆሻሻሣጥን|በቆሻሻ መጣያ ጣሉ ምልክት
🚰;የሚጠጣ ውሃ;ውሃ|የሚጠጣ|ጠጣ
♿;የአካል ጉዳተኛ ዊልቸር;መዳረሻ|የአካል ጉዳተኛ ዊልቸር
🚹;የወንድ መጸዳጃ;መጸዳጃ|ሽንት ቤት|ወንድ|የወንድ መጸዳጃ|ደብልዩ ሲ
🚺;የሴት መጸዳጃ;መጸዳጃ|ሴት|ሽንት ቤት|የሴት መጸዳጃ|ደብልዩ ሲ
🚻;መጸዳጃ ቤት;መጸዳጃ ቤት|ሽንት ቤት|ደብልዩ ሲ
🚼;የሕፃን ምልክት;ሕፃን|መለወጥ|የሕፃን ምልክት
🚾;ባኞ ቤት;መጸዳጃ|ቁም ሣጥን|ባኞ ቤት|ውሃ|ደብልዩ ሲ
🛂;የፖስፖርት መቆጣጠሪያ;መቆጣጠሪያ|የፖስፖርት መቆጣጠሪያ|ፖስፖርት
🛃;ጉምሩክ;ጉምሩክ
🛄;ሻንጣ መረከቢያ;መጠየቂያ|ሻንጣ|ሻንጣ መረከቢያ
🛅;የተረሳ ሻንጣ;ሻንጣ|ተቆላፊ የግድግዳ ሣጥን|የተረሳ ሻንጣ
⚠️;ማስጠንቀቂያ;ማስጠንቀቂያ
🚸;ሕፃናት መንገድ ያቋርጣሉ;ልጅ|ሕፃናት መንገድ ያቋርጣሉ|መሻገር|ትራፊክ|እግረኛ
⛔;መግባት አይቻልም;መግቢያ|መግባት አይቻልም|ትራፊክ|አይደለም|ክልክል
🚫;የተከለከለ;መግቢያ|አይ|አይደለም|የተከለከለ
🚳;ብስክሌት አይፈቀድም;ብስክሌት|ብስክሌት አይፈቀድም|ተሽከርካሪ|አይደለም|ክልክል
🚭;ማጨስ ክልክል ነው;ማጨስ|ማጨስ ክልክል ነው|አይደለም|ክልክል|የተከለከለ
🚯;ቆሻሻ መጣል ክልክል ነው;ቆሻሻ|ቆሻሻ መጣል ክልክል ነው|አይ|አይደለም|ክልክል
🚱;የማይጠጣ ውሃ;ውሃ|የማይንቀሳቀስ|የማይጠጣ ውሃ
🚷;ለእግረኞች አይፈቀድም;ለእግረኞች አይፈቀድም|አይ|አይደለም|እግረኛ|ክልክል
📵;ሞባይል ስልኮች አይፈቀዱም;ሞባይል|ሞባይል ስልኮች አይፈቀዱም|ስልክ|የተከለከለ
🔞;ከአስራ ስምንት ዓመት በታ አይፈቀድም;18|አስራ ስምንት|ከአስራ ስምንት ዓመት በታ አይፈቀድም|ከአስራ ስምንት ዓመት በታች አይፈቀድም|ከዕድሜ በታች|ዕድሜ ገደብ
☢️;ራዲዮአክቲቭ;ራዲዮአክቲቭ|ሬዲዮአክቲቭ
☣️;የባዮሎጂካል አደገኛ ምልክት;ምልክት|የባዮሎጂካል አደገኛ ምልክት
⬆️;ወደ ላይ ጠቋሚ ቀስት;ሰሜን|ቀስት|አቅጣጫ|ካርዲናል|ወደ ላይ ጠቋሚ ቀስት
↗️;ወደ ላይ ቀኝ ጠቋሚ ቀስት;ሰሜን ምሥራቅ|ቀስት|አቅጣጫ|ኢንተርካርዲናል|ወደ ላይ ቀኝ ጠቋሚ ቀስት
➡️;ወደ ቀኝ ጠቋሚ ቀስት;ምሥራቅ|ቀስት|አቅጣጫ|ካርዲናል|ወደ ቀኝ ጠቋሚ ቀስት
↘️;ወደ ታች ቀኝ ጠቋሚ ቀስት;ቀስት|አቅጣጫ|ኢንተርካርዲናል|ወደ ታች ቀኝ ጠቋሚ ቀስት|ደቡብ ምሥራቅ
⬇️;ወደ ታች ጠቋሚ ቀስት;ቀስት|ታች|አቅጣጫ|ካርዲናል|ወደ ታች ጠቋሚ ቀስት|ደቡብ
↙️;ወደ ታች ግራ ጠቋሚ ቀስት;ቀስት|አቅጣጫ|ኢንተርካርዲናል|ወደ ታች ግራ ጠቋሚ ቀስት|ደቡብ ምዕራብ
⬅️;ወደ ግራ ጠቋሚ ቀስት;ምዕራብ|ቀስት|አቅጣጫ|ካርዲናል|ወደ ግራ ጠቋሚ ቀስት
↖️;ወደ ላይ ግራ ጠቋሚ ቀስት;ሰሜን ምዕራብ|ቀስት|አቅጣጫ|ኢንተርካርዲናል|ወደ ላይ ግራ ጠቋሚ ቀስት
↕️;ወደ ላይ ታች ጠቋሚ ቀስት;ቀስት|ወደ ላይ ታች ጠቋሚ ቀስት
↔️;ግራ-ቀኝ ጠቋሚ ቀስት;ቀስት|ግራ-ቀኝ ጠቋሚ ቀስት
↩️;ወደ ግራ ታጣፊ ቀኝ ጠቋሚ ቀስት;ቀስት|ወደ ግራ ታጣፊ ቀኝ ጠቋሚ ቀስት
↪️;ወደ ቀኝ ታጣፊ ግራ ጠቋሚ ቀስት;ቀስት|ወደ ቀኝ ታጣፊ ግራ ጠቋሚ ቀስት
⤴️;ወደ ላይ ታጣፊ ቀኝ ጠቋሚ ቀስት;ቀስት|ወደ ላይ ታጣፊ ቀኝ ጠቋሚ ቀስት
⤵️;ወደ ታች ታጣፊ ቀኝ ጠቋሚ ቀስት;ቀስት|ታች|ወደ ታች ታጣፊ ቀኝ ጠቋሚ ቀስት
🔃;በሰዓት አዟዟር አቅጣጫ ያሉ ቀጥ ያሉ ቀስቶች;ቀስት|በሰዓት አቆጣጠር አቅጣጫ|በሰዓት አዟዟር አቅጣጫ ያሉ ቀጥ ያሉ ቀስቶች|ዳግም ጫን
🔄;በሰዓት አዟዟር አቅጣጫ ተቃራኒ ያሉ ቀስቶች አዝራር;ቀስት|በሰዓት አቆጣጠር አቅጣጫ ተቃራኒ|በሰዓት አዟዟር አቅጣጫ ተቃራኒ ያሉ ቀስቶች አዝራር|ኋልዮሽ
🔙;ተመለስ ቀስት;ቀስት|ተመለስ
🔚;ማብቂያ ቀስት;መጨረሻ|ማብቂያ ቀስት|ቀስት
🔛;በርቷል! ቀስት;ምልክት|ቀስት|በርቷል! ቀስት|አብራ
🔜;በቅርቡ ይመጣል ቀስት;ቀስት|በቅርቡ|በቅርቡ ይመጣል ቀስት
🔝;ከፍተኛ ጠቋሚ ቀስት;ላይ|ቀስት|ከፍተኛ|ከፍተኛ ጠቋሚ ቀስት
🛐;የአምልኮ ቦታ;ማምለክ|ኃይማኖት|የአምልኮ ቦታ
⚛️;የአቶም ምልክት;መናፍቅ|አተም|የአቶም ምልክት
🕉️;ኦኤም;ሂንዱ|ኃይማኖት|ኦኤም
✡️;የዳዊት ኮከብ;ኃይማኖት|አይሁዳዊ|አይሁድ|ኮከብ|የዳዊት ኮከብ
☸️;የዳርማ መዘውር;መዘውር|ቡድሂስት|ኃይማኖት|የዳርማ መዘውር|ዳህርማ
☯️;ዩን ያንግ;ታኦ|ታኦይስት|ኃይማኖት|ዩን ያንግ|ዪን|ያንግ
✝️;የላቲን መስቀል;መስቀል|ኃይማኖት|ክርስትያን|የላቲን መስቀል
☦️;የኦርቶዶክስ መስቀል;መስቀል|ኃይማኖት|ክርስትያን|የኦርቶዶክስ መስቀል
☪️;ኮከብ እና ግማሽ ጨረቃ;ሙስሊም|ኃይማኖት|እስላም|ኮከብ እና ግማሽ ጨረቃ
☮️;የሰላም ምልክት;ሰላም|የሰላም ምልክት
🕎;ሜኖራሃ;ሜኖራሃ|ኃይማኖት|ካንድልቡረም|የሻማ መቅረዝ
🔯;ባለነጥብ ስድስት አንጓ ኮከብ;ሀብት|ባለነጥብ ስድስት አንጓ ኮከብ|ኮከብ
🪯;ቻንዳ;ሃይማኖት|ሲች|ቻንዳ
♈;ኤሪስ;ኤሪስ|ወንድ በግ|ዞዲያክ
♉;ታውረስ;በሬ|ታውረስ|ኮርማ|ዞዲያክ
♊;ጄሚኒ;መንትዮች|ዞዲያክ|ጄሚኒ
♋;ካንሰር;ካንሰር|ክራብ|ዞዲያክ
♌;ሊዮ;ሊዮ|አንበሳ|ዞዲያክ
♍;ቪርጎ;ቪርጎ|ኮረዳ|ዞዲያክ|ድንግል
♎;ሊብራ;ሊብራ|ሚዛን|ዞዲያክ|የተመጣጠነ|ፍትሕ
♏;ስኮርፒዮ;ስኮርፒዮ|ስኮርፒዮን|ዞዲያክ
♐;ሳጂታሪየስ;መልህቅ|ሳጂታሪየስ|ዞዲያክ
♑;ካፕሪኮርን;ካፕሪኮርን|ዞዲያክ|ፍየል
♒;አኳይረስ;ተሸካሚ|አኳይረስ|ውሃ|ዞዲያክ
♓;ፓይሲስ;ዓሣ|ዞዲያክ|ፓይሲስ
⛎;ኦፊዩቹስ;ተሸካሚ|እባብ|ኦፊዩቹስ|ዞዲያክ
🔀;ትራኮችን በውዝ አዝራር;ቀስት|ትራኮችን በውዝ አዝራር|የተጣመረ
🔁;ድገም አዝራር;ቀስት|በሰዓት አቆጣጠር አቅጣጫ|ድገም|ድገም አዝራር
🔂;ነጠላ ድገም አዝራር;ቀስት|በሰዓት አቆጣጠር አቅጣጫ|ነጠላ ድገም አዝራር|አንዴ
▶️;የአጫውት አዝራር;ሦስት ማዕዘን|ቀስት|ቀኝ|አጫውት|የአጫውት አዝራር
⏩;ወደፊት አሳልፍ አዝራር;ቀስት|ወደፊት አሳልፍ|ወደፊት አሳልፍ አዝራር|ድርብ|ፈጣን
⏭️;ቀጣይ ትራክ አዝራር;ሦስት ማዕዘን|ቀስት|ቀጣይ ትራክ|ቀጣይ ትራክ አዝራር|ቀጣይ ትዕይንት
⏯️;አጫውት ወይም ላፍታ ግታ አዝራር;ላፍታ ግታ|ሦስት ማዕዘን|ቀስት|አጫውት|አጫውት ወይም ላፍታ ግታ አዝራር
◀️;ወደ ኋላ መልስ አዝራር;ሦስት ማዕዘን|ቀስት|ወደ ኋላ መልስ አዝራር|ገልብጥ|ግራ
⏪;ወደኋላ በፍጥነት መልስ አዝራር;ቀስት|ወደ ኋላ አጠንጥን|ወደኋላ በፍጥነት መልስ አዝራር|ድርብ
⏮️;የመጨረሻው ትራክ ላይ ሂድ አዝራር;ሦስት ማዕዘን|ቀስት|ቀዳሚ ትራክ|ቀዳሚ ትዕይንት|የመጨረሻው ትራክ ላይ ሂድ አዝራር
🔼;የላይ አዝራር;ቀስት|ቀይ|አዝራር|የላይ አዝራር
⏫;ወደ ላይ በፍጥነት ሂድ አዝራር;ቀስት|ወደ ላይ በፍጥነት ሂድ አዝራር|ድርብ
🔽;ወደ ታች አዝራር;ቀስት|ቀይ|ታች|አዝራር|ወደ ታች አዝራር
⏬;ወደ ታች በፍጥነት ሂድ አዝራር;ቀስት|ታች|ወደ ታች በፍጥነት ሂድ አዝራር|ድርብ
⏸️;ላፍታ ግታ አዝራር;ላፍታ ግታ|ላፍታ ግታ አዝራር|ቁልቁል|አሞሌ|ድርብ
⏹️;አቁም አዝራር;አቁም|አቁም አዝራር|ካሬ
⏺️;ቅዳ አዝራር;ቅዳ|ቅዳ አዝራር|ክብ
⏏️;አስወጣ አዝራር;አስወጣ|አስወጣ አዝራር
🎦;ሲኒማ;ሲኒማ|ካሜራ|ፊልም
🔅;አጨልም አዝራር;ብሩህነት|አጨልም|አጨልም አዝራር|ዝቅ
🔆;ብሩህ አድርግ አዝራር;ብሩህ|ብሩህ አድርግ አዝራር|ብሩህነት
📶;አንቴና አሞሌዎች;ሞባይል|ስልክ|አሞሌ|አንቴና|አንቴና አሞሌዎች
🛜;ገመድ አልባ;አውታረ መረብ|ኢንተርኔት|ኮምፒውተር|ገመድ አልባ
📳;የንዝረት ሁነታ;ሁነታ|ሞባይል|ስልክ|ቴሌፎን|ንዝረት|የንዝረት ሁነታ
📴;ሞባይል ስልክ ይጥፋ;ሞባይል|ሞባይል ስልክ ይጥፋ|ስልክ|ተንቀሳቃሽ|ቴሌፎን|አጥፋ
♀️;የሴት ምልክት;ሴት|የሴት ምልክት
♂️;የወንድ ምልክት;ሰው|ወንድ|የወንድ ምልክት
⚧️;የትራንስጀንደር ምልክት;የትራንስጀንደር ምልክት
✖️;የማባዛት;×|x|ማባዛት|ምልክት|ተወው|አባዛ|የማባዛት
➕;ወፍራም የመደመር ምልክት;+|ሒሳብ|ምልክት|ወፍራም የመደመር ምልክት|የመደመር
➖;ማይነስ;-|−|ሒሳብ|ማይነስ|ምልክት
➗;ማካፈል;÷|ሒሳብ|ማካፈል|ምልክት|የማካፈል
🟰;ወፍራም የእኩል ይሆናል ምልክት;ሂሳብ|እኩል ይሆናል|ወፍራም የእኩል ይሆናል ምልክት
♾️;ወሰን የሌለው;አለም አቀፍ|እስከ መጨራሻው|ወሰን የሌለው|ያልተገደበ
‼️;ድርብ የቃለ አጋኖ ምልክት;ምልክት|ሥርዓተ ነጥብ|ቃለ አጋኖ|ድርብ ቃለ አጋኖ|ድርብ የቃለ አጋኖ ምልክት
⁉️;ቃለ አጋኖ ከጥያቄ ምልክት ጋር;ምልክት|ሥርዓተ ነጥብ|ቃለ አጋኖ|ቃለ አጋኖ ከጥያቄ ምልክት ጋር|ጥያቄ
❓;የጥያቄ ምልክት;ምልክት|ሥርዓተ ነጥብ|የጥያቄ ምልክት|ጥያቄ
❔;ነጭ የጥያቄ ምልክት;ምልክት|ሥርዓተ ነጥብ|ነጭ የጥያቄ ምልክት|የተነደፈ|ጥያቄ
❕;ነጭ የቃለ አጋኖ ምልክት;ምልክት|ሥርዓተ ነጥብ|ቃለ አጋኖ|ነጭ የቃለ አጋኖ ምልክት|የተነደፈ
❗;ቀይ የቃለ አጋኖ ምልክት;ምልክት|ሥርዓተ ነጥብ|ቀይ የቃለ አጋኖ ምልክት|ቃለ አጋኖ
〰️;ሞገዳማ ሰረዝ;ሞገዳማ|ሞገዳማ ሰረዝ|ሥርዓተ ነጥብ|ሰርዝ
💱;የውጭ ምንዛሬ;ምንዛሬ|ባንክ|የውጭ ምንዛሬ|ገንዘብ
💲;ወፍራም የዶላር ምልክት;ምንዛሬ|ወፍራም የዶላር ምልክት|ዶላር|ገንዘብ
⚕️;የመድሃኒት ምልክት;መድሃኒት|የመድሃኒት ምልክት|የስራ ባልደረባ
♻️;የመልሶ ጥቅም ላይ ማዋል ምልክት;መልሶ መጠቀም|የመልሶ ጥቅም ላይ ማዋል ምልክት
⚜️;የማጌጫ ምልክት;የማጌጫ ምልክት
🔱;ትሪደንት አርማ;መልህቅ|መሣሪያ|መርከብ|ትሪደንት|አርማ
📛;የስም መለያ;ስም|የስም መለያ
🔰;የጃፓን የጀማሪ ምልክት;ቅጠል|የጃፓን|የጃፓን የጀማሪ ምልክት|ጀማሪ ሼቭሮን
⭕;ወፍራም ግዙፍ ክብ;ኦ|ክብ|ወፍራም ግዙፍ ክብ
✅;ነጭ ወፍራም ምልክት ማድረጊያ;ምልክት|ነጭ ወፍራም ምልክት ማድረጊያ|ፈትሽ
