# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wiċċ jidħak ħafna;jidħaq ħafna|wiċċ|wiċċ jidħak ħafna
	👩🏼‍❤️‍💋‍👩🏻;bewsa: mara, mara, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda;bewsa|bewsa: mara, mara, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda|koppja|mara|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	👩🏼‍❤️‍💋‍👩🏼;bewsa: mara, mara, u ton medju-ċar tal-ġilda;bewsa|bewsa: mara, mara, u ton medju-ċar tal-ġilda|koppja|mara|ton medju-ċar tal-ġilda
	👩🏼‍❤️‍💋‍👩🏽;bewsa: mara, mara, ton medju-ċar tal-ġilda, u ton medju tal-ġilda;bewsa|bewsa: mara, mara, ton medju-ċar tal-ġilda, u ton medju tal-ġilda|koppja|mara|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	👩🏼‍❤️‍💋‍👩🏾;bewsa: mara, mara, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda;bewsa|bewsa: mara, mara, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda|koppja|mara|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏼‍❤️‍💋‍👩🏿;bewsa: mara, mara, ton medju-ċar tal-ġilda, u ton skur tal-ġilda;bewsa|bewsa: mara, mara, ton medju-ċar tal-ġilda, u ton skur tal-ġilda|koppja|mara|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	👩🏽‍❤️‍💋‍👩🏻;bewsa: mara, mara, ton medju tal-ġilda, u ton ċar tal-ġilda;bewsa|bewsa: mara, mara, ton medju tal-ġilda, u ton ċar tal-ġilda|koppja|mara|ton ċar tal-ġilda|ton medju tal-ġilda
	👩🏽‍❤️‍💋‍👩🏼;bewsa: mara, mara, ton medju tal-ġilda, u ton medju-ċar tal-ġilda;bewsa|bewsa: mara, mara, ton medju tal-ġilda, u ton medju-ċar tal-ġilda|koppja|mara|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	👩🏽‍❤️‍💋‍👩🏽;bewsa: mara, mara, u ton medju tal-ġilda;bewsa|bewsa: mara, mara, u ton medju tal-ġilda|koppja|mara|ton medju tal-ġilda
	👩🏽‍❤️‍💋‍👩🏾;bewsa: mara, mara, ton medju tal-ġilda, u ton medju-skur tal-ġilda;bewsa|bewsa: mara, mara, ton medju tal-ġilda, u ton medju-skur tal-ġilda|koppja|mara|ton medju tal-ġilda|ton medju-skur tal-ġilda
	👩🏽‍❤️‍💋‍👩🏿;bewsa: mara, mara, ton medju tal-ġilda, u ton skur tal-ġilda;bewsa|bewsa: mara, mara, ton medju tal-ġilda, u ton skur tal-ġilda|koppja|mara|ton medju tal-ġilda|ton skur tal-ġilda
	👩🏾‍❤️‍💋‍👩🏻;bewsa: mara, mara, ton medju-skur tal-ġilda, u ton ċar tal-ġilda;bewsa|bewsa: mara, mara, ton medju-skur tal-ġilda, u ton ċar tal-ġilda|koppja|mara|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏾‍❤️‍💋‍👩🏼;bewsa: mara, mara, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda;bewsa|bewsa: mara, mara, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda|koppja|mara|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏾‍❤️‍💋‍👩🏽;bewsa: mara, mara, ton medju-skur tal-ġilda, u ton medju tal-ġilda;bewsa|bewsa: mara, mara, ton medju-skur tal-ġilda, u ton medju tal-ġilda|koppja|mara|ton medju tal-ġilda|ton medju-skur tal-ġilda
	👩🏾‍❤️‍💋‍👩🏾;bewsa: mara, mara, u ton medju-skur tal-ġilda;bewsa|bewsa: mara, mara, u ton medju-skur tal-ġilda|koppja|mara|ton medju-skur tal-ġilda
	👩🏾‍❤️‍💋‍👩🏿;bewsa: mara, mara, ton medju-skur tal-ġilda, u ton skur tal-ġilda;bewsa|bewsa: mara, mara, ton medju-skur tal-ġilda, u ton skur tal-ġilda|koppja|mara|ton medju-skur tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍💋‍👩🏻;bewsa: mara, mara, ton skur tal-ġilda, u ton ċar tal-ġilda;bewsa|bewsa: mara, mara, ton skur tal-ġilda, u ton ċar tal-ġilda|koppja|mara|ton ċar tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍💋‍👩🏼;bewsa: mara, mara, ton skur tal-ġilda, u ton medju-ċar tal-ġilda;bewsa|bewsa: mara, mara, ton skur tal-ġilda, u ton medju-ċar tal-ġilda|koppja|mara|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍💋‍👩🏽;bewsa: mara, mara, ton skur tal-ġilda, u ton medju tal-ġilda;bewsa|bewsa: mara, mara, ton skur tal-ġilda, u ton medju tal-ġilda|koppja|mara|ton medju tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍💋‍👩🏾;bewsa: mara, mara, ton skur tal-ġilda, u ton medju-skur tal-ġilda;bewsa|bewsa: mara, mara, ton skur tal-ġilda, u ton medju-skur tal-ġilda|koppja|mara|ton medju-skur tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍💋‍👩🏿;bewsa: mara, mara, u ton skur tal-ġilda;bewsa|bewsa: mara, mara, u ton skur tal-ġilda|koppja|mara|ton skur tal-ġilda
💑;koppja b’qalb;imħabba|koppja|koppja b’qalb
	💑🏻;koppja b’qalb: ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: ton ċar tal-ġilda|ton ċar tal-ġilda
	💑🏼;koppja b’qalb: ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	💑🏽;koppja b’qalb: ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: ton medju tal-ġilda|ton medju tal-ġilda
	💑🏾;koppja b’qalb: ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	💑🏿;koppja b’qalb: ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: ton skur tal-ġilda|ton skur tal-ġilda
	🧑🏻‍❤️‍🧑🏼;koppja b’qalb: adult, adult, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	🧑🏻‍❤️‍🧑🏽;koppja b’qalb: adult, adult, ton ċar tal-ġilda, u ton medju tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton ċar tal-ġilda, u ton medju tal-ġilda|ton ċar tal-ġilda|ton medju tal-ġilda
	🧑🏻‍❤️‍🧑🏾;koppja b’qalb: adult, adult, ton ċar tal-ġilda, u ton medju-skur tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton ċar tal-ġilda, u ton medju-skur tal-ġilda|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	🧑🏻‍❤️‍🧑🏿;koppja b’qalb: adult, adult, ton ċar tal-ġilda, u ton skur tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton ċar tal-ġilda, u ton skur tal-ġilda|ton ċar tal-ġilda|ton skur tal-ġilda
	🧑🏼‍❤️‍🧑🏻;koppja b’qalb: adult, adult, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	🧑🏼‍❤️‍🧑🏽;koppja b’qalb: adult, adult, ton medju-ċar tal-ġilda, u ton medju tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju-ċar tal-ġilda, u ton medju tal-ġilda|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	🧑🏼‍❤️‍🧑🏾;koppja b’qalb: adult, adult, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	🧑🏼‍❤️‍🧑🏿;koppja b’qalb: adult, adult, ton medju-ċar tal-ġilda, u ton skur tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju-ċar tal-ġilda, u ton skur tal-ġilda|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	🧑🏽‍❤️‍🧑🏻;koppja b’qalb: adult, adult, ton medju tal-ġilda, u ton ċar tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju tal-ġilda, u ton ċar tal-ġilda|ton ċar tal-ġilda|ton medju tal-ġilda
	🧑🏽‍❤️‍🧑🏼;koppja b’qalb: adult, adult, ton medju tal-ġilda, u ton medju-ċar tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju tal-ġilda, u ton medju-ċar tal-ġilda|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	🧑🏽‍❤️‍🧑🏾;koppja b’qalb: adult, adult, ton medju tal-ġilda, u ton medju-skur tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju tal-ġilda, u ton medju-skur tal-ġilda|ton medju tal-ġilda|ton medju-skur tal-ġilda
	🧑🏽‍❤️‍🧑🏿;koppja b’qalb: adult, adult, ton medju tal-ġilda, u ton skur tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju tal-ġilda, u ton skur tal-ġilda|ton medju tal-ġilda|ton skur tal-ġilda
	🧑🏾‍❤️‍🧑🏻;koppja b’qalb: adult, adult, ton medju-skur tal-ġilda, u ton ċar tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju-skur tal-ġilda, u ton ċar tal-ġilda|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	🧑🏾‍❤️‍🧑🏼;koppja b’qalb: adult, adult, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	🧑🏾‍❤️‍🧑🏽;koppja b’qalb: adult, adult, ton medju-skur tal-ġilda, u ton medju tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju-skur tal-ġilda, u ton medju tal-ġilda|ton medju tal-ġilda|ton medju-skur tal-ġilda
	🧑🏾‍❤️‍🧑🏿;koppja b’qalb: adult, adult, ton medju-skur tal-ġilda, u ton skur tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton medju-skur tal-ġilda, u ton skur tal-ġilda|ton medju-skur tal-ġilda|ton skur tal-ġilda
	🧑🏿‍❤️‍🧑🏻;koppja b’qalb: adult, adult, ton skur tal-ġilda, u ton ċar tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton skur tal-ġilda, u ton ċar tal-ġilda|ton ċar tal-ġilda|ton skur tal-ġilda
	🧑🏿‍❤️‍🧑🏼;koppja b’qalb: adult, adult, ton skur tal-ġilda, u ton medju-ċar tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton skur tal-ġilda, u ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	🧑🏿‍❤️‍🧑🏽;koppja b’qalb: adult, adult, ton skur tal-ġilda, u ton medju tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton skur tal-ġilda, u ton medju tal-ġilda|ton medju tal-ġilda|ton skur tal-ġilda
	🧑🏿‍❤️‍🧑🏾;koppja b’qalb: adult, adult, ton skur tal-ġilda, u ton medju-skur tal-ġilda;adult|imħabba|koppja|koppja b’qalb|koppja b’qalb: adult, adult, ton skur tal-ġilda, u ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|ton skur tal-ġilda
👩‍❤️‍👨;koppja b’qalb: mara u raġel;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara u raġel|mara|raġel
	👩🏻‍❤️‍👨🏻;koppja b’qalb: mara, raġel, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, u ton ċar tal-ġilda|mara|raġel|ton ċar tal-ġilda
	👩🏻‍❤️‍👨🏼;koppja b’qalb: mara, raġel, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda|mara|raġel|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	👩🏻‍❤️‍👨🏽;koppja b’qalb: mara, raġel, ton ċar tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton ċar tal-ġilda, u ton medju tal-ġilda|mara|raġel|ton ċar tal-ġilda|ton medju tal-ġilda
	👩🏻‍❤️‍👨🏾;koppja b’qalb: mara, raġel, ton ċar tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton ċar tal-ġilda, u ton medju-skur tal-ġilda|mara|raġel|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏻‍❤️‍👨🏿;koppja b’qalb: mara, raġel, ton ċar tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton ċar tal-ġilda, u ton skur tal-ġilda|mara|raġel|ton ċar tal-ġilda|ton skur tal-ġilda
	👩🏼‍❤️‍👨🏻;koppja b’qalb: mara, raġel, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda|mara|raġel|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	👩🏼‍❤️‍👨🏼;koppja b’qalb: mara, raġel, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, u ton medju-ċar tal-ġilda|mara|raġel|ton medju-ċar tal-ġilda
	👩🏼‍❤️‍👨🏽;koppja b’qalb: mara, raġel, ton medju-ċar tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju-ċar tal-ġilda, u ton medju tal-ġilda|mara|raġel|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	👩🏼‍❤️‍👨🏾;koppja b’qalb: mara, raġel, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda|mara|raġel|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏼‍❤️‍👨🏿;koppja b’qalb: mara, raġel, ton medju-ċar tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju-ċar tal-ġilda, u ton skur tal-ġilda|mara|raġel|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	👩🏽‍❤️‍👨🏻;koppja b’qalb: mara, raġel, ton medju tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju tal-ġilda, u ton ċar tal-ġilda|mara|raġel|ton ċar tal-ġilda|ton medju tal-ġilda
	👩🏽‍❤️‍👨🏼;koppja b’qalb: mara, raġel, ton medju tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju tal-ġilda, u ton medju-ċar tal-ġilda|mara|raġel|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	👩🏽‍❤️‍👨🏽;koppja b’qalb: mara, raġel, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, u ton medju tal-ġilda|mara|raġel|ton medju tal-ġilda
	👩🏽‍❤️‍👨🏾;koppja b’qalb: mara, raġel, ton medju tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju tal-ġilda, u ton medju-skur tal-ġilda|mara|raġel|ton medju tal-ġilda|ton medju-skur tal-ġilda
	👩🏽‍❤️‍👨🏿;koppja b’qalb: mara, raġel, ton medju tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju tal-ġilda, u ton skur tal-ġilda|mara|raġel|ton medju tal-ġilda|ton skur tal-ġilda
	👩🏾‍❤️‍👨🏻;koppja b’qalb: mara, raġel, ton medju-skur tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju-skur tal-ġilda, u ton ċar tal-ġilda|mara|raġel|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏾‍❤️‍👨🏼;koppja b’qalb: mara, raġel, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda|mara|raġel|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏾‍❤️‍👨🏽;koppja b’qalb: mara, raġel, ton medju-skur tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju-skur tal-ġilda, u ton medju tal-ġilda|mara|raġel|ton medju tal-ġilda|ton medju-skur tal-ġilda
	👩🏾‍❤️‍👨🏾;koppja b’qalb: mara, raġel, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, u ton medju-skur tal-ġilda|mara|raġel|ton medju-skur tal-ġilda
	👩🏾‍❤️‍👨🏿;koppja b’qalb: mara, raġel, ton medju-skur tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton medju-skur tal-ġilda, u ton skur tal-ġilda|mara|raġel|ton medju-skur tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👨🏻;koppja b’qalb: mara, raġel, ton skur tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton skur tal-ġilda, u ton ċar tal-ġilda|mara|raġel|ton ċar tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👨🏼;koppja b’qalb: mara, raġel, ton skur tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton skur tal-ġilda, u ton medju-ċar tal-ġilda|mara|raġel|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👨🏽;koppja b’qalb: mara, raġel, ton skur tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton skur tal-ġilda, u ton medju tal-ġilda|mara|raġel|ton medju tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👨🏾;koppja b’qalb: mara, raġel, ton skur tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, ton skur tal-ġilda, u ton medju-skur tal-ġilda|mara|raġel|ton medju-skur tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👨🏿;koppja b’qalb: mara, raġel, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, raġel, u ton skur tal-ġilda|mara|raġel|ton skur tal-ġilda
👨‍❤️‍👨;koppja b’qalb: raġel u raġel;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel u raġel|raġel
	👨🏻‍❤️‍👨🏻;koppja b’qalb: raġel, raġel, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, u ton ċar tal-ġilda|raġel|ton ċar tal-ġilda
	👨🏻‍❤️‍👨🏼;koppja b’qalb: raġel, raġel, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda|raġel|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	👨🏻‍❤️‍👨🏽;koppja b’qalb: raġel, raġel, ton ċar tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton ċar tal-ġilda, u ton medju tal-ġilda|raġel|ton ċar tal-ġilda|ton medju tal-ġilda
	👨🏻‍❤️‍👨🏾;koppja b’qalb: raġel, raġel, ton ċar tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton ċar tal-ġilda, u ton medju-skur tal-ġilda|raġel|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	👨🏻‍❤️‍👨🏿;koppja b’qalb: raġel, raġel, ton ċar tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton ċar tal-ġilda, u ton skur tal-ġilda|raġel|ton ċar tal-ġilda|ton skur tal-ġilda
	👨🏼‍❤️‍👨🏻;koppja b’qalb: raġel, raġel, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda|raġel|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	👨🏼‍❤️‍👨🏼;koppja b’qalb: raġel, raġel, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, u ton medju-ċar tal-ġilda|raġel|ton medju-ċar tal-ġilda
	👨🏼‍❤️‍👨🏽;koppja b’qalb: raġel, raġel, ton medju-ċar tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju-ċar tal-ġilda, u ton medju tal-ġilda|raġel|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	👨🏼‍❤️‍👨🏾;koppja b’qalb: raġel, raġel, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda|raġel|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	👨🏼‍❤️‍👨🏿;koppja b’qalb: raġel, raġel, ton medju-ċar tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju-ċar tal-ġilda, u ton skur tal-ġilda|raġel|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	👨🏽‍❤️‍👨🏻;koppja b’qalb: raġel, raġel, ton medju tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju tal-ġilda, u ton ċar tal-ġilda|raġel|ton ċar tal-ġilda|ton medju tal-ġilda
	👨🏽‍❤️‍👨🏼;koppja b’qalb: raġel, raġel, ton medju tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju tal-ġilda, u ton medju-ċar tal-ġilda|raġel|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	👨🏽‍❤️‍👨🏽;koppja b’qalb: raġel, raġel, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, u ton medju tal-ġilda|raġel|ton medju tal-ġilda
	👨🏽‍❤️‍👨🏾;koppja b’qalb: raġel, raġel, ton medju tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju tal-ġilda, u ton medju-skur tal-ġilda|raġel|ton medju tal-ġilda|ton medju-skur tal-ġilda
	👨🏽‍❤️‍👨🏿;koppja b’qalb: raġel, raġel, ton medju tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju tal-ġilda, u ton skur tal-ġilda|raġel|ton medju tal-ġilda|ton skur tal-ġilda
	👨🏾‍❤️‍👨🏻;koppja b’qalb: raġel, raġel, ton medju-skur tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju-skur tal-ġilda, u ton ċar tal-ġilda|raġel|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	👨🏾‍❤️‍👨🏼;koppja b’qalb: raġel, raġel, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda|raġel|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	👨🏾‍❤️‍👨🏽;koppja b’qalb: raġel, raġel, ton medju-skur tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju-skur tal-ġilda, u ton medju tal-ġilda|raġel|ton medju tal-ġilda|ton medju-skur tal-ġilda
	👨🏾‍❤️‍👨🏾;koppja b’qalb: raġel, raġel, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, u ton medju-skur tal-ġilda|raġel|ton medju-skur tal-ġilda
	👨🏾‍❤️‍👨🏿;koppja b’qalb: raġel, raġel, ton medju-skur tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton medju-skur tal-ġilda, u ton skur tal-ġilda|raġel|ton medju-skur tal-ġilda|ton skur tal-ġilda
	👨🏿‍❤️‍👨🏻;koppja b’qalb: raġel, raġel, ton skur tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton skur tal-ġilda, u ton ċar tal-ġilda|raġel|ton ċar tal-ġilda|ton skur tal-ġilda
	👨🏿‍❤️‍👨🏼;koppja b’qalb: raġel, raġel, ton skur tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton skur tal-ġilda, u ton medju-ċar tal-ġilda|raġel|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	👨🏿‍❤️‍👨🏽;koppja b’qalb: raġel, raġel, ton skur tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton skur tal-ġilda, u ton medju tal-ġilda|raġel|ton medju tal-ġilda|ton skur tal-ġilda
	👨🏿‍❤️‍👨🏾;koppja b’qalb: raġel, raġel, ton skur tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, ton skur tal-ġilda, u ton medju-skur tal-ġilda|raġel|ton medju-skur tal-ġilda|ton skur tal-ġilda
	👨🏿‍❤️‍👨🏿;koppja b’qalb: raġel, raġel, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: raġel, raġel, u ton skur tal-ġilda|raġel|ton skur tal-ġilda
