[smileys_emotion]
😀;față încântată;față|față încântată|încântare
	👩🏿‍❤️‍👩🏼;cuplu cu inimă: femeie, femeie, ton închis al pielii, ton semi‑deschis al pielii;cuplu|cuplu cu inimă|cuplu cu inimă: femeie, femeie, ton închis al pielii, ton semi‑deschis al pielii|dragoste|femeie|iubire|ton închis al pielii|ton semi‑deschis al pielii
	👩🏿‍❤️‍👩🏽;cuplu cu inimă: femeie, femeie, ton închis al pielii, ton mediu al pielii;cuplu|cuplu cu inimă|cuplu cu inimă: femeie, femeie, ton închis al pielii, ton mediu al pielii|dragoste|femeie|iubire|ton închis al pielii|ton mediu al pielii
	👩🏿‍❤️‍👩🏾;cuplu cu inimă: femeie, femeie, ton închis al pielii, ton semi‑închis al pielii;cuplu|cuplu cu inimă|cuplu cu inimă: femeie, femeie, ton închis al pielii, ton semi‑închis al pielii|dragoste|femeie|iubire|ton închis al pielii|ton semi‑închis al pielii
	👩🏿‍❤️‍👩🏿;cuplu cu inimă: femeie, femeie, ton închis al pielii;cuplu|cuplu cu inimă|cuplu cu inimă: femeie, femeie, ton închis al pielii|dragoste|femeie|iubire|ton închis al pielii
👨‍👩‍👦;familie: bărbat, femeie, băiat;băiat|bărbat|familie|familie: bărbat, femeie, băiat|femeie
👨‍👩‍👧;familie: bărbat, femeie, fată;bărbat|familie|familie: bărbat, femeie, fată|fată|femeie
👨‍👩‍👧‍👦;familie: bărbat, femeie, fată, băiat;băiat|bărbat|familie|familie: bărbat, femeie, fată, băiat|fată|femeie
👨‍👩‍👦‍👦;familie: bărbat, femeie, băiat, băiat;băiat|bărbat|familie|familie: bărbat, femeie, băiat, băiat|femeie
👨‍👩‍👧‍👧;familie: bărbat, femeie, fată, fată;bărbat|familie|familie: bărbat, femeie, fată, fată|fată|femeie
👨‍👨‍👦;familie: bărbat, bărbat, băiat;băiat|bărbat|familie|familie: bărbat, bărbat, băiat
👨‍👨‍👧;familie: bărbat, bărbat, fată;bărbat|familie|familie: bărbat, bărbat, fată|fată
👨‍👨‍👧‍👦;familie: bărbat, bărbat, fată, băiat;băiat|bărbat|familie|familie: bărbat, bărbat, fată, băiat|fată
👨‍👨‍👦‍👦;familie: bărbat, bărbat, băiat, băiat;băiat|bărbat|familie|familie: bărbat, bărbat, băiat, băiat
👨‍👨‍👧‍👧;familie: bărbat, bărbat, fată, fată;bărbat|familie|familie: bărbat, bărbat, fată, fată|fată
👩‍👩‍👦;familie: femeie, femeie, băiat;băiat|familie|familie: femeie, femeie, băiat|femeie
👩‍👩‍👧;familie: femeie, femeie, fată;familie|familie: femeie, femeie, fată|fată|femeie
👩‍👩‍👧‍👦;familie: femeie, femeie, fată, băiat;băiat|familie|familie: femeie, femeie, fată, băiat|fată|femeie
👩‍👩‍👦‍👦;familie: femeie, femeie, băiat, băiat;băiat|familie|familie: femeie, femeie, băiat, băiat|femeie
👩‍👩‍👧‍👧;familie: femeie, femeie, fată, fată;familie|familie: femeie, femeie, fată, fată|fată|femeie
👨‍👦;familie: bărbat, băiat;băiat|bărbat|familie|familie: bărbat, băiat
👨‍👦‍👦;familie: bărbat, băiat, băiat;băiat|bărbat|familie|familie: bărbat, băiat, băiat
👨‍👧;familie: bărbat, fată;bărbat|familie|familie: bărbat, fată|fată
👨‍👧‍👦;familie: bărbat, fată, băiat;băiat|bărbat|familie|familie: bărbat, fată, băiat|fată
👨‍👧‍👧;familie: bărbat, fată, fată;bărbat|familie|familie: bărbat, fată, fată|fată
👩‍👦;familie: femeie, băiat;băiat|familie|familie: femeie, băiat|femeie
👩‍👦‍👦;familie: femeie, băiat, băiat;băiat|familie|familie: femeie, băiat, băiat|femeie
👩‍👧;familie: femeie, fată;familie|familie: femeie, fată|fată|femeie
👩‍👧‍👦;familie: femeie, fată, băiat;băiat|familie|familie: femeie, fată, băiat|fată|femeie
👩‍👧‍👧;familie: femeie, fată, fată;familie|familie: femeie, fată, fată|fată|femeie
🗣️;cap vorbitor;cap|față|profil|siluetă|vorbi|vorbire|vorbitor
👤;siluetă bust;bust|siluetă
👥;siluete busturi;bust|siluetă|siluete busturi
🫂;persoane îmbrățișate;adio|îmbrățișare|la revedere|mulțumesc|persoane îmbrățișate|salut
👪;familie;familie
🧑‍🧑‍🧒;familie: adult, adult, copil;adult|copil|familie: adult|familie: adult, adult, copil
🧑‍🧑‍🧒‍🧒;familie: adult, adult, copil, copil;adult|copil|familie: adult|familie: adult, adult, copil, copil
🧑‍🧒;familie: adult, copil;copil|familie: adult|familie: adult, copil
🧑‍🧒‍🧒;familie: adult, copil, copil;copil|familie: adult|familie: adult, copil, copil
👣;urme de pași;talpă|urmă|urme de pași

[animals_nature]
🐵;față de maimuță;față|față de maimuță|maimuță
🐒;maimuță;maimuță
🦍;gorilă;animal sălbatic|gorilă
🦧;urangutan;primat|primate|urangutan
🐶;față de câine;animal de companie|animal domestic|câine|față|față de câine
🐕;câine;animal de companie|animal domestic|câine
🦮;câine ghid;accesibilitate|câine ghid|ghid|nevăzător|orb
🐕‍🦺;câine de asistență;accesibilitate|asistență|câine|câine de asistență|servicii
🐩;pudel;câine|pudel|rasă
🐺;lup;față|lup
🦊;vulpe;față|vulpe
🦝;raton;curios|raton|șmecher|ursuleț spălător
🐱;față de pisică;animal de companie|animal domestic|față|față de pisică|pisică
🐈;pisică;animal de companie|animal domestic|pisică
🐈‍⬛;pisică neagră;ghinion|neagră|pisică
🦁;leu;față|leu|zodiac
🐯;față de tigru;față|față de tigru|tigru
🐅;tigru;animal sălbatic|felină|tigru
🐆;leopard;animal sălbatic|felină|leopard
🐴;față de cal;animal domestic|cal|față|față de cal
🫎;elan;animal|cerb|cornut|elan|mamifer
🫏;măgar;animal|asin|catâr|încăpățânat|măgar|mamifer
🐎;cal;cal|cal de curse|echitație
🦄;unicorn;față|unicorn
🦓;zebră;animal sălbatic|dungi|zebră
🦌;cerb;animal sălbatic|cerb
🦬;bizon;bizon|bour|bufal|cireadă|zimbru
🐮;cap de vacă;animal domestic|cap de vacă|față|vacă
🐂;bou;animal domestic|bou|taur|zodiac
🐃;bivol;animal domestic|bivol
🐄;vacă;animal domestic|vacă
🐷;cap de porc;animal domestic|cap de porc|față|porc
🐖;porc;animal domestic|porc|scroafă
🐗;mistreț;animal sălbatic|mistreț|porc
🐽;rât;față|nas|porc|rât
🐏;berbec;animal domestic|berbec|zodiac
🐑;oaie;animal domestic|mioară|oaie
🐐;capră;animal domestic|capră|Capricorn|zodiac
🐪;dromader;cocoașă|deșert|dromader
🐫;cămilă;cămilă|cocoașe|deșert
🦙;lamă;alpaca|lamă|lână
🦒;girafă;girafă|pete
🐘;elefant;animal sălbatic|elefant
🦣;mamut;colți|dispariție|extincție|lânos|mamut|mare
🦏;rinocer;animal sălbatic|rinocer
🦛;hipopotam;hipo|hipopotam
🐭;față de șoarece;față|față de șoarece|șoarece
🐁;șoarece;rozător|șoarece|șoricel
🐀;șobolan;șobolan
🐹;hamster;animal de companie|față|hamster
🐰;față de iepure;animal de companie|față|față de iepure|iepuraș|iepure
🐇;iepure;animal de companie|iepuraș|iepure|rozător
🐿️;veveriță;rozător|veveriță
🦫;castor;baraj|castor
🦔;arici;arici|țepos
🦇;liliac;liliac|vampir
🐻;urs;față|urs
🐻‍❄️;urs polar;alb|arctic|urs|urs polar
🐨;koala;koala|ursuleț
🐼;panda;față|panda
🦥;leneș;leneș|lent|trândav
🦦;vidră;alunecos|jucăuș|vidră
🦨;sconcs;mirositor|puți|sconcs
🦘;cangur;Australia|cangur|marsupial|salt|țopăit
🦡;bursuc;bursuc|viezure
🐾;urme de lăbuțe;labe|picioare|urme|urme de lăbuțe
🦃;curcan;curcan|pasăre
🐔;găină;găină|pasăre
🐓;cocoș;cocoș|pasăre
🐣;pui în găoace;eclozare|ou|pui|pui în găoace|puișor
🐤;pui de găină;pasăre|pui|pui de găină
🐥;pui de găină din față;pasăre|pui|pui de găină din față
🐦;pasăre;pasăre
🐧;pinguin;frig|gheață|pasăre|pinguin
🕊️;porumbiță;pace|pasăre|porumbel|porumbiță|zbor
🦅;vultur;pasăre|vultur
🦆;rață;pasăre|rață
🦢;lebădă;lebădă|pasăre|rățușca cea urâtă
🦉;bufniță;bufniță|de noapte|înțelept|pasăre
🦤;dodo;dispariție|dodo|extincție|mare|Mauritius
🪶;pană;pană|pasăre|penaj|ușor|zbor
🦩;flamingo;flamboaiant|flamingo|tropical
🦚;păun;mândrie|orgoliu|ostentație|pasăre|păun
🦜;papagal mare;papagal mare|pasăre|pirat|vorbit
🪽;aripă;angelic|aripă|aviație|mitologie|pasăre|zbor
🐦‍⬛;pasăre neagră;cioară|corb|mierlă|neagră|pasăre
🪿;gâscă;gâgâit|gânsac|gâscă|gâsculiță|pasăre|prostuț
🐦‍🔥;phoenix;fantezie|pasăre de foc|phoenix|reîncarnare|renaștere
🐸;broască;broască|față|față de broască
🐊;crocodil;crocodil|reptilă
🐢;broască țestoasă;broască țestoasă|carapace|țestoasă
🦎;șopârlă;reptilă|șopârlă|târâtoare
🐍;șarpe;ofiucus|reptilă|șarpe|zodiac
🐲;față de dragon;balaur|basm|fantastic|față|față de dragon|poveste
🐉;dragon;balaur|dragon|poveste
🦕;sauropod;brahiozaur|brontozaur|diplodocus|sauropod
🦖;T-Rex;T-Rex|Tyrannosaurus Rex
🐳;balenă împroșcând apă;apă|balenă|balenă împroșcând apă|jet
🐋;balenă;balenă|mamifer acvatic|uriaș
🐬;delfin;delfin|inteligent|mamifer acvatic
🦭;focă;focă|leu de mare
🐟;pește;pește|pești|zodiac
🐠;pește tropical;exotic|pește tropical|pești|tropical
🐡;pește balon;pește|pește balon|pește țepos
🦈;rechin;pește|rechin
🐙;caracatiță;caracatiță|tentacule
🐚;cochilie spiralată;cochilie|cochilie spiralată|spirală
🪸;coral;coral|ocean|recif
🪼;meduză;au|gelatină|înțepătură|marină|meduză|nevertebrată|urzicătură
🐌;melc;melc
🦋;fluture;fluture|frumos|insectă
🐛;gândac;gândac|insectă
🐜;furnică;colonie|furnică|hărnicie|insectă
🐝;albină;albină|aripi|insectă|miere
🪲;cărăbuș;cărăbuș|gândac|insectă
🐞;buburuză;buburuză|buline|insectă|roșu
🦗;greier;greier|lăcustă
🪳;gândac de bucătărie;gândac de bucătărie|insectă|parazit
🕷️;păianjen;arahnidă|insectă|păianjen|pânză
🕸️;pânză de păianjen;capcană|păianjen|pânză|pânză de păianjen
🦂;scorpion;insectă|scorpion|venin|zodiac
🦟;țânțar;boală|febră|insectă|înțepătură|malarie|țânțar
🪰;muscă;boală|dăunător|descompunere|muscă|putrezire
🪱;vierme;anelid|parazit|râmă|vierme
🦠;microb;amibă|bacterie|microb|virus
💐;buchet de flori;buchet de flori|cadou|flori
🌸;floare de cireș;cireș|floare|floare de cireș|parfum|pom
💮;floare albă;floare|floare albă|puritate
🪷;lotus;budism|floare|hinduism|India|lotus|nufăr|puritate|Vietnam
🏵️;rozetă;plantă|rozetă
🌹;trandafir;floare|trandafir
🥀;floare ofilită;floare|floare ofilită|ofilire
🌺;hibiscus;floare|hibiscus
🌻;floarea soarelui;floare|floarea soarelui|galben|plantă|soare
🌼;boboc;boboc|eforescență|floare|înflorire
🌷;lalea;floare|lalea|plantă|primăvară
🪻;zambilă;gura leului|hyacinthus|iacint|lavandă|lupin|zambilă
🌱;răsad;plantă|răsad|tânără
🪴;plantă în ghiveci;casă|crește|cultiva|ghiveci|plantă|plantă în ghiveci
🌲;arbore conifer;arbore conifer|brad|conifer|copac
🌳;arbore foios;arbore foios|copac|frunze căzătoare
🌴;palmier;copac|palmier
🌵;cactus;cactus|plantă
🌾;snop de orez;cereală|snop|snop de orez|spic
🌿;plantă aromatică;plantă|plantă aromatică
☘️;trifoi;plantă|trifoi
🍀;trifoi cu patru foi;frunze|patru|trifoi|trifoi cu patru foi
🍁;frunză de arțar;arțar|frunză|frunză de arțar|frunză în cădere
🍂;frunză în cădere;cădere|frunză|frunză în cădere
🍃;frunză plutind în aer;frunză|frunză plutind în aer|plutire|vânt
🪹;cuib gol;cuib gol|cuibărire
🪺;cuib cu ouă;cuib|cuib cu ouă|cuibăreală|cuibărit
🍄;ciupercă;ciupercă|ciupercă otrăvitoare

[food_drink]
🍇;struguri;boabe|fruct|struguri|viță de vie
🍈;pepene galben;fruct|pepene|pepene galben
🍉;pepene verde;fruct|pepene|pepene verde
🍊;mandarină;citrice|fruct|mandarină
🍋;lămâie;citrice|fruct|lămâie
🍋‍🟩;limetă;citrice|fruct|lămâie verde|limetă|tropical
🍌;banană;banană|fruct
🍍;ananas;ananas|fruct
🥭;mango;fruct|mango|tropical
🍎;măr roșu;fruct|măr|roșu
🍏;măr verde;fruct|măr|verde
🍐;pară;fruct|pară
🍑;piersică;fruct|piersică
🍒;cireșe;cireașă|cireșe|fruct|roșu
🍓;căpșună;bacă|căpșună|fruct
🫐;afine;afină|afine|albastru|fructe de pădure
🥝;kiwi;fructe|kiwi|mâncare
🍅;roșie;fruct|legumă|roșie|tomată
🫒;măslină;mâncare|măslină
🥥;nucă de cocos;cocotier|nucă de cocos|palmier
🥑;avocado;avocado|fruct|mâncare
🍆;vânătă;legumă|vânătă
🥔;cartof;cartof|cartofi|legume|mâncare
🥕;morcov;legume|mâncare|morcov
🌽;știulete de porumb;cereală|porumb|știulete|știulete de porumb
🌶️;ardei iute;ardei|iute|legumă
🫑;ardei gras;ardei|ardei capia|ardei gras|ardei iute|gogoșar|legumă
🥒;castravete;castravete|legume|mâncare|murătură
🥬;verdețuri;lăptucă|salată|varză|varză chinezească|varză kale|verdețuri
🥦;broccoli;broccoli|conopidă
🧄;usturoi;aromă|condiment|usturoi
🧅;ceapă;aromă|ceapă|condiment
🥜;arahide;alune|arahide|legumă|mâncare
🫘;fasole;fasole|fasole boabe|fasole roșie|legumă|mâncare
🌰;castană;castană|plantă
🫚;rădăcină de ghimbir;bere|condiment|rădăcină|rădăcină de ghimbir
🫛;păstaie de mazăre;boabe|edamame|legumă|leguminoasă|mazăre|păstaie|păstaie de mazăre
🍄‍🟫;ciupercă maro;aliment|ciupercă|ciupercă maro|legumă|natură
🍞;pâine;aliment|franzelă|pâine
🥐;croasant;corn|croasant|croissant|mâncare|pâine
🥖;baghetă de pâine;baghetă|baghetă de pâine|franțuzească|mâncare|pâine
🫓;pită;lipie|pită
🥨;covrig;covrig|covrigei|covrigel|covrigi
🥯;bagel;bagel|covrig moale|patiserie
🥞;clătite;clătită|clătite|crepe|mâncare
🧇;gofră;fier de călcat|gofră|nehotărât
🧀;bucată de brânză;brânză|bucată de brânză|cașcaval
🍖;os cu carne;carne|os|os cu carne
🍗;pulpă de pasăre;ciocănel|pasăre|pulpă|pulpă de pasăre
🥩;bucată de carne;antricot|bucată de carne|cotlet|friptură
🥓;bacon;bacon|carne|jambon|mâncare|șuncă
🍔;hamburger;burger|carne|fast food|hamburger
🍟;cartofi prăjiți;cartofi|cartofi prăjiți|fast food
🍕;pizza;fast food|felie|pizza
🌭;hot dog;cârnat|fast food|hot dog|muștar
🥪;sandvici;fast food|sandvici|sandviș
🌮;taco;fast food|lipie|mexican|taco
🌯;burrito;burrito|lipie|mexican|sandvici rulat|sandviș rulat
🫔;tamale;colțunaș|mâncare mexicană|tamale
🥙;lipie umplută;falafel|giros|kebab|lipie|lipie umplută|mâncare|șaorma
🧆;falafel;chifteluță|falafel|năut
🥚;ou;mâncare|ou
🍳;gătit;gătit|tigaie
🥘;cratiță cu mâncare;cratiță|cratiță cu mâncare|mâncare|paella|tigaie|tigaie cu mâncare
🍲;oală cu mâncare;oală|oală cu mâncare|tocană
🫕;fondue;brânză|ciocolată|fondue|mâncare elvețiană|topită|vas de gătit
🥣;castron cu lingură;castron cu lingură|cereale|mic dejun|terci
🥗;salată verde;mâncare|salată|verde
🍿;floricele de porumb;floricele|floricele de porumb|pop-corn|popcorn|porumb
🧈;unt;lactate|unt
🧂;sare;condiment|sare|solniță
🥫;mâncare la conservă;conservă|mâncare la conservă
🍱;mâncare japoneză la pachet;bento|japonia|mâncare|mâncare japoneză la pachet|pachet
🍘;biscuit de orez;biscuit|biscuit de orez|orez
🍙;chifteluțe de orez;chifteluțe|chifteluțe de orez|Japonia|orez|perișoare
🍚;orez gătit;orez|orez gătit|preparare
🍛;orez cu curry;condiment|curry|orez|orez cu curry
🍜;castron aburind;castron|castron aburind|fierbinte|tăiței
🍝;spaghete;paste|spaghete
🍠;cartof dulce copt;cartof|copt|dulce
🍢;frigăruie japoneză;băț|frigăruie japoneză|fructe de mare|oden
🍣;sushi;sushi
🍤;crevete prăjit;crevete|crevete prăjit|prăjire|tempura
🍥;ruladă japoneză cu pește;paste|pește|ruladă|ruladă japoneză cu pește
🥮;prăjitura lunii;festival|prăjitură chinezească|prăjitura lunii|toamnă
🍡;găluște japoneze pe băț;băț|desert|dulce|găluște japoneze pe băț|Japonia
🥟;găluște chinezești;empanada|găluște chinezești|jiaozi|pierogi|potsticker
🥠;prăjiturele cu răvaș;prăjiturele cu răvaș|profeție
🥡;mâncare la pachet;mâncare chinezească la pachet|mâncare la pachet
🦀;rac;rac|zodiac
🦞;homar;clești|fructe de mare|homar
🦐;crevete;crevete|fructe de mare|mâncare|mic
🦑;calmar;calamar|calmar|mâncare|moluscă
🦪;stridie;perlă|scufundare|stridie
🍦;înghețată cremă;cornet|desert|înghețată|înghețată cremă
🍧;desert din fulgi de gheață;desert|desert din fulgi de gheață|dulce|gheață|înghețată
🍨;înghețată;cremă|desert|dulce|înghețată
🍩;gogoașă americană;desert|dulce|glazură|gogoașă|gogoașă americană
🍪;fursec;desert|dulce|fursec
🎂;tort aniversar;aluat|aniversare|desert|dulce|sărbătoare|tort|tort aniversar
🍰;tartă;aluat|desert|dulce|felie|tartă
🧁;brioșă;brioșă|dulce|patiserie
🥧;plăcintă;aluat|plăcintă|umplutură
🍫;baton de ciocolată;baton|baton de ciocolată|ciocolată|desert|dulce
🍬;bomboană;bomboană|desert|dulce
🍭;acadea;acadea|băț|bomboană|desert|dulce
🍮;șarlotă;budincă|desert|dulce|șarlotă
🍯;borcan cu miere;borcan|borcan cu miere|dulce|miere
🍼;biberon;bebeluș|biberon|lapte|sticlă|suzetă
🥛;pahar cu lapte;băutură|lapte|pahar|pahar cu lapte
☕;băutură fierbinte;băutură|cafea|ceai|ceașcă|fierbinte
🫖;ceainic;băutură|ceai|ceainic
🍵;ceașcă fără mâner;băutură|ceai|ceașcă|ceașcă fără mâner
🍶;sake;bar|băutură|ceașcă|sake|sticlă
🍾;sticlă căreia îi sare dopul;bar|băutură|dop|sărbătoare|sticlă|sticlă căreia îi sare dopul
🍷;pahar de vin;bar|băutură|pahar|pahar de vin|vin
🍸;pahar de cocktail;bar|băutură|cocktail|pahar|pahar de cocktail
🍹;băutură tropicală;bar|băutură|băutură tropicală|exotic|tropical
🍺;halbă de bere;bar|băutură|bere|halbă|halbă de bere
🍻;halbe de bere ciocnite;bar|băutură|bere|ciocnit|halbă|halbe|halbe de bere ciocnite
🥂;pahare ciocnite;băutură|ciocnit|ciocnit de pahare|pahar|pahare ciocnite|sărbătorire
🥃;pahar de whisky;lichior|pahar|pahar de whisky|shot|whisky
🫗;lichid turnat;băutură|gol|lichid turnat|pahar|vărsa
🥤;pahar cu pai;pahar cu pai|sifon|suc
🧋;ceai cu perle;ceai|ceai cu perle|lapte|perle
🧃;cutie de băutură;cutie de băutură|cutie de suc
🧉;mate;băutură|mate
🧊;cub de gheață;aisberg|cub de gheață|gheață|rece
🥢;bețișoare japoneze;bețișoare de mâncat|bețișoare japoneze
🍽️;furculiță și cuțit cu farfurie;cuțit|farfurie|furculiță și cuțit cu farfurie|gătit|tacâmuri
🍴;furculiță și cuțit;cuțit|furculiță|furculiță și cuțit|gătit
🥄;lingură;lingură|tacâmuri
🔪;cuțit de bucătărie;armă|cuțit|cuțit de bucătărie|gătit|instrument
🫙;borcan;borcan|condiment|depozitare|gol|recipient|sos
🏺;amforă;amforă|băut|gătit|ulcior|Vărsător|zodiac

[travel_places]
🌍;Europa și Africa pe glob;Africa|Europa|Europa și Africa pe glob|glob|lume|Pământ
🌎;Americile pe glob;Americi|Americile pe glob|glob|lume|Pământ
🌏;Asia și Australia pe glob;Asia|Asia și Australia pe glob|Australia|glob|lume
🌐;glob cu meridiane;glob|glob cu meridiane|lume|meridiane|Pământ
🗺️;harta lumii;hartă|harta lumii|lume
🗾;harta Japoniei;hartă|harta Japoniei|Japonia
🧭;busolă;busolă|magnetic|navigație|orientare
🏔️;vârf de munte înzăpezit;frig|munte|vârf|vârf de munte înzăpezit|zăpadă
⛰️;munte;masiv|munte|stâncă
🌋;vulcan;erupție|lavă|munte|vulcan
🗻;muntele Fuji;Fuji|munte|muntele Fuji
🏕️;camping;camping|cort
🏖️;umbrelă pe plajă;plajă|umbrelă|umbrelă pe plajă
🏜️;deșert;deșert|nisip
🏝️;insulă pustie;insulă|insulă pustie|pustiu
🏞️;parc național;parc|parc național
🏟️;stadion;public|sport|stadion
🏛️;clădire clasică;clădire|clădire clasică|clasic|stil
🏗️;clădire în construcție;clădire|clădire în construcție|construcție
🧱;cărămidă;argilă|cărămidă|cărămizi|mortar|zid
🪨;piatră;bolovan|greu|piatră|rocă|solid|stâncă
🪵;lemn;buștean|cherestea|lemn|masă lemnoasă
🛖;colibă;adăpost|casă|căsuță|cocioabă|colibă|iurtă
🏘️;case;case|construcție
🏚️;casă părăsită;abandonată|casă|casă părăsită
🏠;casă;casă|locuință
🏡;casă cu grădină;casă|casă cu grădină|grădină|locuință|verdeață
🏢;clădire de birouri;birouri|clădire|clădire de birouri
🏣;oficiu poștal japonez;Japonia|oficiu poștal japonez|poștă
🏤;oficiu poștal;Europa|oficiu poștal|poștă
🏥;spital;doctor|medicină|sănătate|spital
🏦;bancă;bancă|clădire
🏨;hotel;cazare|clădire|hotel
🏩;hotel de dragoste;cazare|clădire|hotel de dragoste|iubire
🏪;magazin non-stop;magazin|mic magazin de cartier|mixt|non-stop
🏫;școală;clădire|învățământ|școală
🏬;magazin universal;magazin|mare|raioane|universal
🏭;fabrică;clădire|fabrică|producție
🏯;castel japonez;castel|castel japonez|clădire|Japonia
🏰;castel;castel|Europa
💒;nuntă;capelă|inimă|nuntă
🗼;turnul Tokio;Tokio|turn|turnul Tokio
🗽;Statuia Libertății;libertate|Statuia Libertății|statuie
⛪;biserică;biserică|clădire|creștin|creștinism|cruce|rugăciune
🕌;moschee;cult|islam|moschee|musulman|religie
🛕;templu hindus;hindus|templu
🕍;sinagogă;cult|evreiesc|religie|sinagogă|templu
⛩️;altar shinto;altar|cult|religie|sanctuar|shinto|templu
🕋;lăcaș de cult islamic kaaba;cult|islam|kaaba|lăcaș de cult islamic kaaba|religie
⛲;fântână arteziană;apă|fântână|fântână arteziană
⛺;cort;camping|cort
🌁;încețoșat;ceață|încețoșat|vreme
🌃;noapte înstelată;noapte|noapte înstelată|stele
🏙️;peisaj urban;oraș|orizont citadin|peisaj urban|zgârie-nori
🌄;răsărit după munți;dimineață|munți|răsărit|răsărit după munți|soare
🌅;răsărit;dimineață|răsărit|soare
🌆;peisaj urban la apus;apus|oraș|peisaj urban la apus|seară|soare|zgârie-nori
🌇;apus;amurg|apus|crepuscul|soare
🌉;pod luminat noaptea;lumină|noapte|pod|pod luminat noaptea
♨️;izvoare termale;aburi|apă|căldură|izvoare termale|izvor
🎠;căluț de carusel;căluț|căluț de carusel|carusel
🛝;tobogan pentru joacă;joacă|parc de distracții|tobogan pentru joacă
🎡;roata mare;bâlci|carnaval|distracție|parc de distracție|roata mare
🎢;montagne russe;adrenalină|montagne russe|parc de distracție
💈;semn de frizerie;bărbier|indicator|semn de frizerie|tuns
🎪;cort de circ;circ|cort|cort de circ
🚂;locomotivă;aburi|cale ferată|locomotivă|motor|transport|tren
🚃;vagon feroviar;electric|șină|tramvai|transport|troleibuz|vagon|vagon feroviar
🚄;tren de mare viteză;cale ferată|tren|tren de mare viteză|viteză
🚅;tren de mare viteză cu vârf aerodinamic;aerodinamic|cale ferată|tren|tren de mare viteză cu vârf aerodinamic|viteză
🚆;tren;cale ferată|șine|tren
🚇;metrou;metrou|tren|tunel
🚈;tren ușor;cale ferată|șine|tren ușor
🚉;gară;cale ferată|gară|haltă|stație|tren
🚊;tramvai;tramvai|troleibuz
🚝;monorai;monorai|monoșină
🚞;cale ferată montană;cale ferată|cale ferată montană|munte
🚋;vagon de tramvai;tramvai|troleibuz|vagon|vagon de tramvai
🚌;autobuz;autobuz|vehicul
🚍;autobuz care se apropie;autobuz|autobuz care se apropie|sosire
🚎;troleibuz;autobuz|tramvai|troleibuz|troleu
🚐;microbuz;autobuz|microbuz
🚑;ambulanță;ambulanță|asistență|medicală|vehicul
🚒;mașină de pompieri;incendiu|mașină de pompieri|salvare|vehicul
🚓;mașină de poliție;autovehicul|mașină de poliție|patrula|poliție
🚔;mașină de poliție care se apropie;autovehicul|mașină de poliție care se apropie|poliție
🚕;taxi;autovehicul|taxi|taximetrie
🚖;taxi care se apropie;apropiere|autovehicul|taxi care se apropie|taximetrie
🚗;automobil;automobil|mașină
🚘;automobil care se apropie;automobil care se apropie|mașină|sosire
🚙;vehicul recreațional;călătorii|jeep|SUV|vacanță|vehicul|vehicul recreațional
🛻;camionetă;camion|camionetă|mașină papuc
🚚;camion de marfă;camion|camion de marfă|livrare|marfă
🚛;camion articulat;articulat|camion
🚜;tractor;tractor|vehicul
🏎️;mașină de curse;curse|mașină|mașină de curse
🏍️;motocicletă;curse|motocicletă
🛵;scuter;motor|motoscuter|scuter
🦽;scaun cu rotile manual;accesibilitate|scaun cu rotile manual
🦼;scaun cu rotile motorizat;accesibilitate|scaun cu rotile motorizat
🛺;autoricșă;autoricșă|tuk tuk
🚲;bicicletă;bicicletă|ciclism
🛴;trotinetă;scuter|trotinetă
🛹;skateboard;placă|skateboard
🛼;patină cu rotile;patină|patină cu rotile|rotile
🚏;stație de autobuz;autobuz|oprire|stație de autobuz
🛣️;autostradă;autostradă|autovehicule|drum
🛤️;cale ferată;cale ferată|șină|șine|tren
🛢️;butoi de combustibil;butoi|butoi de combustibil|tablă
⛽;pompă de combustibil;alimentare|benzină|benzinărie|combustibil|diesel|pompă|pompă de combustibil
🛞;roată;anvelopă|cauciuc|cerc|învârti|roată
🚨;girofar de poliție;girofar|girofar de poliție|lumină|poliție|semnal luminos
🚥;semafor orizontal;semafor|semafor orizontal|semnal|trafic
🚦;semafor vertical;semafor|semafor vertical|semnal|trafic
🛑;semnul stop;indicator|octogon|semn|semnul stop|stop
🚧;șantier;barieră|construcție|indicator|șantier
⚓;ancoră;ancoră|ancorare|instrument|navă|vas
🛟;colac de salvare;colac de salvare|plută|pluti|plutire|salvare|siguranță
⛵;barcă cu pânze;barcă|barcă cu pânze|iaht|navigație|pânze
🛶;canoe;barcă|canoe
🚤;barcă de viteză;barcă|barcă de viteză|motor|șalupă|viteză
🛳️;vas de pasageri;croazieră|navă|pasageri|vas de pasageri
⛴️;feribot;feribot|navă|pasageri|transport
🛥️;barcă cu motor;barcă|barcă cu motor|motonavă|motor|șalupă
🚢;vapor;maritim|navă|navigație|pasageri|vapor|vas
✈️;avion;aeronavă|avion|zbor
🛩️;aeronavă mică;aeronavă mică|avion|ușor
🛫;plecare avion;aeronavă|avion|check-in|plecare|plecări
🛬;sosire avion;aeronavă|aterizare|avion|sosire|sosiri
🪂;parașută;deltaplanorism|parasailing|parașută|parașutism
💺;loc în mijloc de transport;loc în mijloc de transport|scaun|transport
🚁;elicopter;elice|elicopter|vehicul|zbor
🚟;cale ferată suspendată;cabluri|cale ferată|cale ferată suspendată
🚠;telecabină montană;cablu|gondolă|munte|telecabină montană|transport
🚡;tramvai aerian;cablu|gondolă|tramvai aerian|transport
