[smileys_emotion]
😀;išsišiepęs veidas;išsišiepęs veidas|išsišiepti|veidas
	🧑🏾‍❤️‍💋‍🧑🏽;bučinys: suaugusysis suaugusysis tamsios odos rusvos odos;bučinys|bučinys: suaugusysis suaugusysis tamsios odos rusvos odos|pora|rusvos odos|suaugusysis|tamsios odos
	🧑🏾‍❤️‍💋‍🧑🏿;bučinys: suaugusysis suaugusysis tamsios odos itin tamsios odos;bučinys|bučinys: suaugusysis suaugusysis tamsios odos itin tamsios odos|itin tamsios odos|pora|suaugusysis|tamsios odos
	🧑🏿‍❤️‍💋‍🧑🏻;bučinys: suaugusysis suaugusysis itin tamsios odos šviesios odos;bučinys|bučinys: suaugusysis suaugusysis itin tamsios odos šviesios odos|itin tamsios odos|pora|suaugusysis|šviesios odos
	🧑🏿‍❤️‍💋‍🧑🏼;bučinys: suaugusysis suaugusysis itin tamsios odos vidutinio gymio;bučinys|bučinys: suaugusysis suaugusysis itin tamsios odos vidutinio gymio|itin tamsios odos|pora|suaugusysis|vidutinio gymio
	🧑🏿‍❤️‍💋‍🧑🏽;bučinys: suaugusysis suaugusysis itin tamsios odos rusvos odos;bučinys|bučinys: suaugusysis suaugusysis itin tamsios odos rusvos odos|itin tamsios odos|pora|rusvos odos|suaugusysis
	🧑🏿‍❤️‍💋‍🧑🏾;bučinys: suaugusysis suaugusysis itin tamsios odos tamsios odos;bučinys|bučinys: suaugusysis suaugusysis itin tamsios odos tamsios odos|itin tamsios odos|pora|suaugusysis|tamsios odos
👩‍❤️‍💋‍👨;bučinys: moteris vyras;bučinys|bučinys: moteris vyras|moteris|pora|vyras
	👩🏻‍❤️‍💋‍👨🏻;bučinys: moteris vyras šviesios odos;bučinys|bučinys: moteris vyras šviesios odos|moteris|pora|šviesios odos|vyras
	👩🏻‍❤️‍💋‍👨🏼;bučinys: moteris vyras šviesios odos vidutinio gymio;bučinys|bučinys: moteris vyras šviesios odos vidutinio gymio|moteris|pora|šviesios odos|vidutinio gymio|vyras
	👩🏻‍❤️‍💋‍👨🏽;bučinys: moteris vyras šviesios odos rusvos odos;bučinys|bučinys: moteris vyras šviesios odos rusvos odos|moteris|pora|rusvos odos|šviesios odos|vyras
	👩🏻‍❤️‍💋‍👨🏾;bučinys: moteris vyras šviesios odos tamsios odos;bučinys|bučinys: moteris vyras šviesios odos tamsios odos|moteris|pora|šviesios odos|tamsios odos|vyras
	👩🏻‍❤️‍💋‍👨🏿;bučinys: moteris vyras šviesios odos itin tamsios odos;bučinys|bučinys: moteris vyras šviesios odos itin tamsios odos|itin tamsios odos|moteris|pora|šviesios odos|vyras
	👩🏼‍❤️‍💋‍👨🏻;bučinys: moteris vyras vidutinio gymio šviesios odos;bučinys|bučinys: moteris vyras vidutinio gymio šviesios odos|moteris|pora|šviesios odos|vidutinio gymio|vyras
	👩🏼‍❤️‍💋‍👨🏼;bučinys: moteris vyras vidutinio gymio;bučinys|bučinys: moteris vyras vidutinio gymio|moteris|pora|vidutinio gymio|vyras
	👩🏼‍❤️‍💋‍👨🏽;bučinys: moteris vyras vidutinio gymio rusvos odos;bučinys|bučinys: moteris vyras vidutinio gymio rusvos odos|moteris|pora|rusvos odos|vidutinio gymio|vyras
	👩🏼‍❤️‍💋‍👨🏾;bučinys: moteris vyras vidutinio gymio tamsios odos;bučinys|bučinys: moteris vyras vidutinio gymio tamsios odos|moteris|pora|tamsios odos|vidutinio gymio|vyras
	👩🏼‍❤️‍💋‍👨🏿;bučinys: moteris vyras vidutinio gymio itin tamsios odos;bučinys|bučinys: moteris vyras vidutinio gymio itin tamsios odos|itin tamsios odos|moteris|pora|vidutinio gymio|vyras
	👩🏽‍❤️‍💋‍👨🏻;bučinys: moteris vyras rusvos odos šviesios odos;bučinys|bučinys: moteris vyras rusvos odos šviesios odos|moteris|pora|rusvos odos|šviesios odos|vyras
	👩🏽‍❤️‍💋‍👨🏼;bučinys: moteris vyras rusvos odos vidutinio gymio;bučinys|bučinys: moteris vyras rusvos odos vidutinio gymio|moteris|pora|rusvos odos|vidutinio gymio|vyras
	👩🏽‍❤️‍💋‍👨🏽;bučinys: moteris vyras rusvos odos;bučinys|bučinys: moteris vyras rusvos odos|moteris|pora|rusvos odos|vyras
	👩🏽‍❤️‍💋‍👨🏾;bučinys: moteris vyras rusvos odos tamsios odos;bučinys|bučinys: moteris vyras rusvos odos tamsios odos|moteris|pora|rusvos odos|tamsios odos|vyras
	👩🏽‍❤️‍💋‍👨🏿;bučinys: moteris vyras rusvos odos itin tamsios odos;bučinys|bučinys: moteris vyras rusvos odos itin tamsios odos|itin tamsios odos|moteris|pora|rusvos odos|vyras
	👩🏾‍❤️‍💋‍👨🏻;bučinys: moteris vyras tamsios odos šviesios odos;bučinys|bučinys: moteris vyras tamsios odos šviesios odos|moteris|pora|šviesios odos|tamsios odos|vyras
	👩🏾‍❤️‍💋‍👨🏼;bučinys: moteris vyras tamsios odos vidutinio gymio;bučinys|bučinys: moteris vyras tamsios odos vidutinio gymio|moteris|pora|tamsios odos|vidutinio gymio|vyras
	👩🏾‍❤️‍💋‍👨🏽;bučinys: moteris vyras tamsios odos rusvos odos;bučinys|bučinys: moteris vyras tamsios odos rusvos odos|moteris|pora|rusvos odos|tamsios odos|vyras
	👩🏾‍❤️‍💋‍👨🏾;bučinys: moteris vyras tamsios odos;bučinys|bučinys: moteris vyras tamsios odos|moteris|pora|tamsios odos|vyras
	👩🏾‍❤️‍💋‍👨🏿;bučinys: moteris vyras tamsios odos itin tamsios odos;bučinys|bučinys: moteris vyras tamsios odos itin tamsios odos|itin tamsios odos|moteris|pora|tamsios odos|vyras
	👩🏿‍❤️‍💋‍👨🏻;bučinys: moteris vyras itin tamsios odos šviesios odos;bučinys|bučinys: moteris vyras itin tamsios odos šviesios odos|itin tamsios odos|moteris|pora|šviesios odos|vyras
	👩🏿‍❤️‍💋‍👨🏼;bučinys: moteris vyras itin tamsios odos vidutinio gymio;bučinys|bučinys: moteris vyras itin tamsios odos vidutinio gymio|itin tamsios odos|moteris|pora|vidutinio gymio|vyras
	👩🏿‍❤️‍💋‍👨🏽;bučinys: moteris vyras itin tamsios odos rusvos odos;bučinys|bučinys: moteris vyras itin tamsios odos rusvos odos|itin tamsios odos|moteris|pora|rusvos odos|vyras
	👩🏿‍❤️‍💋‍👨🏾;bučinys: moteris vyras itin tamsios odos tamsios odos;bučinys|bučinys: moteris vyras itin tamsios odos tamsios odos|itin tamsios odos|moteris|pora|tamsios odos|vyras
	👩🏿‍❤️‍💋‍👨🏿;bučinys: moteris vyras itin tamsios odos;bučinys|bučinys: moteris vyras itin tamsios odos|itin tamsios odos|moteris|pora|vyras
👨‍❤️‍💋‍👨;bučinys: vyras vyras;bučinys|bučinys: vyras vyras|pora|vyras
	👨🏻‍❤️‍💋‍👨🏻;bučinys: vyras vyras šviesios odos;bučinys|bučinys: vyras vyras šviesios odos|pora|šviesios odos|vyras
	👨🏻‍❤️‍💋‍👨🏼;bučinys: vyras vyras šviesios odos vidutinio gymio;bučinys|bučinys: vyras vyras šviesios odos vidutinio gymio|pora|šviesios odos|vidutinio gymio|vyras
	👨🏻‍❤️‍💋‍👨🏽;bučinys: vyras vyras šviesios odos rusvos odos;bučinys|bučinys: vyras vyras šviesios odos rusvos odos|pora|rusvos odos|šviesios odos|vyras
	👨🏻‍❤️‍💋‍👨🏾;bučinys: vyras vyras šviesios odos tamsios odos;bučinys|bučinys: vyras vyras šviesios odos tamsios odos|pora|šviesios odos|tamsios odos|vyras
	👨🏻‍❤️‍💋‍👨🏿;bučinys: vyras vyras šviesios odos itin tamsios odos;bučinys|bučinys: vyras vyras šviesios odos itin tamsios odos|itin tamsios odos|pora|šviesios odos|vyras
	👨🏼‍❤️‍💋‍👨🏻;bučinys: vyras vyras vidutinio gymio šviesios odos;bučinys|bučinys: vyras vyras vidutinio gymio šviesios odos|pora|šviesios odos|vidutinio gymio|vyras
	👨🏼‍❤️‍💋‍👨🏼;bučinys: vyras vyras vidutinio gymio;bučinys|bučinys: vyras vyras vidutinio gymio|pora|vidutinio gymio|vyras
	👨🏼‍❤️‍💋‍👨🏽;bučinys: vyras vyras vidutinio gymio rusvos odos;bučinys|bučinys: vyras vyras vidutinio gymio rusvos odos|pora|rusvos odos|vidutinio gymio|vyras
	👨🏼‍❤️‍💋‍👨🏾;bučinys: vyras vyras vidutinio gymio tamsios odos;bučinys|bučinys: vyras vyras vidutinio gymio tamsios odos|pora|tamsios odos|vidutinio gymio|vyras
	👨🏼‍❤️‍💋‍👨🏿;bučinys: vyras vyras vidutinio gymio itin tamsios odos;bučinys|bučinys: vyras vyras vidutinio gymio itin tamsios odos|itin tamsios odos|pora|vidutinio gymio|vyras
	👨🏽‍❤️‍💋‍👨🏻;bučinys: vyras vyras rusvos odos šviesios odos;bučinys|bučinys: vyras vyras rusvos odos šviesios odos|pora|rusvos odos|šviesios odos|vyras
	👨🏽‍❤️‍💋‍👨🏼;bučinys: vyras vyras rusvos odos vidutinio gymio;bučinys|bučinys: vyras vyras rusvos odos vidutinio gymio|pora|rusvos odos|vidutinio gymio|vyras
	👨🏽‍❤️‍💋‍👨🏽;bučinys: vyras vyras rusvos odos;bučinys|bučinys: vyras vyras rusvos odos|pora|rusvos odos|vyras
	👨🏽‍❤️‍💋‍👨🏾;bučinys: vyras vyras rusvos odos tamsios odos;bučinys|bučinys: vyras vyras rusvos odos tamsios odos|pora|rusvos odos|tamsios odos|vyras
	👨🏽‍❤️‍💋‍👨🏿;bučinys: vyras vyras rusvos odos itin tamsios odos;bučinys|bučinys: vyras vyras rusvos odos itin tamsios odos|itin tamsios odos|pora|rusvos odos|vyras
	👨🏾‍❤️‍💋‍👨🏻;bučinys: vyras vyras tamsios odos šviesios odos;bučinys|bučinys: vyras vyras tamsios odos šviesios odos|pora|šviesios odos|tamsios odos|vyras
	👨🏾‍❤️‍💋‍👨🏼;bučinys: vyras vyras tamsios odos vidutinio gymio;bučinys|bučinys: vyras vyras tamsios odos vidutinio gymio|pora|tamsios odos|vidutinio gymio|vyras
	👨🏾‍❤️‍💋‍👨🏽;bučinys: vyras vyras tamsios odos rusvos odos;bučinys|bučinys: vyras vyras tamsios odos rusvos odos|pora|rusvos odos|tamsios odos|vyras
	👨🏾‍❤️‍💋‍👨🏾;bučinys: vyras vyras tamsios odos;bučinys|bučinys: vyras vyras tamsios odos|pora|tamsios odos|vyras
	👨🏾‍❤️‍💋‍👨🏿;bučinys: vyras vyras tamsios odos itin tamsios odos;bučinys|bučinys: vyras vyras tamsios odos itin tamsios odos|itin tamsios odos|pora|tamsios odos|vyras
	👨🏿‍❤️‍💋‍👨🏻;bučinys: vyras vyras itin tamsios odos šviesios odos;bučinys|bučinys: vyras vyras itin tamsios odos šviesios odos|itin tamsios odos|pora|šviesios odos|vyras
	👨🏿‍❤️‍💋‍👨🏼;bučinys: vyras vyras itin tamsios odos vidutinio gymio;bučinys|bučinys: vyras vyras itin tamsios odos vidutinio gymio|itin tamsios odos|pora|vidutinio gymio|vyras
	👨🏿‍❤️‍💋‍👨🏽;bučinys: vyras vyras itin tamsios odos rusvos odos;bučinys|bučinys: vyras vyras itin tamsios odos rusvos odos|itin tamsios odos|pora|rusvos odos|vyras
	👨🏿‍❤️‍💋‍👨🏾;bučinys: vyras vyras itin tamsios odos tamsios odos;bučinys|bučinys: vyras vyras itin tamsios odos tamsios odos|itin tamsios odos|pora|tamsios odos|vyras
	👨🏿‍❤️‍💋‍👨🏿;bučinys: vyras vyras itin tamsios odos;bučinys|bučinys: vyras vyras itin tamsios odos|itin tamsios odos|pora|vyras
👩‍❤️‍💋‍👩;bučinys: moteris moteris;bučinys|bučinys: moteris moteris|moteris|pora
	👩🏻‍❤️‍💋‍👩🏻;bučinys: moteris moteris šviesios odos;bučinys|bučinys: moteris moteris šviesios odos|moteris|pora|šviesios odos
	👩🏻‍❤️‍💋‍👩🏼;bučinys: moteris moteris šviesios odos vidutinio gymio;bučinys|bučinys: moteris moteris šviesios odos vidutinio gymio|moteris|pora|šviesios odos|vidutinio gymio
	👩🏻‍❤️‍💋‍👩🏽;bučinys: moteris moteris šviesios odos rusvos odos;bučinys|bučinys: moteris moteris šviesios odos rusvos odos|moteris|pora|rusvos odos|šviesios odos
	👩🏻‍❤️‍💋‍👩🏾;bučinys: moteris moteris šviesios odos tamsios odos;bučinys|bučinys: moteris moteris šviesios odos tamsios odos|moteris|pora|šviesios odos|tamsios odos
	👩🏻‍❤️‍💋‍👩🏿;bučinys: moteris moteris šviesios odos itin tamsios odos;bučinys|bučinys: moteris moteris šviesios odos itin tamsios odos|itin tamsios odos|moteris|pora|šviesios odos
	👩🏼‍❤️‍💋‍👩🏻;bučinys: moteris moteris vidutinio gymio šviesios odos;bučinys|bučinys: moteris moteris vidutinio gymio šviesios odos|moteris|pora|šviesios odos|vidutinio gymio
	👩🏼‍❤️‍💋‍👩🏼;bučinys: moteris moteris vidutinio gymio;bučinys|bučinys: moteris moteris vidutinio gymio|moteris|pora|vidutinio gymio
	👩🏼‍❤️‍💋‍👩🏽;bučinys: moteris moteris vidutinio gymio rusvos odos;bučinys|bučinys: moteris moteris vidutinio gymio rusvos odos|moteris|pora|rusvos odos|vidutinio gymio
	👩🏼‍❤️‍💋‍👩🏾;bučinys: moteris moteris vidutinio gymio tamsios odos;bučinys|bučinys: moteris moteris vidutinio gymio tamsios odos|moteris|pora|tamsios odos|vidutinio gymio
	👩🏼‍❤️‍💋‍👩🏿;bučinys: moteris moteris vidutinio gymio itin tamsios odos;bučinys|bučinys: moteris moteris vidutinio gymio itin tamsios odos|itin tamsios odos|moteris|pora|vidutinio gymio
	👩🏽‍❤️‍💋‍👩🏻;bučinys: moteris moteris rusvos odos šviesios odos;bučinys|bučinys: moteris moteris rusvos odos šviesios odos|moteris|pora|rusvos odos|šviesios odos
	👩🏽‍❤️‍💋‍👩🏼;bučinys: moteris moteris rusvos odos vidutinio gymio;bučinys|bučinys: moteris moteris rusvos odos vidutinio gymio|moteris|pora|rusvos odos|vidutinio gymio
	👩🏽‍❤️‍💋‍👩🏽;bučinys: moteris moteris rusvos odos;bučinys|bučinys: moteris moteris rusvos odos|moteris|pora|rusvos odos
	👩🏽‍❤️‍💋‍👩🏾;bučinys: moteris moteris rusvos odos tamsios odos;bučinys|bučinys: moteris moteris rusvos odos tamsios odos|moteris|pora|rusvos odos|tamsios odos
	👩🏽‍❤️‍💋‍👩🏿;bučinys: moteris moteris rusvos odos itin tamsios odos;bučinys|bučinys: moteris moteris rusvos odos itin tamsios odos|itin tamsios odos|moteris|pora|rusvos odos
	👩🏾‍❤️‍💋‍👩🏻;bučinys: moteris moteris tamsios odos šviesios odos;bučinys|bučinys: moteris moteris tamsios odos šviesios odos|moteris|pora|šviesios odos|tamsios odos
	👩🏾‍❤️‍💋‍👩🏼;bučinys: moteris moteris tamsios odos vidutinio gymio;bučinys|bučinys: moteris moteris tamsios odos vidutinio gymio|moteris|pora|tamsios odos|vidutinio gymio
	👩🏾‍❤️‍💋‍👩🏽;bučinys: moteris moteris tamsios odos rusvos odos;bučinys|bučinys: moteris moteris tamsios odos rusvos odos|moteris|pora|rusvos odos|tamsios odos
	👩🏾‍❤️‍💋‍👩🏾;bučinys: moteris moteris tamsios odos;bučinys|bučinys: moteris moteris tamsios odos|moteris|pora|tamsios odos
	👩🏾‍❤️‍💋‍👩🏿;bučinys: moteris moteris tamsios odos itin tamsios odos;bučinys|bučinys: moteris moteris tamsios odos itin tamsios odos|itin tamsios odos|moteris|pora|tamsios odos
	👩🏿‍❤️‍💋‍👩🏻;bučinys: moteris moteris itin tamsios odos šviesios odos;bučinys|bučinys: moteris moteris itin tamsios odos šviesios odos|itin tamsios odos|moteris|pora|šviesios odos
	👩🏿‍❤️‍💋‍👩🏼;bučinys: moteris moteris itin tamsios odos vidutinio gymio;bučinys|bučinys: moteris moteris itin tamsios odos vidutinio gymio|itin tamsios odos|moteris|pora|vidutinio gymio
	👩🏿‍❤️‍💋‍👩🏽;bučinys: moteris moteris itin tamsios odos rusvos odos;bučinys|bučinys: moteris moteris itin tamsios odos rusvos odos|itin tamsios odos|moteris|pora|rusvos odos
	👩🏿‍❤️‍💋‍👩🏾;bučinys: moteris moteris itin tamsios odos tamsios odos;bučinys|bučinys: moteris moteris itin tamsios odos tamsios odos|itin tamsios odos|moteris|pora|tamsios odos
	👩🏿‍❤️‍💋‍👩🏿;bučinys: moteris moteris itin tamsios odos;bučinys|bučinys: moteris moteris itin tamsios odos|itin tamsios odos|moteris|pora
💑;pora su širdele;meilė|pora|pora su širdele
	💑🏻;pora su širdele: šviesios odos;meilė|pora|pora su širdele|pora su širdele: šviesios odos|šviesios odos
	💑🏼;pora su širdele: vidutinio gymio;meilė|pora|pora su širdele|pora su širdele: vidutinio gymio|vidutinio gymio
	💑🏽;pora su širdele: rusvos odos;meilė|pora|pora su širdele|pora su širdele: rusvos odos|rusvos odos
	💑🏾;pora su širdele: tamsios odos;meilė|pora|pora su širdele|pora su širdele: tamsios odos|tamsios odos
	💑🏿;pora su širdele: itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: itin tamsios odos
	🧑🏻‍❤️‍🧑🏼;pora su širdele: suaugusysis suaugusysis šviesios odos vidutinio gymio;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis šviesios odos vidutinio gymio|suaugusysis|šviesios odos|vidutinio gymio
	🧑🏻‍❤️‍🧑🏽;pora su širdele: suaugusysis suaugusysis šviesios odos rusvos odos;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis šviesios odos rusvos odos|rusvos odos|suaugusysis|šviesios odos
	🧑🏻‍❤️‍🧑🏾;pora su širdele: suaugusysis suaugusysis šviesios odos tamsios odos;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis šviesios odos tamsios odos|suaugusysis|šviesios odos|tamsios odos
	🧑🏻‍❤️‍🧑🏿;pora su širdele: suaugusysis suaugusysis šviesios odos itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis šviesios odos itin tamsios odos|suaugusysis|šviesios odos
	🧑🏼‍❤️‍🧑🏻;pora su širdele: suaugusysis suaugusysis vidutinio gymio šviesios odos;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis vidutinio gymio šviesios odos|suaugusysis|šviesios odos|vidutinio gymio
	🧑🏼‍❤️‍🧑🏽;pora su širdele: suaugusysis suaugusysis vidutinio gymio rusvos odos;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis vidutinio gymio rusvos odos|rusvos odos|suaugusysis|vidutinio gymio
	🧑🏼‍❤️‍🧑🏾;pora su širdele: suaugusysis suaugusysis vidutinio gymio tamsios odos;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis vidutinio gymio tamsios odos|suaugusysis|tamsios odos|vidutinio gymio
	🧑🏼‍❤️‍🧑🏿;pora su širdele: suaugusysis suaugusysis vidutinio gymio itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis vidutinio gymio itin tamsios odos|suaugusysis|vidutinio gymio
	🧑🏽‍❤️‍🧑🏻;pora su širdele: suaugusysis suaugusysis rusvos odos šviesios odos;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis rusvos odos šviesios odos|rusvos odos|suaugusysis|šviesios odos
	🧑🏽‍❤️‍🧑🏼;pora su širdele: suaugusysis suaugusysis rusvos odos vidutinio gymio;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis rusvos odos vidutinio gymio|rusvos odos|suaugusysis|vidutinio gymio
	🧑🏽‍❤️‍🧑🏾;pora su širdele: suaugusysis suaugusysis rusvos odos tamsios odos;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis rusvos odos tamsios odos|rusvos odos|suaugusysis|tamsios odos
	🧑🏽‍❤️‍🧑🏿;pora su širdele: suaugusysis suaugusysis rusvos odos itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis rusvos odos itin tamsios odos|rusvos odos|suaugusysis
	🧑🏾‍❤️‍🧑🏻;pora su širdele: suaugusysis suaugusysis tamsios odos šviesios odos;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis tamsios odos šviesios odos|suaugusysis|šviesios odos|tamsios odos
	🧑🏾‍❤️‍🧑🏼;pora su širdele: suaugusysis suaugusysis tamsios odos vidutinio gymio;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis tamsios odos vidutinio gymio|suaugusysis|tamsios odos|vidutinio gymio
	🧑🏾‍❤️‍🧑🏽;pora su širdele: suaugusysis suaugusysis tamsios odos rusvos odos;meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis tamsios odos rusvos odos|rusvos odos|suaugusysis|tamsios odos
	🧑🏾‍❤️‍🧑🏿;pora su širdele: suaugusysis suaugusysis tamsios odos itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis tamsios odos itin tamsios odos|suaugusysis|tamsios odos
	🧑🏿‍❤️‍🧑🏻;pora su širdele: suaugusysis suaugusysis itin tamsios odos šviesios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis itin tamsios odos šviesios odos|suaugusysis|šviesios odos
	🧑🏿‍❤️‍🧑🏼;pora su širdele: suaugusysis suaugusysis itin tamsios odos vidutinio gymio;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis itin tamsios odos vidutinio gymio|suaugusysis|vidutinio gymio
	🧑🏿‍❤️‍🧑🏽;pora su širdele: suaugusysis suaugusysis itin tamsios odos rusvos odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis itin tamsios odos rusvos odos|rusvos odos|suaugusysis
	🧑🏿‍❤️‍🧑🏾;pora su širdele: suaugusysis suaugusysis itin tamsios odos tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: suaugusysis suaugusysis itin tamsios odos tamsios odos|suaugusysis|tamsios odos
👩‍❤️‍👨;pora su širdele: moteris vyras;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras|vyras
	👩🏻‍❤️‍👨🏻;pora su širdele: moteris vyras šviesios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras šviesios odos|šviesios odos|vyras
	👩🏻‍❤️‍👨🏼;pora su širdele: moteris vyras šviesios odos vidutinio gymio;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras šviesios odos vidutinio gymio|šviesios odos|vidutinio gymio|vyras
	👩🏻‍❤️‍👨🏽;pora su širdele: moteris vyras šviesios odos rusvos odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras šviesios odos rusvos odos|rusvos odos|šviesios odos|vyras
	👩🏻‍❤️‍👨🏾;pora su širdele: moteris vyras šviesios odos tamsios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras šviesios odos tamsios odos|šviesios odos|tamsios odos|vyras
	👩🏻‍❤️‍👨🏿;pora su širdele: moteris vyras šviesios odos itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras šviesios odos itin tamsios odos|šviesios odos|vyras
	👩🏼‍❤️‍👨🏻;pora su širdele: moteris vyras vidutinio gymio šviesios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras vidutinio gymio šviesios odos|šviesios odos|vidutinio gymio|vyras
	👩🏼‍❤️‍👨🏼;pora su širdele: moteris vyras vidutinio gymio;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras vidutinio gymio|vidutinio gymio|vyras
	👩🏼‍❤️‍👨🏽;pora su širdele: moteris vyras vidutinio gymio rusvos odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras vidutinio gymio rusvos odos|rusvos odos|vidutinio gymio|vyras
	👩🏼‍❤️‍👨🏾;pora su širdele: moteris vyras vidutinio gymio tamsios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras vidutinio gymio tamsios odos|tamsios odos|vidutinio gymio|vyras
	👩🏼‍❤️‍👨🏿;pora su širdele: moteris vyras vidutinio gymio itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras vidutinio gymio itin tamsios odos|vidutinio gymio|vyras
	👩🏽‍❤️‍👨🏻;pora su širdele: moteris vyras rusvos odos šviesios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras rusvos odos šviesios odos|rusvos odos|šviesios odos|vyras
	👩🏽‍❤️‍👨🏼;pora su širdele: moteris vyras rusvos odos vidutinio gymio;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras rusvos odos vidutinio gymio|rusvos odos|vidutinio gymio|vyras
	👩🏽‍❤️‍👨🏽;pora su širdele: moteris vyras rusvos odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras rusvos odos|rusvos odos|vyras
	👩🏽‍❤️‍👨🏾;pora su širdele: moteris vyras rusvos odos tamsios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras rusvos odos tamsios odos|rusvos odos|tamsios odos|vyras
	👩🏽‍❤️‍👨🏿;pora su širdele: moteris vyras rusvos odos itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras rusvos odos itin tamsios odos|rusvos odos|vyras
	👩🏾‍❤️‍👨🏻;pora su širdele: moteris vyras tamsios odos šviesios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras tamsios odos šviesios odos|šviesios odos|tamsios odos|vyras
	👩🏾‍❤️‍👨🏼;pora su širdele: moteris vyras tamsios odos vidutinio gymio;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras tamsios odos vidutinio gymio|tamsios odos|vidutinio gymio|vyras
	👩🏾‍❤️‍👨🏽;pora su širdele: moteris vyras tamsios odos rusvos odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras tamsios odos rusvos odos|rusvos odos|tamsios odos|vyras
	👩🏾‍❤️‍👨🏾;pora su širdele: moteris vyras tamsios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras tamsios odos|tamsios odos|vyras
	👩🏾‍❤️‍👨🏿;pora su širdele: moteris vyras tamsios odos itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras tamsios odos itin tamsios odos|tamsios odos|vyras
	👩🏿‍❤️‍👨🏻;pora su širdele: moteris vyras itin tamsios odos šviesios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras itin tamsios odos šviesios odos|šviesios odos|vyras
	👩🏿‍❤️‍👨🏼;pora su širdele: moteris vyras itin tamsios odos vidutinio gymio;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras itin tamsios odos vidutinio gymio|vidutinio gymio|vyras
	👩🏿‍❤️‍👨🏽;pora su širdele: moteris vyras itin tamsios odos rusvos odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras itin tamsios odos rusvos odos|rusvos odos|vyras
	👩🏿‍❤️‍👨🏾;pora su širdele: moteris vyras itin tamsios odos tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras itin tamsios odos tamsios odos|tamsios odos|vyras
	👩🏿‍❤️‍👨🏿;pora su širdele: moteris vyras itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris vyras itin tamsios odos|vyras
👨‍❤️‍👨;pora su širdele: vyras vyras;meilė|pora|pora su širdele|pora su širdele: vyras vyras|vyras
