[smileys_emotion]
😀;инээсэн царай;инээсэн царай|инээх|царай
	👨🏼‍❤️‍👨🏼;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бага зэргийн цайвар;бага зэргийн цайвар|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бага зэргийн цайвар|хайр|хос|эрэгтэй хүн
	👨🏼‍❤️‍👨🏽;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бага зэргийн цайвар дунд зэргийн;бага зэргийн цайвар|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бага зэргийн цайвар дунд зэргийн|хайр|хос|эрэгтэй хүн
	👨🏼‍❤️‍👨🏾;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бага зэргийн цайвар бордуу;бага зэргийн цайвар|бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бага зэргийн цайвар бордуу|хайр|хос|эрэгтэй хүн
	👨🏼‍❤️‍👨🏿;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бага зэргийн цайвар бор;бага зэргийн цайвар|бор|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бага зэргийн цайвар бор|хайр|хос|эрэгтэй хүн
	👨🏽‍❤️‍👨🏻;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн цайвар;дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн цайвар|хайр|хос|цайвар|эрэгтэй хүн
	👨🏽‍❤️‍👨🏼;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн бага зэргийн цайвар;бага зэргийн цайвар|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн бага зэргийн цайвар|хайр|хос|эрэгтэй хүн
	👨🏽‍❤️‍👨🏽;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн;дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн|хайр|хос|эрэгтэй хүн
	👨🏽‍❤️‍👨🏾;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн бордуу;бордуу|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн бордуу|хайр|хос|эрэгтэй хүн
	👨🏽‍❤️‍👨🏿;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн бор;бор|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн дунд зэргийн бор|хайр|хос|эрэгтэй хүн
	👨🏾‍❤️‍👨🏻;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу цайвар;бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу цайвар|хайр|хос|цайвар|эрэгтэй хүн
	👨🏾‍❤️‍👨🏼;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу бага зэргийн цайвар;бага зэргийн цайвар|бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу бага зэргийн цайвар|хайр|хос|эрэгтэй хүн
	👨🏾‍❤️‍👨🏽;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу дунд зэргийн;бордуу|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу дунд зэргийн|хайр|хос|эрэгтэй хүн
	👨🏾‍❤️‍👨🏾;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу;бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу|хайр|хос|эрэгтэй хүн
	👨🏾‍❤️‍👨🏿;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу бор;бор|бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бордуу бор|хайр|хос|эрэгтэй хүн
	👨🏿‍❤️‍👨🏻;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор цайвар;бор|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор цайвар|хайр|хос|цайвар|эрэгтэй хүн
	👨🏿‍❤️‍👨🏼;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор бага зэргийн цайвар;бага зэргийн цайвар|бор|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор бага зэргийн цайвар|хайр|хос|эрэгтэй хүн
	👨🏿‍❤️‍👨🏽;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор дунд зэргийн;бор|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор дунд зэргийн|хайр|хос|эрэгтэй хүн
	👨🏿‍❤️‍👨🏾;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор бордуу;бор|бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор бордуу|хайр|хос|эрэгтэй хүн
	👨🏿‍❤️‍👨🏿;дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор;бор|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эрэгтэй хүн эрэгтэй хүн бор|хайр|хос|эрэгтэй хүн
👩‍❤️‍👩;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн;дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн|хайр|хос|эмэгтэй хүн
	👩🏻‍❤️‍👩🏻;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар;дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар|хайр|хос|цайвар|эмэгтэй хүн
	👩🏻‍❤️‍👩🏼;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар бага зэргийн цайвар;бага зэргийн цайвар|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар бага зэргийн цайвар|хайр|хос|цайвар|эмэгтэй хүн
	👩🏻‍❤️‍👩🏽;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар дунд зэргийн;дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар дунд зэргийн|хайр|хос|цайвар|эмэгтэй хүн
	👩🏻‍❤️‍👩🏾;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар бордуу;бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар бордуу|хайр|хос|цайвар|эмэгтэй хүн
	👩🏻‍❤️‍👩🏿;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар бор;бор|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн цайвар бор|хайр|хос|цайвар|эмэгтэй хүн
	👩🏼‍❤️‍👩🏻;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар цайвар;бага зэргийн цайвар|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар цайвар|хайр|хос|цайвар|эмэгтэй хүн
	👩🏼‍❤️‍👩🏼;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар;бага зэргийн цайвар|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар|хайр|хос|эмэгтэй хүн
	👩🏼‍❤️‍👩🏽;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар дунд зэргийн;бага зэргийн цайвар|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар дунд зэргийн|хайр|хос|эмэгтэй хүн
	👩🏼‍❤️‍👩🏾;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар бордуу;бага зэргийн цайвар|бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар бордуу|хайр|хос|эмэгтэй хүн
	👩🏼‍❤️‍👩🏿;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар бор;бага зэргийн цайвар|бор|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бага зэргийн цайвар бор|хайр|хос|эмэгтэй хүн
	👩🏽‍❤️‍👩🏻;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн цайвар;дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн цайвар|хайр|хос|цайвар|эмэгтэй хүн
	👩🏽‍❤️‍👩🏼;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн бага зэргийн цайвар;бага зэргийн цайвар|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн бага зэргийн цайвар|хайр|хос|эмэгтэй хүн
	👩🏽‍❤️‍👩🏽;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн;дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн|хайр|хос|эмэгтэй хүн
	👩🏽‍❤️‍👩🏾;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн бордуу;бордуу|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн бордуу|хайр|хос|эмэгтэй хүн
	👩🏽‍❤️‍👩🏿;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн бор;бор|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн дунд зэргийн бор|хайр|хос|эмэгтэй хүн
	👩🏾‍❤️‍👩🏻;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу цайвар;бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу цайвар|хайр|хос|цайвар|эмэгтэй хүн
	👩🏾‍❤️‍👩🏼;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу бага зэргийн цайвар;бага зэргийн цайвар|бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу бага зэргийн цайвар|хайр|хос|эмэгтэй хүн
	👩🏾‍❤️‍👩🏽;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу дунд зэргийн;бордуу|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу дунд зэргийн|хайр|хос|эмэгтэй хүн
	👩🏾‍❤️‍👩🏾;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу;бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу|хайр|хос|эмэгтэй хүн
	👩🏾‍❤️‍👩🏿;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу бор;бор|бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бордуу бор|хайр|хос|эмэгтэй хүн
	👩🏿‍❤️‍👩🏻;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор цайвар;бор|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор цайвар|хайр|хос|цайвар|эмэгтэй хүн
	👩🏿‍❤️‍👩🏼;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор бага зэргийн цайвар;бага зэргийн цайвар|бор|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор бага зэргийн цайвар|хайр|хос|эмэгтэй хүн
	👩🏿‍❤️‍👩🏽;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор дунд зэргийн;бор|дунд зэргийн|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор дунд зэргийн|хайр|хос|эмэгтэй хүн
	👩🏿‍❤️‍👩🏾;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор бордуу;бор|бордуу|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор бордуу|хайр|хос|эмэгтэй хүн
	👩🏿‍❤️‍👩🏿;дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор;бор|дундаа зүрхтэй хосууд|дундаа зүрхтэй хосууд: эмэгтэй хүн эмэгтэй хүн бор|хайр|хос|эмэгтэй хүн
👨‍👩‍👦;гэр бүл: эрэгтэй хүн эмэгтэй хүн эрэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эмэгтэй хүн эрэгтэй хүүхэд|эмэгтэй хүн|эрэгтэй хүн|эрэгтэй хүүхэд
👨‍👩‍👧;гэр бүл: эрэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд|эмэгтэй хүн|эмэгтэй хүүхэд|эрэгтэй хүн
👨‍👩‍👧‍👦;гэр бүл: эрэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд|эмэгтэй хүн|эмэгтэй хүүхэд|эрэгтэй хүн|эрэгтэй хүүхэд
👨‍👩‍👦‍👦;гэр бүл: эрэгтэй хүн эмэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эмэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд|эмэгтэй хүн|эрэгтэй хүн|эрэгтэй хүүхэд
👨‍👩‍👧‍👧;гэр бүл: эрэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд|эмэгтэй хүн|эмэгтэй хүүхэд|эрэгтэй хүн
👨‍👨‍👦;гэр бүл: эрэгтэй хүн эрэгтэй хүн эрэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эрэгтэй хүн эрэгтэй хүүхэд|эрэгтэй хүн|эрэгтэй хүүхэд
👨‍👨‍👧;гэр бүл: эрэгтэй хүн эрэгтэй хүн эмэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эрэгтэй хүн эмэгтэй хүүхэд|эмэгтэй хүүхэд|эрэгтэй хүн
👨‍👨‍👧‍👦;гэр бүл: эрэгтэй хүн эрэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эрэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд|эмэгтэй хүүхэд|эрэгтэй хүн|эрэгтэй хүүхэд
👨‍👨‍👦‍👦;гэр бүл: эрэгтэй хүн эрэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эрэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд|эрэгтэй хүн|эрэгтэй хүүхэд
👨‍👨‍👧‍👧;гэр бүл: эрэгтэй хүн эрэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эрэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд|эмэгтэй хүүхэд|эрэгтэй хүн
👩‍👩‍👦;гэр бүл: эмэгтэй хүн эмэгтэй хүн эрэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эмэгтэй хүн эрэгтэй хүүхэд|эмэгтэй хүн|эрэгтэй хүүхэд
👩‍👩‍👧;гэр бүл: эмэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд|эмэгтэй хүн|эмэгтэй хүүхэд
👩‍👩‍👧‍👦;гэр бүл: эмэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд|эмэгтэй хүн|эмэгтэй хүүхэд|эрэгтэй хүүхэд
👩‍👩‍👦‍👦;гэр бүл: эмэгтэй хүн эмэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эмэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд|эмэгтэй хүн|эрэгтэй хүүхэд
👩‍👩‍👧‍👧;гэр бүл: эмэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эмэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд|эмэгтэй хүн|эмэгтэй хүүхэд
👨‍👦;гэр бүл: эрэгтэй хүн эрэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эрэгтэй хүүхэд|эрэгтэй хүн|эрэгтэй хүүхэд
👨‍👦‍👦;гэр бүл: эрэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд|эрэгтэй хүн|эрэгтэй хүүхэд
👨‍👧;гэр бүл: эрэгтэй хүн эмэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эмэгтэй хүүхэд|эмэгтэй хүүхэд|эрэгтэй хүн
👨‍👧‍👦;гэр бүл: эрэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд|эмэгтэй хүүхэд|эрэгтэй хүн|эрэгтэй хүүхэд
👨‍👧‍👧;гэр бүл: эрэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд;гэр бүл|гэр бүл: эрэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд|эмэгтэй хүүхэд|эрэгтэй хүн
👩‍👦;гэр бүл: эмэгтэй хүн эрэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эрэгтэй хүүхэд|эмэгтэй хүн|эрэгтэй хүүхэд
👩‍👦‍👦;гэр бүл: эмэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эрэгтэй хүүхэд эрэгтэй хүүхэд|эмэгтэй хүн|эрэгтэй хүүхэд
👩‍👧;гэр бүл: эмэгтэй хүн эмэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эмэгтэй хүүхэд|эмэгтэй хүн|эмэгтэй хүүхэд
👩‍👧‍👦;гэр бүл: эмэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эмэгтэй хүүхэд эрэгтэй хүүхэд|эмэгтэй хүн|эмэгтэй хүүхэд|эрэгтэй хүүхэд
👩‍👧‍👧;гэр бүл: эмэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд;гэр бүл|гэр бүл: эмэгтэй хүн эмэгтэй хүүхэд эмэгтэй хүүхэд|эмэгтэй хүн|эмэгтэй хүүхэд
🗣️;ярьж буй толгой;сүүдэр|толгой|ярих|ярьж буй толгой
👤;хүний сүүдэр дүрс;сүүдэр дүрс|хүний сүүдэр дүрс|цээж
👥;2 сүүдэр;2 сүүдэр|сүүдэр
🫂;тэврэлдэж буй хүмүүс;баяртай|сайн уу|талархал|тэврэлдэж буй хүмүүс|тэврэлт
👪;гэр бүл;гэр бүл
🧑‍🧑‍🧒;гэр бүл: насанд хүрсэн хүн, насанд хүрсэн хүн, хүүхэд;гэр бүл: насанд хүрсэн хүн|гэр бүл: насанд хүрсэн хүн, насанд хүрсэн хүн, хүүхэд|насанд хүрсэн хүн|хүүхэд
🧑‍🧑‍🧒‍🧒;гэр бүл: насанд хүрсэн хүн, насанд хүрсэн хүн, хүүхэд, хүүхэд;гэр бүл: насанд хүрсэн хүн|гэр бүл: насанд хүрсэн хүн, насанд хүрсэн хүн, хүүхэд, хүүхэд|насанд хүрсэн хүн|хүүхэд
🧑‍🧒;гэр бүл: насанд хүрсэн хүн, хүүхэд;гэр бүл: насанд хүрсэн хүн|гэр бүл: насанд хүрсэн хүн, хүүхэд|хүүхэд
🧑‍🧒‍🧒;гэр бүл: насанд хүрсэн хүн, хүүхэд, хүүхэд;гэр бүл: насанд хүрсэн хүн|гэр бүл: насанд хүрсэн хүн, хүүхэд, хүүхэд|хүүхэд
👣;хөлийн мөр;мөр|улаан|хөл|хөлийн мөр

[animals_nature]
🐵;сармагчны толгой;сармагчин|сармагчны толгой|царай
🐒;сармагчин;сармагчин
🦍;горилла;горилла
🦧;орангутан;бич|орангутан
🐶;нохойны толгой;гэрийн тэжээвэр амьтан|нохой|нохойны толгой
🐕;нохой;гэрийн тэжээвэр амьтан|нохой
🦮;хөтөч нохой;хараагүй|хөтөч|хөтөч нохой|хүртээмж
🐕‍🦺;үйлчлэгч нохой;нохой|туслагч|үйлчлэгч|хөгжлийн бэрхшээл|хөтөч
🐩;пүүдл үүлдрийн нохой;нохой|пүүдл үүлдрийн нохой
🐺;чонын толгой;чоно|чонын толгой
🦊;үнэг;амьтан|үнэг
🦝;элбэнх;зальжин|сониуч|элбэнх
🐱;муурын толгой;гэрийн тэжээвэр амьтан|муур|муурын толгой|нүүр
🐈;муур;гэрийн тэжээвэр амьтан|муур
🐈‍⬛;Хар муур;азгүй|муур|хар
🦁;арслангийн толгой;амьтан|арслан|арслангийн толгой|толгой
🐯;барын толгой;бар|барын толгой
🐅;бар;бар
🐆;ирвэс;ирвэс
🐴;морины толгой;морины толгой|морь
🫎;хандгай;амьтан|хандгай|хөхтөн|эвэр
🫏;илжиг;амьтан|зөрүүд|илжиг|луус|хөхтөн
🐎;морь;морь|уралдаан|уралдааны морь
🦄;нэг эвэртийн толгой;нүүр|нэг эвэртийн толгой
🦓;тахь;судалт тахь|тахь
🦌;буга;буга
🦬;бизон;бизон|бух гөрөөс|мал сүрэг|одос үхэр
🐮;үнээний толгой;үнээ|үнээний толгой
🐂;шар үхэр;бух|орд|үхрийн орд|шар үхэр
🐃;бух;амьтан|бух
🐄;үнээ;үнээ
🐷;гахайны толгой;гахай|гахайны толгой
🐖;гахай;амьтан|бие|гахай
🐗;бодон гахай;амьтан|бодон|гахай
🐽;гахайны хоншоор;амьтан|гахай|гахайны хоншоор|хоншоор|ягаан
🐏;хуц;мал|хонины орд|хонь|хуц
🐑;хонь;мал|хонь
🐐;ямаа;мал|ямаа
🐪;тэмээ;бөх|мал|тэмээ
🐫;2 бөхт тэмээ;2 бөхт тэмээ|бөх|мал|тэмээ|хоёр
🦙;тэмээн гөрөөс;алпака лам гөрөөс|викуна лам гөрөөс|гуанако лам гөрөөс|ноос|тэмээн гөрөөс
🦒;анааш;анааш|толбо
🐘;заан;заан
🦣;арслан заан;арслан заан|мөхсөн|ноосон|соёо|том
🦏;хирс;амьтан|хирс
🦛;усны үхэр;усны үхэр
🐭;хулганы толгой;амьтан|толгой|хулгана|хулганы толгой
🐁;хулгана;хулгана
🐀;харх;харх
🐹;үхэр зусгийн толгой;амьтан|толгой|үхэр зусаг|үхэр зусгийн толгой
🐰;туулайны толгой;амьтан|толгой|туулай|туулайны толгой
🐇;туулай;амьтан|туулай
🐿️;жирх;амьтан|жирх
🦫;минж;далан|минж
🦔;зараа;зараа|өргөстэй
🦇;сарьсан багваахай;амьтан|сарьсан багваахай
🐻;баавгайны толгой;баавгай|баавгайны толгой|нүүр
🐻‍❄️;цагаан баавгай;баавгай|хойд туйл|цагаан|цагаан баавга
🐨;коала;амьтан|баавгай|коала
🐼;хулсны баавгайны толгой;амьтан|баавгай|толгой|хулс|хулсны баавгайны толгой
🦥;залхууч;залхуу|залхууч|удаан
🦦;халиу;загас барих ︱ хөгжилтэй|халиу
🦨;өмхий хүрнэ;өмхий|өмхий хүрнэ|өмхий хүрэн
🦘;имж;Австрали|имж|уутат амьтан|үсрэлт|цовхрой
🦡;дорго;дорго|залхаах
🐾;саварны мөр;савар|саварны мөр|хээ
🦃;цацагт хяруул;цацагт хяруул|шувуу
🐔;тахиа;тахиа|шувуу
🐓;азарган тахиа;азарган тахиа|шувуу
🐣;дэгдээхэй;дэгдээхэй|өндөг|хагарах
🐤;ангаахай;ангаахай|шувуу
🐥;дэгдээхэй урд талаасаа;дэгдээхэй|дэгдээхэй урд талаасаа|өхөөрдөм|тал|урд
🐦;шувуу;шувуу
🐧;оцон шувуу;оцон шувуу
🕊️;тагтаа;нисэх|тагтаа|шувуу|энх тайван
🦅;бүргэд;бүргэд|шувуу
🦆;нугас;нугас|шувуу
🦢;хун;залуу хун|нугасны муухай дэгдээхэй|хун|шувуу
🦉;шар шувуу;цэцэн|шар шувуу|шувуу
🦤;додо шувуу;додо шувуу|Маврики|мөхсөн|том
🪶;өд;нислэг|өд|өд сөд|хөнгөн|шувуу
🦩;ягаан наль;халуун орон|ягаан|ягаан наль
🦚;тогос;бардамнал|гайхуулсан|тогос|шувуу|эм тогос
🦜;тоть;далайн дээрэмчин|тоть|шувуу|яриа
🪽;далавч;далавч|домгийн|нисэх|сахиусан тэнгэр|шувуу
🐦‍⬛;хар шувуу;хар|хон хэрээ|хэрээ|шувуу
🪿;галуу;галуу|гуаглах|гэрийн тэжээвэр шувуу|тэнэгхэн|шувуу
🐦‍🔥;галт шувуу;галт шувуу|дахин төрөлт|уран зөгнөл|хойд дүр
🐸;мэлхий;мэлхий|мэлхийний царай
🐊;матар;матар
🐢;яст мэлхий;яст мэлхий
🦎;гүрвэл;гүрвэл|хэвлээр явагч
🐍;могой;могой|өрнийн зурхай|хэвлээр явагч
🐲;лууны толгой;луу|лууны толгой|үлгэр|царай
